GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
0201337-700,1027,94,178,214,56,33,437,15,186,76,462,17,1010,94,178,214,45,28,436,15,186,60,459,17,799.4,154.8,86.4,167.4,134.1,22.5,224.1,9.9,114.3,165.6,226.8,9.9
0201337-712,143,85,2,5,40,8,3,0,3,47,3,0,112,70,2,2,29,6,3,0,2,35,3,0,88.6,17.2,9.6,18.6,14.9,2.5,24.9,1.1,12.7,18.4,25.2,1.1
0201337-720,938,95,8,105,360,31,337,2,17,384,354,2,787,84,8,97,242,21,333,2,11,258,346,2,1083.3,102.9,16.0,61.3,565.2,34.9,302.9,0.0,23.6,597.3,305.7,0.0
0201337-732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0201337-734,1033,151,24,61,413,46,336,2,29,457,360,9,861,130,23,48,309,28,321,2,24,334,333,5,1453.7,240.1,5.0,98.7,607.8,162.1,326.1,14.0,23.4,770.7,390.3,25.0
0201637-704,586,211,29,42,88,35,175,6,31,119,184,12,536,202,29,33,73,20,173,6,31,85,182,12,529.4,110.9,22.4,62.3,257.9,23.5,34.4,18.0,24.6,281.9,42.6,18.0
0201637-706,4394,1474,287,666,277,198,1397,95,329,372,1554,134,3782,1268,285,582,224,120,1218,85,316,271,1316,119,4797.8,1189.5,205.7,686.0,170.2,223.7,2208.1,114.6,228.8,312.9,2423.4,175.6
0201637-738,102,9,0,1,90,2,0,0,0,92,0,0,81,9,0,1,70,1,0,0,0,71,0,0,80.0,16.8,3.4,9.4,39.0,3.6,5.2,2.7,3.7,42.6,6.4,2.7
0201637-740,479,51,2,17,386,19,3,1,2,417,5,2,347,43,2,11,273,14,3,1,2,293,4,1,342.8,71.8,14.5,40.3,167.0,15.2,22.3,11.7,15.9,182.5,27.6,11.7
0202016-145,2426,2017,21,90,135,114,49,0,37,233,76,2,1817,1556,17,54,102,59,29,0,22,157,38,1,2679.0,2220.0,4.0,141.0,157.0,119.0,15.0,23.0,53.0,200.0,47.0,23.0
