GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
0500101,147,27,117,152.9,25.3,118.4,150.9,39.3,109.5
0500102,22,2,18,32.0,9.0,23.0,33.0,11.0,20.0
0500103,372,150,213,294.0,87.0,189.0,292.0,114.0,173.0
0500104,157,46,111,111.0,21.0,81.0,108.0,31.0,77.0
0500105,76,4,70,92.0,10.0,77.0,92.0,24.0,67.0
0500106,149,52,90,93.0,10.0,72.0,92.0,26.0,65.0
0500107,65,19,43,43.0,10.0,32.0,44.0,12.0,32.0
0500108,135,15,118,83.0,7.0,72.0,82.0,12.0,67.0
0500109,112,23,86,59.0,9.0,48.0,58.0,12.0,46.0
05001010,338,63,265,423.0,65.0,327.0,418.0,90.0,321.0
05001011,139,52,84,158.9,27.6,120.4,157.9,43.4,109.6
05001012,19,6,13,15.0,2.0,12.0,15.0,4.0,11.0
05001013,130,21,109,78.0,14.0,60.0,79.0,22.0,57.0
05001014,16,2,14,9.0,5.0,2.0,9.0,7.0,2.0
05001015,96,19,75,97.0,11.0,83.0,98.0,22.0,75.0
05001016,52,21,29,38.0,14.3,22.8,36.1,19.0,17.1
05001017,147,29,111,93.0,15.0,72.0,91.0,24.0,66.0
05001018,336,250,77,218.0,133.0,64.0,215.0,138.0,70.0
05001020,304,106,183,317.0,73.0,224.0,308.0,100.0,199.0
05001021,380,88,287,390.0,82.0,280.0,388.0,114.0,270.0
05001022,736,608,109,657.5,452.1,138.7,641.7,449.4,176.4
05001026,921,271,629,1060.4,355.1,642.6,1062.3,409.1,629.0
05001029,1184,383,779,1141.1,363.5,706.3,1128.2,427.1,674.0
05001032,157,125,32,81.0,43.0,19.0,79.0,53.0,24.0
05001033,52,23,29,22.0,7.0,9.0,22.0,10.0,11.0
05001034,130,42,84,81.0,21.0,54.0,80.0,26.0,52.0
05001035,145,47,94,116.0,20.0,88.0,115.0,31.0,82.0
05001036,118,38,76,59.0,28.0,22.0,59.0,30.0,29.0
05001037,168,37,122,112.0,8.0,96.0,112.0,25.0,85.0
05001038,175,50,118,83.1,10.4,69.6,82.1,14.6,66.4
0500301,381,67,295,420.0,55.0,351.0,415.0,68.0,332.0
0500302,73,43,25,57.0,29.0,27.0,56.0,25.0,30.0
0500303,207,55,136,224.0,49.0,166.0,207.0,43.0,159.0
0500304,63,8,54,32.6,8.1,22.7,29.7,8.1,18.6
0500305,14,6,8,10.0,2.5,7.0,9.1,2.5,5.7
0500306,177,147,28,127.4,87.9,34.9,112.4,71.8,35.5
0500307,0,0,0,2.0,0.5,1.4,1.9,0.5,1.2
0500308,220,112,105,175.0,89.0,76.0,167.0,88.0,76.0
0500309,59,26,29,39.0,13.0,24.0,37.0,14.0,23.0
05003010,140,104,25,106.0,77.0,23.0,95.0,65.0,24.0
05003011,21,8,13,7.0,4.0,3.0,6.0,2.0,4.0
05003012,336,242,82,213.2,147.8,52.3,179.0,114.9,56.9
