GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
0400102,457,420,0,26,1,8,2,0,0,6,5,0,394,366,0,22,1,3,2,0,0,4,2,0,389.3,326.8,3.9,58.6,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0
0400103,5138,46,1,81,4969,38,3,0,7,5079,3,2,3264,43,1,34,3168,15,3,0,4,3212,3,0,5408.4,58.5,4.6,39.2,5241.0,65.2,0.0,0.0,4.6,5269.5,61.6,25.8
0400105,2955,228,11,79,2568,58,11,0,25,2659,28,1,1888,195,11,40,1613,20,9,0,19,1649,14,0,3365.9,172.3,38.2,12.6,3092.4,50.4,0.0,0.0,38.2,3136.6,6.2,0.0
0400109,2758,2297,15,282,90,59,11,4,29,149,31,11,2309,1984,13,188,70,41,9,4,22,117,17,7,2615.0,1883.2,41.4,288.8,169.6,117.1,115.0,0.0,161.7,286.6,115.0,0.0
0400110,896,4,2,2,878,9,1,0,10,886,1,0,624,4,1,1,614,3,1,0,3,618,1,0,1002.8,17.7,10.8,21.4,942.8,10.1,0.0,0.0,14.2,972.2,0.0,0.0
0400111,1669,6,0,20,1626,17,0,0,1,1661,1,1,1116,6,0,9,1097,4,0,0,1,1108,0,0,1697.2,6.4,0.0,9.0,1674.7,7.2,0.0,0.0,0.0,1681.8,0.2,0.6
0400112,1365,1089,2,199,36,32,6,1,9,71,10,1,947,767,1,134,28,11,5,1,4,40,8,1,1604.5,1007.5,9.4,356.0,213.2,9.6,8.8,0.0,15.5,222.8,8.8,0.0
0400113,1212,9,1,25,1165,12,0,0,7,1199,0,0,809,5,1,5,794,4,0,0,3,801,0,0,1226.3,0.0,0.0,0.0,1221.3,5.0,0.0,0.0,0.0,1226.3,0.0,0.0
0400116,1776,1432,7,250,40,43,4,0,26,72,7,5,1281,1082,7,141,25,23,3,0,15,41,5,5,1513.4,1365.0,0.5,138.5,9.4,0.0,0.0,0.0,0.5,9.4,0.0,0.0
0400117,2040,1507,15,416,63,38,1,0,29,118,3,5,1390,1067,11,252,42,18,0,0,18,74,2,5,1852.5,1159.0,113.9,417.9,145.8,15.9,0.0,0.0,113.9,162.3,0.4,0.0
0400119,4829,234,11,116,4298,109,57,4,43,4491,61,4,3271,201,9,49,2916,44,49,3,20,2989,50,3,5263.5,187.2,144.0,53.0,4744.4,110.9,24.0,0.0,145.9,4872.3,32.0,29.5
0400122,1120,51,3,30,1002,23,11,0,8,1046,13,1,755,49,3,10,674,12,7,0,5,691,8,0,1062.9,28.4,5.7,4.7,972.6,21.8,29.7,0.0,18.6,990.5,29.7,0.0
0400123,1283,40,0,19,1216,8,0,0,7,1234,0,0,826,37,0,14,773,2,0,0,2,781,0,0,1327.6,17.4,0.1,6.4,1270.0,33.6,0.0,0.0,16.9,1299.4,0.0,0.0
0400125,168,136,0,25,3,1,3,0,0,7,3,1,155,129,0,19,3,1,3,0,0,4,3,1,153.1,128.6,1.5,23.1,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
0400127,1463,22,0,27,1382,31,1,0,5,1434,4,1,1016,19,0,18,964,14,1,0,0,991,2,0,1325.9,13.1,13.9,37.2,1237.2,24.1,0.2,0.0,33.9,1298.5,0.3,0.0
0400129,1706,12,2,21,1629,42,0,0,8,1685,3,3,1124,11,2,9,1094,8,0,0,2,1109,1,1,1896.9,8.0,0.3,36.7,1794.7,51.9,1.3,4.0,4.4,1852.1,1.3,23.0
0400131,999,4,0,11,970,10,4,0,1,991,9,2,708,4,0,2,697,2,3,0,1,701,3,0,896.0,8.2,2.1,6.7,875.7,3.1,0.1,0.0,2.1,883.5,0.1,0.0
0400133,2148,6,0,40,2086,16,0,0,7,2140,0,0,1406,6,0,18,1378,4,0,0,1,1398,0,0,1932.3,4.8,0.3,0.9,1926.0,0.1,0.1,0.0,0.3,1926.3,0.1,0.0
0400135,877,13,1,27,813,23,0,0,9,854,0,0,620,13,1,12,582,12,0,0,2,601,0,0,881.3,5.0,0.1,7.1,836.3,32.7,0.1,0.0,5.7,876.1,1.9,0.0
0400137,555,43,2,78,420,12,0,0,6,487,0,0,299,26,2,44,219,8,0,0,3,254,0,0,443.7,277.0,0.0,15.6,147.4,1.2,0.0,2.4,0.7,151.8,0.0,2.4
0400139,2665,77,3,36,2513,33,2,1,11,2575,3,2,1672,72,3,15,1569,10,2,1,4,1588,2,2,2372.1,61.0,2.0,19.2,2289.5,0.5,0.0,0.0,2.0,2304.8,0.2,0.2
0400141,385,3,0,2,377,3,0,0,0,381,1,0,267,3,0,2,260,2,0,0,0,263,1,0,310.0,3.4,1.1,1.5,299.0,1.7,3.4,0.0,1.1,299.5,5.1,1.7
