GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
120010001,1552,915,556,42,1,32,6,0,582,10,8,0,1229,764,418,30,1,11,5,0,431,6,6,0,1623.0,1002.7,464.3,101.4,11.1,33.4,10.0,0.0,497.7,65.1,64.0,66.0
120010002,1489,1181,181,80,7,24,16,0,203,12,27,0,1145,930,136,54,4,6,15,0,145,8,19,0,1858.5,1290.0,325.5,86.6,0.0,96.1,60.3,0.0,394.7,0.0,76.7,0.0
120010003,932,804,67,36,6,10,8,1,77,9,8,1,756,647,59,28,6,8,7,1,67,9,7,1,1054.3,879.4,43.2,84.1,0.0,9.0,38.5,0.0,48.3,1.6,42.3,0.0
120010004,1226,993,155,36,8,30,4,0,167,27,8,0,984,803,130,22,5,23,1,0,136,23,3,0,850.5,664.1,164.3,14.1,1.3,6.6,0.0,0.0,170.4,2.2,0.3,0.0
120010005,841,767,21,35,1,17,0,0,31,13,0,0,730,671,19,28,1,11,0,0,25,11,0,0,592.0,470.7,52.3,61.4,0.6,7.1,0.0,0.0,59.4,1.0,0.4,0.0
120010006,1559,1357,101,55,7,29,10,0,116,19,11,0,1330,1189,72,40,7,14,8,0,76,15,9,0,2237.2,2100.8,40.7,0.5,0.0,4.7,90.5,0.0,41.2,4.2,90.5,0.0
120010007,4132,2261,1439,268,11,93,56,4,1502,42,77,11,3087,1812,994,175,11,44,47,4,1022,28,54,10,3850.9,1980.9,1377.6,425.7,25.8,24.2,16.8,0.0,1449.0,33.0,16.8,0.0
120010008,5348,4043,659,414,21,123,82,6,717,77,114,8,4045,3157,454,287,14,62,67,4,473,55,85,6,5931.3,4316.7,996.3,459.3,116.9,5.6,36.4,0.0,1001.8,123.6,36.5,0.0
120010009,3262,2718,196,202,11,37,98,0,216,23,113,2,2625,2260,130,142,8,13,72,0,137,17,74,1,3298.7,2263.3,726.4,177.9,5.0,100.5,25.6,0.0,821.6,11.3,25.9,0.0
120010010,4775,3088,1140,344,12,79,111,1,1185,37,127,4,3663,2468,852,215,11,33,83,1,860,33,93,3,5221.6,3522.5,876.0,346.1,7.0,128.3,341.7,0.0,924.9,25.2,405.6,3.0
120010011,3137,2575,211,190,11,69,80,1,248,26,97,3,2421,2019,169,140,7,28,57,1,181,16,65,2,3663.9,3240.2,170.6,71.0,0.0,110.0,72.0,0.0,280.6,0.0,72.0,0.0
120010012,1104,866,126,65,1,18,28,0,137,6,39,1,925,743,99,46,1,10,26,0,106,6,31,1,1228.9,843.2,280.4,66.6,4.2,13.6,20.9,0.0,287.1,4.7,25.6,0.0
120010013,3958,902,2867,83,12,81,13,0,2934,51,22,0,2924,769,2029,51,11,52,12,0,2059,45,16,0,3966.1,1132.9,2679.9,100.7,0.1,52.5,0.0,0.0,2681.7,10.0,17.8,0.0
120010014,1154,979,55,58,5,13,44,0,59,6,51,2,902,779,41,37,4,8,33,0,42,5,37,1,1275.6,983.7,130.9,33.9,0.0,38.6,88.5,0.0,158.7,0.0,95.1,0.0
120010015,2747,1950,269,302,3,60,163,0,315,23,184,1,2055,1517,182,214,3,19,120,0,195,12,130,1,2993.7,2120.8,176.6,242.8,11.9,53.5,387.9,0.0,200.6,11.9,413.8,0.0
120010016,4612,3414,247,426,4,87,431,3,278,32,472,3,3346,2555,166,277,2,41,304,1,182,21,322,1,5038.0,3695.9,75.1,251.4,27.1,185.8,802.7,0.0,237.2,27.1,988.5,0.0
120010017,3757,2672,317,377,8,80,303,0,386,30,340,6,2839,2097,221,257,4,36,224,0,244,16,244,4,4549.0,2794.0,350.0,721.0,0.0,173.0,511.0,0.0,350.0,0.0,640.0,0.0
120010018,3741,2946,112,227,1,75,379,1,128,9,432,1,2720,2185,73,161,1,28,271,1,81,3,289,1,3844.9,2959.2,67.0,385.7,19.4,33.9,373.6,6.0,72.6,28.7,397.6,25.0
120010019,3148,1012,1637,271,18,149,61,0,1809,46,70,10,2156,864,999,186,10,47,50,0,1056,30,56,8,2843.6,886.9,1608.8,278.1,3.0,38.8,28.0,0.0,1649.9,3.0,28.0,0.0
120010020,3527,2729,163,189,2,83,359,2,182,13,406,3,2586,2038,119,133,1,35,258,2,128,9,274,2,3549.4,2483.8,165.4,222.5,0.0,82.0,595.8,0.0,165.4,4.0,667.8,0.0
120010021,2946,2562,52,170,4,40,117,1,63,6,142,2,2430,2129,35,141,4,17,103,1,38,5,117,2,3375.1,2671.8,0.0,326.3,11.6,25.1,340.4,0.0,9.4,27.3,340.4,0.0
120010022,3461,2507,247,282,4,94,327,0,286,19,396,5,2643,1968,192,207,3,47,226,0,210,14,261,2,4773.6,2541.2,1204.6,394.5,0.0,42.0,591.2,0.0,1204.6,0.0,633.2,0.0
120010023,1058,603,165,100,1,24,164,1,190,2,174,4,894,528,135,78,1,20,131,1,154,2,140,3,1484.7,723.9,539.9,76.2,2.5,63.2,79.0,0.0,590.2,5.2,110.4,7.4
120010024,4463,2358,1121,528,8,127,311,10,1219,55,347,15,3452,2048,730,377,8,69,211,9,771,46,237,12,5353.3,2273.1,1758.1,846.8,28.5,114.8,327.0,5.0,1843.8,56.8,400.6,21.6
120010025,2189,1845,127,129,2,39,47,0,151,10,69,0,1981,1694,113,108,2,26,38,0,126,10,56,0,2035.6,1600.3,214.6,129.3,24.1,36.2,27.0,4.0,226.5,52.9,27.1,4.0
120010026,3522,1563,486,446,12,112,902,1,558,32,956,7,3375,1499,456,430,11,102,876,1,520,30,927,7,3488.0,1444.0,539.0,506.0,27.0,106.0,857.0,9.0,635.0,39.0,898.0,9.0
120010027,3021,1570,745,288,4,98,312,4,805,19,361,9,2725,1475,600,264,3,77,302,4,640,18,344,9,3007.4,1866.0,244.7,450.0,7.0,28.9,407.3,3.5,257.8,16.0,422.1,3.5
120010028,5639,2992,1162,898,9,188,386,4,1297,46,464,10,5110,2869,932,797,9,143,358,2,1014,37,429,8,5899.0,2854.0,1346.0,953.0,56.0,137.0,553.0,0.0,1570.0,181.0,561.0,0.0
120010029,8160,4906,961,1303,9,236,741,4,1102,38,909,12,8055,4869,939,1289,8,229,717,4,1072,34,882,11,10347.9,6211.9,1020.4,1626.4,12.5,404.3,1066.3,6.3,1115.0,83.6,1355.6,29.1
120010030,4677,2402,709,484,14,127,934,7,794,48,996,21,4247,2270,577,416,10,92,878,4,626,37,932,12,4189.0,2167.0,622.0,643.0,39.0,185.0,533.0,0.0,757.0,118.0,586.0,11.0
120010031,5470,3688,657,594,8,133,388,2,718,31,466,12,5253,3638,547,576,8,122,360,2,593,30,433,12,5394.3,3777.7,392.2,541.1,0.0,138.2,545.1,0.0,467.7,7.1,640.9,3.0
120010032,4645,1546,2781,191,11,102,12,2,2905,42,36,2,3673,1417,2036,146,9,52,11,2,2096,30,28,2,4734.4,1434.4,2949.0,106.2,2.8,242.0,0.0,0.0,3153.5,111.2,22.0,0.0
120010033,4228,2734,618,340,10,102,423,1,688,38,472,5,3031,2064,402,211,7,41,305,1,426,24,329,3,4546.0,3385.0,366.3,360.2,3.8,74.7,355.9,0.0,396.0,17.1,393.5,0.0
120010034,1407,1291,45,37,10,17,7,0,53,16,11,0,1267,1181,34,31,8,7,6,0,35,13,9,0,1200.0,1053.3,83.1,26.0,3.7,1.0,32.8,0.0,95.7,3.7,32.8,0.0
120010035,1362,1083,201,27,5,43,3,0,226,26,8,0,1104,899,155,17,5,25,3,0,170,18,7,0,1450.1,950.2,306.6,39.2,13.6,7.1,133.3,0.0,310.4,17.0,133.3,0.0
120010036,2600,1221,1046,166,8,78,79,2,1095,21,111,5,2241,1126,838,146,7,47,75,2,860,19,101,5,3041.8,1241.8,1261.8,332.8,0.0,63.5,141.8,0.0,1282.3,5.8,197.9,0.0
120010037,7037,1024,5624,217,9,124,39,0,5786,53,55,6,5185,932,4026,140,5,53,29,0,4098,28,36,1,8232.4,1528.9,6120.1,256.2,6.2,321.0,0.0,0.0,6482.1,61.0,2.3,0.0
120010038,4181,3396,159,233,5,103,285,0,179,20,345,4,3323,2779,118,158,3,55,210,0,132,13,241,1,5201.4,3886.5,342.9,323.2,9.8,95.1,544.0,0.0,378.6,13.9,611.3,5.0
120010039,4928,3532,448,432,6,126,383,1,526,44,457,7,4087,3032,346,318,4,84,302,1,378,31,354,7,5581.0,3717.5,478.2,739.7,35.3,195.4,414.9,0.0,645.2,48.4,531.3,0.0
120010040,4718,3420,368,520,10,112,284,4,428,44,341,14,4233,3152,282,459,9,84,244,3,314,36,291,11,4822.0,3401.0,420.5,577.2,25.5,135.9,258.9,3.0,476.5,45.1,355.2,18.1
120010041,3457,2191,795,299,12,68,88,4,866,19,106,7,2857,1954,533,233,9,41,83,4,564,15,97,7,3448.4,2241.8,812.3,289.5,0.0,33.3,71.4,0.0,892.3,0.0,89.5,0.0
120010042,2774,2228,196,181,1,62,102,4,217,13,131,7,2293,1875,143,149,1,32,89,4,154,10,104,6,3490.0,2636.0,85.0,496.0,0.0,189.0,76.0,8.0,234.0,55.0,131.0,65.0
120010043,3589,3107,139,187,5,53,95,3,163,25,113,3,3072,2697,101,149,5,36,81,3,117,20,93,3,3621.0,3019.0,62.0,472.0,0.0,40.0,28.0,0.0,102.0,0.0,28.0,0.0
