GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120860002,1160.2,568.9,564.3,1114.2,463.6,616.5,0,0,0
120860001,480.8,194.1,275.7,475.8,132.4,335.5,0,0,0
120860015,36.0,16.0,20.0,36.0,6.0,30.0,0,0,0
120860014,2612.0,1495.0,1052.0,2562.0,1274.0,1221.0,0,0,0
120860601,1625.0,1124.0,440.6,1599.0,853.1,698.0,0,0,0
120860061,1834.0,1096.0,679.0,1823.0,947.0,845.0,0,0,0
120860062,60.6,35.1,24.2,59.9,28.1,30.8,0,0,0
120860065,433.4,251.2,173.1,428.2,200.5,220.2,0,0,0
120860069,382.8,221.8,152.9,378.2,177.1,194.5,0,0,0
120860070,85.9,49.8,34.3,84.9,39.8,43.7,0,0,0
120860068,183.0,106.0,73.1,180.8,84.6,92.9,0,0,0
120860071,193.5,112.1,77.3,191.2,89.5,98.3,0,0,0
120860063,315.3,182.7,125.9,311.5,145.9,160.2,0,0,0
120860066,229.9,133.2,91.8,227.1,106.3,116.8,0,0,0
120860072,351.2,203.5,140.3,347.0,162.5,178.4,0,0,0
120860067,304.8,176.6,121.7,301.1,141.0,154.8,0,0,0
120860064,213.6,123.8,85.3,211.0,98.8,108.5,0,0,0
120860221,945.3,569.0,355.7,922.8,486.5,416.2,0,0,0
120860073,997.8,637.8,333.2,965.8,550.8,387.3,0,0,0
120860076,218.3,139.5,72.9,211.3,120.5,84.7,0,0,0
120860077,311.2,198.9,103.9,301.2,171.8,120.8,0,0,0
120860078,156.3,99.9,52.2,151.2,86.3,60.6,0,0,0
120860075,86.4,55.2,28.8,83.6,47.7,33.5,0,0,0
120860080,268.2,171.5,89.6,259.6,148.1,104.1,0,0,0
120860074,176.2,112.6,58.8,170.6,97.3,68.4,0,0,0
120860079,91.6,58.5,30.6,88.6,50.6,35.5,0,0,0
120860081,1220.5,847.1,340.9,1192.4,770.3,392.7,0,0,0
120860082,50.5,39.9,8.1,45.6,27.7,16.3,0,0,0
120860083,1149.0,749.0,369.0,1129.0,636.0,475.0,0,0,0
120860084,259.7,175.2,74.1,252.0,148.7,96.4,0,0,0
120860087,129.6,87.4,37.0,125.7,74.2,48.1,0,0,0
120860085,481.7,325.1,137.4,467.5,275.8,178.8,0,0,0
120860086,107.0,72.2,30.5,103.8,61.3,39.7,0,0,0
120860089,251.0,170.8,71.1,245.3,150.1,87.9,0,0,0
120860090,259.8,176.8,73.6,253.9,155.4,91.0,0,0,0
120860088,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860091,146.2,99.5,41.4,142.9,87.5,51.2,0,0,0
120860094,341.9,253.5,81.0,333.5,229.3,95.3,0,0,0
120860095,642.1,476.2,152.2,626.5,430.6,179.0,0,0,0
120860092,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860096,357.0,264.7,84.6,348.3,239.4,99.5,0,0,0
120860093,338.0,250.6,80.1,329.7,226.7,94.2,0,0,0
120860097,1221.8,765.9,428.2,1193.5,660.3,512.6,0,0,0
120860104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860099,48.3,31.1,16.1,47.1,26.8,19.5,0,0,0
120860106,200.8,129.2,66.8,196.0,111.4,81.2,0,0,0
120860103,63.6,40.9,21.1,62.1,35.3,25.7,0,0,0
120860102,1140.5,608.2,515.6,1120.1,526.1,576.7,0,0,0
120860105,17.2,11.1,5.7,16.8,9.5,7.0,0,0,0
120860098,322.8,207.6,107.3,315.0,179.0,130.5,0,0,0
120860016,1441.0,981.0,411.0,1406.0,836.0,504.0,0,0,0
120860116,25.6,17.0,8.0,24.7,14.7,9.4,0,0,0
120860110,86.0,57.1,26.9,83.1,49.5,31.7,0,0,0
120860111,740.8,491.8,231.9,715.4,426.1,272.8,0,0,0
120860108,976.0,644.6,308.9,943.2,558.0,363.7,0,0,0
120860109,1.9,1.2,0.6,1.8,1.1,0.7,0,0,0
120860115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860113,266.9,177.2,83.5,257.7,153.5,98.3,0,0,0
120860117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860114,328.6,218.2,102.9,317.4,189.0,121.0,0,0,0
120860118,21.2,14.1,6.6,20.5,12.2,7.8,0,0,0
120860120,391.0,265.0,123.0,383.0,246.0,131.0,0,0,0
120860119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860121,0.6,0.4,0.2,0.6,0.3,0.2,0,0,0
120860122,834.4,546.6,274.8,813.4,490.6,296.8,0,0,0
120860101,12.3,6.6,5.6,12.1,5.7,6.2,0,0,0
120860100,186.7,99.4,84.5,183.3,86.0,94.5,0,0,0
120860123,2305.0,1729.0,505.0,2236.0,1555.0,613.0,0,0,0
120860124,716.9,347.7,348.3,701.8,309.9,383.8,0,0,0
120860139,1861.0,1679.0,150.0,1825.0,1574.0,210.0,0,0,0
120860125,1886.4,1644.4,196.8,1859.3,1543.9,261.9,0,0,0
120860379,0.5,0.5,0.0,0.5,0.5,0.0,0,0,0
120860203,45.6,38.6,6.2,45.7,37.1,7.1,0,0,0
120860126,750.0,538.0,200.0,733.0,506.0,212.0,0,0,0
120860127,1427.0,843.0,554.0,1398.0,761.0,613.0,0,0,0
120860128,479.0,267.0,204.0,466.0,229.0,229.0,0,0,0
120860129,803.0,651.0,138.0,783.0,570.0,188.0,0,0,0
120860136,1310.0,1176.0,108.0,1289.0,1094.0,159.0,0,0,0
120860130,1778.1,1384.1,350.6,1729.1,1251.6,424.2,0,0,0
120860107,281.8,219.3,55.6,274.0,198.3,67.2,0,0,0
120860131,74.1,57.7,14.6,72.0,52.1,17.7,0,0,0
120860145,75.2,58.5,14.8,73.1,52.9,17.9,0,0,0
120860134,6.4,4.8,1.5,6.2,4.4,1.6,0,0,0
120860135,637.6,486.9,139.7,619.8,444.7,156.6,0,0,0
120860132,2342.0,1385.0,891.0,2279.0,1205.0,1011.0,0,0,0
120860160,1963.3,1240.8,666.1,1925.4,1147.5,730.8,0,0,0
120860133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860137,2319.0,2067.0,199.0,2287.0,1955.0,278.0,0,0,0
120860138,1555.0,1378.0,133.0,1523.0,1310.0,173.0,0,0,0
120860152,1334.9,1203.7,106.7,1317.0,1139.4,148.5,0,0,0
120860298,3003.0,2717.0,229.0,2945.0,2567.0,310.0,0,0,0
120860017,1707.0,1158.0,475.0,1676.0,1017.0,602.0,0,0,0
120861445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860140,2787.7,2414.6,320.3,2729.4,2248.7,422.2,0,0,0
120860141,77.8,67.7,8.6,76.2,63.3,11.2,0,0,0
120860142,1776.3,1461.1,263.5,1744.6,1399.7,298.9,0,0,0
120860150,1075.5,959.8,93.9,1061.2,900.3,131.6,0,0,0
120860143,77.7,63.9,11.5,76.4,61.3,13.1,0,0,0
120860297,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860146,3415.2,3069.7,275.7,3325.4,2859.9,394.3,0,0,0
120860144,919.8,787.4,110.8,898.2,734.4,140.5,0,0,0
120860299,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860226,20.9,17.9,2.5,20.4,16.7,3.2,0,0,0
120860147,2087.0,1832.0,215.0,2034.0,1716.0,274.0,0,0,0
120860148,92.4,80.7,10.6,89.5,76.0,11.2,0,0,0
120860149,159.7,138.9,18.8,154.5,131.1,19.5,0,0,0
120860173,1268.3,1077.7,164.9,1247.5,992.7,221.2,0,0,0
120860206,207.5,185.2,18.1,204.8,173.7,25.4,0,0,0
120860151,865.9,788.4,64.5,852.9,728.8,95.3,0,0,0
120860018,1594.3,1126.5,415.7,1543.7,976.2,509.1,0,0,0
120861446,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
120860023,1388.0,928.0,424.1,1354.6,783.5,530.0,0,0,0
120860229,657.9,593.2,52.6,649.0,561.5,73.2,0,0,0
120860230,21.2,19.1,1.7,21.0,18.1,2.4,0,0,0
120860153,1226.2,1116.4,90.6,1203.3,1059.7,127.2,0,0,0
120860209,81.0,73.7,6.0,79.5,70.0,8.4,0,0,0
120860210,32.8,29.9,2.4,32.2,28.4,3.4,0,0,0
120860154,2369.9,2040.5,272.3,2325.8,1866.2,406.5,0,0,0
120860158,619.6,524.6,81.7,606.1,492.1,100.3,0,0,0
120860155,1630.9,1381.0,214.8,1595.1,1295.3,264.0,0,0,0
120860156,1.0,0.8,0.1,1.0,0.8,0.2,0,0,0
120860157,74.0,62.6,9.7,72.3,58.8,12.0,0,0,0
120860175,2040.0,1805.7,200.0,2000.3,1669.4,281.8,0,0,0
120860159,439.0,416.0,20.0,426.0,385.0,35.0,0,0,0
