GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
130012,1054,699,352,862.8,473.8,366.1,964.9,605.1,351.5
130011A,218,46,170,161.7,11.6,145.8,168.6,10.3,157.5
130011B,734,128,603,705.3,78.2,613.7,758.4,88.8,661.0
130011C,490,48,432,403.8,35.4,358.2,427.5,33.1,390.5
130011D,95,12,82,165.2,18.4,142.6,175.7,20.3,153.9
130013A,228,24,201,203.0,6.0,194.0,217.0,4.0,209.0
130013B,331,198,131,186.0,89.0,93.0,200.0,98.0,101.0
130013C,767,267,493,978.2,221.2,729.9,1052.1,290.9,745.5
130014A,342,40,297,262.0,10.0,244.0,276.0,14.0,261.0
130014B,365,8,355,297.0,3.0,291.0,312.0,7.0,305.0
130014C,304,12,292,276.0,12.0,259.0,296.0,10.0,284.0
130014D,576,90,484,667.0,79.0,574.0,717.0,83.0,624.0
130015A,573,94,474,564.0,54.0,492.0,610.0,68.0,530.0
130015B,279,42,232,254.6,39.9,208.2,273.6,51.7,219.9
130015C,297,42,252,257.0,31.0,223.0,276.0,24.0,247.0
130011A1,247,30,207,189.0,12.2,171.6,196.0,9.9,185.5
130015B1,96,66,28,78.3,12.3,64.0,84.2,15.9,67.7
130030001,767,112,650,899.0,117.0,758.0,992.0,136.0,850.0
130030002,598,98,498,366.0,34.0,321.0,408.0,29.0,375.0
130030003,1123,462,650,687.0,226.0,445.0,762.0,257.0,489.0
130030004,414,266,143,387.0,219.0,154.0,448.0,275.0,164.0
13005NEWL,787,107,672,707.0,47.0,646.0,759.0,58.0,696.0
13005WARE,408,37,371,327.0,26.0,292.0,355.0,25.0,328.0
13005DOUGL,1714,572,1125,1832.0,356.1,1427.8,2083.1,477.1,1579.0
13005TAYLO,700,56,642,507.1,30.9,457.2,561.9,29.9,520.0
13005WARNO,328,45,279,242.0,14.0,223.0,260.0,18.0,241.0
13007A,193,74,117,91.0,17.0,71.0,105.0,32.0,73.0
13007E,278,125,153,232.0,107.0,119.0,261.0,133.0,124.0
13007H,263,154,102,183.0,88.0,93.0,200.0,105.0,92.0
13007M,260,117,143,196.0,64.0,130.0,209.0,74.0,133.0
13007N,693,376,313,621.0,255.0,350.0,665.0,306.0,353.0
13009318,2017,532,1468,2183.0,510.0,1617.0,2289.0,615.0,1624.0
13009319,1201,589,604,1107.0,453.0,619.0,1178.0,539.0,608.0
13009322,1221,373,839,893.0,243.0,627.0,972.0,273.0,682.0
130091714,871,322,545,577.0,201.0,357.0,613.0,219.0,386.0
