GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19001001001,448,190,251,0,0,0,0,0,0,0,0,0,0,0,0
19001001002,118,50,66,0,0,0,0,0,0,0,0,0,0,0,0
19001001003,98,42,55,0,0,0,0,0,0,0,0,0,0,0,0
19001001004,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
19001001005,99,47,50,0,0,0,0,0,0,0,0,0,0,0,0
19001001006,128,61,65,0,0,0,0,0,0,0,0,0,0,0,0
19001001007,394,189,199,0,0,0,0,0,0,0,0,0,0,0,0
19001001008,100,48,50,0,0,0,0,0,0,0,0,0,0,0,0
19001001009,91,44,46,0,0,0,0,0,0,0,0,0,0,0,0
19001001010,104,44,58,0,0,0,0,0,0,0,0,0,0,0,0
19001001011,52,22,29,0,0,0,0,0,0,0,0,0,0,0,0
19001001012,81,36,44,0,0,0,0,0,0,0,0,0,0,0,0
19001001013,88,38,48,0,0,0,0,0,0,0,0,0,0,0,0
19001001014,469,206,255,0,0,0,0,0,0,0,0,0,0,0,0
19001001015,142,75,65,0,0,0,0,0,0,0,0,0,0,0,0
19001001016,50,26,23,0,0,0,0,0,0,0,0,0,0,0,0
19001001017,854,431,405,0,0,0,0,0,0,0,0,0,0,0,0
19001001018,91,48,42,0,0,0,0,0,0,0,0,0,0,0,0
19001001019,108,57,49,0,0,0,0,0,0,0,0,0,0,0,0
19001001020,378,200,173,0,0,0,0,0,0,0,0,0,0,0,0
19001001021,85,37,46,0,0,0,0,0,0,0,0,0,0,0,0
19001001022,70,31,38,0,0,0,0,0,0,0,0,0,0,0,0
19003003001,48,25,22,0,0,0,0,0,0,0,0,0,0,0,0
19003003002,78,42,35,0,0,0,0,0,0,0,0,0,0,0,0
19003003003,89,47,40,0,0,0,0,0,0,0,0,0,0,0,0
19003003004,108,52,53,0,0,0,0,0,0,0,0,0,0,0,0
19003003005,83,40,41,0,0,0,0,0,0,0,0,0,0,0,0
19003003006,232,124,103,0,0,0,0,0,0,0,0,0,0,0,0
19003003007,91,52,38,0,0,0,0,0,0,0,0,0,0,0,0
19003003008,863,441,407,0,0,0,0,0,0,0,0,0,0,0,0
19003003009,73,39,33,0,0,0,0,0,0,0,0,0,0,0,0
19003003010,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0
19003003011,154,58,94,0,0,0,0,0,0,0,0,0,0,0,0
19003003012,139,79,58,0,0,0,0,0,0,0,0,0,0,0,0
19003003013,92,44,45,0,0,0,0,0,0,0,0,0,0,0,0
19003003014,124,59,61,0,0,0,0,0,0,0,0,0,0,0,0
19003003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19005005001,150,105,41,0,0,0,0,0,0,0,0,0,0,0,0
19005005002,121,54,64,0,0,0,0,0,0,0,0,0,0,0,0
19005005003,391,174,207,0,0,0,0,0,0,0,0,0,0,0,0
19005005004,803,498,294,0,0,0,0,0,0,0,0,0,0,0,0
19005005005,115,60,53,0,0,0,0,0,0,0,0,0,0,0,0
19005005006,102,72,28,0,0,0,0,0,0,0,0,0,0,0,0
19005005007,255,133,118,0,0,0,0,0,0,0,0,0,0,0,0
19005005008,291,151,135,0,0,0,0,0,0,0,0,0,0,0,0
19005005009,175,109,64,0,0,0,0,0,0,0,0,0,0,0,0
19005005010,250,155,92,0,0,0,0,0,0,0,0,0,0,0,0
19005005011,348,226,117,0,0,0,0,0,0,0,0,0,0,0,0
19005005012,256,120,130,0,0,0,0,0,0,0,0,0,0,0,0
19005005013,288,150,134,0,0,0,0,0,0,0,0,0,0,0,0
19005005014,284,148,132,0,0,0,0,0,0,0,0,0,0,0,0
19005005015,2047,1225,782,0,0,0,0,0,0,0,0,0,0,0,0
19005005016,144,68,74,0,0,0,0,0,0,0,0,0,0,0,0
19005005017,573,280,282,0,0,0,0,0,0,0,0,0,0,0,0
19005005018,191,90,99,0,0,0,0,0,0,0,0,0,0,0,0
19005005019,152,71,77,0,0,0,0,0,0,0,0,0,0,0,0
19005005020,126,82,42,0,0,0,0,0,0,0,0,0,0,0,0
19007007001,136,63,71,0,0,0,0,0,0,0,0,0,0,0,0
19007007002,96,44,50,0,0,0,0,0,0,0,0,0,0,0,0
19007007003,113,52,59,0,0,0,0,0,0,0,0,0,0,0,0
19007007004,337,155,176,0,0,0,0,0,0,0,0,0,0,0,0
19007007005,97,31,62,0,0,0,0,0,0,0,0,0,0,0,0
19007007006,187,79,107,0,0,0,0,0,0,0,0,0,0,0,0
19007007007,84,35,48,0,0,0,0,0,0,0,0,0,0,0,0
19007007008,238,128,105,0,0,0,0,0,0,0,0,0,0,0,0
19007007009,145,67,76,0,0,0,0,0,0,0,0,0,0,0,0
19007007010,82,34,47,0,0,0,0,0,0,0,0,0,0,0,0
19007007011,239,98,137,0,0,0,0,0,0,0,0,0,0,0,0
19007007012,49,20,28,0,0,0,0,0,0,0,0,0,0,0,0
19007007013,212,115,93,0,0,0,0,0,0,0,0,0,0,0,0
19007007014,2987,1509,1419,0,0,0,0,0,0,0,0,0,0,0,0
19007007015,98,41,55,0,0,0,0,0,0,0,0,0,0,0,0
19007007016,96,40,53,0,0,0,0,0,0,0,0,0,0,0,0
19007007017,88,37,48,0,0,0,0,0,0,0,0,0,0,0,0
19007007018,272,114,149,0,0,0,0,0,0,0,0,0,0,0,0
19007007019,229,110,116,0,0,0,0,0,0,0,0,0,0,0,0
19007007020,310,156,147,0,0,0,0,0,0,0,0,0,0,0,0
19007007021,84,42,40,0,0,0,0,0,0,0,0,0,0,0,0
19009009001,128,62,64,0,0,0,0,0,0,0,0,0,0,0,0
19009009002,38,19,19,0,0,0,0,0,0,0,0,0,0,0,0
19009009003,78,38,39,0,0,0,0,0,0,0,0,0,0,0,0
19009009004,84,41,42,0,0,0,0,0,0,0,0,0,0,0,0
19009009005,64,31,32,0,0,0,0,0,0,0,0,0,0,0,0
19009009006,68,38,29,0,0,0,0,0,0,0,0,0,0,0,0
19009009007,1437,674,737,0,0,0,0,0,0,0,0,0,0,0,0
19009009008,123,60,61,0,0,0,0,0,0,0,0,0,0,0,0
19009009009,347,186,151,0,0,0,0,0,0,0,0,0,0,0,0
19009009010,132,73,57,0,0,0,0,0,0,0,0,0,0,0,0
19009009011,78,43,34,0,0,0,0,0,0,0,0,0,0,0,0
19009009012,111,61,48,0,0,0,0,0,0,0,0,0,0,0,0
19009009013,610,338,263,0,0,0,0,0,0,0,0,0,0,0,0
19009009014,135,75,58,0,0,0,0,0,0,0,0,0,0,0,0
19011011001,173,65,105,0,0,0,0,0,0,0,0,0,0,0,0
19011011002,308,115,189,0,0,0,0,0,0,0,0,0,0,0,0
19011011003,195,79,112,0,0,0,0,0,0,0,0,0,0,0,0
19011011004,1189,694,483,0,0,0,0,0,0,0,0,0,0,0,0
19011011005,480,238,234,0,0,0,0,0,0,0,0,0,0,0,0
19011011006,3014,1572,1405,0,0,0,0,0,0,0,0,0,0,0,0
19011011007,333,160,168,0,0,0,0,0,0,0,0,0,0,0,0
19011011008,115,55,58,0,0,0,0,0,0,0,0,0,0,0,0
19011011009,109,52,55,0,0,0,0,0,0,0,0,0,0,0,0
19011011010,128,59,66,0,0,0,0,0,0,0,0,0,0,0,0
19011011011,135,55,77,0,0,0,0,0,0,0,0,0,0,0,0
19011011012,988,490,482,0,0,0,0,0,0,0,0,0,0,0,0
19011011013,1329,624,687,0,0,0,0,0,0,0,0,0,0,0,0
19011011014,693,367,310,0,0,0,0,0,0,0,0,0,0,0,0
19011011015,566,263,292,0,0,0,0,0,0,0,0,0,0,0,0
19011011016,487,250,227,0,0,0,0,0,0,0,0,0,0,0,0
19011011017,217,109,105,0,0,0,0,0,0,0,0,0,0,0,0
19011011018,1221,699,500,0,0,0,0,0,0,0,0,0,0,0,0
19011011019,557,279,269,0,0,0,0,0,0,0,0,0,0,0,0
19011011020,45,22,22,0,0,0,0,0,0,0,0,0,0,0,0
19011011021,249,140,105,0,0,0,0,0,0,0,0,0,0,0,0
19011011022,617,348,260,0,0,0,0,0,0,0,0,0,0,0,0
19011011023,569,323,236,0,0,0,0,0,0,0,0,0,0,0,0
19013013001,560,228,326,0,0,0,0,0,0,0,0,0,0,0,0
19013013002,346,169,166,0,0,0,0,0,0,0,0,0,0,0,0
19013013003,70,34,34,0,0,0,0,0,0,0,0,0,0,0,0
19013013004,622,295,313,0,0,0,0,0,0,0,0,0,0,0,0
19013013005,269,111,152,0,0,0,0,0,0,0,0,0,0,0,0
19013013006,361,183,175,0,0,0,0,0,0,0,0,0,0,0,0
19013013007,431,203,221,0,0,0,0,0,0,0,0,0,0,0,0
19013013008,261,123,134,0,0,0,0,0,0,0,0,0,0,0,0
19013013009,560,329,217,0,0,0,0,0,0,0,0,0,0,0,0
19013013010,661,375,275,0,0,0,0,0,0,0,0,0,0,0,0
19013013011,250,142,104,0,0,0,0,0,0,0,0,0,0,0,0
19013013012,48,27,20,0,0,0,0,0,0,0,0,0,0,0,0
19013013013,175,93,78,0,0,0,0,0,0,0,0,0,0,0,0
19013013014,1324,704,590,0,0,0,0,0,0,0,0,0,0,0,0
19013013015,926,541,372,0,0,0,0,0,0,0,0,0,0,0,0
19013013016,265,110,150,0,0,0,0,0,0,0,0,0,0,0,0
19013013017,243,100,138,0,0,0,0,0,0,0,0,0,0,0,0
19013013018,224,93,127,0,0,0,0,0,0,0,0,0,0,0,0
19013013019,238,109,125,0,0,0,0,0,0,0,0,0,0,0,0
19013013020,1380,632,725,0,0,0,0,0,0,0,0,0,0,0,0
19013013021,193,91,99,0,0,0,0,0,0,0,0,0,0,0,0
19013013022,1028,611,393,0,0,0,0,0,0,0,0,0,0,0,0
19013013023,1192,724,442,0,0,0,0,0,0,0,0,0,0,0,0
19013013024,1163,711,428,0,0,0,0,0,0,0,0,0,0,0,0
19013013025,1565,898,643,0,0,0,0,0,0,0,0,0,0,0,0
19013013026,1037,633,379,0,0,0,0,0,0,0,0,0,0,0,0
19013013027,1538,729,795,0,0,0,0,0,0,0,0,0,0,0,0
19013013028,1518,692,809,0,0,0,0,0,0,0,0,0,0,0,0
19013013029,1582,747,813,0,0,0,0,0,0,0,0,0,0,0,0
19013013030,1393,825,554,0,0,0,0,0,0,0,0,0,0,0,0
19013013031,893,587,285,0,0,0,0,0,0,0,0,0,0,0,0
19013013032,1129,746,361,0,0,0,0,0,0,0,0,0,0,0,0
19013013033,1306,882,401,0,0,0,0,0,0,0,0,0,0,0,0
19013013034,2042,1164,857,0,0,0,0,0,0,0,0,0,0,0,0
19013013035,868,521,329,0,0,0,0,0,0,0,0,0,0,0,0
19013013036,2082,1020,1044,0,0,0,0,0,0,0,0,0,0,0,0
19013013037,589,385,196,0,0,0,0,0,0,0,0,0,0,0,0
19013013038,2206,1469,707,0,0,0,0,0,0,0,0,0,0,0,0
19013013039,1327,754,558,0,0,0,0,0,0,0,0,0,0,0,0
19013013040,1273,766,494,0,0,0,0,0,0,0,0,0,0,0,0
19013013041,1085,762,304,0,0,0,0,0,0,0,0,0,0,0,0
19013013042,1212,719,475,0,0,0,0,0,0,0,0,0,0,0,0
19013013043,1137,652,466,0,0,0,0,0,0,0,0,0,0,0,0
19013013044,1581,711,856,0,0,0,0,0,0,0,0,0,0,0,0
19013013045,958,512,433,0,0,0,0,0,0,0,0,0,0,0,0
19013013046,789,538,238,0,0,0,0,0,0,0,0,0,0,0,0
19013013047,1218,771,434,0,0,0,0,0,0,0,0,0,0,0,0
19013013048,1397,869,505,0,0,0,0,0,0,0,0,0,0,0,0
19013013049,1301,763,519,0,0,0,0,0,0,0,0,0,0,0,0
19013013050,1298,639,651,0,0,0,0,0,0,0,0,0,0,0,0
