GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
160011,3754,3458,21,181,12,64,15,3,31,41,42,3,2443,2283,13,101,9,23,13,1,14,28,20,1,5174.9,4656.6,0.6,359.5,54.8,76.7,26.7,0.0,50.5,124.4,54.1,0.0
160012,1911,1811,10,49,7,23,10,1,13,16,26,1,1259,1214,2,25,4,9,5,0,4,9,9,0,1954.6,1759.2,0.0,60.6,0.0,49.2,85.6,0.0,15.2,0.0,119.4,0.0
160013,2466,2301,8,90,6,45,15,1,19,12,37,4,1513,1420,3,55,6,21,8,0,5,11,17,1,3188.3,2866.8,10.7,80.1,0.0,95.3,135.4,0.0,31.2,19.8,212.4,0.2
160014,1766,1656,2,59,2,24,20,3,4,13,33,3,1132,1071,0,32,2,12,12,3,0,9,18,3,1855.2,1735.4,0.0,67.1,0.0,11.9,40.9,0.0,8.9,6.6,40.9,0.0
160015,2027,1872,1,105,10,30,8,1,8,24,23,15,1530,1446,0,57,6,14,6,1,3,12,12,5,2715.9,2515.1,0.0,50.6,0.0,64.4,85.8,0.0,0.0,0.0,114.0,0.0
160016,3690,3351,7,170,22,96,36,8,34,76,70,15,2749,2544,5,105,16,45,28,6,15,50,39,8,4533.5,3991.4,39.2,338.6,26.0,89.0,49.2,0.0,103.2,43.0,70.2,0.0
160017,2804,2568,10,116,9,56,45,0,25,30,68,6,1975,1840,5,67,8,25,30,0,12,20,35,3,3404.9,2955.5,4.7,180.5,23.6,109.5,74.2,56.9,24.2,60.1,142.8,56.9
160018,1789,1642,13,85,4,30,13,2,23,14,26,5,1229,1153,5,44,4,16,6,1,8,11,13,2,3101.1,2739.4,0.3,154.6,0.2,125.2,81.4,0.0,4.2,35.7,125.3,50.4
160019,2926,2656,16,102,6,42,101,3,19,23,126,3,2050,1899,8,60,6,12,63,2,9,16,66,2,4455.3,4040.2,0.0,151.7,0.0,76.9,186.4,0.0,36.2,0.0,245.4,8.7
1600110,1127,1048,2,34,1,12,30,0,3,3,37,0,852,804,0,25,1,5,17,0,1,1,19,0,1344.5,1104.5,58.8,79.5,1.6,17.8,81.4,0.8,61.5,4.3,95.0,0.8
1600111,2830,2581,21,141,18,41,25,3,33,41,47,3,2255,2114,17,71,11,20,20,2,20,26,30,2,3040.2,2776.3,54.4,185.5,9.1,6.3,5.9,2.7,57.7,26.1,23.5,2.7
1600112,2168,1880,25,160,13,58,26,6,37,37,55,10,1586,1420,13,97,13,23,17,3,15,25,32,4,2335.2,2027.2,0.0,253.7,0.0,20.2,34.1,0.0,18.3,20.0,34.3,0.0
1600113,2548,2242,15,169,18,72,30,2,36,41,61,10,2003,1818,11,101,12,34,25,2,19,24,38,7,2500.0,2255.4,0.9,133.7,30.0,68.9,11.2,0.0,2.6,124.6,78.7,0.0
1600114,1061,1015,0,26,1,9,10,0,2,7,17,1,820,787,0,16,1,8,8,0,1,5,12,1,1148.0,1106.0,0.0,17.0,0.0,14.0,11.0,0.0,17.0,14.0,11.0,0.0
1600115,1475,1378,8,50,5,16,17,1,10,8,24,5,1200,1137,5,30,5,8,14,1,5,8,16,5,1331.5,1203.1,34.6,0.0,0.0,65.7,28.1,0.0,40.0,3.2,83.5,1.8
1600116,2669,2491,11,61,2,41,62,1,15,10,86,7,1947,1832,6,42,2,17,47,1,6,6,57,1,2636.4,2481.0,0.4,15.0,0.0,83.6,56.4,0.0,43.6,25.6,57.2,14.1
1600117,3922,3383,42,164,9,99,223,2,62,33,268,9,2584,2272,20,91,6,44,151,0,31,20,166,3,4321.0,3943.0,0.0,0.0,0.0,37.0,341.0,0.0,0.0,0.0,378.0,37.0
1600118,2856,2597,22,104,19,61,50,3,41,40,81,10,2085,1936,10,58,11,30,37,3,15,23,51,7,3566.0,3105.1,13.0,202.2,0.0,90.7,133.0,22.0,13.0,48.0,214.0,22.0
1600119,1464,1368,11,40,2,21,21,1,18,12,32,3,1150,1090,10,27,2,7,13,1,12,8,16,1,1469.6,1406.8,0.0,44.2,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0
1600120,1766,1567,20,119,9,32,19,0,27,16,36,5,1307,1192,12,64,4,16,19,0,15,8,29,2,1325.2,1156.9,0.0,30.1,15.7,91.1,0.0,31.5,21.0,33.6,0.0,77.9
1600121,1121,1052,5,44,1,8,11,0,7,4,17,0,825,781,2,28,1,5,8,0,3,3,13,0,1023.0,968.6,0.9,12.8,32.6,2.4,0.8,5.0,0.9,32.6,3.1,5.0
1600122,3236,2812,16,307,9,56,34,2,30,60,67,14,2652,2359,11,204,8,40,28,2,16,43,45,9,4156.9,3888.6,0.0,120.0,14.6,61.1,72.6,0.0,23.4,52.4,82.5,0.0
1600123,4093,2787,59,1036,51,86,72,2,87,125,95,4,3085,2312,31,587,40,59,54,2,39,95,69,3,4103.0,3074.0,12.0,917.0,0.0,82.0,18.0,0.0,111.0,33.0,67.0,0.0
1600124,944,849,4,27,7,28,27,2,4,12,51,3,849,782,4,20,5,12,24,2,4,9,33,3,1060.5,917.0,10.3,88.5,34.5,10.3,0.0,0.0,10.3,37.3,2.8,4.7
1600125,4040,3457,92,257,20,109,99,6,139,62,166,15,3078,2714,50,156,17,62,74,5,67,39,118,9,4144.5,3133.9,405.0,327.1,5.5,30.9,242.0,0.0,420.1,5.5,254.4,0.0
1600126,2192,2046,8,61,19,42,16,0,20,40,32,0,1771,1672,5,41,12,27,14,0,9,26,23,0,2248.5,1973.1,0.0,126.9,10.5,62.1,75.9,0.0,28.9,10.5,102.6,0.0
1600127,3965,3379,58,202,16,82,226,2,88,32,270,6,2635,2270,34,125,13,38,153,2,43,22,178,4,4752.4,4124.3,0.0,284.6,0.0,40.9,302.7,0.0,0.0,0.0,373.0,0.0
1600128,2302,2031,11,139,11,61,41,8,22,30,68,12,1716,1555,6,79,10,26,35,5,9,19,46,6,2411.1,1945.4,23.0,334.3,5.2,22.0,81.3,0.0,23.0,17.2,91.3,29.2
1600129,1433,1322,4,52,8,16,31,0,4,12,38,0,1115,1042,1,35,5,8,24,0,1,9,27,0,1751.0,1561.0,0.0,97.0,16.0,77.0,0.0,0.0,0.0,46.0,33.0,0.0
1600130,2155,1936,13,122,9,52,22,1,25,31,40,11,1596,1474,7,62,8,29,15,1,10,24,26,3,2373.0,1843.8,4.5,374.6,1.7,109.2,15.7,23.6,4.5,99.7,26.9,23.6
1600131,3363,2785,53,293,12,98,120,2,80,49,151,7,2612,2265,30,167,10,54,84,2,38,31,101,4,4350.6,3142.0,153.4,783.3,36.1,97.8,71.7,66.4,213.9,36.1,118.8,75.6
1600132,1128,1035,20,39,9,15,10,0,22,16,16,0,893,837,7,24,5,11,9,0,8,12,12,0,1115.4,1009.3,18.2,31.9,3.4,39.9,12.5,0.0,18.2,43.3,19.4,0.0
1600133,3865,3161,97,327,33,155,77,15,137,122,141,28,3090,2619,58,219,28,94,60,12,78,88,103,21,3874.6,3116.9,42.5,457.1,40.9,124.3,92.9,0.0,99.8,73.1,131.3,5.3
1600134,1711,1455,52,100,6,59,36,3,60,53,66,12,1280,1137,22,56,4,35,24,2,25,29,40,9,1761.8,1539.5,0.0,5.3,0.0,101.0,116.1,0.0,17.1,0.0,200.0,0.0
1600135,1102,962,5,74,10,38,12,1,10,34,22,1,888,801,2,45,8,23,8,1,4,24,13,1,1199.2,939.7,0.0,176.7,0.0,24.0,58.8,0.0,0.0,17.0,82.8,0.0
1600136,1835,1699,12,64,8,24,25,3,17,27,39,6,1452,1351,6,49,7,18,18,3,6,24,29,6,2151.4,1807.5,28.0,210.7,0.0,40.5,64.7,0.0,44.0,70.8,85.3,0.0
1600137,1841,1689,12,69,3,41,23,4,23,12,44,5,1445,1351,5,46,2,20,17,4,11,6,27,5,1757.1,1504.2,21.4,162.2,7.5,37.4,24.4,0.0,22.3,77.4,55.7,0.0
1600138,1959,1836,9,54,1,29,30,0,13,8,48,1,1520,1440,6,33,1,18,22,0,7,8,32,1,2073.2,1784.2,0.0,169.3,0.0,81.6,38.2,0.0,0.0,0.0,57.2,0.0
1600139,2215,2037,7,89,10,45,26,1,10,26,46,8,1809,1684,3,66,8,26,21,1,5,20,30,5,2070.4,1701.5,75.8,215.8,13.7,41.6,22.0,0.0,84.8,75.4,50.3,0.0
1600140,1217,1097,7,50,11,35,17,0,16,24,29,0,1012,922,6,37,6,25,16,0,11,17,23,0,1083.3,919.5,51.4,73.4,10.7,27.1,1.2,0.0,59.8,10.7,19.5,0.0
1600141,2590,2427,14,60,9,41,38,1,21,20,62,5,2068,1961,9,45,6,18,28,1,11,14,38,5,2751.7,2564.4,32.6,67.4,9.8,47.8,29.7,0.0,43.9,16.6,59.5,0.0
1600142,1700,1559,9,92,6,20,7,7,14,11,16,8,1104,1030,7,48,4,8,3,4,7,6,7,5,1389.1,1341.7,0.0,29.7,0.7,5.9,11.1,0.0,5.9,0.7,11.1,0.0
1600143,3515,3260,9,146,8,53,38,1,21,33,63,4,2687,2536,6,84,6,27,28,0,8,25,34,3,3085.1,3085.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600144,2823,2535,26,146,12,63,33,8,53,30,63,14,1951,1785,18,84,7,22,29,6,25,20,37,7,2800.2,2632.6,0.0,93.0,0.0,67.8,6.7,0.0,0.0,58.7,10.7,5.9
