GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
21001F101,1564,1459,42,53,5,5,0,0,49,6,0,0,1176,1114,29,29,2,2,0,0,32,2,0,0,1730.3,1651.7,27.6,0.0,0.0,51.0,0.0,0.0,30.2,41.5,0.0,0.0
21001E101,945,926,2,13,0,4,0,0,3,3,0,0,692,679,1,8,0,4,0,0,2,3,0,0,989.4,914.3,39.8,1.0,20.6,13.6,0.0,0.0,40.2,32.7,0.0,0.0
21001E104,1243,1136,45,24,0,33,5,0,69,9,6,0,986,921,36,12,0,12,5,0,40,8,5,0,1381.9,1309.5,54.9,11.8,4.5,1.2,0.0,0.0,54.9,5.7,0.0,0.0
21001F103,1173,1121,13,33,1,5,0,0,17,2,0,1,895,859,13,21,1,1,0,0,13,2,0,1,1185.5,1133.6,0.0,15.9,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0
21001A104,1171,1138,3,13,1,14,2,0,5,8,6,3,828,812,3,4,0,7,2,0,3,5,3,1,974.5,941.0,0.0,27.1,0.0,6.4,0.0,0.0,0.0,6.4,0.0,0.0
21001B102,2339,2090,155,43,5,36,9,1,183,14,9,2,1993,1773,147,34,5,24,9,1,164,12,9,2,2473.1,2209.8,95.6,114.3,0.0,20.1,33.2,0.0,106.6,0.0,54.0,0.0
21001C102,1107,978,92,24,1,9,3,0,99,1,4,0,862,778,65,14,1,1,3,0,65,1,4,0,1296.4,1104.7,146.1,27.5,0.0,13.1,5.0,0.0,146.1,13.1,9.8,0.0
21001D104,1038,951,71,9,0,2,5,0,71,0,5,0,827,767,53,4,0,0,3,0,53,0,3,0,1235.0,1037.7,168.3,11.6,0.5,15.0,1.8,0.0,168.3,14.5,4.5,0.0
21001G102,1816,1748,14,23,6,16,7,2,21,17,10,2,1370,1329,12,13,3,7,5,1,12,11,8,1,1865.9,1826.9,10.7,24.6,0.0,1.9,1.9,0.0,11.7,0.0,2.8,0.0
21001G101,817,748,32,19,5,11,1,1,38,7,4,1,660,610,29,12,2,6,0,1,32,4,1,1,729.0,681.4,47.5,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0
21001D103,869,828,11,9,0,19,2,0,12,9,10,0,678,648,11,8,0,9,2,0,11,7,3,0,681.0,653.4,1.7,6.3,0.0,18.1,1.5,0.0,1.7,0.0,21.1,0.0
21001C104,1172,1133,13,7,0,19,0,0,14,15,1,0,899,871,10,7,0,11,0,0,10,11,1,0,1214.6,1182.8,1.7,28.7,0.0,0.0,1.5,0.0,1.7,0.0,2.8,0.0
21001B104,941,913,5,15,2,4,2,0,7,3,3,0,704,688,3,8,2,3,0,0,4,3,1,0,993.3,953.5,0.5,39.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21001D101,895,875,1,3,2,11,3,0,2,9,6,0,652,637,1,3,2,7,2,0,2,7,3,0,796.5,736.6,28.5,0.0,18.4,12.9,0.0,0.0,28.5,23.5,7.9,0.0
21001A105,829,808,2,11,2,4,2,0,2,6,2,0,659,649,0,4,1,4,1,0,0,5,1,0,843.1,816.4,0.0,15.1,0.0,11.6,0.0,0.0,0.0,11.6,0.0,0.0
21001A102,737,706,0,20,6,3,2,0,2,12,2,0,569,545,0,13,6,3,2,0,1,12,2,0,851.4,811.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21003E103,925,885,4,14,4,15,3,0,14,5,7,0,648,634,3,6,2,3,0,0,4,3,2,0,999.1,920.4,15.2,63.5,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0
21003E102,2438,2375,3,31,7,20,2,0,3,25,2,1,1723,1690,3,13,5,11,1,0,3,15,1,1,2237.4,1952.1,13.8,271.6,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0
21003B102,1099,1080,0,9,0,8,2,0,0,7,3,1,844,831,0,6,0,7,0,0,0,6,1,1,1237.9,1195.6,4.6,5.2,0.0,10.0,22.4,0.0,14.7,0.0,22.4,0.0
21003E101,1127,1108,3,5,0,10,1,0,4,9,2,1,839,826,2,3,0,8,0,0,3,7,1,1,1358.7,1310.7,0.0,8.9,0.0,17.1,22.1,0.0,17.1,0.0,22.1,0.0
21003D101,1868,1788,13,33,9,22,3,0,21,20,8,0,1422,1375,6,16,9,13,3,0,10,16,5,0,2145.5,2050.9,19.3,75.3,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0
21003C102,2065,2018,10,16,9,10,2,0,19,15,2,0,1555,1523,8,10,7,6,1,0,12,10,1,0,2555.1,2408.2,146.9,0.0,0.0,0.0,0.0,0.0,146.9,0.0,0.0,0.0
21003B103,993,921,5,49,2,14,2,0,18,6,3,0,762,717,5,33,2,4,1,0,11,3,2,0,958.0,927.4,10.0,0.0,0.0,0.0,20.6,0.0,10.0,0.0,20.6,0.0
21003B101,1887,1833,7,38,1,8,0,0,10,3,3,0,1389,1365,2,17,1,4,0,0,3,3,1,0,1795.7,1727.9,1.4,0.0,0.0,63.6,2.8,0.0,58.9,0.0,2.8,6.1
21003A101,2363,2177,86,49,5,42,4,0,114,25,7,0,1800,1668,66,31,5,27,3,0,82,23,5,0,2336.7,2307.3,4.9,0.0,0.0,24.5,0.0,0.0,5.1,0.0,0.0,24.2
21003C101,1811,1740,18,12,8,27,6,0,28,24,8,0,1417,1370,15,3,7,19,3,0,19,21,5,0,1855.1,1737.8,92.2,0.0,0.0,25.2,0.0,0.0,117.4,0.0,0.0,0.0
21003D102,758,739,2,6,5,3,3,0,3,7,3,0,619,604,2,4,4,3,2,0,3,6,2,0,872.8,866.4,2.8,3.7,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0
21003A102,1190,1132,5,28,3,21,1,0,17,7,5,0,918,885,5,15,3,9,1,0,6,7,5,0,1217.5,1201.5,0.0,0.0,0.0,14.3,1.8,0.0,2.6,0.0,1.8,11.7
21003D103,1432,1407,3,7,2,11,2,0,12,6,3,0,1133,1115,3,5,2,6,2,0,6,5,3,0,1224.5,1186.9,0.0,0.0,0.0,22.4,15.2,0.0,22.4,0.0,15.2,0.0
21005B102,2710,2598,49,24,0,27,12,0,68,3,17,4,1895,1834,32,14,0,7,8,0,35,2,11,1,2583.2,2497.3,0.0,23.7,0.0,21.3,40.8,0.0,0.2,21.1,40.8,0.0
21005A102,2395,2231,50,66,3,32,12,1,66,15,14,1,1723,1623,43,32,3,14,8,0,48,11,9,0,2636.8,2334.8,128.3,34.5,0.0,139.1,0.0,0.0,267.4,0.0,0.0,0.0
21005A101,1499,1246,172,51,1,25,4,0,185,10,7,0,1141,947,148,34,1,8,3,0,150,8,3,0,1633.4,1491.0,85.6,47.5,0.0,9.4,0.0,0.0,95.0,0.0,0.0,0.0
21005B101,2044,1910,28,21,5,41,38,1,40,23,49,2,1493,1417,19,10,3,15,28,1,20,14,32,2,2050.5,2007.1,21.4,2.1,0.0,1.9,0.0,18.0,22.1,1.3,0.0,18.0
21005C101,1534,1480,29,14,5,5,1,0,30,8,1,0,1204,1171,21,4,3,4,1,0,21,6,1,0,1630.7,1387.0,238.0,0.0,0.0,5.7,0.0,0.0,243.7,0.0,0.0,0.0
