GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
21161B102,258,98,157
21161A104,456,227,215
21161A103,576,306,265
21161C104,350,152,189
21161C105,567,217,344
21069B101,260,103,156
21049B104,481,143,332
21049C106,820,230,567
21065B102,430,102,321
21197A102,560,221,335
21197B101,322,150,168
21235C101,126,27,95
21121E101,139,47,91
21121D101,347,129,214
21121D102,322,71,248
21121E102,160,46,114
21121A105,671,173,485
21121D104,493,142,338
21121D105,465,163,300
21121A104,582,134,438
21197A101,490,180,303
21197B102,656,248,400
21173B103,632,300,321
21173B101,672,246,418
21049C110,714,257,451
21125C110,666,108,545
21125C105,333,74,253
21125A105,230,50,169
21125A108,384,63,320
21125A102,641,142,491
21121A102,245,60,181
21125C102,327,81,245
21125C101,175,51,122
21125A104,510,73,429
21161B107,1035,343,674
21161C103,609,214,374
21161B108,298,109,183
21161C102,736,271,458
21161A102,159,131,26
21161A101,273,159,106
21161A105,395,167,223
21125C106,291,40,249
21125C103,338,46,291
21203B103,672,134,534
21203C103,158,23,134
21203B101,442,93,346
21017B102,324,139,180
21173B104,756,263,478
21173B108,712,273,427
21173A103,510,232,275
21173C103,879,309,553
21109B103,536,68,465
21109B102,759,128,622
21109A106,227,31,193
21109A101,400,39,358
21109A103,496,55,434
21109A104,143,13,128
21109C103,229,39,190
21109C102,418,48,365
21151C115,598,171,419
21151C109,649,160,477
21065C104,426,92,327
21065A103,189,65,120
21065A102,262,90,169
21065B106,216,67,145
21065A105,259,78,179
21065B104,261,65,189
21225B102,400,229,165
21101C105,308,154,152
21011A102,260,145,108
21011A101,231,107,115
21097D102,520,181,335
21097E102,707,242,451
21097F101,256,144,104
21097B102,342,166,172
21069A102,235,99,131
21069A101,340,145,189
21069F102,235,104,128
21069F104,340,139,189
21161B106,497,185,306
21069D103,441,202,227
21069A103,284,123,151
21011B101,557,271,274
21011A103,225,100,122
21011B102,405,212,183
21011A104,154,70,84
21011C105,447,176,263
21011C104,314,183,123
21197D103,167,89,69
21165C101,459,191,259
21165A102,215,122,92
21173C101,342,128,209
21173C102,768,311,450
21197E102,607,243,355
21197C102,544,223,312
21197C101,313,136,174
21197D101,524,238,281
21197E101,508,203,297
21173B102,751,298,438
21173B107,716,293,413
21197D102,281,134,143
21065B103,266,67,195
21129C103,328,70,253
21129D102,457,125,327
21129C101,215,65,146
21129A102,212,65,145
21129A101,212,57,153
21189B101,103,22,80
21189C101,322,64,251
21189A102,270,62,204
21189C103,134,38,96
21129D101,218,72,141
21051F102,500,76,415
21109B101,560,100,443
21051F104,509,111,386
21189B102,241,43,191
21051C103,291,51,236
21051C101,169,23,143
21051E103,407,82,318
21051E102,268,56,209
21051F101,413,59,346
21051E101,284,59,216
21051A101,373,128,241
21051A107,220,67,150
21051B104,575,112,459
21051F103,463,99,356
21121C105,216,84,122
21121C104,476,114,357
21013E104,333,99,231
21121C102,356,105,249
21121D103,280,104,173
21121B108,488,107,377
21121C103,819,195,609
21235C105,156,38,116
21235C106,300,51,245
21235C107,434,89,341
21235C104,433,171,249
21235C113,182,48,128
21235C103,53,6,46
21235C102,169,65,99
21013E106,347,77,268
21181B101,552,283,262
21181C101,583,221,349
