GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
250012158,3471,3283,31,46,6,71,33,1,53,18,45,6,2924,2802,24,25,2,47,23,1,35,10,27,2,3521.6,3379.6,80.3,2.7,6.1,20.8,32.0,0.0,80.3,20.6,32.0,0.0
250012159,3654,3292,76,87,8,124,64,3,99,26,86,8,3020,2766,52,54,8,84,53,3,60,21,68,6,3839.1,3450.1,169.9,36.3,6.6,143.3,30.2,2.6,227.2,52.8,30.2,2.6
250012160,3522,2736,188,206,35,305,51,1,290,98,64,2,2833,2304,129,143,27,196,33,1,174,60,43,2,3839.2,2649.5,508.8,505.6,0.0,168.4,6.8,0.0,564.5,21.9,31.2,0.0
250012161,3330,3063,47,70,17,100,33,0,70,41,42,3,2806,2612,37,48,14,75,20,0,49,27,22,3,3003.6,2820.9,15.7,41.3,0.0,125.7,0.0,0.0,126.4,3.1,35.0,0.0
250012162,3061,2891,23,37,4,82,24,0,53,23,32,1,2563,2438,20,27,4,57,17,0,39,14,20,1,3007.8,2699.8,63.0,162.0,15.0,67.9,0.0,0.0,91.5,27.0,1.0,0.0
250012163,3535,3280,53,50,5,96,46,5,70,15,56,6,2852,2674,39,37,3,61,33,5,45,13,38,6,3329.2,3172.2,5.0,72.0,0.0,56.0,24.0,0.0,27.4,31.0,24.0,0.0
250012164,3462,3303,25,53,14,51,16,0,50,33,33,1,2903,2790,23,34,12,30,14,0,36,24,21,1,3223.2,3081.8,6.9,120.3,0.0,0.0,14.2,0.0,6.9,0.0,14.2,0.0
250012165,3839,2624,331,350,48,400,81,5,453,122,99,16,3063,2184,256,233,38,282,65,5,314,71,78,11,4220.8,3102.6,551.9,299.9,0.0,182.3,15.8,68.3,585.2,35.0,18.1,69.6
250012166,3294,2315,259,182,42,411,85,0,384,99,113,7,2751,2033,197,121,31,303,66,0,247,61,81,5,2811.4,2066.0,230.7,323.2,0.0,66.6,125.0,0.0,249.3,23.4,145.0,10.9
250012167,3758,3428,56,90,20,137,27,0,94,48,47,0,2968,2736,51,58,16,87,20,0,69,32,29,0,3572.2,3400.3,0.2,69.2,0.0,89.1,13.5,0.0,56.9,32.0,13.5,0.0
250012168,3816,3649,25,42,6,60,33,1,52,25,44,3,2993,2881,19,27,6,37,22,1,33,21,27,1,3389.3,3247.5,49.8,0.0,21.3,70.7,0.0,0.0,49.8,85.7,0.0,0.0
250012169,3300,3058,42,81,22,70,26,1,81,41,36,2,2556,2399,32,56,13,37,18,1,53,24,21,2,2883.0,2669.9,128.0,69.0,0.0,3.9,12.3,0.0,131.8,0.0,12.3,0.0
250012170,3151,2590,135,124,28,232,41,1,194,55,60,2,2677,2251,103,92,22,176,32,1,130,40,47,2,3673.6,2472.7,336.9,530.4,50.0,192.3,60.2,31.1,359.9,118.5,63.5,36.0
250012171,3549,3280,34,72,17,107,38,1,75,44,58,4,2705,2531,29,44,15,59,26,1,45,33,34,2,3635.3,3464.2,27.5,38.3,41.0,64.2,0.0,0.0,92.0,46.7,14.7,0.0
250012172,3141,2968,20,40,13,56,44,0,38,27,54,5,2424,2328,14,23,8,26,25,0,20,15,31,3,3283.6,2878.1,50.8,114.7,0.0,154.3,85.7,0.0,156.8,10.3,140.0,0.0
250012173,3487,3258,36,42,23,88,37,3,58,56,50,10,3074,2890,28,38,19,60,36,3,41,41,46,8,3090.5,2794.0,96.6,127.2,0.0,65.6,7.0,0.0,160.1,14.0,89.0,0.0
