GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
2600110,970,956,0,6,1,4,3,0,0,1,3,0,877,864,0,5,1,4,3,0,0,1,3,0,993.9,971.1,1.3,7.8,1.1,10.8,1.3,0.5,4.4,3.9,3.5,0.8
2600120,1161,1124,0,21,3,9,4,0,5,6,7,0,982,963,0,8,3,5,3,0,3,6,4,0,999.7,974.8,0.0,5.7,0.0,12.3,3.5,3.5,11.2,2.7,5.2,5.2
2600130,1236,1200,3,10,2,20,1,0,6,18,2,0,1071,1044,1,8,2,15,1,0,2,15,2,0,1243.9,1171.9,0.0,30.1,19.4,14.0,8.4,0.0,0.0,29.8,12.1,0.0
2600140,1409,1383,1,10,8,5,2,0,2,11,3,0,1226,1205,1,8,7,3,2,0,2,10,2,0,1347.6,1307.3,12.8,4.8,1.7,20.3,0.5,0.2,19.4,8.8,9.9,0.2
2600150,795,770,0,11,5,8,1,0,0,10,4,0,620,606,0,6,4,3,1,0,0,7,1,0,741.7,710.3,1.4,11.8,3.8,13.7,0.2,0.5,5.0,9.6,0.6,0.5
2600160,1348,1295,3,13,19,11,6,1,4,29,7,1,1142,1109,1,8,12,6,5,1,1,19,5,1,1237.7,1163.6,11.9,21.8,5.8,26.5,7.2,0.7,16.4,23.2,7.3,1.3
2600170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600180,1105,1077,0,15,2,11,0,0,0,11,0,1,933,913,0,9,2,9,0,0,0,9,0,1,1077.8,1040.8,2.1,17.3,0.1,17.6,0.0,0.0,6.9,6.8,1.5,0.0
2600190,722,701,1,6,6,5,3,0,1,6,7,0,623,608,1,4,6,1,3,0,1,6,3,0,728.1,704.7,0.0,10.1,1.9,10.1,1.3,0.0,0.0,6.3,1.3,0.0
2600198,493,468,3,12,4,5,1,0,3,10,1,0,412,394,2,9,4,2,1,0,2,6,1,0,434.2,404.7,6.2,8.3,0.0,11.1,3.8,0.0,8.0,7.6,3.8,0.3
26001100,947,921,1,12,6,7,0,0,1,15,0,0,771,751,1,8,4,7,0,0,1,11,0,0,858.2,814.9,3.8,8.4,14.9,13.1,1.1,1.8,5.4,21.9,5.7,1.8
26001110,404,382,0,6,3,9,4,0,0,12,4,0,367,352,0,3,2,6,4,0,0,8,4,0,385.8,362.8,0.4,9.7,7.2,3.9,1.0,0.8,0.4,10.5,1.5,0.8
26001120,352,344,1,2,3,2,0,0,1,5,0,0,325,318,1,1,3,2,0,0,1,5,0,0,315.4,296.9,0.0,13.1,1.1,3.5,0.8,0.0,0.0,3.9,1.5,0.0
2600310,1138,1025,2,21,54,36,0,0,6,96,1,0,955,877,2,11,45,20,0,0,3,68,1,0,1164.1,949.6,93.8,12.1,78.3,28.8,1.5,0.0,96.1,104.2,1.6,0.3
2600320,522,494,2,7,4,12,3,0,2,11,4,4,480,460,2,4,4,7,3,0,2,11,3,0,499.8,467.8,0.0,0.0,11.7,18.8,1.5,0.0,0.0,30.4,1.5,0.0
2600330,47,40,0,0,4,3,0,0,0,7,0,0,34,30,0,0,1,3,0,0,0,4,0,0,40.3,35.8,0.2,0.4,2.8,0.9,0.1,0.0,0.2,3.7,0.1,0.0
2600340,438,415,2,6,8,7,0,0,2,14,1,0,346,337,0,4,4,1,0,0,0,5,0,0,432.2,416.0,0.0,7.5,6.2,2.5,0.0,0.0,0.0,7.9,0.8,0.0
2600350,554,522,0,7,6,16,3,0,2,22,3,0,437,418,0,5,4,8,2,0,2,12,2,0,497.2,380.6,99.3,9.4,4.1,3.8,0.0,0.0,99.3,7.5,0.4,0.0
2600360,2355,2125,4,32,112,66,16,0,19,159,22,0,1914,1767,4,16,78,40,9,0,13,109,11,0,2185.1,1962.6,6.6,30.0,109.7,72.5,3.7,0.0,6.6,178.3,7.5,0.0
