GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
2600110,767,329,423,721.3,199.3,500.9
2600120,671,289,371,644.0,178.0,441.0
2600130,701,370,316,641.0,214.0,401.0
2600140,842,376,456,787.0,256.0,501.0
2600150,380,163,210,353.0,80.0,249.0
2600160,805,318,475,789.0,216.0,541.0
2600170,0,0,0,0.0,0.0,0.0
2600180,590,283,296,605.7,159.7,416.1
2600190,441,207,228,460.0,121.0,318.0
2600198,266,134,127,256.0,98.0,137.0
26001100,478,214,249,496.0,96.0,382.0
26001110,236,121,109,215.0,72.0,135.0
26001120,243,92,144,230.0,42.0,179.0
2600310,675,324,338,633.0,199.0,396.0
2600320,347,163,179,326.0,101.0,200.0
2600330,27,14,13,26.0,15.0,9.0
2600340,237,128,104,221.0,75.0,135.0
2600350,261,160,97,235.0,111.0,108.0
2600360,1149,639,488,1028.0,441.0,518.0
2600370,898,432,450,539.1,166.3,345.8
2600380,218,113,99,602.9,157.7,421.2
2600390,260,132,126,277.0,121.0,138.0
26003100,678,367,294,630.0,276.0,314.0
26003110,0,0,0,0.0,0.0,0.0
2600510,1376,760,583,605.0,283.0,274.0
2600520,724,452,262,1251.0,475.0,667.0
2600530,1468,769,666,1484.0,554.0,835.0
2600540,634,345,280,594.3,209.3,354.9
2600550,164,81,81,161.0,68.8,83.0
2600560,1284,711,555,1256.4,536.8,647.7
2600570,1009,524,456,867.0,290.0,516.0
2600580,823,446,359,756.0,310.0,409.0
2600590,656,230,416,722.1,170.1,509.6
26005100,1399,469,902,1306.4,297.8,917.2
26005110,1126,446,653,877.7,230.9,587.7
26005120,717,186,512,1055.7,240.2,740.5
26005130,725,472,246,797.0,528.0,245.0
26005140,448,279,163,473.0,204.0,229.0
26005150,1463,308,1124,1443.0,227.0,1163.0
26005160,1406,708,662,1397.6,601.4,726.3
26005170,1202,639,535,1175.5,442.9,645.0
26005180,2016,982,985,1884.6,744.7,1011.5
26005190,1748,506,1204,1849.0,348.0,1401.0
26005200,879,340,530,902.0,370.0,473.0
26005210,771,334,427,1034.0,384.4,572.9
26005220,857,291,557,751.0,243.6,455.1
26005230,1017,426,579,820.0,335.0,430.0
26005240,1039,376,635,1029.8,238.2,704.4
26005250,278,138,135,293.2,67.8,200.6
26005260,1424,534,872,1348.9,515.5,749.6
26005270,634,261,364,686.8,267.2,377.3
26005280,1598,490,1082,1658.3,453.3,1125.2
26005290,1080,635,428,950.0,381.0,521.0
26005300,1594,479,1088,1944.2,423.3,1401.5
26005310,866,202,651,1091.8,188.7,831.5
26005320,1580,569,991,1659.0,424.0,1141.0
26005330,1047,374,659,1016.8,247.5,701.5
26005340,186,81,102,199.2,48.5,137.5
26005350,1067,450,597,1070.7,255.7,747.1
26005360,1727,982,711,1626.0,651.0,831.0
26005370,1408,724,646,1412.0,522.0,786.0
26005380,1300,709,571,1310.8,498.6,727.4
26005390,1640,274,1334,1710.0,194.0,1437.0
26005400,1799,1035,731,1680.1,748.8,787.1
26005410,2187,630,1509,2500.0,414.0,1948.0
26005420,638,396,229,565.0,364.0,180.0
26005430,1769,963,779,2040.0,1010.0,920.0
26005440,7,5,2,2.0,0.9,0.9
26005450,1228,623,575,1162.0,361.0,723.0
26005460,973,516,442,934.0,307.0,579.0
26005470,494,241,245,489.9,132.3,323.6
26005480,444,206,225,491.1,132.7,324.4
26005490,1764,843,883,1854.0,650.0,1045.0
26005500,1596,725,838,1594.0,455.0,1039.0
26005510,0,0,0,0.0,0.0,0.0
2600710,630,390,234,715.6,286.4,380.6
2600720,719,467,238,615.2,238.3,330.1
2600730,928,506,410,822.8,356.0,429.4
2600740,912,472,423,878.0,329.0,502.0
2600750,933,491,427,908.9,390.4,466.5
2600760,945,527,411,891.5,337.0,490.4
2600770,900,465,420,895.0,280.0,582.0
2600780,1101,575,505,1116.0,394.0,669.0
2600790,1240,647,570,1153.0,407.0,680.0
26007100,724,405,307,648.0,230.0,387.0
26007110,1041,527,498,1039.0,366.0,625.0
26007120,629,278,337,628.0,158.0,454.0
26007130,542,259,276,525.0,158.0,338.0
26007140,803,395,388,821.0,217.0,569.0
26007150,833,335,487,879.0,181.0,661.0
26007160,1055,506,534,999.0,303.0,657.0
26007170,129,57,70,126.0,33.0,89.0
26007180,1021,403,590,1037.0,213.0,780.0
26007190,0,0,0,0.0,0.0,0.0
2600910,1008,378,603,994.0,269.0,681.0
2600920,1353,576,738,1278.0,404.0,806.0
2600930,251,116,126,241.0,72.0,158.0
2600940,633,254,367,661.5,181.6,446.0
2600950,495,235,248,503.0,144.0,327.0
2600960,1832,844,973,1780.0,719.0,976.0
2600970,1290,525,743,1242.0,450.0,723.0
2600980,686,322,356,643.0,228.0,391.0
2600990,479,261,209,472.0,161.0,286.0
26009100,1021,422,581,1032.5,358.4,637.0
26009110,1429,711,691,945.0,236.0,656.0
26009120,261,130,126,726.0,201.0,498.0
26009130,1551,648,867,1520.0,549.0,900.0
26009140,456,205,239,505.0,116.0,361.0
26009150,931,374,547,859.0,324.0,489.0
26009160,176,78,92,180.0,35.0,134.0
26009170,0,0,0,0.0,0.0,0.0
2601110,248,114,129,251.0,54.0,185.0
2601120,442,266,167,423.0,123.0,280.0
2601130,488,227,258,468.0,141.0,310.0
2601140,421,213,204,433.5,129.1,285.5
2601150,152,62,87,137.5,40.9,90.5
2601160,475,275,194,449.0,135.0,290.0
2601170,685,376,294,732.8,237.7,454.2
2601180,402,230,162,306.2,99.3,189.8
2601190,437,240,188,402.9,106.3,276.5
26011100,356,191,153,321.0,86.0,221.0
26011110,671,299,349,702.0,212.0,442.0
26011120,134,88,43,129.0,45.0,79.0
26011130,722,342,363,654.0,222.0,415.0
26011140,176,99,77,164.0,55.0,99.1
26011150,250,108,136,230.8,82.6,139.9
26011160,200,99,99,181.3,61.1,105.4
26011170,962,528,409,858.0,314.0,500.0
26011180,287,139,145,281.0,62.0,209.0
26011190,620,259,350,571.0,178.0,378.0
26011200,0,0,0,0.0,0.0,0.0
2601310,303,113,184,296.0,77.0,203.0
2601320,599,330,259,554.0,243.0,280.0
2601330,246,90,152,224.0,64.0,150.0
2601340,173,70,98,185.0,55.0,124.0
2601350,236,125,108,238.0,75.0,157.0
2601360,271,123,141,248.0,76.0,158.0
2601370,1650,786,830,1555.0,491.0,1003.0
2601380,166,88,74,190.0,75.0,83.0
2601390,0,0,0,0.0,0.0,0.0
2601510,873,331,516,841.5,182.8,609.3
2601520,183,70,107,180.5,39.2,130.7
2601530,53,25,27,49.1,12.4,33.1
2601540,952,451,474,869.6,220.2,587.0
2601550,846,334,490,819.0,243.0,519.0
2601560,972,473,476,947.0,336.0,544.0
2601570,616,265,333,591.5,156.6,391.5
2601580,727,307,397,677.5,179.4,448.5
2601590,169,80,88,147.9,43.0,97.5
26015100,76,36,39,66.1,19.2,43.6
26015110,1182,585,564,1093.0,317.8,720.9
26015120,1142,584,533,1110.8,442.4,592.9
26015130,842,462,366,835.2,303.3,456.6
26015140,610,345,246,599.0,217.4,334.1
26015150,742,397,331,753.0,289.9,393.5
26015160,1547,733,779,1492.0,462.0,933.0
26015170,1607,775,787,1658.3,539.3,1023.9
26015180,6,2,4,10.8,1.6,8.5
26015190,423,147,264,434.2,62.4,342.5
26015200,1222,489,703,1323.3,333.8,893.4
26015210,1650,714,907,1549.0,479.0,984.0
26015220,5,2,3,4.7,1.1,3.3
26015230,79,28,49,87.3,20.1,62.3
26015240,704,299,399,621.0,142.8,443.4
26015250,1409,654,719,1290.9,398.6,804.9
26015260,236,112,119,261.9,80.9,163.3
26015270,963,465,472,909.4,363.2,495.3
26015280,910,429,464,850.6,331.8,476.7
26015290,2175,997,1133,2211.7,738.2,1318.6
26015300,1498,452,1016,1586.0,357.0,1129.0
26015310,1106,365,720,1177.2,278.2,835.7
26015320,1393,633,730,1590.8,501.8,932.3
26015330,7,3,4,7.5,2.1,4.9
26015340,1132,466,643,1053.5,292.9,691.1
26015350,1390,513,850,1462.0,393.0,974.0
26015360,1118,426,679,1166.3,331.5,779.8
2601710,1196,591,590,1085.0,392.0,616.0
2601720,1084,571,491,1031.0,381.0,615.0
2601730,963,539,408,852.9,335.3,480.9
2601740,1182,670,491,970.0,407.4,515.1
2601750,982,553,416,939.4,376.8,518.4
2601760,1446,807,609,1442.6,573.5,793.5
2601770,1071,568,485,969.4,402.1,512.2
