GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
270010005,995.5,360.8,558.0,811.1,328.6,419.1,834.3,455.9,338.2,829.2,384.2,400.8,1020,501,499
270010010,542.1,152.6,352.8,469.8,135.8,309.2,481.7,220.0,252.7,477.7,169.5,293.3,512,205,294
270010015,162.0,56.3,94.8,152.1,65.2,78.0,156.1,84.0,65.2,154.1,69.2,79.0,186,98,81
270010240,30.0,5.7,22.2,21.9,4.8,15.0,22.9,6.0,14.8,22.9,4.8,16.0,31,5,24
270010020,18.0,8.0,9.0,20.0,10.0,10.0,21.0,14.0,7.0,20.0,11.0,9.0,30,16,14
270010025,37.0,19.0,16.0,35.0,21.0,12.0,36.0,24.0,12.0,35.0,18.0,13.0,33,25,8
270010030,79.0,30.0,47.0,68.0,31.0,33.0,70.0,40.0,28.0,69.0,33.0,35.0,105,50,53
270010125,48.0,10.0,36.0,48.0,12.0,34.0,48.0,9.0,34.0,47.0,11.0,34.0,53,24,28
270010035,22.0,9.0,11.0,21.0,9.0,10.0,22.0,14.0,8.0,22.0,13.0,8.0,21,14,5
270010038,24.0,9.0,15.0,19.0,8.0,11.0,22.0,12.0,9.0,22.0,14.0,8.0,24,14,9
270010040,733.0,267.0,432.0,632.0,241.0,363.0,646.0,344.0,291.0,646.0,279.0,350.0,747,331,398
270010045,239.0,78.0,144.0,203.0,58.0,125.0,207.0,93.0,105.0,207.0,75.0,123.0,232,102,123
270010110,115.2,35.8,71.5,112.7,39.2,64.7,112.7,55.8,53.9,111.7,46.0,61.7,98,47,51
270010050,303.0,105.0,174.0,271.0,103.0,153.0,276.0,142.0,127.0,276.0,119.0,145.0,313,164,147
270010055,110.2,39.3,62.8,98.9,38.1,53.6,100.0,52.6,45.3,100.9,48.3,48.5,116,60,51
270010175,731.8,289.7,400.2,646.2,244.9,361.4,666.1,355.4,292.7,656.1,285.7,347.5,746,373,359
270010060,543.0,189.0,329.0,453.0,163.0,269.0,458.0,233.0,213.0,456.0,178.0,266.0,494,251,234
270010065,315.5,97.9,205.5,232.3,95.0,120.2,236.4,121.3,103.1,234.4,107.2,113.2,258,140,110
270010070,212.5,77.1,124.5,197.7,88.0,102.8,204.6,108.7,91.9,203.6,96.8,100.8,256,145,108
270010075,111.0,27.0,79.0,95.0,25.0,62.0,96.0,47.0,48.0,96.0,32.0,62.0,130,81,47
270010080,174.0,43.0,121.0,153.0,47.0,100.0,157.0,68.0,85.0,155.0,54.0,98.0,157,69,80
270010082,25.0,4.0,18.0,19.0,3.0,9.0,19.0,7.0,9.0,19.0,6.0,13.0,20,11,7
270010085,123.0,44.0,71.0,123.0,44.0,68.0,125.0,67.0,51.0,125.0,48.0,69.0,118,54,64
270010090,276.0,87.0,175.0,269.0,85.0,165.0,271.0,126.0,137.0,270.0,94.0,162.0,342,163,169
270010095,30.0,7.0,22.0,32.0,6.0,25.0,30.0,4.0,23.0,31.0,6.0,22.0,30,10,20
270010100,20.0,5.0,15.0,13.0,4.0,9.0,13.0,4.0,9.0,13.0,4.0,9.0,18,10,8
270010105,17.0,8.0,6.0,18.0,4.0,8.0,19.0,12.0,3.0,19.0,10.0,6.0,9,6,1
270010150,80.8,31.2,40.5,64.3,27.8,35.3,69.3,35.2,32.1,68.3,32.0,36.3,103,57,45
270010230,120.0,37.0,76.0,105.0,25.0,74.0,107.0,43.0,61.0,106.0,30.0,71.0,120,51,68
270010115,26.0,4.0,16.0,22.0,5.0,16.0,21.0,4.0,15.0,22.0,6.0,15.0,66,25,41
270010120,146.0,62.0,74.0,134.0,57.0,68.0,136.0,73.0,52.0,135.0,62.0,64.0,146,78,64
270010130,98.0,37.0,57.0,77.0,30.0,40.0,80.0,44.0,33.0,79.0,40.0,35.0,108,55,43
270010285,34.0,12.0,21.0,33.0,15.0,15.0,33.0,17.0,15.0,33.0,18.0,15.0,22,14,8
270010132,27.0,13.0,12.0,25.0,9.0,14.0,26.0,13.0,12.0,26.0,12.0,12.0,31,17,12
270010135,219.0,77.0,127.0,187.0,68.0,103.0,189.0,97.0,86.0,190.0,81.0,103.0,236,122,109
270010140,96.0,25.0,62.0,76.0,21.0,50.0,75.0,26.0,44.0,78.0,25.0,48.0,109,43,60
270010145,683.0,230.0,406.0,613.0,215.0,365.0,631.0,320.0,301.0,620.0,247.0,360.0,667,308,348
270010155,49.0,9.0,37.0,45.0,7.0,33.0,44.0,14.0,30.0,45.0,12.0,32.0,39,11,27
270010160,81.0,20.0,52.0,74.0,25.0,45.0,75.0,36.0,36.0,75.0,29.0,43.0,89,38,50
270010165,55.0,24.0,27.0,57.0,26.0,28.0,56.0,30.0,25.0,57.0,27.0,28.0,59,37,18
270010170,39.0,4.0,31.0,38.0,9.0,25.0,38.0,13.0,23.0,38.0,12.0,25.0,38,12,22
270010180,106.0,43.0,52.0,87.0,36.0,41.0,87.0,48.0,34.0,87.0,40.0,40.0,114,76,37
270010185,332.4,105.5,200.2,278.1,98.6,164.7,282.1,138.1,136.1,282.1,118.4,155.8,330,153,169
270010190,30.0,16.0,13.0,22.0,11.0,9.0,22.0,15.0,6.0,22.0,11.0,9.0,34,25,9
270010195,108.0,39.0,60.0,92.0,33.0,54.0,95.0,50.0,42.0,95.0,42.0,51.0,113,56,55
270010200,29.0,9.0,18.0,27.0,7.0,17.0,26.0,10.0,16.0,26.0,9.0,17.0,34,15,17
270010205,183.0,55.0,120.0,164.0,50.0,109.0,167.0,83.0,82.0,166.0,58.0,103.0,207,103,96
270010210,197.0,65.0,126.0,170.0,63.0,95.0,173.0,85.0,79.0,173.0,75.0,90.0,199,103,91
