GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
28001101,1120,908,169,23,3,9,8,0,179,7,11,2,989,813,148,13,3,5,7,0,153,3,8,0,946.9,595.4,332.5,9.8,0.0,9.1,0.0,0.0,337.3,9.1,0.0,0.0
28001102,1889,475,1369,7,3,34,1,0,1392,10,8,2,1359,399,937,6,3,13,1,0,943,9,5,0,1508.4,458.1,1046.0,2.4,0.0,2.0,0.0,0.0,1046.0,1.7,0.3,0.0
28001103,3229,2149,981,26,2,35,36,0,994,18,39,2,2670,1851,753,15,1,20,30,0,757,10,31,1,2702.9,1720.4,939.5,0.0,0.0,28.0,15.0,0.0,939.5,8.3,34.7,0.0
28001201,1537,1216,276,18,1,16,10,0,292,11,10,1,1172,972,176,10,0,6,8,0,180,4,8,1,1548.6,1154.8,353.5,26.3,0.0,14.0,0.0,0.0,367.5,0.0,0.0,0.0
28001202,2007,1123,824,32,4,21,3,0,847,12,3,0,1555,964,552,19,2,15,3,0,567,10,3,0,2421.6,1021.0,1385.7,9.3,0.0,5.7,0.0,0.0,1388.7,5.7,0.0,0.0
28001203,1557,854,643,31,6,11,11,1,652,22,15,1,1149,646,457,29,4,6,7,0,462,15,9,0,1572.8,772.8,800.1,0.0,0.0,0.0,0.0,0.0,800.1,0.0,0.0,0.0
28001204,1213,1020,167,11,5,9,1,0,172,8,1,1,983,846,118,10,2,6,1,0,121,5,1,1,1421.1,1049.6,248.8,118.7,3.9,0.0,0.1,0.0,300.7,4.0,0.1,0.0
28001301,1261,63,1168,10,8,12,0,0,1183,12,4,1,916,50,847,8,2,9,0,0,857,6,2,1,820.9,32.0,775.9,12.6,0.0,0.4,0.0,0.0,788.7,13.0,0.0,0.0
28001302,897,349,518,13,2,13,2,0,530,6,2,0,660,279,362,8,2,7,2,0,368,6,2,0,1125.1,356.9,750.6,2.8,14.8,0.0,0.0,0.0,753.4,14.8,0.0,0.0
28001303,1623,133,1455,19,0,16,0,0,1477,6,6,0,1062,105,938,10,0,9,0,0,948,3,4,0,1795.9,89.6,1616.0,18.2,0.0,38.3,33.9,0.0,1670.0,0.0,33.9,0.0
