GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
300010001001,615,571,0,27,8,2,3,4,0,9,4,4,506,476,0,20,4,2,3,1,0,5,4,1,664.0,626.0,0.0,29.0,0.0,9.0,0.0,0.0,0.0,11.0,1.0,0.0
300010001002,751,701,2,30,2,11,3,2,2,9,7,2,576,545,0,22,2,4,1,2,0,6,1,2,520.0,484.0,0.0,8.0,6.0,22.0,0.0,0.0,0.0,25.0,3.0,3.0
300010002001,1566,1483,1,42,19,10,8,3,2,25,9,3,1247,1181,1,34,15,7,6,3,1,19,7,3,1762.0,1677.0,0.0,6.0,4.0,65.0,10.0,0.0,0.0,34.0,45.0,0.0
300010002002,1904,1749,3,85,34,28,2,3,10,59,2,4,1525,1409,3,63,24,21,2,3,6,43,2,3,1923.0,1570.0,4.0,108.0,180.0,24.0,24.0,13.0,4.0,204.0,24.0,13.0
300010003001,1178,1079,2,61,15,19,1,1,2,30,5,1,909,841,2,37,13,14,1,1,2,24,3,1,1178.0,970.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300010003002,829,749,2,31,11,17,7,12,4,21,9,14,676,626,1,19,7,8,5,10,1,11,7,12,754.0,744.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0
300010003003,977,927,2,24,4,13,5,2,3,11,9,3,809,767,2,17,4,13,5,1,3,11,9,2,1594.0,1515.0,2.0,31.0,32.0,14.0,0.0,0.0,2.0,46.0,0.0,0.0
300010003004,1426,1308,7,38,24,31,7,11,13,53,16,17,1138,1059,5,21,12,23,7,11,9,29,16,17,998.0,956.0,0.0,31.0,6.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0
300039406001,1517,207,1,32,1261,16,0,0,6,1301,0,0,946,152,1,20,762,11,0,0,4,786,0,0,1668.0,184.0,0.0,129.0,1345.0,10.0,0.0,0.0,0.0,1373.0,0.0,0.0
300039406002,1406,147,2,29,1208,18,2,0,2,1243,8,3,921,124,2,14,770,9,2,0,2,785,6,1,1853.0,196.0,0.0,96.0,1530.0,31.0,0.0,0.0,0.0,1650.0,0.0,0.0
300039405001,639,300,0,11,315,13,0,0,0,325,0,0,452,253,0,8,184,7,0,0,0,188,0,0,622.0,240.0,6.0,0.0,307.0,69.0,0.0,0.0,28.0,354.0,0.0,0.0
300039405002,797,160,0,17,611,8,1,0,0,628,1,0,546,132,0,11,397,5,1,0,0,407,1,0,681.0,163.0,0.0,9.0,506.0,0.0,0.0,3.0,0.0,509.0,0.0,3.0
300039407002,912,57,0,12,825,16,1,1,6,849,1,1,575,45,0,5,515,8,1,1,4,525,1,1,954.0,38.0,0.0,13.0,893.0,10.0,0.0,0.0,0.0,902.0,1.0,0.0
300039407001,1282,361,1,27,876,15,2,0,1,908,5,0,868,281,1,16,564,4,2,0,1,577,2,0,1025.0,226.0,0.0,7.0,787.0,5.0,0.0,0.0,0.0,792.0,0.0,0.0
300039404001,1790,199,1,92,1463,33,2,0,11,1570,2,0,1039,169,1,38,812,18,1,0,6,852,1,0,1835.0,169.0,0.0,109.0,1552.0,5.0,0.0,0.0,0.0,1579.0,0.0,0.0
300030001001,1013,532,6,84,332,39,18,2,7,389,18,2,779,459,3,48,222,29,16,2,3,260,16,2,1032.0,459.0,0.0,333.0,215.0,13.0,12.0,0.0,20.0,235.0,25.0,0.0
300030001002,1956,939,16,117,775,89,20,0,22,899,32,0,1324,760,4,65,434,46,15,0,7,496,21,0,1894.0,1114.0,0.0,101.0,671.0,0.0,8.0,0.0,0.0,671.0,51.0,0.0
300030001003,890,447,3,59,336,37,8,0,3,389,10,0,626,385,3,34,179,18,7,0,3,208,7,0,1103.0,227.0,0.0,40.0,760.0,76.0,0.0,0.0,62.0,814.0,0.0,0.0
300030001004,663,559,0,30,51,18,5,0,3,65,10,0,521,457,0,20,33,6,5,0,0,39,6,0,709.0,614.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0
300050002001,1090,1028,0,14,37,10,1,0,0,46,2,0,807,762,0,13,24,7,1,0,0,32,1,0,1290.0,1228.0,0.0,20.0,14.0,28.0,0.0,0.0,0.0,42.0,0.0,0.0
300050002002,495,432,0,5,48,10,0,0,0,54,5,0,417,370,0,2,38,7,0,0,0,43,2,0,370.0,305.0,0.0,9.0,52.0,4.0,0.0,0.0,0.0,56.0,0.0,0.0
300050002003,825,727,0,10,74,10,4,0,0,80,8,2,630,563,0,4,53,7,3,0,0,58,5,0,694.0,617.0,19.0,12.0,33.0,13.0,0.0,0.0,19.0,33.0,0.0,0.0
300059401001,1398,28,1,32,1321,16,0,0,1,1366,0,0,862,26,1,17,810,8,0,0,1,833,0,0,1628.0,68.0,7.0,105.0,1424.0,24.0,0.0,0.0,7.0,1528.0,24.0,0.0
300059402001,604,41,3,3,544,13,0,0,5,560,0,0,410,38,3,1,358,10,0,0,3,369,0,0,547.0,72.0,0.0,13.0,462.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0
300059402002,726,20,0,16,686,4,0,0,0,705,1,1,434,20,0,5,406,3,0,0,0,413,1,0,887.0,8.0,0.0,16.0,863.0,0.0,0.0,0.0,0.0,879.0,0.0,0.0
300050001001,532,485,3,2,26,15,1,0,3,41,2,0,393,369,1,1,17,4,1,0,1,22,1,0,438.0,415.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,23.0,0.0,0.0
300050001002,821,346,0,33,402,39,0,1,1,466,0,1,589,287,0,21,249,31,0,1,1,296,0,1,873.0,315.0,0.0,63.0,472.0,18.0,5.0,0.0,0.0,538.0,5.0,0.0
300070002002,1338,1268,3,27,15,22,3,0,6,35,4,1,1055,1007,3,19,10,14,2,0,4,23,3,1,1600.2,1449.9,0.0,51.2,46.0,53.0,0.0,0.0,0.0,87.0,12.0,0.0
300070001001,974,910,3,29,19,11,2,0,4,33,2,0,766,721,2,18,16,9,0,0,2,27,0,0,860.8,751.0,3.0,88.8,18.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0
300070001002,1103,1037,2,30,9,21,4,0,3,29,4,2,839,804,1,16,5,11,2,0,2,16,2,1,1260.0,1233.0,0.0,21.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
300070002001,2197,2095,7,40,25,19,0,11,11,33,10,11,1690,1638,3,20,17,7,0,5,5,21,2,5,2113.0,2051.0,0.0,0.0,8.0,54.0,0.0,0.0,0.0,62.0,0.0,0.0
300090005001,1354,1312,1,15,10,15,1,0,2,27,1,1,1109,1082,1,11,5,9,1,0,1,16,1,1,1564.9,1472.4,0.0,9.0,44.0,34.4,5.1,0.0,3.0,46.4,30.0,4.0
300090002001,919,877,1,32,4,5,0,0,2,8,0,0,728,702,1,19,4,2,0,0,1,6,0,0,990.0,966.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
300090002002,837,798,1,13,15,8,2,0,4,21,5,1,659,635,1,8,9,4,2,0,2,13,3,1,955.0,886.0,0.0,43.0,18.0,8.0,0.0,0.0,0.0,26.0,0.0,0.0
