GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
300010001001,350,78,260,0,0,0,0,0,0,0,0,0,0,0,0
300010001002,412,84,318,0,0,0,0,0,0,0,0,0,0,0,0
300010002001,897,247,630,0,0,0,0,0,0,0,0,0,0,0,0
300010002002,1009,278,698,0,0,0,0,0,0,0,0,0,0,0,0
300010003001,511,211,289,0,0,0,0,0,0,0,0,0,0,0,0
300010003002,374,164,194,0,0,0,0,0,0,0,0,0,0,0,0
300010003003,457,215,225,0,0,0,0,0,0,0,0,0,0,0,0
300010003004,753,340,394,0,0,0,0,0,0,0,0,0,0,0,0
300030001001,367,176,177,0,0,0,0,0,0,0,0,0,0,0,0
300030001002,659,299,347,0,0,0,0,0,0,0,0,0,0,0,0
300030001003,325,167,152,0,0,0,0,0,0,0,0,0,0,0,0
300030001004,327,85,237,0,0,0,0,0,0,0,0,0,0,0,0
300039404001,399,280,112,0,0,0,0,0,0,0,0,0,0,0,0
300039405001,327,172,149,0,0,0,0,0,0,0,0,0,0,0,0
300039405002,417,328,88,0,0,0,0,0,0,0,0,0,0,0,0
300039406001,675,565,105,0,0,0,0,0,0,0,0,0,0,0,0
300039406002,672,580,88,0,0,0,0,0,0,0,0,0,0,0,0
300039407001,580,458,115,0,0,0,0,0,0,0,0,0,0,0,0
300039407002,470,406,58,0,0,0,0,0,0,0,0,0,0,0,0
300050001001,284,118,156,0,0,0,0,0,0,0,0,0,0,0,0
300050001002,386,220,154,0,0,0,0,0,0,0,0,0,0,0,0
300050002001,500,135,343,0,0,0,0,0,0,0,0,0,0,0,0
300050002002,283,109,164,0,0,0,0,0,0,0,0,0,0,0,0
300050002003,433,174,244,0,0,0,0,0,0,0,0,0,0,0,0
300059401001,545,496,40,0,0,0,0,0,0,0,0,0,0,0,0
300059402001,252,234,15,0,0,0,0,0,0,0,0,0,0,0,0
300059402002,241,216,23,0,0,0,0,0,0,0,0,0,0,0,0
300070001001,482,161,309,0,0,0,0,0,0,0,0,0,0,0,0
300070001002,520,179,328,0,0,0,0,0,0,0,0,0,0,0,0
300070002001,1107,334,743,0,0,0,0,0,0,0,0,0,0,0,0
300070002002,698,183,495,0,0,0,0,0,0,0,0,0,0,0,0
300090001001,365,109,240,0,0,0,0,0,0,0,0,0,0,0,0
300090001002,333,133,186,0,0,0,0,0,0,0,0,0,0,0,0
300090001003,620,204,395,0,0,0,0,0,0,0,0,0,0,0,0
300090002001,481,146,320,0,0,0,0,0,0,0,0,0,0,0,0
300090002002,402,142,239,0,0,0,0,0,0,0,0,0,0,0,0
300090003001,673,414,245,0,0,0,0,0,0,0,0,0,0,0,0
300090003002,382,247,124,0,0,0,0,0,0,0,0,0,0,0,0
300090003003,309,179,123,0,0,0,0,0,0,0,0,0,0,0,0
300090004001,617,215,378,0,0,0,0,0,0,0,0,0,0,0,0
300090004002,759,354,382,0,0,0,0,0,0,0,0,0,0,0,0
300090005001,805,300,476,0,0,0,0,0,0,0,0,0,0,0,0
300110003001,376,77,284,0,0,0,0,0,0,0,0,0,0,0,0
300110003002,339,34,289,0,0,0,0,0,0,0,0,0,0,0,0
300130001001,434,201,222,0,0,0,0,0,0,0,0,0,0,0,0
300130001002,349,178,162,0,0,0,0,0,0,0,0,0,0,0,0
300130002001,485,265,207,0,0,0,0,0,0,0,0,0,0,0,0
300130002002,567,308,245,0,0,0,0,0,0,0,0,0,0,0,0
300130002003,710,392,300,0,0,0,0,0,0,0,0,0,0,0,0
300130003001,369,202,159,0,0,0,0,0,0,0,0,0,0,0,0
300130003002,452,261,182,0,0,0,0,0,0,0,0,0,0,0,0
300130003003,287,165,116,0,0,0,0,0,0,0,0,0,0,0,0
300130003004,350,191,149,0,0,0,0,0,0,0,0,0,0,0,0
