GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3800139-01,113,39,70,102.9,19.3,83.2,103.7,32.4,70.9,108.5,19.2,81.0,108.4,12.0,93.5,108.9,10.1,95.1
3800139-02,1018,348,631,924.8,173.8,747.9,932.0,291.5,637.4,975.3,173.0,727.9,974.5,108.1,840.0,979.2,91.3,854.4
3800139-03,140,48,87,127.2,23.9,102.9,128.2,40.1,87.7,134.2,23.8,100.1,134.1,14.9,115.6,134.7,12.5,117.5
3800320-06,316,152,157,318.0,116.0,202.0,327.0,163.0,164.0,327.0,91.0,206.0,321.0,56.0,247.0,320.0,52.0,252.0
3800320-10,88,44,44,76.0,28.0,48.0,78.0,38.0,39.0,88.0,28.0,54.0,87.0,17.0,66.0,85.0,17.0,62.0
3800320-12,257,102,141,241.8,76.6,164.2,248.3,124.8,123.5,275.1,65.5,183.1,278.3,42.0,232.4,277.3,32.8,234.2
3800320-13,263,141,118,213.2,80.4,132.8,218.7,111.1,107.6,235.0,61.5,141.0,237.6,37.0,191.6,236.8,35.2,188.9
3800324-01,355,184,166,363.0,109.0,254.0,372.0,191.0,178.0,419.0,141.0,240.0,420.0,78.0,333.0,419.0,63.0,346.0
3800324-02,787,404,358,662.0,298.0,363.0,678.0,382.0,292.0,682.0,233.0,372.0,672.0,131.0,526.0,674.0,131.0,526.0
3800324-03,453,262,183,311.8,113.7,197.3,321.9,162.2,157.2,383.7,137.1,192.3,380.4,76.9,281.7,382.1,76.9,280.1
3800324-04,684,346,313,558.8,216.0,342.7,567.5,296.5,268.0,595.5,198.1,327.5,597.4,112.0,453.6,598.5,101.1,467.5
3800324-05,992,489,488,892.3,310.9,580.4,899.6,467.7,430.4,940.7,322.5,507.6,940.2,182.9,720.9,947.3,156.8,754.6
3800324-07,218,87,125,177.0,48.2,128.8,177.0,79.7,96.0,184.9,40.2,117.5,181.9,20.6,153.7,186.9,23.0,157.0
3800324-08,102,43,56,94.0,20.8,73.2,96.0,42.3,53.0,104.1,18.8,76.5,104.1,11.4,91.3,106.1,8.1,96.0
3800324-09,231,115,114,216.0,50.0,166.0,217.0,91.0,126.0,225.0,46.0,151.0,222.0,19.0,188.0,222.0,19.0,193.0
3800324-11,604,239,357,546.0,159.4,385.6,559.0,237.5,321.5,587.1,144.3,380.6,586.1,85.2,490.8,582.1,78.2,490.8
3800324-14,101,50,49,92.0,24.0,68.0,92.0,51.0,41.0,97.0,25.0,65.0,98.0,21.0,73.0,97.0,18.0,76.0
3800324-15,243,83,157,186.0,45.0,141.0,191.0,79.0,110.0,200.0,45.0,146.0,201.0,27.0,168.0,204.0,23.0,178.0
3800507-01,97,48,49,90.0,26.6,63.4,91.3,42.3,48.4,93.2,27.9,55.5,94.6,27.9,64.4,95.1,18.1,73.9
3800507-02,471,245,218,408.4,120.7,287.7,414.5,192.0,219.7,423.0,126.4,251.9,429.3,126.8,292.1,431.4,82.1,335.2
3800507-03,183,114,67,160.7,47.5,113.2,163.1,75.5,86.5,166.5,49.7,99.1,168.9,49.9,114.9,169.8,32.3,131.9
3800507-04,420,232,177,355.9,105.2,250.7,361.1,167.3,191.4,368.5,110.1,219.5,374.1,110.4,254.5,375.9,71.5,292.1
3800523-05,178,108,67,137.0,46.8,89.6,134.7,67.4,66.8,143.9,45.1,83.4,145.6,48.5,93.6,147.9,28.6,114.2
3800523-06,122,66,53,103.0,35.2,67.4,101.3,50.6,50.2,108.1,33.9,62.7,109.4,36.5,70.4,111.1,21.5,85.8
3800523-07,706,623,80,751.0,617.0,132.0,767.0,691.0,74.0,540.0,372.0,81.0,523.0,344.0,137.0,527.0,270.0,203.0
3800523-08,197,133,62,228.0,113.0,111.0,234.0,141.0,91.0,168.0,77.0,76.0,162.0,73.0,82.0,164.0,50.0,104.0
3800739-01,144,33,106,174.0,34.0,140.0,175.0,53.0,122.0,183.0,31.0,133.0,185.0,16.0,160.0,185.0,22.0,156.0
3800739-02,277,73,200,290.0,30.0,260.0,295.0,41.0,254.0,313.0,21.0,267.0,314.0,23.0,280.0,313.0,18.0,285.0
3800739-03,78,8,69,95.0,13.0,82.0,95.0,21.0,74.0,109.0,7.0,95.0,108.0,9.0,97.0,107.0,3.0,102.0
3800906-01,583,229,342,513.6,106.3,407.3,515.7,165.7,349.3,540.5,122.2,372.1,538.4,96.6,421.1,543.9,67.6,457.0
3800906-03,163,66,90,120.5,26.1,93.9,121.9,42.0,79.2,127.2,26.2,92.7,126.8,22.7,101.8,128.2,13.1,111.9
3800906-04,379,153,219,369.6,78.7,289.4,373.4,126.3,244.9,390.3,79.1,285.9,389.0,68.6,312.5,393.0,39.8,343.9
3800906-05,149,24,124,131.5,24.8,106.6,130.9,35.7,94.4,143.3,22.0,111.3,141.8,19.0,115.5,142.4,13.5,124.5
3800906-06,365,132,224,342.2,88.8,252.5,345.1,131.0,212.7,372.1,86.7,256.6,369.2,67.1,293.6,372.0,41.6,316.4
3800906-07,94,30,61,65.8,14.1,51.4,66.6,22.9,43.3,69.3,14.3,50.5,69.2,12.4,55.5,69.9,7.1,61.2
3800906-08,213,65,146,188.3,35.5,152.5,187.4,51.0,135.1,205.1,31.5,159.3,202.9,27.2,165.4,203.9,19.3,178.2
3800906-10,295,112,180,269.3,50.7,218.2,268.0,73.0,193.3,293.4,45.1,227.8,290.3,38.9,236.6,291.6,27.6,254.9
3800906-11,179,81,93,147.3,40.9,106.1,148.0,59.9,88.1,160.3,43.1,103.8,158.8,30.6,124.8,160.4,18.8,135.9
3800906-12,373,173,193,340.6,91.1,248.8,342.5,134.0,208.1,369.9,94.7,244.8,366.7,69.1,288.9,370.0,43.1,313.4
