GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
310011P,1155,1119,2,20,5,4,5,0,3,8,8,0,833,822,1,6,2,1,1,0,1,3,2,0,1347.5,1316.6,0.0,4.0,3.1,9.5,14.4,0.0,0.0,8.0,14.4,0.0
310011W,2587,1825,40,613,13,31,64,1,60,31,72,1,1807,1368,19,352,6,15,46,1,24,18,50,1,2439.3,1861.2,2.7,562.2,2.7,10.4,0.2,0.0,12.7,3.0,0.2,0.0
310012E,1418,1206,14,131,7,15,43,2,22,13,44,3,1020,904,6,69,4,4,31,2,6,6,32,3,1310.7,1073.3,0.1,199.5,0.0,36.1,1.7,0.0,36.3,0.0,21.1,19.4
310012P,241,232,2,6,1,0,0,0,2,1,0,0,193,186,2,4,1,0,0,0,2,1,0,0,314.2,308.8,0.0,1.0,0.8,2.1,1.5,0.0,0.0,1.7,1.5,0.0
310012W,1959,1633,39,218,17,26,24,2,68,24,29,8,1426,1239,21,125,12,12,15,2,34,16,17,5,1807.1,1692.7,0.1,106.4,0.3,7.7,0.0,0.0,7.7,0.3,0.0,0.0
310013P,999,947,1,26,4,16,5,0,5,7,6,0,737,711,0,15,2,8,1,0,0,4,2,0,1100.0,1010.0,0.0,39.3,0.2,40.6,9.9,0.0,26.3,27.4,11.6,0.0
310013W,1651,1243,10,350,8,28,12,0,16,29,15,1,1374,1142,9,195,8,11,9,0,10,16,11,1,1876.2,1466.0,10.4,367.9,24.0,4.6,3.3,0.0,11.0,27.5,5.1,0.0
310014P,651,628,1,15,2,1,4,0,4,2,4,0,482,472,1,5,2,1,1,0,2,2,1,0,686.3,668.1,0.4,12.6,0.2,4.9,0.1,0.0,4.5,5.0,0.3,0.0
310015P,960,934,0,14,1,6,5,0,0,3,9,0,737,721,0,9,1,2,4,0,0,3,5,0,984.1,927.9,1.0,28.5,0.1,19.0,7.5,0.0,16.5,7.3,8.0,0.0
310015W,291,197,0,75,2,5,12,0,2,12,13,0,201,150,0,38,2,4,7,0,2,9,7,0,264.8,221.1,0.0,40.7,0.0,2.9,0.0,0.0,2.9,0.0,1.6,1.6
310016P,505,474,4,21,0,1,5,0,4,3,5,0,473,443,4,20,0,1,5,0,4,3,5,0,575.2,348.5,4.2,196.9,21.1,2.6,1.9,0.0,4.4,26.9,2.0,0.0
310016W,1635,1561,1,40,0,8,23,2,4,1,26,3,1157,1116,0,19,0,4,16,2,2,1,16,3,1806.3,1622.5,6.7,51.2,0.1,23.4,102.4,0.0,30.7,10.9,103.1,0.0
310017P,383,379,0,3,1,0,0,0,0,1,0,0,283,281,0,1,1,0,0,0,0,1,0,0,417.6,380.1,0.2,2.1,0.0,3.9,31.3,0.0,0.2,3.9,31.3,0.0
310017W,1296,1158,6,83,6,10,33,0,15,8,37,0,993,909,2,46,5,6,25,0,8,7,28,0,1131.4,1003.5,11.7,68.4,0.0,29.0,18.8,0.0,11.7,29.0,18.8,0.0
310018P,520,515,0,5,0,0,0,0,0,0,0,0,391,388,0,3,0,0,0,0,0,0,0,0,523.5,488.2,2.0,10.8,0.0,1.1,21.4,0.0,2.0,1.1,21.4,0.0
310018W,1462,1413,3,17,2,8,19,0,5,4,24,0,1133,1109,1,7,2,3,11,0,1,2,13,0,1517.2,1218.8,19.5,215.3,2.0,54.5,7.2,0.0,76.2,13.0,7.2,0.0
310019P,665,657,0,5,1,1,1,0,0,2,3,2,459,453,0,4,1,0,1,0,0,1,2,1,624.5,581.6,4.4,11.7,0.0,1.8,25.0,0.0,4.4,1.8,25.0,0.0
310019W,1367,1150,15,151,6,22,23,0,34,16,27,0,1037,892,9,101,5,13,17,0,18,14,20,0,1311.1,1106.7,4.9,155.1,0.0,22.2,22.1,0.0,17.8,9.3,24.4,1.3
3100110P,392,389,1,0,0,1,1,0,2,0,1,0,307,306,1,0,0,0,0,0,1,0,0,0,416.4,394.5,11.9,10.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0
3100110W,1350,1170,18,122,6,15,19,0,29,13,21,1,1057,936,10,89,3,6,13,0,12,10,14,1,1406.6,1135.8,6.3,208.9,5.2,44.3,6.0,0.0,25.0,27.3,14.2,11.4
3100111W,1558,1347,8,168,6,9,20,0,11,20,20,0,1196,1070,5,105,3,4,9,0,5,13,9,0,1453.2,1276.8,8.9,120.6,2.0,22.8,22.2,0.0,27.6,2.0,23.3,0.0
3100112W,299,282,0,7,0,4,6,0,3,0,7,0,226,219,0,3,0,1,3,0,1,0,3,0,334.9,250.0,4.3,63.3,0.8,16.5,0.0,0.0,25.8,0.8,0.0,0.0
3100113W,1723,1652,2,22,9,2,36,0,6,10,36,0,1312,1259,0,19,6,2,26,0,4,7,26,0,1884.2,1755.2,10.5,50.7,14.1,28.2,25.5,0.0,29.2,14.1,33.2,0.0
3100114W,1324,1108,10,158,1,21,26,0,16,9,34,0,988,868,5,87,1,10,17,0,6,7,20,0,1181.1,990.4,4.1,136.1,0.0,36.5,13.6,0.4,13.0,32.0,17.6,3.2
3100115W,1328,1249,0,39,1,17,22,0,9,4,28,5,1023,978,0,23,1,7,14,0,3,2,17,1,1278.5,1078.5,6.7,176.6,0.6,11.3,3.7,1.3,9.3,75.3,5.8,9.2
3100116W,958,876,7,42,4,22,7,0,15,18,10,5,770,704,6,35,3,15,7,0,10,15,9,3,857.3,751.5,5.9,61.3,0.0,22.2,15.2,1.2,7.7,20.2,16.9,2.9
3100117W,2687,2403,35,193,1,32,21,2,50,18,31,2,2232,2033,31,128,1,21,17,1,40,14,24,1,2733.8,2333.5,51.1,239.8,0.0,63.1,40.2,6.1,81.0,16.4,122.0,14.8
310031P,601,583,2,13,0,3,0,0,4,1,0,0,463,454,0,9,0,0,0,0,0,0,0,0,584.9,527.5,0.7,55.5,0.7,0.7,0.0,0.0,0.7,1.3,0.0,0.0
310031W,324,310,1,4,1,7,1,0,4,1,1,0,245,238,0,1,1,4,1,0,2,1,1,0,342.9,324.3,10.3,4.6,0.6,3.0,0.0,0.0,11.6,1.8,1.5,0.3
310032P,241,236,0,4,1,0,0,0,0,1,0,0,197,195,0,1,1,0,0,0,0,1,0,0,248.8,224.4,0.3,23.6,0.3,0.3,0.0,0.0,0.3,0.6,0.0,0.0
310032W,737,685,1,38,2,5,6,0,2,8,6,0,586,567,1,11,1,4,2,0,1,5,2,0,699.4,680.1,4.4,5.9,0.0,6.7,2.2,0.0,4.4,6.7,2.2,0.0
310033P,661,643,3,3,0,1,11,0,3,0,12,0,491,488,1,1,0,0,1,0,1,0,1,0,646.3,615.1,0.1,30.9,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.0
310033W,862,827,3,29,0,3,0,0,3,1,0,0,646,627,3,16,0,0,0,0,3,0,0,0,806.8,781.9,4.6,5.8,0.0,13.9,0.6,0.0,15.9,3.4,3.2,0.0
310034P,940,876,2,53,0,7,2,0,3,0,6,0,651,614,1,30,0,4,2,0,2,0,4,0,775.0,737.4,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310034W,331,322,0,5,0,4,0,0,3,0,0,0,267,260,0,4,0,3,0,0,3,0,0,0,334.2,327.9,0.0,1.8,2.1,0.0,2.5,0.0,0.0,2.1,2.5,0.0
310035P,481,474,3,1,1,2,0,0,3,2,1,0,394,390,1,1,0,2,0,0,1,1,1,0,385.4,364.7,1.5,16.3,0.0,2.6,0.2,0.0,3.2,1.0,0.7,0.0
310035W,330,328,0,1,0,1,0,0,1,0,0,0,255,254,0,1,0,0,0,0,0,0,0,0,319.2,313.1,0.0,1.7,2.0,0.0,2.4,0.0,0.0,2.0,2.4,0.0
310036P,391,375,0,10,0,6,0,0,1,0,1,0,292,284,0,7,0,1,0,0,0,0,0,0,378.5,368.3,0.0,6.9,1.5,0.0,1.8,0.0,0.0,1.5,1.8,0.0
310037P,544,517,4,17,4,2,0,0,6,5,0,0,419,405,1,8,4,1,0,0,1,5,0,0,578.6,549.3,15.6,7.5,1.3,4.6,0.4,0.0,17.4,3.1,2.7,0.4
310038P,242,242,0,0,0,0,0,0,0,0,0,0,205,205,0,0,0,0,0,0,0,0,0,0,272.0,256.9,7.6,4.8,0.4,2.2,0.0,0.0,8.5,1.3,1.1,0.2
310051P,460,435,0,19,2,3,1,0,0,5,2,1,335,324,0,7,2,1,1,0,0,3,1,0,418.0,397.0,0.0,3.0,2.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
310071P,690,656,0,26,3,5,0,0,0,5,3,0,536,515,0,16,3,2,0,0,0,3,2,0,696.0,640.0,0.0,42.0,0.0,14.0,0.0,0.0,5.0,9.0,0.0,0.0
310091,478,474,1,0,0,3,0,0,1,3,0,0,361,359,1,0,0,1,0,0,1,1,0,0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310111P,627,613,0,7,3,4,0,0,1,6,0,0,480,473,0,3,1,3,0,0,1,3,0,0,461.0,427.3,3.4,25.9,0.0,3.4,0.9,0.0,6.9,0.0,0.9,0.0
310112P,174,169,0,4,0,0,1,0,0,0,1,0,131,129,0,2,0,0,0,0,0,0,0,0,182.3,181.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310113P,303,291,0,10,0,2,0,0,0,1,0,1,210,205,0,3,0,2,0,0,0,1,0,1,270.1,258.5,2.9,5.1,0.0,3.6,0.1,0.0,6.5,0.0,0.1,0.0
310114P,808,795,2,4,2,2,2,1,2,2,4,1,615,607,2,3,1,1,0,1,2,1,1,1,806.0,795.2,0.2,8.0,0.0,2.5,0.1,0.0,2.7,0.1,1.3,0.0
310115P,927,906,2,12,5,1,1,0,2,8,1,0,706,698,0,6,1,1,0,0,0,3,0,0,821.9,794.1,0.1,27.4,0.0,0.3,0.0,0.0,0.3,4.0,0.0,0.0
310116P,943,925,0,16,0,0,2,0,0,3,3,0,734,724,0,8,0,0,2,0,0,2,3,0,950.8,933.2,0.0,11.6,0.0,5.9,0.0,0.0,4.7,1.2,2.7,0.0
310117P,609,599,7,2,1,0,0,0,8,1,0,0,475,471,3,0,1,0,0,0,3,1,0,0,663.1,625.7,11.3,10.5,0.0,15.6,0.0,0.0,25.9,1.0,0.0,0.0
310118P,248,244,2,0,0,2,0,0,2,2,0,0,179,178,1,0,0,0,0,0,1,0,0,0,262.4,257.2,0.0,3.3,0.0,1.9,0.0,0.0,0.0,1.9,0.0,0.0
310119P,866,841,10,10,0,1,4,0,11,0,4,0,671,660,5,5,0,0,1,0,5,0,1,0,895.5,855.3,4.0,19.3,1.0,5.8,5.0,5.0,4.0,1.8,10.0,5.0
310133P,1739,1320,7,291,86,30,5,0,18,133,5,0,1306,1073,6,163,50,9,5,0,8,72,5,0,1926.2,1497.8,11.6,122.2,294.6,0.0,0.0,0.0,11.6,294.6,0.0,0.0
310134P,1349,1256,4,66,5,13,5,0,7,17,6,0,1054,1003,2,38,5,2,4,0,2,9,4,0,1398.2,1212.0,5.1,123.8,45.0,6.7,5.6,0.0,9.3,47.3,5.9,0.0
310135P,1432,1252,10,114,32,19,5,0,20,39,8,2,1109,1010,10,63,15,6,5,0,11,17,8,1,1605.6,1322.7,0.0,156.0,2.1,118.5,6.3,0.0,84.0,39.3,17.2,0.0
310136P,1034,917,1,80,15,16,4,1,2,30,10,2,768,706,1,42,10,5,3,1,2,16,4,2,1096.5,852.8,2.2,182.3,0.0,44.7,14.6,0.0,17.5,35.6,39.6,0.0
310137P,1477,1274,7,136,25,27,8,0,15,57,18,1,1080,978,5,75,11,5,6,0,5,21,8,0,1397.4,1087.6,0.0,302.0,7.8,0.0,0.0,0.0,0.0,7.8,0.0,0.0
310138P,1640,1234,8,257,90,47,4,0,18,157,11,1,1140,928,6,143,48,13,2,0,9,66,5,1,1307.2,995.3,15.4,273.2,23.3,0.0,0.0,0.0,31.1,39.0,0.0,6.1
310139P,1169,908,9,170,69,12,1,0,13,102,4,0,897,718,6,123,41,8,1,0,9,65,2,0,892.1,720.3,7.7,158.2,1.0,0.0,5.0,0.0,56.0,8.3,5.0,2.9
3101315P,1468,1403,3,43,6,12,1,0,4,23,5,0,1105,1072,2,22,3,5,1,0,2,10,4,0,1465.7,1383.5,0.0,53.3,8.2,19.2,1.5,0.0,5.5,20.1,3.3,0.0
310151,809,783,0,7,3,7,9,0,2,6,9,0,642,628,0,5,3,3,3,0,0,3,3,0,899.4,852.3,0.2,11.6,7.1,12.0,16.3,0.0,0.3,11.2,24.1,0.0
310152,761,728,1,17,4,4,7,0,2,8,7,0,595,575,0,9,4,2,5,0,1,6,5,0,678.5,646.4,5.1,2.2,10.0,14.1,0.7,0.0,7.4,18.1,4.4,0.0
310153,529,513,0,9,2,4,1,0,1,6,1,2,411,401,0,4,2,3,1,0,0,5,1,2,464.1,442.3,3.7,1.3,7.0,9.9,0.1,0.0,5.3,12.7,2.5,0.0
310171P,1729,1680,2,20,5,18,4,0,9,18,5,0,1329,1307,0,8,2,8,4,0,3,8,4,0,1611.3,1550.8,0.6,20.2,4.4,30.9,4.3,0.0,3.8,30.2,8.2,0.0
310172P,613,606,0,2,1,3,1,0,0,4,1,0,477,474,0,2,0,1,0,0,0,1,0,0,578.8,552.4,0.1,10.9,0.6,11.6,3.2,0.0,1.3,8.4,6.0,0.0
310173P,803,786,0,7,3,5,2,0,2,5,5,0,658,651,0,2,1,2,2,0,1,3,2,0,797.9,766.8,0.3,10.9,2.0,15.4,2.5,0.0,1.9,14.4,4.8,0.0
310191P,422,392,1,15,0,13,1,0,4,8,1,0,323,302,1,10,0,9,1,0,2,6,1,0,396.5,393.7,2.2,0.4,0.0,0.1,0.0,0.0,2.2,0.1,0.4,0.0
310192P,1158,1136,1,8,0,9,4,0,4,2,9,0,847,834,1,6,0,4,2,0,2,1,3,0,1219.3,1172.9,0.9,4.8,0.0,33.9,6.8,0.0,0.9,33.9,6.8,0.0
310193P,568,561,0,6,0,0,1,0,0,0,1,0,450,447,0,3,0,0,0,0,0,0,0,0,536.2,528.8,0.0,4.7,0.0,2.4,0.2,0.0,0.7,1.7,0.2,0.3
310194P,640,624,0,12,2,1,1,0,0,3,1,0,484,477,0,5,0,1,1,0,0,1,1,0,446.9,443.1,0.8,2.2,0.0,0.8,0.0,0.0,0.8,0.8,2.2,0.0
310195P,552,538,0,11,0,3,0,0,0,3,0,0,423,413,0,8,0,2,0,0,0,2,0,0,634.3,602.7,0.0,28.8,0.4,2.4,0.0,0.0,0.0,2.8,0.0,0.0
310197P,835,795,1,31,3,2,3,0,3,3,3,0,640,621,1,15,1,0,2,0,1,1,2,0,794.6,714.0,16.7,54.9,0.7,8.3,0.0,0.0,16.7,5.3,0.0,0.0
310198P,1516,1275,1,222,6,7,5,0,7,10,6,0,1071,929,1,134,1,3,3,0,2,4,3,0,1630.6,1379.2,9.9,236.2,0.4,4.9,0.0,0.0,9.9,4.0,0.0,0.0
310199P,895,845,6,35,2,4,3,0,8,2,4,0,609,584,3,17,1,1,3,0,3,1,4,0,812.9,744.1,11.9,37.7,1.9,11.8,5.6,0.0,13.9,12.4,9.1,0.0
3101910P,2232,2160,8,34,1,22,7,0,14,9,11,0,1579,1543,2,18,1,9,6,0,3,6,7,0,2474.4,2266.2,23.7,135.4,0.1,7.1,42.0,0.0,24.6,3.6,46.8,0.1
3101911P,1610,1382,37,143,7,29,12,0,49,33,20,1,1148,1058,9,60,1,13,7,0,12,14,8,1,1704.0,1606.4,9.5,44.1,8.4,29.0,6.6,0.0,15.6,24.0,10.0,9.1
3101912P,510,501,0,8,0,1,0,0,0,1,0,0,382,377,0,4,0,1,0,0,0,1,0,0,515.1,469.0,0.0,46.1,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0
3101913P,1242,1189,2,40,0,11,0,0,3,10,2,0,905,877,0,21,0,7,0,0,0,7,2,0,1490.9,1428.7,0.0,58.1,2.0,2.0,0.0,0.0,0.0,4.0,0.1,0.0
3101914P,1518,1451,2,35,1,12,17,0,6,3,26,0,1273,1236,2,18,0,6,11,0,2,2,16,0,1662.6,1631.8,1.2,26.5,0.0,0.4,2.6,0.0,1.2,0.1,2.9,0.0
3101915P,1318,1212,8,68,0,17,13,0,16,16,18,0,1075,1003,8,47,0,6,11,0,9,9,12,0,1090.7,954.7,6.9,72.8,0.0,44.9,11.4,0.0,37.7,16.3,16.0,1.8
3101916P,1885,1720,25,110,1,13,16,0,34,9,18,0,1500,1407,12,59,1,7,14,0,15,6,16,0,1857.5,1575.4,0.0,190.4,0.0,49.6,42.1,0.0,33.3,11.0,56.6,0.0
3101917P,1367,1216,19,92,1,20,19,0,29,7,26,0,1064,975,13,54,1,8,13,0,14,7,15,0,1671.2,1360.8,0.0,226.6,0.0,40.0,43.8,0.0,17.0,3.2,63.5,0.0
3101918P,2228,1782,4,385,8,37,12,0,31,23,18,0,1619,1366,3,222,6,13,9,0,13,12,11,0,2111.2,1588.8,0.0,287.6,0.0,157.4,77.4,0.0,58.5,61.0,135.2,2.0
3101919P,1801,1490,20,240,7,31,12,1,38,27,17,4,1332,1156,13,140,6,7,9,1,13,17,11,4,2001.7,1516.2,0.0,456.5,11.3,8.4,9.2,0.0,0.0,16.9,17.0,0.0
3101920P,1106,976,18,74,6,10,22,0,21,11,25,0,915,822,12,48,4,8,21,0,12,6,24,0,1094.3,903.6,32.6,126.2,0.0,19.4,12.4,0.0,40.7,8.1,17.0,3.2
3101921P,1347,1210,11,85,0,11,30,0,17,5,33,2,1073,983,11,50,0,4,25,0,13,4,26,1,1551.1,1392.7,16.6,62.8,0.0,16.9,62.0,0.0,16.6,3.3,75.7,9.0
3101922P,1525,1260,17,222,10,12,4,0,27,17,7,0,1174,994,15,151,7,3,4,0,16,11,5,0,1686.8,1331.0,11.6,302.6,13.6,13.0,15.0,0.0,11.6,22.1,27.9,0.0
3101923P,2941,2682,24,187,6,32,10,0,41,17,14,3,2080,1926,15,110,6,14,9,0,18,12,11,1,3424.4,3046.4,4.4,315.5,14.5,20.2,23.3,0.0,4.4,27.7,43.6,0.0
3101924P,1028,845,18,64,0,12,89,0,19,4,94,0,881,722,16,46,0,9,88,0,16,3,92,0,1103.0,887.2,52.4,107.7,0.0,22.2,33.5,0.0,61.7,13.0,37.2,0.0
3101925P,1717,1655,7,29,1,13,12,0,13,8,13,2,1233,1198,3,20,1,4,7,0,3,4,8,2,1690.1,1589.5,25.3,54.5,0.0,14.1,6.8,0.0,30.6,7.8,11.4,0.0
3101926P,2111,1791,31,131,3,28,125,2,39,9,134,3,1968,1660,31,126,3,24,122,2,38,8,130,3,2590.9,2080.5,76.5,252.1,0.0,37.0,144.8,0.0,84.0,22.2,152.1,0.0
3101927P,1426,1276,17,77,4,24,28,0,21,14,33,0,1161,1058,16,50,4,11,22,0,17,11,24,0,1498.3,1346.4,39.4,40.7,0.0,29.7,42.0,0.0,76.2,9.0,50.4,0.0
3101928P,2801,2651,19,79,1,22,29,0,27,13,36,0,2062,1962,13,52,1,15,19,0,16,7,25,0,3136.0,2892.5,40.8,89.3,7.7,42.0,63.8,0.0,49.6,28.0,70.4,11.3
3101929P,857,804,3,31,1,6,12,0,4,3,17,0,649,614,3,19,1,2,10,0,3,2,11,0,856.1,761.9,20.2,37.0,0.6,18.6,17.7,0.0,39.6,6.1,21.5,0.9
3101930P,2060,1621,38,267,22,40,72,0,68,29,78,3,1544,1277,34,142,9,14,68,0,41,16,70,1,2001.5,1580.8,58.5,279.7,0.4,67.1,15.0,0.0,124.4,9.6,22.5,0.5
3101931P,822,508,2,291,5,16,0,0,12,14,0,0,574,405,2,159,5,3,0,0,4,9,0,0,944.7,665.4,0.0,279.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
3101933P,1016,693,3,307,0,8,5,0,6,7,5,6,691,511,3,167,0,5,5,0,4,4,5,4,1113.6,768.4,0.0,344.4,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.0
3101934P,1359,1311,0,27,3,13,5,0,4,12,5,0,1007,989,0,11,2,3,2,0,0,5,2,0,1490.2,1396.0,0.0,73.4,0.0,20.7,0.0,0.0,11.3,9.4,0.0,4.7
3101935P,1689,1576,11,66,0,17,18,1,16,5,25,2,1297,1229,9,39,0,4,15,1,10,1,18,1,1798.8,1696.1,33.9,47.0,0.0,12.8,9.1,0.0,41.1,10.5,15.3,0.0
310211P,317,307,0,5,1,3,1,0,0,3,2,0,246,241,0,3,1,0,1,0,0,1,1,0,259.5,244.9,0.1,5.4,6.9,0.0,2.1,0.0,0.1,7.4,2.1,0.0
310211W,612,580,4,3,9,9,7,0,4,9,13,3,471,461,0,1,4,2,3,0,0,4,4,1,739.7,659.1,14.2,17.7,13.8,32.4,2.5,0.0,39.3,33.9,4.9,3.9
310212P,735,645,3,13,60,13,1,0,7,73,2,0,606,543,2,8,46,6,1,0,3,52,2,0,635.3,602.1,0.0,9.9,17.5,0.0,5.8,0.0,0.0,18.8,5.8,0.0
310212W,632,610,2,5,3,8,4,0,4,8,7,2,460,448,2,2,3,2,3,0,2,6,3,1,722.4,643.7,13.9,17.3,13.4,31.7,2.4,0.0,38.4,33.1,4.8,3.8
310213P,536,514,3,12,1,6,0,0,4,7,0,0,401,392,1,5,1,2,0,0,1,3,0,0,422.6,397.4,0.5,3.2,6.9,5.8,8.6,0.0,1.5,13.4,8.7,0.1
310213W,907,873,2,12,8,10,2,0,7,14,6,0,694,678,2,6,5,3,0,0,3,7,1,0,836.5,793.6,6.3,31.4,5.2,0.0,0.0,0.0,6.3,5.2,0.0,0.0
310214P,460,429,2,17,5,6,1,0,2,9,3,0,355,339,2,6,3,4,1,0,2,7,1,0,369.0,347.0,0.3,1.4,4.4,6.4,9.4,0.0,0.8,11.6,9.4,0.1
310214W,829,793,4,19,11,1,1,0,5,18,1,0,617,597,2,9,8,0,1,0,2,11,1,0,794.4,760.8,2.8,23.1,7.7,0.0,0.0,0.0,2.8,7.7,0.0,0.0
310215P,336,331,0,5,0,0,0,0,1,0,0,0,273,271,0,2,0,0,0,0,1,0,0,0,339.5,323.6,1.9,11.3,2.7,0.0,0.0,0.0,1.9,2.7,0.0,0.0
310216P,643,626,2,8,4,3,0,0,4,5,0,0,477,471,0,4,1,1,0,0,0,2,0,0,584.7,556.9,3.0,18.1,4.8,0.7,1.1,0.0,3.0,5.7,1.1,0.0
310217P,851,812,1,27,5,5,0,1,2,10,2,3,714,687,1,17,5,3,0,1,2,8,2,2,824.3,753.7,2.9,53.2,14.5,0.0,0.0,0.0,2.9,14.5,0.0,0.0
310231P,674,654,3,15,1,0,1,0,3,1,1,0,524,512,1,10,1,0,0,0,1,1,0,0,606.5,596.5,0.0,5.5,3.0,0.2,1.3,0.0,0.0,3.2,1.3,0.0
310231W,975,912,6,43,1,8,5,0,7,3,7,0,711,675,6,21,1,5,3,0,6,3,4,0,764.6,694.4,9.1,51.2,0.0,9.8,0.0,0.0,10.5,9.8,10.5,0.0
310232P,624,620,0,3,0,0,1,0,0,3,1,0,444,444,0,0,0,0,0,0,0,0,0,0,512.7,504.4,0.0,5.1,2.7,0.3,0.3,0.0,0.1,2.9,0.4,0.0
310232W,1028,943,11,51,0,11,12,0,14,5,14,0,736,693,4,27,0,6,6,0,5,4,8,0,1077.8,1034.5,2.4,38.3,0.0,2.6,0.0,0.0,11.3,11.1,2.8,0.0
310233P,358,330,1,25,0,2,0,0,3,0,0,0,263,246,0,16,0,1,0,0,1,0,0,0,299.7,264.5,0.0,23.6,0.1,11.6,0.0,0.0,5.9,5.7,5.9,0.0
310233W,885,870,1,9,0,3,2,0,3,2,2,0,696,685,1,6,0,2,2,0,2,2,2,0,1072.7,1037.2,1.0,33.5,0.0,1.1,0.0,0.0,10.7,10.7,1.2,0.0
310234P,173,163,0,5,2,3,0,0,0,5,0,0,130,126,0,1,2,1,0,0,0,3,0,0,148.0,129.7,0.0,12.3,0.0,6.1,0.0,0.0,3.1,3.0,3.1,0.0
310235P,243,237,0,1,0,5,0,0,0,4,1,0,194,189,0,0,0,5,0,0,0,4,1,0,220.9,193.6,0.0,18.3,0.0,9.0,0.0,0.0,4.6,4.4,4.6,0.0
310236P,178,178,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,164.9,158.8,0.0,1.2,0.0,0.6,4.3,0.0,0.0,0.6,4.3,0.0
310237P,237,237,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,202.0,193.9,0.2,2.7,0.1,0.9,4.2,0.0,0.3,1.0,4.4,0.0
310238P,250,245,1,1,0,3,0,0,1,0,3,0,182,180,1,0,0,1,0,0,1,0,1,0,256.4,241.6,0.1,11.5,0.0,3.1,0.0,0.0,3.3,3.3,1.7,0.0
310239P,271,256,0,7,1,3,4,0,2,1,5,0,203,196,0,4,0,0,3,0,0,0,3,0,231.1,202.5,0.0,19.1,0.0,9.5,0.0,0.0,4.8,4.6,4.8,0.0
3102310P,521,500,0,20,0,1,0,0,0,1,0,0,394,385,0,8,0,1,0,0,0,1,0,0,473.3,456.2,0.0,4.1,1.1,1.4,10.4,0.0,0.0,2.5,10.4,0.0
3102311P,211,207,0,4,0,0,0,0,0,0,0,0,169,166,0,3,0,0,0,0,0,0,0,0,205.4,198.0,0.1,3.1,1.9,0.2,2.1,0.0,0.1,2.2,2.2,0.0
3102312P,200,197,0,1,0,2,0,0,0,2,0,0,146,143,0,1,0,2,0,0,0,2,0,0,200.5,190.4,2.2,4.3,0.5,1.6,1.4,0.0,3.2,1.4,2.3,0.0
3102313P,500,497,0,3,0,0,0,0,0,0,0,0,404,401,0,3,0,0,0,0,0,0,0,0,564.6,532.1,10.3,10.8,0.0,6.0,5.4,0.0,12.7,2.3,8.6,0.0
3102314P,181,180,1,0,0,0,0,0,1,0,0,0,139,138,1,0,0,0,0,0,1,0,0,0,170.9,165.2,0.0,2.5,2.1,0.0,1.1,0.0,0.0,2.1,1.1,0.0
3102315P,323,312,0,4,5,2,0,0,0,7,0,0,236,229,0,1,4,2,0,0,0,6,0,0,290.1,280.5,0.0,4.3,3.6,0.0,1.8,0.0,0.0,3.6,1.8,0.0
3102316P,139,134,0,0,0,3,2,0,0,3,2,0,113,113,0,0,0,0,0,0,0,0,0,0,150.7,143.8,1.7,2.3,0.7,0.8,1.3,0.0,2.0,1.0,1.7,0.0
3102317P,424,420,0,3,0,1,0,0,0,1,0,0,321,318,0,2,0,1,0,0,0,1,0,0,453.9,429.3,8.7,7.2,0.0,4.2,4.5,0.0,10.2,1.5,6.8,0.0
