GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
311772P,402.6,90.0,287.1,395,143,243
311773P,606.2,91.0,486.7,580,115,455
311774P,373.2,64.7,291.8,408,148,251
311777W,626.7,170.0,412.8,567,259,300
311775P,544.6,142.9,368.9,700,250,443
311773W,494.0,133.9,314.9,528,220,302
3117710P,778.6,194.1,520.9,721,274,433
311779P,848.2,171.9,635.4,758,235,518
311776P,870.6,191.9,626.7,845,307,525
311777P,604.6,111.8,466.9,598,167,426
3117712P,1301.6,334.6,915.6,1217,415,785
311775W,746.3,224.9,465.2,664,265,387
311778W,783.0,222.0,523.0,723,276,446
3117714P,866.8,225.3,604.1,818,292,508
3117713P,810.0,254.0,504.0,764,345,403
311791P,241.0,34.0,184.0,270,64,205
311792P,274.4,35.8,222.2,273,43,226
3117913P,603.5,203.0,350.7,684,288,379
311796P,327.3,57.1,257.2,332,86,241
311793P,407.0,37.0,363.0,368,77,284
311794P,445.0,59.0,369.0,414,101,308
311799P,358.6,98.2,236.7,323,150,168
3117911P,404.5,120.8,247.1,460,176,279
311798P,280.0,61.0,209.0,272,91,178
3117912P,423.7,129.0,254.2,412,173,235
311811P,238.0,56.0,178.0,214,54,157
311812P,504.0,98.0,385.0,564,164,388
311814P,427.7,81.8,331.1,446,152,284
311815P,302.2,51.2,236.9,326,108,214
311817P,225.0,19.0,199.0,267,74,190
311831P,324.0,36.0,271.0,278,64,209
311832P,136.0,26.0,106.0,162,32,125
311851P,378.8,59.1,307.0,477,116,356
311854P,560.4,90.8,442.4,535,117,413
311852P,304.8,49.6,240.8,358,84,268
311851W,485.2,95.0,352.9,588,131,452
311853W,580.7,119.5,414.3,496,136,351
311852W,235.3,51.6,167.6,267,65,198
311853P,204.9,35.4,155.8,225,85,133
311854W,583.0,130.5,402.5,595,177,411
311856P,274.0,49.0,209.0,274,54,215
311855P,869.0,146.0,691.0,877,204,665
311858P,268.4,37.7,214.6,265,57,204
311856W,592.9,133.7,417.7,594,155,431
311857P,180.6,25.3,144.4,187,20,161
311855W,764.9,162.7,540.0,805,206,590
310031P,293.0,32.0,253.0,277,61,212
310031W,131.0,25.0,104.0,116,30,85
310032P,133.0,15.0,117.0,144,19,121
310032W,291.9,46.4,238.4,307,93,213
310035P,250.0,30.2,212.8,282,40,240
310033W,425.0,60.4,345.8,423,144,274
310034W,154.4,21.4,124.3,169,39,129
310035W,191.6,26.6,154.7,181,43,136
310036P,225.0,24.0,198.0,198,33,164
310033P,331.1,24.0,284.0,306,79,222
310034P,404.1,26.0,370.0,356,63,290
310037P,263.0,30.0,216.0,270,61,207
310038P,146.0,22.0,114.0,147,52,90
310051P,272.0,17.0,244.0,262,39,217
310071P,392.9,19.0,357.0,416,62,348
310091,316.0,30.0,276.0,316,43,266
310111P,463.0,62.0,374.0,332,79,248
310112P,105.0,17.0,85.0,121,30,86
310113P,141.0,37.0,95.0,132,61,70
