GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
33001ALTO01,3545.8,1153.0,2202.5,3480.8,1164.2,2167.4,3516.8,1193.2,2205.5,3209,1322,1862
33001GILM01,2284.7,788.6,1334.1,2213.7,867.6,1242.0,2262.7,898.6,1242.1,2147,1085,1044
33001BARN01,2604.5,921.3,1515.6,2579.6,1014.1,1449.8,2593.6,1030.0,1449.8,2416,1189,1201
33013PITF01,1975.0,691.0,1125.0,1900.0,749.0,1008.0,1935.0,779.0,1041.0,1907,898,993
33017STFD01,2590.6,1119.8,1298.5,2533.6,1129.9,1308.4,2563.6,1133.0,1349.4,2418,1284,1124
33001BELM01,3698.5,1270.1,2187.8,3628.6,1408.8,2041.1,3683.5,1500.8,2004.1,3512,1746,1727
33001TILT01,1881.2,781.6,975.3,1846.1,869.8,876.2,1864.2,873.8,903.2,1896,998,874
33001LACO04,1214.4,490.2,634.1,1192.4,544.3,587.0,1207.4,600.1,557.1,1223,692,521
33013NFLD01,2406.6,885.3,1331.1,2306.5,1013.4,1148.1,2361.6,1024.3,1206.2,2375,1264,1093
33001CENT01,726.0,324.0,357.0,712.0,306.0,383.0,724.0,328.0,367.0,738,377,353
33001NEWH01,1382.3,544.6,737.6,1353.3,589.6,704.6,1363.3,561.6,741.6,1279,683,585
33001MERE01,4114.6,1708.0,2158.7,4042.6,1705.0,2206.7,4104.5,1759.9,2230.7,3853,1964,1857
33001GILF01,4751.1,1974.6,2506.1,4640.0,1910.9,2553.9,4704.0,2067.1,2498.8,4565,2246,2292
33001LACO06,1807.0,670.0,1026.0,1773.0,719.0,988.0,1791.0,772.0,957.0,1613,751,855
33001LACO02,1147.0,469.0,612.0,1129.0,469.0,582.0,1148.0,518.0,571.0,1271,700,571
33001LACO01,1594.4,622.0,869.3,1563.4,616.0,892.3,1590.4,662.0,880.3,1570,761,802
33001LACO03,1319.0,637.0,604.0,1303.0,628.0,625.0,1333.0,658.0,629.0,1212,668,535
33001LACO05,1057.0,416.0,561.0,1022.0,430.0,523.0,1032.0,481.0,479.0,1119,646,466
33013HILL01,552.0,176.0,341.0,538.0,203.0,286.0,552.0,198.0,327.0,588,299,282
33001SANB01,1915.8,746.4,1032.7,1882.9,826.2,974.8,1915.8,838.2,992.8,1842,968,857
33013FRAN01,1354.0,479.0,780.0,1340.0,600.0,664.0,1349.0,589.0,683.0,1329,713,602
