GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
350011,4703,2213,130,2001,165,122,64,8,239,290,131,16,3286,1704,98,1254,114,56,52,8,140,174,86,14,5365.9,2046.0,290.5,2673.7,195.1,108.8,30.7,21.1,356.8,284.9,87.3,28.9
350012,1179,686,33,422,5,15,17,1,42,24,27,5,894,540,26,297,5,12,13,1,31,20,19,3,958.2,474.5,0.0,345.2,110.7,19.2,8.6,0.0,3.0,117.2,8.6,0.0
350013,1634,853,39,585,71,44,38,4,55,126,53,4,1354,755,37,432,63,28,35,4,46,102,43,4,1557.6,629.8,38.4,699.3,118.2,38.8,33.2,0.0,76.0,150.3,37.2,0.0
350014,847,577,0,241,3,10,16,0,4,15,24,1,664,485,0,162,3,6,8,0,2,8,9,0,834.4,655.1,0.6,158.2,0.0,20.5,0.0,0.0,0.6,12.4,14.3,0.0
350015,824,485,0,312,7,10,10,0,6,24,11,0,688,417,0,248,6,8,9,0,4,18,10,0,825.0,304.7,0.0,490.8,0.0,10.5,19.0,0.0,0.0,90.5,28.0,0.0
350016,1658,901,5,702,20,23,7,0,18,42,12,3,1382,800,5,541,13,16,7,0,11,26,9,2,1854.2,939.4,0.0,828.0,4.3,0.4,82.2,0.0,0.0,5.9,117.7,0.0
350017,2503,820,20,1500,111,40,12,0,48,153,37,5,1906,695,18,1082,75,26,10,0,33,100,26,2,2810.5,972.1,0.0,1729.4,5.6,58.0,45.4,0.0,0.0,102.6,48.9,0.0
350018,510,215,2,271,10,4,8,0,6,15,11,0,428,193,2,219,6,1,7,0,4,10,9,0,710.3,248.3,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350019,1451,436,8,946,44,15,2,0,14,63,11,1,1107,372,5,688,30,10,2,0,9,43,9,1,1428.7,453.3,0.0,975.5,0.0,0.0,0.0,0.0,0.0,207.6,0.0,0.0
3500110,1814,739,30,861,128,40,16,0,65,177,32,3,1388,645,27,589,87,26,14,0,44,115,23,2,1991.6,649.3,54.9,951.0,130.7,139.8,65.9,0.0,107.9,225.7,96.0,0.0
3500111,1415,604,2,765,16,25,3,0,11,38,25,2,1123,524,2,569,9,17,2,0,7,23,14,1,1415.1,670.4,6.4,686.6,26.0,6.2,19.5,0.0,21.4,33.1,24.2,1.5
3500112,1183,523,5,622,13,17,2,1,16,48,8,6,927,447,3,452,11,12,1,1,10,34,5,4,1183.1,647.7,0.0,486.6,0.0,48.8,0.0,0.0,0.0,13.2,0.0,0.0
3500113,913,625,6,255,8,14,5,0,11,12,14,0,762,529,6,204,7,11,5,0,9,10,9,0,1003.1,773.6,1.1,192.2,0.0,36.2,0.0,0.0,1.1,2.8,26.0,0.0
3500114,1764,598,24,1042,66,22,11,1,42,108,22,1,1304,513,15,708,46,12,9,1,25,72,14,1,1471.6,511.8,47.3,830.3,0.0,82.1,0.0,0.0,47.3,82.1,0.0,0.0
3500115,1723,755,22,843,78,16,9,0,33,108,14,1,1378,683,20,611,45,12,7,0,25,64,10,1,1284.4,624.2,83.7,547.7,0.0,28.9,0.0,0.0,84.7,78.9,0.0,0.0
3500116,1049,406,1,613,12,13,4,0,10,25,13,1,828,361,1,443,12,7,4,0,6,22,6,1,1284.8,460.8,13.0,742.9,16.2,24.1,27.8,0.0,21.1,18.9,36.2,0.9
3500117,1553,686,5,808,23,15,14,2,10,46,25,3,1258,594,3,617,18,12,12,2,4,38,20,3,1876.2,904.9,0.3,960.8,0.0,10.2,0.0,0.0,0.3,5.1,7.7,0.0
3500118,1361,417,8,908,10,15,2,1,16,41,11,1,1030,350,7,649,9,12,2,1,14,30,10,1,1506.7,415.5,5.3,1006.7,10.5,53.2,15.3,0.0,8.6,70.0,24.1,0.4
3500119,2828,1527,83,985,98,92,41,2,142,166,73,11,2118,1273,59,643,59,51,31,2,82,98,50,8,3045.8,1611.1,45.9,1169.7,18.5,93.4,107.2,0.0,75.4,91.9,170.4,13.3
3500120,1941,810,49,974,40,43,23,2,75,87,46,14,1450,670,36,674,31,23,15,1,46,57,31,7,2111.8,737.9,0.0,1340.8,10.5,16.6,6.0,0.0,3.0,37.7,7.1,0.0
3500121,2671,1177,75,1247,93,49,30,0,120,152,72,2,2074,1003,67,871,71,37,25,0,92,107,51,2,2861.9,1216.4,102.8,1304.7,1.0,62.0,146.0,29.0,139.6,147.0,165.0,29.0
3500122,1391,607,41,685,31,22,5,0,56,48,17,0,1080,507,30,497,24,17,5,0,39,39,13,0,1360.5,621.8,30.2,673.8,13.5,0.0,21.2,0.0,54.4,16.5,21.2,0.0
3500123,1975,709,59,1079,61,39,28,0,93,107,47,6,1518,613,50,763,49,21,22,0,63,67,35,5,1917.8,795.0,9.8,1032.7,0.0,24.2,56.0,0.0,9.8,31.8,80.3,0.0
3500124,2668,1171,39,1313,81,36,27,1,61,131,52,6,2002,972,29,905,57,21,17,1,40,87,30,6,2540.2,927.9,114.8,1401.0,66.3,21.5,8.7,0.0,152.7,79.9,24.4,0.2
3500125,2333,842,43,1316,49,41,39,3,90,98,61,3,1698,689,35,884,34,24,29,3,50,65,40,3,2456.5,1202.9,15.3,1193.4,27.9,16.1,0.8,0.0,15.3,48.0,16.9,0.0
3500126,2249,631,52,1394,98,50,24,0,96,147,52,11,1649,526,40,957,74,30,22,0,58,103,36,6,2274.0,967.0,0.0,1177.0,116.0,0.0,14.0,0.0,0.0,210.0,44.0,0.0
3500127,2135,566,66,1247,187,40,26,3,117,249,40,7,1708,511,56,952,136,27,24,2,80,175,36,3,1930.6,617.5,31.2,1207.4,38.1,18.2,18.2,0.0,91.8,61.5,33.8,0.0
3500128,1805,396,39,1172,133,39,26,0,79,178,39,7,1303,350,32,785,97,18,21,0,45,122,29,4,2209.0,377.0,197.0,1319.0,229.0,83.0,4.0,0.0,379.0,259.0,13.0,0.0
3500129,2060,477,63,1343,115,33,29,0,106,151,63,1,1444,396,51,888,70,17,22,0,62,90,39,1,1989.2,500.0,88.2,1259.3,68.0,55.8,18.0,0.0,212.2,131.2,38.7,0.0
3500130,2634,1146,63,1204,74,43,101,3,97,121,122,11,2079,997,50,863,58,29,79,3,64,88,94,7,3393.6,1519.4,173.5,1487.6,145.5,52.7,14.8,0.0,183.9,176.0,81.1,0.0
3500131,1555,17,8,58,1452,19,1,0,17,1505,4,1,1024,16,8,32,955,12,1,0,11,981,3,1,1765.0,33.0,37.0,78.0,1590.0,27.0,0.0,0.0,50.0,1665.0,0.0,0.0
3500132,2605,307,81,2106,70,32,7,2,139,122,25,6,1732,244,56,1360,46,19,5,2,80,69,13,4,2267.2,304.9,16.7,1788.3,125.5,11.8,3.8,16.0,33.8,306.6,24.4,16.0
3500133,2619,207,43,2315,29,21,0,4,85,81,6,15,1866,173,36,1613,25,17,0,2,57,54,5,9,2580.2,128.4,116.5,2145.6,172.0,17.8,0.0,0.0,116.5,229.3,66.8,0.0
3500134,1997,186,22,1690,69,29,1,0,54,117,17,6,1287,160,21,1042,45,18,1,0,32,75,11,4,1756.3,114.8,0.0,1617.4,9.8,14.3,0.0,0.0,0.0,16.1,14.3,0.0
3500135,1222,171,27,978,26,13,7,0,47,64,11,0,904,148,15,705,19,11,6,0,26,51,9,0,1135.2,103.8,19.4,975.3,26.9,8.4,1.4,0.0,26.0,35.9,5.3,0.0
