GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
360011,964,486,279,91,6,34,68,0,321,19,79,1,788,445,210,57,6,17,53,0,226,18,58,1,1065.3,634.3,297.8,37.0,7.3,22.7,66.2,0.0,330.5,7.3,71.7,0.0
360012,782,334,296,83,0,30,37,2,344,5,50,2,626,319,221,44,0,18,22,2,248,5,29,2,857.9,462.7,245.5,39.1,10.2,24.6,75.8,0.0,288.3,10.5,83.6,0.0
360013,86,23,58,5,0,0,0,0,58,0,0,0,76,23,50,3,0,0,0,0,50,0,0,0,80.9,5.6,56.7,17.0,0.0,1.6,0.0,0.0,64.5,1.6,0.0,0.0
360014,1279,341,616,208,4,59,51,0,719,27,63,1,885,294,394,125,4,35,33,0,439,18,45,0,1094.0,294.1,422.6,125.0,0.0,73.8,178.6,0.0,480.8,6.4,178.6,0.0
360015,693,180,370,92,0,40,11,0,454,5,14,0,480,161,252,43,0,17,7,0,278,4,8,0,584.2,138.7,377.7,21.9,3.1,42.7,0.0,0.0,426.3,35.7,0.0,0.0
360016,742,347,294,50,0,30,19,2,343,11,22,3,578,311,205,29,0,17,14,2,228,7,15,3,395.8,223.7,145.8,13.9,0.0,5.3,7.0,0.0,148.0,3.2,7.0,0.0
360017,638,350,180,60,2,21,25,0,207,8,28,3,506,307,133,39,2,10,15,0,144,6,15,2,548.4,183.1,120.1,188.1,0.0,33.6,23.5,0.0,335.9,0.0,23.5,0.0
360018,119,63,47,6,0,3,0,0,49,2,0,0,85,52,27,4,0,2,0,0,28,2,0,0,103.5,24.6,66.9,3.9,0.6,7.6,0.0,0.0,75.5,6.3,0.0,0.0
360019,1089,460,386,166,1,36,40,0,444,14,48,0,836,416,251,117,1,22,29,0,283,12,34,0,849.7,308.4,199.8,262.6,0.0,46.4,32.5,0.0,498.0,0.0,32.5,0.0
3600110,244,75,129,25,3,11,0,1,135,6,2,1,214,68,115,19,2,9,0,1,120,5,2,1,260.5,61.8,168.4,9.8,1.4,19.0,0.0,0.0,190.1,15.9,0.0,0.0
3600111,351,52,234,52,1,9,3,0,249,11,3,0,252,48,163,33,1,6,1,0,172,7,1,0,459.1,4.7,405.2,30.4,0.0,18.7,0.0,0.0,437.0,3.5,0.0,0.0
