GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
440010301001,1492,1346,10,40,1,39,56,0,27,6,73,0,1069,993,7,22,1,9,37,0,11,3,42,0,1356.0,1295.0,0.0,11.0,0.0,15.0,35.0,0.0,15.0,0.0,40.0,0.0
440010301002,882,835,2,8,1,12,24,0,2,2,34,1,593,569,0,6,0,5,13,0,0,1,16,1,826.0,715.0,0.0,44.0,0.0,24.0,43.0,0.0,0.0,0.0,67.0,0.0
440010301003,1222,1193,4,13,0,5,7,0,9,4,7,0,901,880,4,10,0,3,4,0,7,4,4,0,1045.0,954.0,0.0,0.0,0.0,67.0,24.0,0.0,0.0,0.0,91.0,0.0
440010301004,1058,955,6,31,4,39,23,0,26,25,30,0,771,724,4,13,3,13,14,0,9,9,15,0,1158.6,992.0,13.0,30.3,28.0,63.3,32.0,0.0,59.0,28.0,79.2,0.0
440010302001,973,876,5,20,0,16,56,0,5,3,70,0,731,677,5,8,0,4,37,0,5,1,40,0,912.0,890.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,22.0,0.0
440010302002,1252,1145,17,19,0,12,59,0,21,0,66,0,907,852,8,12,0,5,30,0,10,0,32,0,1225.0,970.0,0.0,97.0,0.0,78.0,80.0,0.0,0.0,65.0,93.0,0.0
440010302003,963,893,8,22,3,9,28,0,9,14,39,7,725,683,6,13,2,4,17,0,7,6,20,2,949.0,922.0,0.0,27.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
440010303001,1356,1241,5,32,1,27,50,0,21,7,62,1,1000,933,4,14,1,14,34,0,14,7,38,1,1384.0,1153.0,6.0,21.0,0.0,26.0,178.0,0.0,14.0,0.0,196.0,0.0
440010303002,1670,1566,5,26,0,18,55,0,11,3,64,3,1208,1141,4,18,0,7,38,0,6,1,41,1,1578.0,1500.0,5.0,60.0,0.0,13.0,0.0,0.0,6.0,0.0,13.0,0.0
440010303003,1505,1428,4,30,0,11,32,0,10,4,35,0,1100,1056,3,16,0,3,22,0,4,2,22,0,1584.0,1501.0,30.0,0.0,0.0,7.0,46.0,0.0,37.0,7.0,46.0,0.0
440010304001,1107,1061,2,24,1,12,7,0,4,5,16,0,746,721,2,12,0,6,5,0,2,2,10,0,1341.0,1254.0,0.0,42.0,0.0,14.0,31.0,0.0,14.0,0.0,31.0,0.0
440010304002,1609,1519,2,32,8,21,27,0,3,10,44,1,1117,1068,1,16,4,7,21,0,2,6,25,1,1492.0,1360.0,0.0,33.0,0.0,38.0,61.0,0.0,0.0,0.0,99.0,0.0
440010304003,1221,1144,1,36,0,16,24,0,11,7,30,0,845,809,1,19,0,3,13,0,3,2,14,0,1334.0,1252.0,1.0,52.0,0.0,23.0,6.0,0.0,2.0,0.0,6.0,0.0
440010307001,1012,950,15,18,0,18,11,0,21,8,15,0,833,792,11,12,0,10,8,0,13,4,12,0,856.0,844.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0
440010307002,952,887,7,19,2,35,2,0,14,18,11,3,829,782,6,12,2,25,2,0,8,15,10,2,909.0,858.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
440010307003,877,797,23,28,5,22,2,0,35,12,4,0,717,671,8,22,4,11,1,0,12,8,3,0,692.0,589.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,103.0,0.0
440010307004,1155,1100,10,29,0,10,6,0,14,2,8,1,1017,971,9,23,0,8,6,0,11,2,8,1,1320.0,1209.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440010308001,947,880,16,25,1,9,16,0,26,6,18,0,777,729,13,15,1,6,13,0,17,5,14,0,1171.0,945.0,216.0,9.0,0.0,1.0,0.0,0.0,217.0,0.0,0.0,0.0
440010308002,1508,1435,7,22,1,31,12,0,20,11,18,3,1256,1216,6,8,1,19,6,0,10,8,10,3,1295.0,1223.0,0.0,42.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0
440010308003,746,715,1,17,1,3,9,0,1,4,10,1,672,650,1,10,1,2,8,0,1,1,9,1,858.0,746.0,50.0,45.0,0.0,7.0,10.0,0.0,78.0,0.0,17.0,0.0
440010308004,2449,2259,21,84,4,38,42,1,31,19,59,5,2416,2229,20,82,4,38,42,1,30,19,59,5,2930.0,2733.0,9.0,80.0,15.0,37.0,56.0,0.0,16.0,22.0,71.0,3.0
440010309011,1952,1881,6,36,1,22,6,0,15,9,8,1,1494,1452,6,20,1,11,4,0,12,3,5,1,2069.0,1798.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440010309012,2769,2630,26,54,2,29,28,0,40,10,35,1,2145,2049,18,40,1,15,22,0,21,9,28,1,2220.0,2081.0,0.0,78.0,0.0,20.0,41.0,0.0,0.0,20.0,41.0,0.0
440010309013,1550,1481,10,27,1,12,19,0,16,6,20,0,1323,1275,10,16,1,8,13,0,15,5,13,0,1550.0,1545.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
440010309021,1331,1273,14,29,0,14,1,0,22,2,8,0,1041,1005,9,18,0,8,1,0,14,2,2,0,892.0,741.0,88.0,21.0,0.0,18.0,24.0,0.0,106.0,0.0,42.0,0.0
440010309022,1824,1740,10,29,4,27,14,0,18,25,26,0,1530,1476,7,20,2,15,10,0,11,13,16,0,1566.0,1548.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,18.0,0.0
440010309023,1391,1354,4,18,1,4,10,0,6,4,14,0,1140,1116,4,13,1,1,5,0,4,3,6,0,1250.0,1194.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0
440010309024,2491,2408,10,27,1,30,15,0,19,14,21,1,2141,2079,9,21,1,19,12,0,14,10,16,1,2656.0,2330.0,100.0,126.0,0.0,32.0,68.0,0.0,125.0,0.0,68.0,0.0
440010305001,850,791,17,17,4,17,4,0,28,7,5,2,654,619,11,11,0,9,4,0,15,3,4,2,878.0,712.0,0.0,90.0,0.0,76.0,0.0,0.0,21.0,76.0,0.0,0.0
440010305002,1144,1062,16,27,10,21,7,1,20,15,15,3,889,839,11,17,5,9,7,1,13,6,10,2,1275.0,1210.0,0.0,35.0,0.0,30.0,0.0,0.0,30.0,14.0,0.0,0.0
440010305003,1230,1137,13,36,0,31,13,0,29,19,20,2,1003,937,12,23,0,19,12,0,22,11,13,2,1095.0,1073.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440010306011,866,823,19,10,2,10,1,1,29,5,1,2,693,667,11,6,2,5,1,1,13,5,1,2,750.0,725.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
