GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
45003001,793.0,218.0,507.0,776.0,177.0,579.0,0,0,0
45003002,714.0,535.0,157.0,694.0,504.0,172.0,0,0,0
45003003,908.0,745.0,136.0,884.0,714.0,143.0,0,0,0
45003004,397.0,339.0,46.0,386.0,321.0,61.0,0,0,0
45003005,678.0,365.0,276.0,664.0,329.0,320.0,0,0,0
45003006,867.0,259.0,555.0,843.0,191.0,628.0,0,0,0
45003007,589.0,261.0,311.0,560.0,268.0,278.0,0,0,0
45003008,1170.0,611.0,532.0,1134.0,585.0,514.0,0,0,0
45003009,1159.0,525.0,575.0,1130.0,530.0,554.0,0,0,0
45003010,765.0,516.0,217.0,747.0,490.0,234.0,0,0,0
45003011,904.0,619.0,270.0,880.0,603.0,256.0,0,0,0
45003012,424.0,196.0,222.0,415.0,186.0,223.0,0,0,0
45003013,1155.0,317.0,759.0,1122.0,291.0,796.0,0,0,0
45003025,903.0,351.0,503.0,888.0,321.0,539.0,0,0,0
45003029,851.0,251.0,543.0,830.0,225.0,575.0,0,0,0
45003055,783.0,189.0,535.0,775.0,181.0,572.0,0,0,0
45003067,902.0,188.0,657.0,900.0,160.0,715.0,0,0,0
45003028,872.0,196.0,624.0,862.0,156.0,679.0,0,0,0
45003026,1299.0,447.0,791.0,1275.0,422.0,806.0,0,0,0
45003027,1157.0,176.0,926.0,1141.0,130.0,985.0,0,0,0
45003068,1502.0,306.0,1112.0,1501.0,295.0,1156.0,0,0,0
45003062,790.0,415.0,350.0,769.0,388.0,365.0,0,0,0
45003049,885.0,180.0,678.0,854.0,198.0,628.0,0,0,0
45003044,1012.0,342.0,621.0,977.0,329.0,606.0,0,0,0
45003074,440.0,132.0,296.0,437.0,130.0,287.0,0,0,0
45003073,1099.0,210.0,837.0,1075.0,170.0,882.0,0,0,0
45003058,1061.0,238.0,784.0,1042.0,215.0,811.0,0,0,0
45003045,1210.0,414.0,752.0,1180.0,397.0,754.0,0,0,0
45003063,1530.0,423.0,1038.0,1502.0,389.0,1077.0,0,0,0
45003071,1328.0,346.0,941.0,1289.0,341.0,911.0,0,0,0
45003019,640.0,157.0,462.0,617.0,160.0,439.0,0,0,0
45003017,1097.0,210.0,865.0,1066.0,224.0,816.0,0,0,0
45003061,1164.0,631.0,503.0,1136.0,599.0,504.0,0,0,0
45003042,575.0,257.0,309.0,557.0,255.0,285.0,0,0,0
45003032,520.0,293.0,215.0,500.0,274.0,217.0,0,0,0
45003031,656.0,194.0,433.0,630.0,196.0,413.0,0,0,0
45003039,1387.0,595.0,757.0,1312.0,548.0,723.0,0,0,0
45003036,504.0,227.0,258.0,486.0,212.0,261.0,0,0,0
45003024,576.0,118.0,435.0,562.0,105.0,439.0,0,0,0
45003030,710.0,146.0,534.0,695.0,161.0,514.0,0,0,0
45003021,852.0,406.0,424.0,830.0,377.0,427.0,0,0,0
45003043,1511.0,512.0,937.0,1463.0,520.0,871.0,0,0,0
45003033,494.0,117.0,348.0,481.0,118.0,346.0,0,0,0
45003034,1220.0,302.0,877.0,1189.0,283.0,869.0,0,0,0
45003040,1038.0,396.0,607.0,1005.0,364.0,604.0,0,0,0
45003014,1039.0,231.0,761.0,1014.0,251.0,731.0,0,0,0
45003038,1047.0,353.0,643.0,1028.0,341.0,669.0,0,0,0
45003050,1629.0,519.0,1038.0,1595.0,495.0,1053.0,0,0,0
45003016,745.0,278.0,441.0,729.0,255.0,443.0,0,0,0
45003051,1387.0,392.0,944.0,1356.0,358.0,966.0,0,0,0
45003018,813.0,190.0,588.0,781.0,190.0,553.0,0,0,0
45003015,741.0,148.0,558.0,730.0,153.0,548.0,0,0,0
45003041,1186.0,254.0,890.0,1140.0,266.0,834.0,0,0,0
45003066,727.0,218.0,482.0,726.0,170.0,542.0,0,0,0
45003047,723.0,242.0,426.0,721.0,203.0,496.0,0,0,0
45003020,1132.0,323.0,737.0,1121.0,282.0,806.0,0,0,0
45003052,1286.0,532.0,671.0,1260.0,483.0,727.0,0,0,0
45003072,671.0,250.0,363.0,661.0,232.0,409.0,0,0,0
45003057,775.0,234.0,499.0,745.0,221.0,491.0,0,0,0
45003056,867.0,297.0,540.0,848.0,295.0,505.0,0,0,0
45003022,1797.0,592.0,1122.0,1766.0,567.0,1147.0,0,0,0
45003075,1187.0,349.0,777.0,1169.0,299.0,838.0,0,0,0
45003064,860.0,196.0,629.0,848.0,157.0,682.0,0,0,0
45003037,1110.0,404.0,674.0,1089.0,375.0,677.0,0,0,0
45003023,1120.0,524.0,563.0,1107.0,499.0,562.0,0,0,0
45003059,1271.0,246.0,976.0,1237.0,238.0,957.0,0,0,0
45003065,1399.0,290.0,1034.0,1379.0,225.0,1115.0,0,0,0
45003069,1032.0,254.0,724.0,1025.0,175.0,841.0,0,0,0
45003076,1354.0,338.0,907.0,1347.0,255.0,1067.0,0,0,0
45003053,796.0,213.0,543.0,786.0,157.0,610.0,0,0,0
45003046,727.0,652.0,62.0,699.0,620.0,72.0,0,0,0
45003035,829.0,314.0,469.0,806.0,283.0,496.0,0,0,0
45003054,787.0,414.0,337.0,774.0,397.0,355.0,0,0,0
45003060,1891.0,431.0,1327.0,1867.0,347.0,1478.0,0,0,0
45003070,1399.0,449.0,846.0,1375.0,414.0,916.0,0,0,0
45003048,1433.0,457.0,939.0,1380.0,446.0,898.0,0,0,0
45079101,770.0,490.0,218.0,750.0,398.0,325.0,0,0,0
45079102,487.0,392.0,81.0,463.0,344.0,113.0,0,0,0
45079103,1190.0,800.0,288.0,1165.0,672.0,456.0,0,0,0
45079104,1056.0,708.0,251.0,1044.0,608.0,398.0,0,0,0
45079105,679.0,380.0,246.0,668.0,318.0,326.0,0,0,0
45079107,727.0,709.0,7.0,714.0,682.0,26.0,0,0,0
45079108,631.0,610.0,10.0,626.0,597.0,21.0,0,0,0
45079109,646.0,610.0,20.0,624.0,564.0,50.0,0,0,0
45079110,1094.0,688.0,331.0,1057.0,488.0,549.0,0,0,0
45079111,932.0,635.0,220.0,903.0,560.0,308.0,0,0,0
45079112,1134.0,712.0,333.0,1098.0,505.0,557.0,0,0,0
45079113,1612.0,1038.0,460.0,1572.0,815.0,724.0,0,0,0
45079114,1286.0,786.0,408.0,1256.0,564.0,651.0,0,0,0
45079115,867.0,440.0,347.0,844.0,306.0,520.0,0,0,0
45079116,1049.0,459.0,537.0,1025.0,225.0,789.0,0,0,0
45079117,1235.0,592.0,560.0,1216.0,403.0,777.0,0,0,0
45079118,907.0,774.0,107.0,890.0,727.0,150.0,0,0,0
45079119,861.0,839.0,10.0,853.0,807.0,31.0,0,0,0
45079120,1339.0,1055.0,203.0,1310.0,939.0,338.0,0,0,0
45079121,1097.0,1047.0,29.0,1077.0,1000.0,67.0,0,0,0
45079122,1088.0,1031.0,34.0,1063.0,973.0,71.0,0,0,0
45079123,806.0,522.0,226.0,786.0,423.0,342.0,0,0,0
45079124,827.0,337.0,423.0,805.0,196.0,591.0,0,0,0
45079125,1325.0,431.0,807.0,1323.0,245.0,1055.0,0,0,0
45079129,922.0,845.0,44.0,908.0,790.0,95.0,0,0,0
45079130,646.0,419.0,176.0,624.0,326.0,274.0,0,0,0
45079131,636.0,607.0,16.0,621.0,579.0,36.0,0,0,0
45079132,652.0,632.0,9.0,624.0,577.0,40.0,0,0,0
45079133,705.0,541.0,114.0,672.0,465.0,182.0,0,0,0
45079134,821.0,473.0,297.0,811.0,391.0,385.0,0,0,0
45079301,1048.0,582.0,391.0,1025.0,454.0,554.0,0,0,0
45079302,330.0,314.0,10.0,328.0,304.0,19.0,0,0,0
45079305,1313.0,1253.0,41.0,1291.0,1206.0,76.0,0,0,0
45079310,1142.0,830.0,277.0,1112.0,729.0,361.0,0,0,0
45079311,1004.0,956.0,27.0,985.0,905.0,67.0,0,0,0
45079312,855.0,360.0,441.0,835.0,212.0,614.0,0,0,0
45079314,1250.0,1145.0,87.0,1210.0,1065.0,124.0,0,0,0
45079316,1681.0,1357.0,275.0,1641.0,1289.0,332.0,0,0,0
45079317,1147.0,1111.0,20.0,1114.0,1048.0,58.0,0,0,0
45079320,566.0,553.0,11.0,559.0,530.0,27.0,0,0,0
45079321,864.0,303.0,493.0,853.0,187.0,658.0,0,0,0
45079323,1148.0,496.0,591.0,1141.0,347.0,774.0,0,0,0
45079328,611.0,371.0,221.0,597.0,374.0,215.0,0,0,0
45079329,1162.0,1134.0,10.0,1128.0,1082.0,34.0,0,0,0
45079330,1287.0,759.0,473.0,1264.0,650.0,591.0,0,0,0
45079331,1207.0,763.0,340.0,1191.0,678.0,469.0,0,0,0
