GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
46003VTD-1,468,463,1,1,0,0,3,0,1,0,3,0,357,355,1,0,0,0,1,0,1,0,1,0,484.6,470.3,0.0,0.0,14.3,0.0,0.0,0.0,0.0,14.3,0.0,0.0
46003VTD-2,238,236,0,0,0,0,2,0,0,0,2,0,183,183,0,0,0,0,0,0,0,0,0,0,249.4,239.8,1.3,1.4,6.2,0.7,0.0,0.0,1.3,7.5,0.0,0.0
46003VTD-3,659,636,2,6,1,4,10,0,4,5,10,0,502,492,0,3,1,2,4,0,1,3,4,0,699.3,640.9,21.2,25.8,0.4,11.1,0.0,0.0,21.2,22.5,0.0,0.0
46003VTD-4,121,116,0,0,4,1,0,0,1,4,0,0,87,82,0,0,4,1,0,0,1,4,0,0,120.5,113.5,0.6,5.6,0.5,0.3,0.0,0.0,0.7,1.3,0.0,0.0
46003VTD-5,328,278,1,13,30,5,1,0,1,34,3,1,195,185,1,6,1,1,1,0,1,1,1,1,272.7,233.8,1.2,28.4,8.5,0.7,0.0,0.0,2.5,11.4,0.0,0.0
46003VTD-6,189,176,0,9,0,2,2,0,0,2,2,0,139,135,0,4,0,0,0,0,0,0,0,0,191.9,185.1,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46003VTD-7,707,626,5,72,3,1,0,0,6,3,0,0,522,470,2,48,2,0,0,0,2,2,0,0,740.6,550.6,6.7,132.0,47.1,4.2,0.0,0.0,14.3,63.0,0.0,0.0
46005VTD-12,1733,1688,1,25,3,9,7,0,4,9,8,0,1338,1312,1,15,2,5,3,0,3,4,4,0,1827.2,1768.4,0.0,54.0,3.0,1.6,0.0,0.0,0.8,3.8,0.0,0.0
46005VTD-15,566,550,7,4,0,5,0,0,11,2,0,0,413,408,2,2,0,1,0,0,3,0,0,0,529.6,489.2,0.0,7.3,13.0,6.8,13.5,0.0,0.0,13.0,20.2,0.0
46005VTD-17,691,674,1,9,0,7,0,0,5,3,0,0,525,517,1,4,0,3,0,0,1,3,0,0,651.0,600.6,0.0,6.9,29.2,4.8,9.5,0.0,0.0,29.2,14.3,0.0
46005VTD-W1,2801,2468,19,169,38,43,64,0,60,60,65,0,2156,1962,13,103,20,15,43,0,28,29,44,0,3167.9,2556.3,8.1,429.8,52.6,10.0,111.1,0.0,9.0,54.7,118.9,0.0
46005VTD-W2,3276,2373,42,483,44,54,275,5,83,79,284,9,2397,1845,28,291,31,25,173,4,47,51,176,8,3814.4,2151.7,0.0,932.6,70.3,91.5,561.4,7.0,79.4,82.4,561.4,7.0
46005VTD-W3,2259,1753,27,299,15,26,139,0,45,27,141,12,1647,1351,10,190,13,5,78,0,12,16,78,8,1704.0,1376.6,103.3,87.6,14.5,32.9,88.0,1.0,133.0,18.0,88.0,1.0
46005VTDW71,1380,1202,5,128,24,11,10,0,16,37,13,0,1017,909,3,85,6,5,9,0,9,11,11,0,1683.7,1060.2,0.9,186.7,9.7,31.7,394.5,0.0,29.1,12.5,395.2,0.0
46005VTDW72,1557,1420,5,63,9,13,45,2,15,18,46,3,1199,1116,4,41,8,5,23,2,8,11,23,2,1802.8,1301.4,0.0,30.7,25.1,5.5,440.1,0.0,5.0,25.6,440.1,0.0
46005VTDW81,1598,1449,10,65,18,19,37,0,27,21,39,0,1310,1226,7,39,14,3,21,0,9,16,21,0,1720.8,1563.6,17.2,54.4,30.0,2.6,53.0,0.0,17.2,32.7,53.0,0.0
46005VTDW82,1537,1357,1,92,14,17,55,1,11,26,57,2,1177,1067,1,53,6,1,49,0,2,7,49,1,1472.6,1381.0,13.5,13.0,10.6,22.6,32.0,0.0,31.5,15.2,32.0,0.0
46007VTD-1,1106,99,0,12,977,18,0,0,3,1002,0,0,643,85,0,9,539,10,0,0,1,553,0,0,995.8,324.8,0.0,76.4,552.9,41.7,0.0,0.0,5.5,641.7,0.0,0.0
46007VTD-3,166,144,0,1,18,3,0,0,0,22,0,0,128,113,0,0,12,3,0,0,0,15,0,0,215.7,86.5,0.0,27.4,88.3,13.5,0.0,0.0,2.2,117.5,0.0,0.0
46007VTD-4,115,82,0,0,29,4,0,0,0,33,0,0,87,66,0,0,20,1,0,0,0,21,0,0,122.9,29.2,0.0,2.1,89.5,2.1,0.0,0.0,0.0,93.7,0.0,0.0
46007VTD-02,415,153,0,17,193,46,6,0,2,247,6,0,275,126,0,10,116,21,2,0,0,141,2,0,390.9,164.6,1.0,29.3,151.7,37.3,7.0,0.0,1.0,205.4,7.0,0.5
46007VTD-05,295,98,0,15,174,8,0,0,2,189,0,0,195,86,0,8,96,5,0,0,2,104,0,0,277.2,116.7,0.7,20.8,107.5,26.4,4.9,0.0,0.7,145.6,4.9,0.4
46007VTD-06,361,182,1,12,128,31,7,0,6,163,7,0,275,157,0,6,87,21,4,0,1,109,4,0,426.8,123.0,0.2,38.4,238.0,25.9,1.4,0.0,1.5,294.5,1.8,0.1
46007VTD-26,332,156,2,2,159,10,0,3,2,171,0,3,230,130,0,1,94,5,0,0,0,100,0,0,341.2,88.5,0.1,18.5,220.7,13.0,0.4,0.0,0.6,249.3,0.6,0.0
46007VTD-27,641,227,0,8,394,12,0,0,2,412,0,0,409,187,0,4,212,6,0,0,0,221,0,0,666.5,221.7,0.0,73.1,332.4,39.0,0.3,0.0,4.6,421.3,0.6,0.0
46009VTD-1,1140,1105,8,4,7,12,4,0,10,16,4,0,893,876,4,1,4,5,3,0,5,8,3,0,1013.0,936.7,0.0,1.7,11.6,53.2,9.9,0.0,0.0,64.7,9.9,0.0
46009VTD-2,943,892,0,16,19,14,2,0,0,28,10,0,698,677,0,5,7,7,2,0,0,13,3,0,1038.5,967.1,1.6,19.0,4.6,14.2,32.0,0.0,1.8,18.3,32.9,0.0
46009VTD-3,1424,1389,1,17,9,7,1,0,1,15,2,0,1124,1104,1,6,8,5,0,0,1,12,1,0,1512.9,1455.4,0.5,29.4,15.3,4.4,8.0,0.0,0.6,20.3,8.2,0.0
46009VTD-4,1132,1104,1,18,0,8,1,0,6,2,1,0,805,793,1,8,0,2,1,0,1,1,1,0,1008.8,926.0,0.0,23.8,57.4,1.3,0.2,0.0,0.0,58.9,0.2,0.0
46009VTD-5,2431,1795,55,75,459,45,2,0,70,504,5,1,2155,1558,51,72,436,36,2,0,63,472,5,1,2395.7,1770.9,101.9,121.0,299.1,97.9,4.9,0.0,112.6,368.7,58.8,0.0
46011VTD-1,4298,3756,83,63,31,45,318,2,97,54,333,3,4198,3712,74,53,27,42,288,2,88,48,302,3,4644.4,4107.8,191.8,86.3,37.3,61.5,155.6,4.0,223.1,47.7,173.8,12.0
46011VTD-2,3517,3241,36,35,24,58,122,1,51,56,144,5,3194,2963,30,33,20,41,106,1,40,42,118,3,3336.2,2895.2,154.4,103.4,14.6,36.4,129.6,2.5,205.1,35.5,134.4,7.3
46011VTD-3,2847,2617,29,63,53,45,37,3,49,82,49,4,2433,2282,16,38,40,24,30,3,24,58,36,4,2844.7,2483.1,10.2,72.2,228.1,46.1,3.6,1.5,54.7,249.4,3.6,1.5
