GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
46003VTD-1,304,101,192
46003VTD-2,152,43,102
46003VTD-3,349,179,155
46003VTD-4,75,24,50
46003VTD-5,144,79,64
46003VTD-6,107,39,65
46003VTD-7,364,190,166
46005VTD-12,961,419,509
46005VTD-15,265,48,213
46005VTD-17,301,145,144
46005VTD-W1,1171,498,640
46005VTD-W2,1061,554,481
46005VTD-W3,913,443,446
46005VTDW71,628,312,310
46005VTDW72,868,368,487
46005VTDW81,814,379,425
46005VTDW82,732,327,399
46007VTD-1,280,211,65
46007VTD-3,104,12,89
46007VTD-4,72,18,53
46007VTD-02,130,73,53
46007VTD-05,110,54,51
46007VTD-06,148,48,93
46007VTD-26,140,43,92
46007VTD-27,224,98,118
46009VTD-1,652,240,389
46009VTD-2,527,202,317
46009VTD-3,777,408,344
46009VTD-4,534,278,233
46009VTD-5,685,239,429
46011VTD-1,1085,570,492
46011VTD-2,1204,713,453
46011VTD-3,1134,686,424
46011VTD-4,1696,931,735
46011VTD-5,2183,1188,954
46011VTD-6,1598,854,710
46011VTD-8,682,336,338
46011VTD-9,714,292,404
46011VTD-10,603,244,337
46011VTD-11,654,323,314
46011VTD-12,274,120,145
46011VTD-13,253,123,123
46011VTD-14,1177,547,612
46011VTD-15,181,90,87
46011VTD-16,507,190,303
46013VTD-1,1527,788,719
46013VTD-2,928,526,378
46013VTD-3,1467,767,667
46013VTD-4,702,372,314
46013VTD-5,632,330,286
46013VTD-6,1548,726,801
46013VTD-7,1309,639,658
46013VTD-8,939,552,375
46013VTD-9,1076,516,535
46013VTD-10,851,469,366
46013VTD-11,1073,572,486
46013VTD-12,689,316,360
46013VTD-13,391,188,192
46013VTD-14,296,168,119
46013VTD-15,923,417,491
46013VTD-16,334,152,177
46013VTD-17,601,359,231
46013VTD-18,256,144,108
46013VTD-19,1067,533,515
46013VTD-20,204,125,76
46013VTD-21,324,206,109
46013VTD-22,289,176,104
46015VTD-1,154,64,87
46015VTD-2,233,91,133
46015VTD-3,371,136,221
46015VTD-4,77,22,54
46015VTD-5,117,41,73
46015VTD-D2,524,218,295
46015VTD-D3,87,36,49
46015VTD-D4,566,236,318
46015VTD-W1,103,40,59
46015VTD-W2,93,36,53
46015VTD-W3,114,45,65
46017VTD-1,133,42,88
46017VTD-2,84,49,33
46017VTD-3,402,363,35
46019VTD-6,46,5,40
46019VTD-8,12,4,8
46019VTD-11,69,12,56
46019VTD-12,82,22,59
46019VTD-13,142,41,96
46019VTD-14,276,80,186
46019VTD-16,404,93,298
46019VTD-17,369,103,261
46019VTD-18,201,70,118
46019VTD-20,264,87,161
46019VTD-B1,211,94,110
46019VTD-B2,229,89,128
46019VTD-B3,239,82,150
46019VTD-B4,303,98,197
46019VTD-B5,114,30,80
46019VTD-B6,503,137,360
46019VTD-B7,186,69,109
46019VTD-B8,423,139,275
46019VTD17P,183,51,129
46021VTD-1,213,65,141
46021VTD-2,174,44,128
46021VTD-3,148,36,106
46021VTD-4,132,43,85
46021VTD-5,187,55,131
46023VTD-1,470,252,214
46023VTD-2,216,115,99
46023VTD-4,242,182,56
46023VTD-5,409,227,173
46023VTD-7,122,53,67
46023VTD-8,169,53,111
46023VTD-9,373,95,275
46023VTD6B,92,61,30
46023VTD-10,118,17,99
46023VTD-13,77,38,35
46023VTD-3a,261,141,115
46023VTD-3b,196,106,86
46023VTD-3c,133,72,58
46023VTD-6a,110,73,36
46023VTD-6c,95,63,31
46023VTD11a,258,64,192
46023VTD11b,285,70,212
46023VTD11c,220,54,164
46023VTD12a,54,29,23
46023VTD12b,38,21,16
46023VTD12c,39,21,17
46025VTD-1,153,75,74
46025VTD-2,78,32,43
46025VTD-3,131,65,60
46025VTD-4,127,52,73
46025VTD-5,149,50,93
46025VTD-6,131,64,65
46025VTD-7,137,60,75
46025VTD-8,138,56,80
46025VTD-9,103,23,74
46025VTD-10,92,44,48
46025VTD-11,249,118,129
46025VTD-12,181,77,101
46025VTD-13,47,20,26
46025VTD-W3,224,94,124
46027VTD-C1,318,241,63
46027VTD-C2,464,333,122
46027VTD-W1,423,190,223
46027VTD-W2,436,230,189
46027VTD-W3,1003,541,444
46027VTDNE2,872,584,264
46027VTDNW1,638,403,218
46027VTDNW2,480,286,187
46027VTDSE1,834,512,312
46027VTDSE2,774,488,274
46029VTD-A1,728,300,423
46029VTD-A2,579,253,316
46029VTD-A3,735,380,341
46029VTD-A4,385,159,224
46029VTD-B1,567,230,331
46029VTD-B2,899,437,442
46029VTD-B3,499,202,292
46029VTD-B4,86,35,50
46029VTD-C1,147,76,67
46029VTD-C2,269,116,144
46029VTD-C3,724,379,321
46029VTD-C4,246,138,106
46029VTD-D1,526,268,247
46029VTD-D2,475,255,213
46029VTD-D3,482,227,240
46029VTD-D4,253,153,96
46029VTD-DX,95,57,38
46029VTD-E1,578,302,265
46029VTD-E2,269,99,164
46029VTD-E3,740,252,482
46029VTD-E4,289,98,189
46029VTD-EL,195,86,108
46029VTD-EP,116,55,61
46029VTD-FF,268,130,130
46029VTD-GE,85,61,24
46029VTD-GH,221,94,122
46029VTD-KA,162,72,89
46029VTD-KR,248,109,134
46029VTD-LA,330,134,185
46029VTD-LS,156,85,68
46029VTD-PE,315,126,179
46029VTD-RA,133,66,66
46029VTD-RI,77,41,36
46029VTD-SH,213,65,143
46029VTD-WA,95,55,38
46031VTD-AR,36,17,19
46031VTD-BH,93,86,6
46031VTD-BU,168,138,27
46031VTD-CD,80,32,47
46031VTD-GV,67,5,56
46031VTD-KN,82,75,7
46031VTD-LB,33,6,27
46031VTD-LC,127,60,65
46031VTD-LE,120,102,16
46031VTD-LO,62,10,52
46031VTD-MI,109,41,60
46031VTD-MS,39,33,6
46031VTD-MT,108,45,59
46031VTD-RL,62,30,31
46031VTD-SM,121,89,32
46031VTD-WK,65,59,4
46031VTD-WT,34,9,21
46033VTD-BG,209,80,125
46033VTD-BR,1128,387,715
46033VTD-EM,136,26,102
46033VTD-FB,135,34,91
46033VTD-HE,854,217,613
46033VTD-PR,311,117,187
46033VTD-SE,656,191,445
46033VTD6-1,317,142,169
46033VTD7-2,410,154,248
46033VTD8-3,351,127,214
46035VTD-1,195,84,108
46035VTD-2,260,130,120
46035VTD-3,269,116,148
46035VTD-4,357,168,184
46035VTD-5,433,206,215
46035VTD-6,202,101,100
46035VTD-7,357,178,172
46035VTD-8,307,118,184
46035VTD-10,362,157,195
