GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag
49001BVR1,592,102,484,600.0,53.0,525.0,593.0,48.0,530.0,608.0,46.0,469.0,590.0,48.0,507.0
49001BVR2,444,67,366,457.0,51.0,395.0,450.0,48.0,390.0,458.0,38.0,334.0,450.0,48.0,363.0
49001GRL1,98,21,73,89.0,14.0,72.0,90.0,13.0,77.0,92.0,10.0,76.0,86.0,12.0,74.0
49001BVR3U,312,54,250,324.3,27.4,283.9,321.3,23.9,284.8,330.5,22.4,251.8,317.6,33.4,262.6
49001MLF1I,81,32,46,62.5,24.3,31.7,59.7,21.5,35.5,63.5,17.7,39.2,62.5,23.3,30.8
49001MLF1U,96,38,54,90.5,17.0,68.6,89.4,14.1,71.6,89.7,12.0,62.0,88.7,13.3,67.6
49001MLF2I,374,145,213,368.2,111.4,232.8,364.2,106.5,246.8,369.2,98.5,213.9,365.2,101.5,225.9
49001MLF2U,10,4,6,11.8,2.3,8.8,11.6,2.0,9.2,11.7,1.7,7.9,11.5,1.9,8.7
49001MNR1I,339,52,279,292.1,13.0,263.3,292.1,4.7,278.2,295.9,7.4,248.4,288.4,12.1,262.4
49001MNR1U,26,4,21,21.9,1.0,19.7,21.9,0.3,20.8,22.2,0.6,18.6,21.6,0.9,19.6
49001BVR3IA,110,19,88,119.1,7.7,105.8,119.1,10.5,105.1,120.5,7.7,93.9,118.1,10.9,101.2
49001BVR3IB,2,0,2,2.9,0.2,2.6,2.9,0.3,2.5,2.9,0.2,2.3,2.9,0.3,2.5
49001BVR3IC,1,0,1,1.4,0.1,1.3,1.4,0.1,1.3,1.5,0.1,1.1,1.4,0.1,1.2
49001BVR3ID,24,4,19,25.3,1.6,22.4,25.3,2.2,22.3,25.6,1.6,19.9,25.0,2.3,21.5
49001BVR3IE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49001BVR3IF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003BDM01,133,13,117,123.1,13.3,104.1,121.8,6.9,111.7,123.1,8.2,74.5,119.9,8.8,99.7
49003BRC01,707,166,519,676.0,131.0,515.0,674.0,107.0,525.0,684.0,115.0,363.0,666.0,100.0,508.0
49003BRC02,430,85,332,398.0,51.0,330.0,399.0,46.0,330.0,405.0,54.0,211.0,395.0,38.0,322.0
49003BRC03,495,124,349,467.0,109.0,322.0,469.0,98.0,334.0,472.0,91.0,237.0,462.0,81.0,321.0
49003BRC04,415,118,280,412.0,76.0,308.0,409.0,74.0,313.0,414.0,68.0,214.0,408.0,77.0,280.0
49003BRC05,361,101,253,364.0,79.0,259.0,362.0,69.0,266.0,371.0,75.0,190.0,366.0,72.0,248.0
49003BRC06,499,73,416,553.6,61.6,469.1,548.6,55.7,476.1,552.6,49.7,333.0,538.7,45.7,456.2
49003BRC07,499,99,389,487.0,83.0,378.0,483.0,88.0,363.0,490.0,76.0,250.0,473.0,67.0,341.0
49003BRC08,383,97,278,480.3,79.5,372.8,472.2,79.1,367.9,475.1,90.0,254.6,468.8,85.9,328.9
49003BRC09,548,95,436,454.0,66.6,366.3,443.8,66.3,352.0,446.4,63.9,266.3,440.8,61.3,334.9
49003BRC10,547,105,433,531.8,56.3,457.8,528.5,60.2,442.8,529.0,70.7,311.1,518.9,60.9,418.1
49003BRC11,517,117,382,459.0,70.7,360.1,449.6,72.5,358.3,455.5,70.4,263.0,446.4,61.9,336.1
49003BRC12,639,121,491,611.0,94.0,485.0,605.0,95.0,489.0,614.0,80.0,322.0,596.0,86.0,447.0
49003BRC13,393,77,309,383.0,70.0,282.0,382.0,54.0,307.0,388.0,52.0,218.0,376.0,58.0,278.0
49003BRC14,384,103,275,485.0,85.0,363.0,477.0,87.0,360.0,491.0,91.0,268.0,467.0,85.0,342.0
49003BRE01,196,19,174,197.8,27.1,158.5,194.3,19.3,170.7,197.0,21.9,126.9,197.8,20.1,162.8
49003BRN01,12,3,8,23.5,3.2,18.8,23.0,2.3,20.2,23.4,2.6,15.1,23.5,2.4,19.3
49003BRN02,52,11,36,95.8,12.2,78.5,91.6,11.2,75.7,93.0,10.8,55.2,95.8,9.3,76.7
49003CCR01,17,2,15,17.0,1.0,16.0,17.0,1.0,16.0,17.0,1.0,13.0,17.0,2.0,14.0
49003FIE01,210,21,186,195.0,18.0,167.0,195.0,15.0,169.0,195.0,14.0,138.0,192.0,18.0,155.0
49003FIE02,192,19,172,213.0,16.0,189.0,212.0,20.0,185.0,212.0,20.0,155.0,207.0,13.0,177.0
49003GCR01,49,0,47,32.0,0.0,30.0,33.0,0.0,33.0,33.0,0.0,25.0,31.0,2.0,27.0
49003GEA01,105,9,95,260.0,17.0,233.0,254.0,11.0,228.0,250.0,16.0,162.0,259.0,15.0,223.0
49003PER01,353,52,294,544.0,56.0,473.0,531.0,46.0,465.0,543.0,55.0,351.0,532.0,45.0,453.0
49003PER02,448,75,358,402.0,38.0,340.0,398.0,32.0,347.0,405.0,27.0,267.0,396.0,36.0,312.0
49003PER03,419,61,349,614.0,67.0,531.0,606.0,67.0,517.0,619.0,74.0,372.0,599.0,67.0,501.0
49003PER04,638,106,510,605.0,81.0,501.0,603.0,63.0,515.0,608.0,73.0,354.0,595.0,74.0,478.0
49003PRO01,30,1,28,20.0,1.0,13.0,20.0,3.0,16.0,19.0,1.0,10.0,20.0,1.0,17.0
49003PVA01,79,2,76,80.0,1.0,76.0,81.0,1.0,79.0,83.0,2.0,68.0,79.0,2.0,74.0
49003RIV01,407,37,360,254.0,25.0,222.0,252.0,17.0,224.0,252.0,16.0,173.0,248.0,22.0,204.0
49003SWL01,421,85,324,613.0,82.0,498.0,613.0,61.0,530.0,629.0,68.0,404.0,607.0,72.0,481.0
49003TWS01,652,82,552,604.0,69.0,508.0,607.0,58.0,526.0,602.0,51.0,395.0,590.0,59.0,480.0
49003WIL01,813,163,631,764.0,117.0,612.0,761.0,111.0,608.0,772.0,96.0,485.0,752.0,110.0,563.0
49003YOS01,30,2,28,23.0,2.0,21.0,23.0,2.0,21.0,22.0,2.0,14.0,23.0,3.0,17.0
49003BDM01F,62,13,49,71.9,7.7,60.9,71.2,4.1,65.3,71.9,4.8,43.5,70.1,5.2,58.3
49003BRN01F,4,1,3,8.1,1.0,6.6,8.0,0.8,7.0,8.1,0.8,5.1,8.0,0.8,6.7
49003BRN02F,56,9,41,109.2,13.8,89.5,104.4,12.8,86.3,106.0,12.2,62.8,109.2,10.7,87.3
49003BRV01M,397,62,328,396.1,39.1,339.3,398.8,32.0,350.0,399.7,30.2,265.6,396.1,32.0,332.2
49003BRV01U,50,8,41,49.9,4.9,42.7,50.2,4.0,44.0,50.3,3.8,33.4,49.9,4.0,41.8
49003BRV02U,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003COR01M,278,49,225,262.9,43.1,203.4,259.8,38.6,204.0,261.0,36.7,169.2,260.4,34.2,198.3
49003COR01U,131,23,106,123.5,20.2,95.5,122.0,18.1,95.8,122.6,17.3,79.4,122.3,16.1,93.1
49003COR02U,98,13,83,103.0,14.0,85.0,103.0,8.0,93.0,103.0,8.0,77.0,101.0,12.0,79.0
