GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
5300101111,326,279,0,38,3,4,2,0,0,6,4,0,271,234,0,30,3,2,2,0,0,4,4,0,367.3,275.3,0.0,41.1,1.2,49.7,0.0,0.0,39.9,8.6,2.4,0.0
5300101112,292,260,1,20,3,7,1,0,1,6,4,1,219,201,1,10,3,3,1,0,1,4,2,1,284.2,221.7,0.0,28.6,1.1,30.2,2.5,0.0,23.6,5.6,4.4,0.0
5300101113,365,340,0,16,2,5,2,0,1,9,2,0,299,283,0,9,2,3,2,0,1,5,2,0,342.3,299.6,0.0,22.6,1.9,5.5,12.6,0.0,1.3,2.9,14.5,0.0
5300101114,332,305,1,16,4,3,3,0,1,5,6,0,268,250,1,11,2,2,2,0,1,3,4,0,306.8,268.6,0.0,20.3,1.7,4.9,11.3,0.0,1.2,2.6,13.0,0.0
5300101115,358,349,0,5,0,4,0,0,0,4,0,1,272,269,0,1,0,2,0,0,0,2,0,1,311.4,272.6,0.0,20.6,1.8,5.0,11.5,0.0,1.2,2.6,13.2,0.0
5300101121,259,246,0,6,4,3,0,0,1,5,1,1,200,187,0,6,4,3,0,0,1,5,1,1,303.1,286.1,2.4,4.2,7.8,2.5,0.0,0.0,4.2,8.4,0.1,0.0
5300101122,279,267,0,3,5,3,1,0,1,8,1,1,224,217,0,2,2,2,1,0,0,4,1,1,331.7,314.7,2.5,4.4,8.3,0.6,1.2,0.0,2.7,8.5,1.6,0.2
5300101123,310,286,0,20,2,2,0,0,2,2,1,0,212,202,0,9,0,1,0,0,1,0,1,0,306.8,280.8,2.0,17.3,6.6,0.0,0.0,0.0,2.0,6.6,0.0,0.0
5300101211,65,63,0,2,0,0,0,0,0,0,0,0,55,53,0,2,0,0,0,0,0,0,0,0,74.2,68.5,0.0,3.1,0.3,1.6,0.8,0.0,0.9,0.9,3.4,2.6
5300101212,208,196,2,5,3,2,0,0,2,5,0,0,172,163,0,4,3,2,0,0,0,5,0,0,232.1,214.1,0.0,9.7,1.0,4.8,2.4,0.0,2.9,2.9,10.7,8.2
