GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
550010001,308,294,0,13,1,0,0,0,0,1,0,0,256,248,0,7,1,0,0,0,0,1,0,0,246.6,238.1,0.0,4.0,0.6,3.9,0.0,0.0,0.0,4.4,0.1,0.0
550010002,223,217,1,3,0,2,0,0,1,2,0,0,205,201,1,1,0,2,0,0,1,2,0,0,245.3,237.0,1.9,5.0,0.3,0.5,0.6,0.0,1.9,0.7,1.1,0.0
550010003,158,147,0,9,0,0,0,2,0,0,0,2,135,128,0,6,0,0,0,1,0,0,0,1,150.3,144.3,2.7,3.1,0.2,0.0,0.0,0.0,2.7,0.2,0.0,0.0
550010004,296,282,0,9,0,2,3,0,0,2,3,0,249,240,0,6,0,2,1,0,0,2,1,0,299.4,275.6,0.4,17.4,0.4,0.1,5.6,0.0,0.4,0.5,5.6,0.0
550010005,1738,786,505,337,57,29,23,1,543,69,36,9,1630,686,504,333,57,28,21,1,541,69,34,9,1638.3,1090.7,259.7,193.8,51.9,35.2,7.0,0.0,266.3,77.1,24.9,0.0
550010006,516,493,6,12,3,2,0,0,6,10,0,0,430,408,6,11,3,2,0,0,6,10,0,0,473.1,369.7,47.1,35.5,13.3,6.4,1.0,0.0,48.6,18.0,4.1,0.0
550010007,1003,953,10,24,4,10,2,0,13,6,6,1,868,837,6,13,4,6,2,0,6,6,5,1,1091.0,1041.3,11.3,16.9,18.5,3.1,0.0,0.0,14.4,20.1,0.0,0.0
550010008,655,622,4,22,3,4,0,0,5,5,1,0,517,497,2,11,3,4,0,0,3,5,1,0,625.5,611.2,0.0,10.4,0.0,3.9,0.0,0.0,3.9,0.0,0.0,0.0
550010009,349,333,1,6,4,5,0,0,2,13,0,0,273,265,1,1,4,2,0,0,1,7,0,0,337.5,306.1,11.8,14.0,0.0,5.6,0.0,0.0,12.2,3.1,2.1,0.0
550010010,1278,1190,8,31,22,26,1,0,19,42,3,0,1019,966,6,18,16,12,1,0,10,25,3,0,1266.5,1126.4,55.2,60.4,0.0,24.5,0.0,0.0,55.3,14.6,9.7,0.0
550010011,118,114,1,2,0,0,1,0,1,0,1,0,106,102,1,2,0,0,1,0,1,0,1,0,117.5,110.8,0.9,2.8,0.9,2.2,0.0,0.0,2.6,2.2,0.0,0.0
550010012,1200,1130,3,29,24,14,0,0,11,32,0,1,953,913,2,14,17,7,0,0,5,23,0,1,1056.4,995.8,8.1,25.0,8.1,19.4,0.0,0.0,23.4,19.4,0.0,0.0
550010013,888,862,1,22,0,2,1,0,1,2,1,0,701,683,1,14,0,2,1,0,1,2,1,0,771.4,624.1,69.2,54.5,12.2,10.1,1.3,0.0,72.6,19.1,5.2,0.0
550010014,242,216,1,19,1,5,0,0,1,8,0,0,184,170,1,9,1,3,0,0,1,4,0,0,183.6,120.2,30.3,22.2,6.1,4.1,0.7,0.0,31.1,9.0,2.8,0.0
550010015,495,481,1,10,0,1,2,0,2,3,2,0,427,417,1,7,0,0,2,0,1,3,2,0,530.2,490.3,21.5,18.4,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0
550010016,749,708,0,27,10,4,0,0,0,14,3,0,620,598,0,14,5,3,0,0,0,8,3,0,710.4,631.5,2.0,26.1,0.3,3.3,47.1,0.0,3.9,5.2,47.1,0.0
550010017,668,655,3,3,2,5,0,0,4,4,3,0,587,574,3,3,2,5,0,0,4,4,3,0,791.7,770.9,0.6,1.5,6.0,9.2,3.5,0.0,9.6,6.2,3.5,0.0
