GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
540011,868,857,1,4,0,6,0,0,4,5,0,0,641,635,0,1,0,5,0,0,0,5,0,0,661.1,641.3,1.4,7.6,0.0,10.8,0.0,0.0,4.1,7.6,0.5,0.0
540012,1305,1275,3,12,4,9,1,1,9,8,1,1,995,974,3,9,2,5,1,1,4,6,1,1,1102.8,1092.7,4.6,0.0,0.0,5.4,0.0,0.0,10.0,0.0,0.0,0.0
540013,526,515,0,8,0,3,0,0,0,3,0,0,404,395,0,6,0,3,0,0,0,3,0,0,412.3,396.2,0.0,7.3,0.0,8.8,0.0,0.0,1.0,7.3,0.5,0.0
540014,1075,1048,6,8,5,5,2,1,9,5,3,1,816,806,1,4,2,0,2,1,1,2,2,1,927.9,882.8,1.6,0.0,41.1,2.4,0.0,0.0,1.6,43.5,0.0,0.0
540015,775,769,0,0,0,6,0,0,0,4,2,0,597,592,0,0,0,5,0,0,0,4,1,0,994.7,983.0,2.5,0.0,0.0,9.2,0.0,0.0,2.5,9.2,0.0,0.0
540016,828,810,5,3,1,9,0,0,9,6,3,0,660,653,3,1,0,3,0,0,4,3,1,0,906.4,899.2,0.9,1.7,0.0,3.4,1.2,0.0,0.9,3.4,1.2,0.0
540017,578,561,8,1,0,8,0,0,10,8,0,0,476,462,8,1,0,5,0,0,10,5,0,0,512.0,510.8,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0
540018,2521,2382,28,11,30,63,7,0,65,68,10,1,1996,1897,20,9,20,43,7,0,41,51,9,1,2690.4,2558.8,47.6,10.8,2.2,41.0,30.1,0.0,47.6,35.3,30.1,0.0
540019,557,545,2,1,1,7,1,0,8,2,1,0,408,401,2,1,1,2,1,0,3,2,1,0,632.8,618.0,0.5,6.4,0.0,3.4,4.5,0.0,0.5,3.4,4.5,0.0
5400111,459,399,10,4,13,33,0,0,28,41,0,0,353,300,10,3,12,28,0,0,26,36,0,0,386.7,330.3,9.9,0.0,4.3,23.3,18.8,0.0,9.9,23.6,18.8,0.0
5400112,973,954,2,3,6,6,2,0,4,10,2,0,763,748,1,2,6,5,1,0,2,10,1,0,1065.8,1013.7,0.0,15.5,3.4,17.3,15.9,0.0,0.0,18.7,15.9,0.0
5400113,522,517,0,1,1,3,0,0,2,3,0,1,421,417,0,1,1,2,0,0,1,2,0,1,429.3,361.5,0.0,0.0,7.0,35.5,25.2,0.0,0.0,38.4,25.2,0.0
5400114,597,577,3,1,0,16,0,0,11,4,4,0,462,448,3,1,0,10,0,0,8,4,1,0,685.7,669.4,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400115,1152,1061,32,12,13,24,9,1,40,27,16,2,959,887,25,12,12,15,7,1,28,22,11,2,1287.0,1063.8,85.3,18.2,0.1,119.3,0.3,0.0,204.2,96.3,0.3,7.7
5400116,794,773,2,10,1,8,0,0,6,5,0,0,665,652,2,7,1,3,0,0,3,3,0,0,888.4,888.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400117,1258,1207,12,4,8,15,12,0,20,16,12,0,1022,984,9,4,5,9,11,0,14,10,11,0,1350.4,1305.8,31.7,0.8,0.0,12.1,0.0,0.0,43.8,11.1,0.0,0.3
5400118,292,286,0,6,0,0,0,0,0,0,0,0,231,228,0,3,0,0,0,0,0,0,0,0,301.9,301.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400119,520,508,1,1,0,10,0,0,5,3,0,1,388,382,0,0,0,6,0,0,1,1,0,1,459.8,458.5,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
5400120,415,410,1,0,1,3,0,0,3,2,0,0,300,296,1,0,1,2,0,0,2,2,0,0,457.0,445.7,11.2,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0
5400121,329,312,2,4,7,4,0,0,4,8,2,0,240,230,2,1,5,2,0,0,2,6,2,0,357.0,348.8,8.1,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0
5400122,245,239,2,2,0,2,0,0,4,0,0,0,190,186,2,1,0,1,0,0,3,0,0,0,220.7,220.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
540031,1967,1620,207,58,2,57,22,1,254,15,26,2,1608,1369,170,24,2,23,19,1,184,9,22,2,2000.0,1661.9,165.2,73.0,0.0,73.0,26.8,0.0,209.2,23.3,26.8,0.0
540032,1562,1263,135,103,1,50,10,0,167,19,12,2,1153,977,97,52,1,18,8,0,102,16,8,1,1402.6,1323.3,0.0,72.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0
540035,1773,1413,218,75,4,52,10,1,256,18,13,3,1344,1113,158,41,4,17,10,1,165,15,11,2,1574.1,1108.1,234.8,178.8,1.8,50.5,0.3,0.0,389.1,5.5,0.3,0.0
540036,1068,797,140,92,2,36,1,0,185,10,2,0,840,656,109,52,2,20,1,0,130,10,2,0,850.4,509.5,224.0,67.6,11.2,38.1,0.0,0.0,259.5,13.8,0.0,0.0
540037,1221,813,203,131,11,51,11,1,242,28,16,5,951,660,168,80,8,23,11,1,185,18,13,5,1021.5,595.6,236.5,79.1,0.0,110.3,0.0,0.0,334.8,12.0,0.0,0.0
540038,1033,739,194,45,2,52,0,1,232,13,4,1,775,577,150,30,2,16,0,0,156,10,2,0,1174.4,723.1,373.5,13.5,0.0,64.0,0.3,0.0,420.1,0.6,2.7,0.0
540039,940,805,69,33,0,20,13,0,87,4,21,1,728,644,47,18,0,10,9,0,54,2,13,0,857.2,736.1,10.8,87.6,0.0,19.0,3.6,0.0,47.0,7.2,21.7,0.0
5400310,1783,1203,279,216,8,58,19,0,339,22,36,5,1301,960,177,133,5,15,11,0,189,13,18,5,2202.1,1697.9,323.9,135.6,0.0,39.9,4.8,0.0,354.2,1.3,14.0,0.0
5400311,645,517,68,47,0,7,6,0,76,10,9,0,505,430,47,20,0,2,6,0,47,6,6,0,830.7,667.4,77.8,54.9,0.0,30.6,0.0,0.0,100.2,0.0,8.2,0.0
