GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0228232-860,662,268,17,5,330,43,22,500,221,10,5,233,38,9,689,292,50,4,287,72,21,485,215,25,8,194,34,4,649,281,50,8,295,43,13,480,215,15,8,214,14,4
0218540-032,678,43,13,17,629,0,0,440,39,5,10,395,0,0,685,56,6,7,622,3,3,383,47,3,6,332,3,3,675,53,8,12,610,2,3,387,47,3,3,330,3,3
0218540-040,556,44,2,0,510,1,0,369,43,2,0,324,1,0,470,31,2,2,437,0,0,295,25,2,2,269,0,0,460,29,2,2,431,0,0,287,21,2,2,266,0,0
0218540-030,496,119,3,5,369,1,0,382,118,3,4,256,1,0,477,147,6,6,319,2,4,340,130,6,5,201,2,3,501,149,6,9,340,2,4,347,129,6,8,207,2,3
0218540-010,2798,381,84,47,1979,312,104,1810,327,45,33,1157,231,61,2979,346,68,165,2130,452,146,1715,260,40,45,1175,164,20,3002,327,71,170,2190,399,193,1655,250,35,40,1165,130,45
0218540-008,1415,301,47,36,910,147,40,1018,239,27,17,615,116,22,1473,97,21,31,1042,154,150,995,80,15,15,745,65,65,1455,138,22,108,927,185,137,1015,110,15,85,700,55,50
0215032-830,4329,2772,258,61,853,421,37,3073,2135,139,34,504,259,21,4144,2498,385,35,695,696,0,2777,1991,210,0,294,229,0,3961,2163,580,0,661,686,69,2679,1797,290,0,284,267,0
0215032-825,3198,1026,331,26,354,1523,36,2258,799,197,15,226,1039,21,3641,1018,398,3,622,1794,37,2044,850,228,7,303,614,28,3707,1205,245,7,507,1764,34,2198,995,139,7,333,666,28
0215032-820,2930,1263,244,28,495,895,65,2215,1043,154,19,316,660,37,2643,1166,235,5,540,836,9,1648,953,132,1,311,230,1,2534,1158,156,14,431,809,16,1637,942,70,11,297,291,1
0215032-810,2047,1667,137,56,133,62,28,1356,1132,74,32,81,33,14,2207,1721,171,45,160,60,60,1389,1148,95,29,78,14,20,2327,1777,187,45,197,67,21,1433,1159,125,14,99,5,15
0210033-545,2040,1664,35,17,297,31,2,1632,1359,23,10,224,19,2,2136,1661,81,29,303,69,2,1590,1297,35,8,221,34,0,2131,1635,96,64,345,60,2,1554,1253,35,6,216,20,0
0210535-775,133,124,2,1,5,1,0,119,110,2,1,5,1,0,149,55,18,14,66,10,0,107,48,5,8,46,1,0,138,49,14,14,69,4,0,107,46,4,8,53,0,0
0215032-815,240,66,8,6,170,14,0,170,56,3,2,110,7,0,213,38,6,2,168,8,6,156,33,3,0,116,0,3,190,34,6,0,155,5,4,140,30,6,0,102,0,0
0215032-835,218,23,3,0,194,0,0,153,20,2,0,132,0,0,192,33,5,1,155,5,5,141,29,1,0,104,0,1,174,30,5,1,142,4,2,127,27,4,0,93,0,0
0219835-745,490,349,8,1,131,7,3,387,289,4,0,88,5,0,461,213,0,16,217,9,0,380,195,0,5,175,0,0,472,233,5,14,214,5,0,375,201,4,5,165,0,0
