GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
05051000021,3697,2343,359,920,56,31,8,2910,1975,234,629,50,22,6,3911,2221,430,1201,43,15,1,2947,1913,127,847,42,14,1,3953,2273,559,1068,37,22,0,2859,1876,169,767,34,17,0,3374,1851,615,855,17,32,0,2362,1376,223,690,15,24,0,3209,1465,536,1004,178,50,13,2497,1249,362,711,139,41,8,2497,1249,362,647,28,17,3,19,172
05051000034,2383,1476,327,523,40,38,6,1795,1218,214,313,34,27,5,2049,1082,371,576,5,14,3,1392,972,18,382,4,16,2,2273,1045,405,812,4,11,0,1530,953,25,542,4,11,0,2340,1179,249,889,6,19,0,1544,1009,34,490,5,19,0,2317,1186,419,604,91,20,9,1766,1010,257,422,63,15,6,1766,1010,257,387,10,11,4,9,78
05051000051,565,338,64,149,10,3,2,427,280,44,97,9,3,1,997,498,192,308,0,0,0,734,412,77,245,0,0,0,1099,430,61,608,0,0,0,692,370,38,285,0,0,0,887,405,49,431,0,0,0,608,383,20,240,0,0,0,513,278,112,108,22,2,2,392,247,61,74,16,0,0,392,247,61,62,0,0,0,1,21
05051000114,2649,2503,63,40,28,16,0,2393,2293,43,30,21,11,0,2625,2350,168,123,14,22,0,2236,2020,111,85,14,11,0,2645,2374,157,122,12,21,0,2259,2041,107,90,11,9,0,2731,2585,50,45,21,14,0,2428,2299,40,49,23,2,0,2962,2576,146,70,92,47,7,2627,2329,102,62,70,32,2,2627,2329,102,53,27,15,0,16,85
05051000112,282,268,7,2,4,3,0,239,232,3,2,3,0,0,321,311,7,2,2,0,0,267,262,4,2,1,0,0,301,293,5,1,2,0,0,258,254,3,1,1,0,0,248,244,3,2,2,0,0,207,208,0,0,2,0,0,276,252,5,5,13,1,0,224,207,3,1,13,0,0,224,207,3,1,0,4,0,0,9
05051000113,3066,2927,59,35,36,17,1,2549,2462,34,20,21,14,0,3059,2889,142,5,21,17,0,2591,2464,90,5,18,9,0,2896,2735,136,2,19,15,0,2529,2416,85,2,16,6,0,2894,2756,50,24,53,6,0,2512,2439,26,16,54,1,0,3177,2888,78,62,122,15,1,2683,2460,54,40,103,11,0,2683,2460,54,26,10,14,0,2,117
05051000132,2084,1976,40,22,30,14,0,1775,1693,24,15,19,11,0,2483,2393,53,4,20,5,0,2109,2055,27,4,19,5,0,2440,2358,47,4,8,20,0,2060,2015,25,4,6,7,0,2602,2510,44,3,12,34,0,2369,2337,27,0,6,6,0,2542,2347,58,43,58,25,6,2371,2225,39,36,47,16,5,2371,2225,39,31,7,6,0,7,56
050990000W3,782,296,26,456,4,0,0,578,243,17,313,3,0,0,829,261,1,563,0,1,0,503,147,1,354,0,1,0,556,188,0,369,0,0,0,434,137,0,301,0,0,0,614,193,0,421,0,0,0,449,129,0,291,0,0,0,787,259,63,454,11,2,0,573,215,42,307,8,2,0,573,215,42,292,2,2,0,1,19
050990000W1,939,644,24,260,10,2,1,713,515,15,176,8,2,1,593,385,14,186,6,10,0,467,280,15,161,7,10,0,744,542,0,202,0,0,0,524,359,0,161,0,0,0,730,536,0,196,0,0,0,596,556,0,100,0,0,0,833,539,37,240,22,1,1,654,443,19,177,16,1,1,654,443,19,170,1,5,0,0,16
050990000W2,878,357,25,493,5,0,0,646,291,16,336,4,0,0,613,432,9,159,2,5,0,499,341,9,143,3,4,0,738,551,0,188,0,0,0,550,406,0,145,0,0,0,694,530,0,165,0,0,0,543,244,0,217,0,0,0,768,234,25,499,12,5,1,583,195,14,369,8,3,0,583,195,14,360,0,0,0,0,14
