GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
04013000006,2047,1785,164,54,12,49,1,1810,1628,100,34,9,45,1,2251,1894,298,206,0,46,0,2063,1839,200,8,0,20,0,2261,1929,264,185,13,58,0,2077,1884,176,0,3,18,0,1681,1394,226,18,17,53,0,1553,1310,229,0,5,29,0,2145,1803,172,105,36,30,2,1967,1691,138,79,25,29,2,1967,1691,138,71,21,8,1,6,31
04013000423,4309,4165,63,39,22,22,1,4295,4153,62,38,22,22,1,4373,4103,93,144,0,33,0,4200,3925,90,145,0,35,0,4338,4239,59,27,0,13,0,4175,4070,60,25,0,15,0,4113,3961,68,27,11,46,0,3863,3747,69,24,10,0,0,4607,4266,141,71,42,62,6,4584,4264,135,60,39,56,6,4584,4264,135,46,44,7,1,11,76
04013000216,8955,3388,4641,709,177,227,35,5790,2406,2820,387,101,140,18,10813,3964,4911,1849,254,254,85,6350,3071,2190,840,78,104,39,10961,3735,5544,1732,154,280,104,6389,3077,2373,719,48,99,40,10884,3366,5166,2032,115,372,199,6763,2804,2738,951,51,95,50,10637,3967,5081,1148,361,288,84,7228,2942,3244,682,248,194,40,7228,2942,3244,554,134,77,22,21,234
04013000728,8144,6598,1321,47,156,61,7,6633,5637,824,26,111,42,4,8530,6422,1529,41,533,57,13,6805,5893,462,5,383,9,15,8732,7236,877,43,556,56,25,7279,6305,492,12,395,11,16,8701,7096,1081,46,495,37,32,7141,6423,320,16,358,0,15,7916,6205,1194,117,290,98,28,6725,5514,814,71,248,65,13,6725,5514,814,39,36,57,3,13,249
04013000007,1328,565,719,10,66,6,3,1016,513,472,9,42,5,3,1492,803,651,0,42,5,0,963,766,178,0,13,5,0,1305,769,478,0,48,5,11,931,728,167,0,18,7,0,911,602,284,0,9,0,12,622,298,215,0,12,0,0,925,329,558,6,43,12,1,702,298,376,4,33,7,0,702,298,376,0,5,9,0,4,10
04013000271,4219,3913,101,50,26,130,2,3792,3550,76,43,20,97,2,4124,3863,16,0,0,242,0,3698,3597,17,0,0,88,0,4413,4161,39,39,0,171,0,3910,3791,0,39,0,85,0,4692,4241,78,118,78,181,0,4135,3809,48,20,82,91,0,5249,4862,149,35,50,126,3,5002,4678,121,25,39,109,0,5002,4678,121,20,91,8,0,15,69
04013000082,268,247,8,2,0,10,0,237,223,8,1,0,7,0,296,296,0,0,0,0,0,266,265,0,0,0,0,0,326,327,0,0,0,4,0,296,293,0,0,0,4,0,266,260,6,0,0,1,0,227,219,9,0,0,1,0,265,245,11,0,3,6,0,247,231,9,0,2,5,0,247,231,9,0,3,1,0,0,3
04013000086,3368,3149,97,29,27,72,1,3029,2870,69,17,23,53,1,3650,3446,132,0,5,67,0,3404,3244,130,0,4,24,0,3814,3699,35,37,4,39,0,3603,3507,35,39,4,18,0,3874,3739,40,39,20,33,0,3706,3588,35,41,18,5,0,3690,3368,166,50,51,59,5,3461,3200,136,38,39,47,3,3461,3200,136,27,38,13,2,5,40
04013000060,4594,4129,180,79,13,189,11,3484,3166,127,57,10,121,6,4800,4156,143,211,33,257,0,3705,3230,134,115,35,195,0,4967,4259,135,283,32,258,0,3820,3355,124,140,34,175,0,5545,4339,591,313,154,210,0,4185,3377,410,201,74,116,0,4775,4046,274,96,47,295,18,3867,3342,198,66,36,209,9,3867,3342,198,43,177,3,4,9,91
04013000709,1451,707,586,115,30,44,1,923,504,335,62,15,23,0,1614,618,777,190,25,55,3,895,450,303,98,11,29,1,1595,622,739,152,15,95,3,926,430,350,86,11,51,2,1518,801,694,0,23,0,0,1166,650,455,0,40,0,0,1700,915,596,79,77,48,18,1245,757,376,45,42,32,7,1245,757,376,33,15,17,0,3,44
04013000369,1699,990,613,54,25,21,5,1201,771,365,35,17,13,3,2686,1574,984,122,15,31,11,1859,1173,599,44,6,18,9,2820,1457,1202,149,15,31,16,1965,1037,825,62,6,18,14,4452,1913,1709,406,25,430,35,2970,1392,1001,223,8,309,23,5155,2180,2205,501,196,212,53,3579,1681,1382,296,125,143,34,3579,1681,1382,220,103,29,25,5,134
04013000524,4160,2285,1694,99,103,41,14,2849,1723,1000,63,70,28,10,5395,3334,1598,384,85,49,0,3849,2716,835,224,44,26,0,5512,3275,1717,420,89,37,6,3853,2727,806,233,48,23,0,4647,2232,2169,207,65,12,7,3225,1814,1279,53,20,0,0,4828,2186,2430,97,141,25,14,3503,1759,1572,62,96,21,11,3503,1759,1572,28,12,34,5,27,66
04013000558,8600,6329,1373,273,121,558,38,5692,4318,794,154,77,364,23,9247,6788,1552,383,171,553,43,6275,4759,967,210,0,321,0,9038,6812,1341,337,113,575,39,6204,4875,832,192,0,261,0,11615,8605,1359,1206,142,482,33,7493,5713,879,635,11,241,0,10117,7134,1635,359,194,779,40,7199,5187,1079,219,126,555,22,7199,5187,1079,167,461,33,9,30,233
04013000191,8883,7932,527,128,57,252,12,6657,6053,323,76,45,164,7,9480,8182,639,120,159,401,6,6905,6271,334,33,60,188,4,9619,8181,674,128,226,420,3,7208,6465,372,48,89,220,4,9182,7687,788,130,172,373,4,6960,6213,396,57,57,178,1,8868,7560,650,142,122,344,29,7074,6153,437,97,91,230,22,7074,6153,437,61,171,9,5,24,214
04013000032,3037,2692,204,37,44,71,10,2282,2093,121,18,19,44,3,3072,2526,329,9,56,144,2,2293,2001,187,5,23,66,0,3174,2654,313,16,72,118,2,2368,2092,177,11,35,58,0,2955,2440,334,18,49,118,5,2204,1918,194,7,20,38,0,2880,2350,290,46,49,124,6,2268,1928,174,35,35,77,4,2268,1928,174,20,42,6,0,9,89
04013000464,8375,4298,3267,591,181,190,31,5592,3174,1903,341,111,125,15,12182,5104,5309,1392,310,255,3,7432,3763,2448,974,131,113,2,14447,5413,6982,1682,325,286,30,8992,3931,3592,1205,131,115,8,13456,4515,7600,969,321,224,88,7967,3279,3813,642,140,9,0,15499,5909,7701,1252,587,423,129,10599,4459,4827,813,378,292,88,10599,4459,4827,636,165,93,32,66,321
04013000143,8613,4508,2893,660,323,324,20,6522,3561,2063,484,273,202,11,9465,4406,3253,1011,835,644,85,6901,3635,1960,664,370,210,2,9815,4532,3633,921,789,536,84,7449,3980,2253,674,369,174,0,12876,6420,4078,1098,622,753,81,9429,5474,2452,913,321,299,0,13779,6836,4692,1258,578,594,94,10679,5587,3379,889,496,404,70,10679,5587,3379,756,308,308,35,51,255
04013000489,3309,3027,118,46,25,94,6,2718,2532,73,37,15,58,2,3328,2952,99,49,14,210,0,2832,2600,98,30,10,90,0,3361,2889,139,65,6,259,0,2859,2562,114,40,9,140,0,3742,3305,128,59,3,224,20,3101,2803,120,34,6,122,0,3415,2998,177,82,34,100,6,2982,2668,138,54,22,73,6,2982,2668,138,43,46,1,1,8,77
04013000056,5696,4137,1155,155,127,155,27,4286,3271,726,100,91,114,17,5917,4106,1396,97,64,239,39,4465,3440,800,75,35,95,20,6025,3731,1776,102,107,271,57,4375,3110,955,80,85,105,30,6280,4089,1766,109,331,264,0,4594,3414,951,70,63,82,0,5698,3712,1377,254,159,202,19,4482,3099,940,161,130,145,12,4482,3099,940,123,110,54,6,16,134
