GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0901111-054,4641,3931,240,215,68,224,10,3577,3121,143,126,46,152,6,4546,3993,175,159,70,150,0,3619,3234,95,132,51,112,0,4494,3988,186,171,27,145,0,3587,3252,113,132,12,96,0
0901111-014,5054,3507,537,559,106,470,8,4069,3014,334,359,68,349,4,5593,3583,941,812,188,464,0,4294,3061,580,366,50,234,0,5367,3356,965,597,207,688,0,4158,2955,617,169,38,343,0
0901111-051,2082,1944,42,32,10,58,1,1744,1647,30,22,10,39,1,1929,1738,67,84,11,42,0,1568,1426,41,54,11,21,0,2013,1817,91,73,0,49,0,1604,1464,46,46,0,24,0
0901111-007,5919,5440,170,114,51,178,5,4883,4578,101,68,33,117,3,5505,5051,259,61,72,86,0,4696,4408,140,32,48,65,0,5551,5059,278,51,111,96,0,4787,4451,152,24,63,88,0
0901111-055,5511,4759,255,168,74,307,7,4384,3887,173,106,47,202,5,5141,4304,413,268,54,211,29,4017,3411,267,134,20,124,0,5373,4347,482,252,49,314,20,4064,3514,213,115,25,160,0
0901111-056,4733,4322,155,101,43,124,5,3714,3444,93,71,26,80,4,4728,4185,175,388,0,38,0,3867,3547,81,227,0,10,0,4473,4040,161,285,0,50,0,3669,3409,91,152,0,15,0
0901111-012,6852,4730,681,758,201,682,24,5370,3922,425,476,138,516,16,7217,4199,1308,656,266,1020,159,5117,3707,641,205,145,338,0,7067,4072,1178,868,259,1023,114,5035,3559,590,312,99,347,0
0901111-017,4426,4042,119,112,53,124,4,3562,3319,66,70,38,85,4,4005,3686,152,70,67,50,3,3313,3123,83,51,35,33,0,4060,3774,175,44,62,19,0,3356,3196,96,18,24,18,0
0901111-038,9916,6790,1344,1434,269,301,37,7437,5526,806,818,169,225,22,9612,6097,1046,2176,640,405,0,6905,5204,455,828,169,288,0,9311,6054,1286,1608,688,435,0,6913,5085,550,813,169,318,0
0901111-037,3361,2880,168,175,59,113,3,2680,2390,95,92,35,77,2,2741,2178,80,370,262,138,0,2322,1936,35,73,4,101,0,2909,2474,91,205,80,141,0,2413,2138,77,75,4,120,0
0901111-010,5657,4858,235,264,120,218,11,4345,3839,136,141,80,162,5,5454,4523,213,130,370,362,0,3710,3110,130,10,170,225,0,5836,5025,162,102,398,283,0,4260,3655,130,15,200,185,0
0901111-011,6294,5840,161,95,137,108,7,4874,4579,81,64,100,78,4,6239,5615,72,199,320,88,32,4950,4535,30,130,175,65,0,5786,5214,123,265,193,52,36,4725,4400,49,120,115,10,0
0901111-044,4726,4274,115,106,132,124,10,3781,3493,60,66,71,92,3,4666,3972,43,282,133,277,7,3575,3195,15,125,80,140,0,4657,4016,44,259,148,263,11,3610,3235,15,100,100,159,0
0901111-053,4632,3900,272,211,60,225,0,3758,3254,177,149,49,156,0,4637,3810,380,291,19,260,4,3632,3203,222,170,12,18,0,4595,3737,373,429,7,232,4,3675,3175,223,241,2,38,0
0901111-009,1922,1816,43,15,21,29,0,1504,1439,22,8,17,19,0,1842,1723,62,28,23,19,0,1475,1395,50,14,4,14,0,1778,1638,94,23,17,15,0,1415,1315,70,14,4,14,0
0900909-014,4143,3822,125,67,24,107,0,3444,3217,87,48,17,73,0,4214,4002,120,0,13,73,0,3658,3519,76,1,12,58,0,4244,3900,221,8,30,79,0,3536,3351,94,9,27,56,0
0900909-013,6624,5558,373,250,48,419,7,5405,4662,253,173,30,289,3,6864,5357,718,286,13,506,0,5206,4468,275,220,11,242,0,6736,5146,742,351,12,493,0,5002,4204,321,281,11,209,0
0900909-015,4123,3533,216,136,28,223,4,3368,2960,147,92,19,157,4,4234,3558,306,111,0,243,0,3599,3136,209,51,0,200,0,4335,3465,408,103,0,356,0,3582,3017,286,46,0,228,0
0900909-012,2608,2444,67,21,10,57,1,2285,2171,40,13,10,46,1,2640,2363,182,10,1,92,0,2284,2147,72,0,3,58,0,2698,2398,236,18,1,55,0,2388,2213,136,9,3,32,0
0900909-142,4804,4507,158,77,43,27,4,3686,3475,107,58,28,18,4,4748,4190,198,265,69,26,0,3625,3226,117,184,68,25,0,4692,3969,187,438,70,28,0,3556,3034,98,327,71,25,0
0900909-143,4601,4233,154,136,13,58,4,3595,3347,103,91,9,41,4,4988,4376,286,314,35,0,0,4040,3634,248,136,27,0,0,5013,4517,163,332,30,21,0,4029,3726,107,158,24,20,0
0900909-156,5876,5323,248,82,37,195,2,4458,4127,143,54,27,112,1,5920,5445,237,108,3,129,0,4647,4300,200,79,0,69,0,5999,5306,482,64,5,146,0,4706,4205,408,38,0,70,0
0900909-157,4348,3611,427,95,20,227,2,3459,2950,282,71,11,160,1,4449,3336,729,112,1,265,31,3429,2850,337,78,0,134,31,4588,3321,754,140,15,359,31,3567,2876,330,101,16,213,31
0900909-019,6582,5235,438,579,19,355,4,4947,3938,317,486,15,218,4,6194,4557,526,694,67,446,0,4996,3818,385,573,54,182,0,6140,4690,498,675,52,316,0,4869,3800,358,521,42,149,0
0900909-168,5984,4008,1071,776,66,131,10,4732,3424,678,510,43,95,6,5282,3251,1100,739,65,278,0,3691,2746,563,347,30,33,0,5046,3106,1321,847,49,62,0,3735,2569,764,366,25,24,0
0900909-085,6933,5525,605,445,44,327,6,5303,4383,368,274,31,227,3,7116,5255,880,612,24,344,0,5010,4035,564,207,25,184,0,7305,5398,822,779,29,275,0,5293,4122,559,418,30,164,0
0900909-191,5368,4938,169,153,23,93,2,4109,3858,95,83,18,57,1,5427,4882,303,187,49,11,0,3959,3657,136,135,23,4,0,5402,4929,277,144,47,12,0,4062,3823,137,70,23,4,0
0900909-192,6135,5661,231,111,34,110,1,4666,4372,134,75,25,70,1,6118,5545,320,100,42,122,0,4634,4304,133,95,17,86,0,6030,5501,315,55,38,126,0,4607,4334,126,53,17,71,0
0900101-184,2862,2609,96,42,12,113,5,2044,1885,63,28,7,69,2,2838,2387,105,47,1,334,0,1906,1691,56,33,1,134,0,2839,2432,139,53,1,237,0,1919,1709,63,25,1,114,0
0900101-178,2354,2143,78,30,7,92,4,1685,1548,52,19,4,55,2,2520,2354,100,35,7,36,0,1907,1823,38,30,7,12,0,2551,2431,22,71,10,31,0,1929,1861,17,35,7,10,0
0900101-185,533,485,17,7,2,21,0,379,353,10,7,1,12,0,549,438,40,16,3,62,0,387,339,21,11,3,18,0,554,471,17,10,3,57,0,409,369,16,8,3,14,0
0900101-199,2837,2579,96,49,3,116,2,2030,1859,61,30,2,75,2,2843,2571,100,22,30,195,0,2081,1976,40,0,10,45,0,2799,2468,105,52,55,208,8,2036,1919,45,30,4,30,0
0900101-076,4260,2625,1174,193,42,267,0,3332,2166,820,129,29,210,0,4419,2227,1713,162,81,316,18,2548,1581,723,77,6,153,20,4569,2067,1977,231,74,275,20,2611,1519,775,145,6,147,20
0900909-158,6525,5878,255,85,30,287,4,5061,4627,170,61,22,194,2,6052,5529,228,32,3,277,0,5120,4743,167,9,0,185,0,6104,5539,172,62,2,345,0,5064,4726,79,17,0,230,0
