GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0901111-054,2207,1094,996,2182,1305,835,2164,1069,1055,2880,1667,1156,2438,1552,822,2517,1260,1123
0901111-014,1742,858,766,1719,1065,615,1703,899,766,2402,1416,912,1991,1312,618,2068,1074,858
0901111-051,1198,575,556,1188,735,445,1172,577,582,1576,973,580,1279,808,450,1295,680,558
0901111-049,912,424,416,898,537,353,884,443,433,1165,702,446,987,646,323,1009,538,425
0901111-007,3254,1670,1414,3224,2031,1152,3162,1651,1472,4062,2519,1489,3454,2253,1122,3520,1876,1481
0901111-055,2604,1170,1303,2561,1452,1053,2539,1171,1319,3454,1892,1479,2894,1798,1021,2984,1404,1405
0901111-012,1842,918,810,1791,1109,646,1773,904,836,2736,1654,1018,2258,1495,672,2373,1275,956
0901111-017,2395,1297,950,2365,1568,770,2339,1318,998,2835,1871,924,2586,1764,776,2645,1609,910
0901111-038,2695,1358,1191,2635,1651,935,2620,1379,1198,3809,2303,1405,3168,2189,867,3280,1767,1317
0901111-010,1649,650,891,1597,836,729,1594,619,951,2379,1087,1223,1934,1188,682,2018,789,1090
0901111-044,2158,779,1216,2118,1048,1036,2103,800,1275,2868,1270,1529,2425,1379,974,2514,978,1377
0901111-053,2113,995,991,2085,1218,821,2055,976,1035,2818,1571,1167,2380,1516,774,2424,1185,1094
0901111-056,2510,1149,1203,2467,1445,997,2436,1142,1262,3164,1787,1322,2701,1677,966,2758,1384,1239
0901111-009,971,368,530,944,488,435,934,368,552,1261,553,674,1074,620,420,1097,413,613
0900909-014,2431,1234,1131,2418,1470,917,2399,1279,1103,2942,1740,1160,2568,1707,820,2604,1431,1092
0900909-142,2355,529,1746,2292,759,1514,2279,574,1688,2909,921,1950,2606,1119,1444,2699,717,1883
0900909-156,2764,1059,1667,2813,1406,1376,2744,1118,1595,3756,1921,1761,3028,1814,1156,3074,1344,1577
0900909-157,1674,721,878,1635,899,713,1562,732,808,2316,1251,1042,1888,1172,678,1955,911,955
0900909-013,2603,1345,1181,2563,1577,955,2529,1393,1111,3570,2132,1379,2943,1975,903,2954,1667,1163
0900909-019,2142,879,1163,2130,1102,1005,2119,961,1139,2681,1385,1226,2348,1312,988,2391,1102,1186
