GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
1100102-074,6761,1036,655,5002,108,121,14,5582,1006,474,4030,89,110,13,8136,2022,856,5174,219,182,2,6194,1785,485,3688,180,94,0,8547,2415,920,5096,180,226,3,6548,2140,507,3649,137,114,0,8917,2522,1512,4546,216,450,29,7411,2296,1132,3688,177,369,22
1100102-072,6277,194,302,5806,68,35,5,4834,186,209,4432,51,26,5,6997,605,301,6046,37,141,11,5382,492,200,4577,39,78,0,6815,550,438,5642,96,264,14,5325,505,139,4497,59,130,0,6585,730,514,5235,124,186,19,5286,644,375,4173,104,139,15
1100102-073,2530,654,220,1616,49,58,0,2079,582,172,1290,43,46,0,2899,1180,277,1351,17,156,8,2361,976,151,1117,12,108,0,3184,1322,269,1487,14,179,8,2587,1090,115,1249,17,126,0,2937,1130,300,1333,68,154,7,2436,928,220,1156,49,111,7
1100102-127,5854,1693,248,3699,124,225,9,4919,1651,207,2874,94,191,8,6757,2941,390,3175,90,325,0,5720,2680,295,2489,90,225,0,6933,2938,491,3420,73,125,11,5990,2705,440,2735,70,79,0,6763,2783,431,3157,134,370,15,6036,2664,389,2634,112,333,7
1100102-131,2794,1569,155,900,24,174,6,2658,1518,151,827,22,165,6,5807,3704,337,1419,0,425,0,5230,3455,320,1160,0,295,0,6827,4426,409,1564,0,514,0,6190,4130,395,1265,0,400,0,11036,7241,807,2091,155,828,36,10245,6932,729,1746,129,752,26
1100102-111,3416,56,67,3295,36,19,0,2729,55,47,2622,26,13,0,4605,113,177,4370,111,7,10,3463,80,62,3271,37,8,0,4337,122,154,4093,149,11,11,3221,99,45,3002,58,11,0,3798,116,132,3551,64,27,7,2994,94,103,2788,55,25,5
1100102-078,4519,92,138,4282,39,26,1,3477,84,100,3279,27,18,1,5491,714,308,4200,54,245,17,3941,631,129,3053,28,87,0,5282,716,370,4067,76,107,17,3955,619,192,3052,46,40,0,4629,613,416,3537,83,95,11,3699,576,308,2751,63,79,3
1100102-001,6886,1764,285,4058,71,820,9,5738,1729,255,3036,59,743,9,8935,3259,557,4172,137,946,31,7237,3058,407,3140,63,543,0,9480,3650,652,4058,134,1120,33,7532,3421,449,2960,83,655,0,9944,4185,840,3700,162,1221,27,8803,4122,778,2738,127,1149,24
1100102-143,4055,2405,281,858,32,515,8,3913,2369,265,791,29,493,8,3984,2243,350,687,11,695,0,3457,2069,266,643,6,471,0,4171,2296,424,728,11,708,0,3604,2106,311,688,6,489,0,3958,2482,347,513,36,579,5,3810,2418,331,490,34,527,5
1100102-089,4812,4055,228,271,47,244,6,4276,3657,182,234,41,185,5,5170,4204,313,359,6,345,8,4287,3597,220,308,0,154,0,5238,4012,554,349,14,390,5,4128,3336,301,300,0,185,0,5030,3966,287,304,68,410,12,4363,3511,237,258,59,295,12
