GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
1201100Q090,2093,1279,562,169,24,90,8,1629,994,445,128,13,68,4,2065,927,522,540,2,117,19,1677,778,349,463,1,86,0,2079,1054,571,388,0,87,14,1639,865,392,316,1,58,0
1201100U009,1371,750,404,154,8,82,1,988,570,272,99,8,55,1,2043,741,874,315,0,135,0,1506,608,603,198,0,79,0,2198,727,1022,283,0,188,0,1547,608,700,157,0,64,0
1201100U008,1092,669,271,52,5,101,0,728,431,183,40,2,76,0,1038,596,169,226,3,62,0,847,509,124,158,3,46,0,1032,586,218,184,3,45,0,847,521,169,122,3,30,0
1201100C023,7919,4963,1552,1224,37,204,18,6976,4647,1288,866,32,176,15,8379,4303,2061,1782,256,284,0,6032,3868,1166,820,47,39,0,8207,4374,2184,1413,253,284,0,5976,3931,1143,722,52,58,0
1201100D005,4732,1385,1515,1828,26,77,23,3732,1263,1136,1294,21,63,18,5957,1436,2295,2237,109,199,0,3488,1340,1048,988,25,99,0,5913,1307,2650,1873,54,217,0,3068,1215,885,876,10,87,0
1201100D002,3266,1071,1188,952,30,82,22,2538,977,849,659,21,71,16,2443,690,866,900,95,22,0,1552,681,451,414,5,6,0,2794,801,1070,911,108,28,0,1714,778,466,455,15,8,0
12009000516,9372,5582,1443,2144,93,287,19,6700,4261,930,1326,61,189,13,11531,6197,1993,3572,231,480,0,7846,4721,1221,1617,52,230,0,11445,5998,1928,3365,427,328,0,7824,4473,1344,1629,110,265,0
12009000520,6584,4076,1055,1368,92,158,15,4750,3104,677,873,64,120,11,7364,3983,1390,2020,0,199,0,5490,3235,900,1250,0,110,0,7276,3721,1794,2006,30,307,10,5490,3175,1125,985,30,145,0
12009000517,8322,5164,1295,1679,93,261,14,6180,4068,859,1092,63,187,9,8767,5414,1410,1638,40,283,0,6516,4137,993,1140,18,236,0,8527,5032,1351,1869,86,247,0,6484,4157,995,1081,32,210,0
12009000510,10838,7420,1425,1676,104,373,32,8433,5933,1051,1202,67,266,25,10218,6607,1777,1222,52,481,0,8243,5389,1355,1130,25,335,0,10753,6768,1873,1530,52,552,0,8703,5504,1505,1275,20,390,0
12009000313,9444,5922,1279,2024,120,268,28,6916,4552,820,1349,78,182,18,10482,6068,1485,2554,163,719,0,7373,4814,763,1347,36,332,0,10698,6366,1589,2322,122,691,0,7550,4982,807,1272,41,360,0
12009000105,7881,6375,388,914,109,125,42,6222,5192,257,607,86,87,28,8371,6284,459,1234,123,310,0,6621,5412,291,602,118,186,0,8723,6626,692,926,217,298,0,6880,5615,361,525,211,177,0
12009000100,2923,2494,94,239,60,36,7,2440,2124,69,170,48,29,5,2908,2434,122,265,58,25,0,2357,2081,66,147,42,14,0,3028,2492,192,228,87,22,0,2491,2160,122,137,59,8,0
12009000427,5791,4755,491,230,46,326,17,4227,3516,340,155,30,206,10,6010,5021,403,188,23,415,0,4618,4020,263,111,23,197,0,6235,5154,488,180,29,372,0,4765,4170,310,127,26,129,0
12009000410,919,738,66,82,8,45,4,740,608,48,56,5,34,4,1038,871,91,33,9,45,0,820,726,43,28,3,21,0,1062,849,120,46,12,50,0,844,715,59,40,3,29,0
12009000422,5804,4698,508,281,45,298,12,4600,3800,361,206,34,207,9,6399,5220,517,198,44,386,40,5097,4322,371,105,21,248,22,6926,5739,513,202,45,379,53,5540,4796,343,113,24,228,29
12009000135,2679,2489,97,53,33,22,0,2301,2158,67,39,27,14,0,3663,3064,288,148,88,97,13,2980,2635,153,75,35,55,5,3287,2748,325,96,78,36,9,2687,2342,197,63,38,33,4
