GEOID20,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
12001000071,897,323,563,904,355,543,897,373,532,1160,424,725,1038,355,638,1015,368,610
12001000067,1403,590,769,1412,638,746,1404,684,726,1775,765,980,1593,687,850,1568,648,864
12001000008,2825,1088,1698,2862,1201,1638,2855,1270,1595,3688,1521,2116,3139,1187,1764,3086,1150,1808
12001000009,1770,709,1031,1797,815,972,1797,860,931,2253,1100,1111,2012,799,1125,1987,713,1228
12001000070,2045,614,1422,2085,671,1352,2085,771,1309,2789,990,1748,2282,670,1480,2234,621,1503
12001000069,2024,702,1284,2047,744,1244,2047,811,1216,2759,1113,1615,2157,771,1258,2109,726,1293
12001000047,1940,1409,487,1978,1529,433,1977,1542,430,2479,1789,624,2086,1395,540,2059,1218,765
12001000002,947,376,558,964,415,540,963,433,526,1140,487,635,1053,431,577,1033,391,618
12001000055,1399,1150,215,1414,1201,198,1412,1221,181,1735,1419,280,1650,1257,256,1592,1199,321
12001000054,1807,1153,617,1823,1241,560,1821,1264,558,2365,1590,741,2072,1275,652,2050,1189,778
12001000064,1269,555,679,1273,594,637,1272,641,619,1609,734,850,1456,631,759,1431,636,745
12001000005,346,101,241,351,106,240,349,130,214,470,138,329,412,112,280,402,128,252
12001000068,1110,564,517,1130,616,499,1122,650,470,1309,698,589,1227,620,548,1206,615,547
12001000010,1400,691,694,1415,753,654,1413,785,643,1814,930,862,1623,808,746,1584,781,765
12001000003,417,204,206,423,223,196,421,233,187,539,274,254,480,242,219,469,233,225
12001000056,1592,1229,334,1612,1299,298,1611,1320,290,1974,1549,375,1754,1295,337,1707,1251,388
12001000037,1286,1205,77,1304,1253,35,1290,1237,38,1712,1598,93,1577,1487,46,1543,1395,100
12001000023,1752,1577,147,1767,1634,117,1764,1618,141,2269,2030,221,2024,1827,160,2011,1752,212
12001000032,1653,1395,234,1672,1439,212,1668,1450,209,2000,1693,276,1872,1525,279,1844,1485,301
12001000006,817,268,523,826,287,520,822,312,500,1022,346,659,897,274,575,884,291,567
12001000004,558,219,330,567,233,323,566,251,305,679,286,387,665,260,368,650,252,366
12001000011,1232,510,698,1246,576,653,1246,601,642,2036,969,1033,1292,567,654,1278,518,728
12001000015,1905,868,1003,1923,966,935,1923,999,926,2442,1340,1071,2028,946,964,1992,826,1120
12001000016,2553,1181,1322,2578,1330,1229,2579,1375,1208,3368,1888,1437,2742,1318,1275,2700,1144,1495
12001000051,1836,1262,538,1878,1340,516,1875,1364,507,2241,1613,583,2016,1297,570,1968,1257,652
12001000052,1429,955,452,1444,1006,426,1448,1040,408,1674,1210,437,1570,1004,468,1555,966,554
12001000053,2050,1238,763,2078,1324,721,2074,1374,697,2536,1655,840,2336,1299,864,2279,1202,988
12001000022,1886,1024,833,1917,1104,788,1911,1144,766,2453,1472,948,2091,1163,811,2064,1021,985
12001000024,1551,1011,513,1571,1065,470,1562,1085,482,2224,1491,699,1953,1133,659,1882,1051,742
12001000036,975,881,89,1020,917,71,1021,909,83,1230,1088,122,1204,1040,93,1174,972,145
12001000065,1793,587,1159,1804,663,1121,1796,695,1087,2399,900,1465,1967,666,1211,1933,662,1230
12001000066,2827,768,2014,2860,869,1964,2843,933,1902,3790,1171,2560,3124,864,2112,3067,868,2108
12001000059,2248,1357,848,2285,1461,791,2274,1499,773,2925,1901,969,2459,1417,898,2437,1330,1027
12001000030,1033,751,266,1061,799,254,1059,813,244,1623,1223,373,1268,873,309,1244,789,423
12001000043,1573,1052,498,1600,1130,456,1601,1177,426,1821,1288,501,1701,1107,468,1674,1058,566
12001000046,1554,1280,242,1586,1368,196,1586,1372,206,1981,1625,314,1796,1369,288,1735,1215,474
12001000048,1172,837,307,1195,898,295,1198,908,291,1403,1026,352,1342,933,323,1334,876,413
12001000049,2229,1866,317,2248,1947,291,2248,1959,275,2775,2387,344,2588,2103,334,2539,2019,417
12001000021,1653,830,803,1686,904,761,1692,929,761,2148,1253,873,1762,861,816,1749,773,945
12001000012,1169,518,636,1187,576,597,1188,597,591,811,417,381,1233,561,608,1219,507,685
12001000029,2520,1887,578,2621,2076,520,2623,2045,575,1752,1297,418,3725,2552,943,3615,1998,1523
12001000040,2178,1520,606,2221,1617,568,2220,1652,567,2656,1873,712,2575,1653,692,2512,1522,904
12001000050,1472,1230,219,1489,1299,173,1489,1295,188,1906,1563,309,1744,1459,216,1710,1380,269
12001000001,900,440,441,920,471,427,914,499,403,1125,539,577,1072,503,534,1055,495,513
12001000031,3355,2550,746,3417,2708,677,3407,2698,712,4589,3443,1059,4344,2857,1183,4214,2387,1684
12001000013,9,5,4,9,6,4,9,6,4,13,8,5,10,6,5,10,5,5
12001000025,1107,606,479,1123,655,448,1127,678,446,1282,753,510,1220,646,513,1206,603,568
12001000057,1755,1320,403,1790,1410,367,1783,1408,378,2395,1858,491,2272,1576,525,2200,1360,759
12001000019,1156,793,326,1166,868,277,1170,885,283,1598,1174,387,1397,1008,312,1371,925,398
12001000045,1647,945,670,1666,1038,617,1672,1062,609,1935,1193,710,1776,1004,682,1744,927,761
12001000044,1634,1013,596,1651,1084,547,1660,1128,534,1838,1254,566,1835,1145,605,1807,1063,690
12001000034,2275,1406,821,2291,1493,770,2290,1540,746,2819,1834,935,2564,1541,850,2518,1420,993
12001000038,4124,2267,1798,4194,2442,1717,4194,2539,1651,5000,3033,1896,4376,2400,1753,4326,2201,2018
12001000028,1640,1293,318,1675,1373,282,1672,1370,299,2202,1720,438,2084,1482,460,2016,1272,661
12001000042,1675,945,703,1703,1007,674,1699,1047,656,2000,1254,697,1801,1009,686,1786,915,816
12001000020,2062,1036,997,2089,1128,940,2100,1160,934,2528,1448,1042,2300,1186,981,2271,1063,1160
12001000035,1868,1189,638,1882,1256,606,1885,1283,593,2503,1662,794,2229,1401,705,2171,1288,806
12001000058,3313,2701,526,3398,2919,444,3384,2890,492,4219,3389,714,4232,3175,765,4109,2664,1287
12001000018,2666,1235,1388,2716,1371,1316,2716,1419,1289,3511,1941,1545,2720,1370,1226,2686,1164,1471
12001000014,748,297,440,761,328,426,761,345,417,884,377,493,831,343,456,819,311,487
12001000039,2240,1278,940,2269,1374,880,2275,1408,866,2563,1572,956,2502,1416,956,2457,1274,1116
12001000041,1634,1024,575,1663,1096,539,1653,1123,529,2017,1379,602,1868,1158,594,1816,1042,714
12001000007,1756,910,821,1766,977,789,1773,1003,783,2307,1217,1060,1966,1003,879,1933,1000,874
12125000004,966,153,803,975,166,800,974,202,765,1308,194,1098,1187,173,969,1161,189,921
12001000027,2047,1535,466,2085,1643,425,2085,1656,429,2618,1973,595,2533,1774,563,2475,1603,784
12001000026,752,623,116,759,648,99,754,638,111,1003,838,155,866,704,125,849,669,146
12001000017,1905,986,887,1926,1053,845,1926,1084,842,2293,1320,930,2107,1072,905,2079,969,1039
12001000033,3118,1667,1400,3161,1812,1307,3163,1889,1283,4071,2401,1604,3564,1902,1446,3500,1693,1695
1200300001A,1225,407,819,1237,422,818,1231,448,794,1895,568,1306,1747,593,1129,1710,532,1113
1200300005A,2313,276,2014,2334,316,2002,2331,361,1969,3200,247,2916,2475,358,2061,2433,385,1960
1200300006A,161,45,109,161,56,100,156,54,101,220,69,149,217,63,145,214,63,137
