GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
19029029010,652,624,15,3,9,0,0,499,484,9,0,6,0,0,664,636,16,10,8,0,0,525,519,4,0,4,0,0,584,552,27,3,6,0,0,450,446,4,0,4,0,0,651,605,46,0,5,0,0,541,543,1,0,2,0,0,591,559,26,0,4,2,0,479,457,17,0,4,0,0,479,457,17,0,0,1,0,2,2
19029029007,267,264,3,0,0,0,0,218,216,2,0,0,0,0,235,235,0,2,0,0,0,183,180,0,2,1,0,0,238,236,1,0,1,0,0,182,182,0,1,1,0,0,238,237,4,0,0,0,0,190,193,0,0,0,0,0,265,256,3,1,2,3,2,210,206,2,1,1,1,1,210,206,2,1,0,0,1,0,0
19029029009,7195,6891,183,32,36,21,38,5570,5390,103,19,22,16,21,6870,6484,274,36,65,32,19,5356,5123,125,34,24,24,18,6829,6414,248,45,96,47,16,5274,5048,90,43,59,24,18,6787,6356,244,78,60,49,17,5313,5050,92,90,48,19,15,6874,6383,200,51,97,42,75,5350,5034,124,31,70,21,39,5350,5034,124,20,15,4,37,7,109
19137137008,6124,5760,248,45,54,23,1,4652,4462,131,17,31,13,1,5746,5217,364,189,34,36,0,4250,4118,95,4,7,24,0,5684,5182,333,88,72,45,0,4286,4136,86,4,28,34,0,5653,5182,285,89,152,34,0,4368,4122,148,0,56,34,0,5962,5404,317,47,133,37,4,4598,4248,172,22,101,27,4,4598,4248,172,19,19,13,2,7,118
19137137001,157,154,1,0,1,1,0,126,123,1,0,1,1,0,145,145,0,0,0,0,0,120,119,0,0,2,0,0,152,149,2,0,0,0,0,129,127,2,0,0,0,0,117,112,2,0,0,0,0,98,95,6,0,0,0,0,135,129,4,1,0,0,0,114,110,3,0,0,0,0,114,110,3,0,0,0,0,0,1
19135135001,135,133,0,0,2,1,0,101,99,0,0,2,1,0,134,132,0,1,0,0,0,98,98,0,0,0,0,0,134,133,0,1,0,0,0,100,100,0,0,0,0,0,157,151,0,2,2,0,0,127,125,0,0,9,0,0,140,130,0,1,5,1,0,113,105,0,0,5,1,0,113,105,0,0,1,1,0,0,6
19099099014,2093,2044,18,10,13,11,0,1570,1540,12,6,8,5,0,1813,1710,38,6,0,32,42,1383,1341,8,0,0,3,25,1817,1749,25,5,0,30,19,1406,1389,8,0,0,3,0,1900,1866,6,7,2,15,5,1427,1400,5,8,5,5,0,2255,2066,63,26,30,27,16,1709,1607,25,11,15,17,8,1709,1607,25,6,9,0,6,10,46
19099099011,1149,1120,15,9,10,2,0,872,856,9,5,5,1,0,1062,998,39,27,0,1,0,787,763,15,4,0,0,0,1190,1088,69,26,0,8,0,862,812,44,4,0,0,0,1281,1200,59,17,0,4,0,921,871,42,2,0,0,0,1143,1069,11,15,23,7,0,891,841,11,9,15,5,0,891,841,11,4,5,1,0,2,27
19099099015,2095,1707,55,304,13,14,4,1883,1504,52,302,13,11,3,2163,1748,149,182,49,50,0,1902,1549,96,180,48,26,0,2134,1706,157,157,74,57,0,1881,1515,109,155,71,34,0,2052,1516,163,223,115,55,0,1857,1402,115,205,100,30,0,2259,1888,124,199,33,15,13,2066,1714,117,193,28,13,13,2066,1714,117,193,0,12,0,0,30
19099099017,15271,14598,262,177,111,137,8,11808,11435,132,88,70,87,5,15199,14114,337,529,141,124,29,11508,10870,159,328,87,79,0,15072,13772,450,612,203,120,0,11600,10868,185,380,125,87,0,15102,13779,531,635,146,51,0,11309,10742,208,260,82,25,0,15765,13938,606,615,317,194,30,12288,11139,372,336,214,134,20,12288,11139,372,270,104,42,10,19,332
