GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
16077772801,633,211,401,625,204,393,459,162,292,454,191,255,454,160,286,571,162,316,581,165,380
16077772803,911,258,618,904,257,600,587,175,401,590,203,379,591,184,393,810,196,499,812,188,575
16077772806,345,117,220,345,128,212,263,106,147,264,106,151,264,99,149,293,81,184,301,87,197
16077772802,782,245,519,774,251,497,561,168,381,563,213,337,571,195,359,710,205,414,710,183,489
16005052865,911,143,746,948,216,691,637,185,446,637,196,440,641,183,440,768,124,496,796,194,544
16005052966,756,228,503,767,234,498,616,245,369,632,271,366,641,261,367,690,211,394,679,217,422
16005052928,1130,574,494,1089,529,493,609,324,284,613,338,278,629,365,248,788,274,366,787,276,457
16005052904,881,450,396,865,453,363,629,385,242,637,419,211,644,419,211,737,340,291,732,362,324
16005052906,639,312,294,653,360,258,463,287,173,465,306,160,468,309,150,500,239,176,505,266,211
16005052843,784,279,485,787,302,442,546,287,259,543,308,235,549,297,226,594,226,267,602,250,315
16005052902,710,250,437,702,250,413,567,229,338,571,251,321,577,256,303,648,197,338,667,220,409
16005052861,636,76,547,641,92,515,377,73,295,384,80,295,395,71,296,447,51,283,455,79,338
16005052860,1183,865,289,1126,878,230,671,478,192,672,492,180,681,521,162,758,458,223,736,384,316
16077772804,294,30,253,297,32,247,205,22,180,205,23,179,208,20,178,264,16,173,265,27,201
16001011809,1893,1212,609,1890,1205,635,1456,861,594,1495,1035,461,1516,974,514,1554,807,514,1468,740,658
16001011919,1771,1407,329,1764,1350,370,1493,997,492,1515,1208,312,1543,1104,428,1469,1030,273,1422,962,409
16033333503,111,13,97,112,13,95,68,1,61,72,4,59,75,2,59,102,2,76,102,2,80
16005052842,545,218,311,544,210,314,387,195,192,399,209,186,402,212,183,472,164,221,480,164,286
16005052841,691,233,435,683,232,413,536,234,299,548,269,279,552,252,284,639,223,292,639,236,357
16005052932,402,218,166,386,217,154,349,204,142,358,233,125,365,235,126,461,209,178,461,203,234
16005052839,604,242,338,577,216,334,437,156,282,440,170,272,450,159,281,518,152,269,506,147,332
16077772805,109,4,105,110,4,104,94,2,93,96,4,92,95,2,92,112,3,93,112,3,96
16003039002,601,118,468,597,148,431,446,93,352,470,106,348,477,114,341,543,80,413,525,95,360
16003039001,247,43,204,237,38,194,195,31,152,197,43,146,200,38,149,215,31,175,204,41,136
16003039006,163,52,108,156,53,100,50,12,37,49,13,33,50,14,35,60,12,48,60,14,37
16003039005,918,251,640,914,256,616,664,205,450,675,251,411,687,270,405,798,197,501,783,197,537
16035357012,308,42,262,310,48,254,222,48,173,220,49,170,224,48,164,305,43,242,305,43,238
16035357010,28,3,25,28,3,24,25,4,21,25,4,20,25,4,21,21,3,16,21,2,16
16003039004,103,10,92,103,6,91,46,4,39,46,4,37,46,4,39,43,2,35,39,0,35
16035357001,535,115,403,531,115,401,364,97,267,365,116,249,374,112,248,514,91,364,495,95,373
16035357003,510,90,410,505,89,401,391,103,288,403,116,287,413,112,294,497,106,352,483,95,367
16033333501,112,11,99,110,11,93,86,5,71,87,17,67,92,19,67,103,17,67,102,6,86
16015158040,1328,306,1014,1322,324,956,816,178,613,822,209,597,837,214,591,915,128,690,893,159,612
16015158030,1458,360,1064,1447,357,1022,1076,262,805,1083,300,767,1100,310,763,1120,247,766,1108,264,738
16015158080,199,34,162,202,36,161,143,28,109,144,30,110,147,33,108,161,27,124,161,30,120
16015158060,205,63,129,213,78,118,114,30,83,116,30,86,114,34,79,171,15,140,169,34,105
16001012106,4231,1466,2622,4185,1420,2609,2539,804,1741,2627,1077,1553,2685,1018,1634,2748,783,1571,2626,706,1807
16001012003,2311,720,1535,2290,667,1557,1503,397,1102,1537,537,1000,1549,495,1047,1617,391,1000,1544,339,1136
16073732312,31,0,31,32,4,24,20,0,17,20,0,18,22,0,17,27,0,17,27,0,17
16073732311,150,125,23,134,110,19,60,44,11,65,51,11,65,53,10,39,26,11,40,26,12
16073732305,80,0,80,83,0,82,64,1,58,68,0,64,68,0,64,72,0,71,67,0,63
16073732302,1065,180,859,1060,181,834,687,135,541,680,150,527,704,141,541,779,116,606,774,124,584
16073732309,423,73,338,421,79,321,285,36,246,285,40,240,292,39,240,366,26,307,345,17,297
16015158050,753,236,485,743,252,446,478,134,346,486,170,320,498,168,310,562,121,365,559,149,358
16001012009,2599,993,1509,2578,999,1440,1853,684,1170,1890,838,1047,1922,838,1038,2113,639,1169,2038,641,1258
16005052908,498,233,228,496,275,193,318,201,119,321,210,105,321,213,100,385,172,139,382,194,170
16005052925,572,311,240,556,318,207,466,300,169,472,317,159,476,301,155,484,232,162,501,265,199
16005052867,592,135,447,601,145,432,487,138,353,491,160,333,499,125,357,577,94,362,602,187,377
16005052863,769,187,544,775,208,528,468,161,304,472,165,302,482,156,304,549,101,340,569,170,365
16001011715,2051,1185,775,2036,1220,720,1274,800,474,1300,895,401,1330,913,393,1311,640,469,1266,655,556
16001011606,1537,1146,333,1528,1158,339,1103,778,325,1128,900,235,1141,893,245,1110,684,284,1068,704,317
16001011709,1416,958,413,1403,945,417,1169,779,392,1191,881,291,1208,855,337,1167,692,307,1148,700,412
16001011615,2117,1308,725,2094,1318,679,1518,909,601,1551,1043,510,1595,1044,501,1548,765,542,1503,774,637
16001011916,1367,924,385,1345,902,396,953,637,317,976,721,256,984,702,273,912,547,258,903,551,315
16001011704,1227,853,320,1228,859,326,1010,654,359,1030,766,270,1059,738,294,1035,591,315,1020,619,352
16001012101,2229,680,1500,2221,648,1495,1673,460,1220,1706,609,1094,1719,564,1144,1981,454,1298,1896,414,1403
16001011910,2420,1861,485,2406,1774,567,1845,1260,584,1899,1522,375,1923,1386,517,1897,1331,350,1832,1237,554
16001011505,1356,577,736,1355,558,755,1026,426,598,1045,520,525,1053,480,552,1143,391,582,1065,387,621
16001011915,1598,1188,363,1586,1160,374,1250,936,312,1280,1058,218,1296,1055,221,1242,836,221,1195,857,291
16035357009,555,64,485,546,70,458,379,48,332,381,61,320,382,40,334,448,51,376,447,48,373
16035357006,124,11,113,125,16,100,71,9,61,68,10,60,73,4,65,81,2,76,81,2,76
16071713202,531,67,453,513,68,427,323,55,258,326,54,263,328,55,256,438,48,307,438,48,360
16071713203,628,86,527,615,83,494,366,58,314,369,62,310,387,54,309,514,54,364,519,63,409
16001012013,1415,567,800,1412,545,822,1113,370,738,1136,483,648,1145,458,676,1218,347,697,1145,309,768
16001012111,2833,1028,1713,2822,1006,1730,1491,519,968,1527,647,880,1545,625,910,1401,417,790,1355,406,869
16001012004,2368,898,1395,2358,881,1389,1453,485,968,1481,583,895,1501,562,917,1562,403,906,1485,398,988
16001011404,3333,704,2536,3305,703,2495,1815,441,1375,1823,501,1324,1853,486,1333,1867,316,1294,1735,318,1307
16001012115,2232,844,1306,2217,871,1226,1387,571,816,1413,638,779,1439,675,739,1620,450,887,1516,479,910
16001011714,1316,845,424,1315,864,410,1245,718,517,1285,857,422,1319,839,456,1287,604,517,1212,604,548
16001011412,1100,273,813,1103,271,809,696,177,516,701,212,486,710,202,496,613,137,400,606,132,442
16001011405,1993,510,1436,1979,497,1413,1425,349,1070,1449,428,1012,1469,425,1012,1494,329,993,1396,321,993
16001012008,2308,828,1401,2294,862,1329,1556,577,979,1589,705,880,1619,674,910,1845,493,1077,1774,516,1131
16001011407,1401,509,866,1391,499,863,950,298,649,965,386,580,989,363,614,1072,306,656,995,274,653
16001011802,1824,757,1000,1820,748,1008,1380,494,889,1406,634,766,1443,608,809,1556,491,808,1480,475,924
16073732310,190,22,165,193,26,161,231,32,195,231,32,192,236,32,189,251,29,192,239,26,192
16073732307,217,23,187,223,39,175,163,19,144,165,23,138,163,19,138,184,12,151,165,12,135
16073732306,368,33,325,366,39,317,330,53,278,333,57,273,338,59,266,373,41,307,365,52,258
16071713201,675,61,603,672,72,567,410,59,341,413,75,335,416,55,340,592,49,465,580,53,498
16071713204,433,26,397,435,22,386,263,16,223,263,18,224,266,10,226,364,10,288,360,14,318
16071713205,108,7,99,105,6,98,76,2,71,76,3,71,76,3,68,91,5,69,91,5,85
16029293208,366,50,313,364,53,299,243,18,211,243,27,209,243,18,210,320,5,242,331,25,287
16029293204,352,43,300,345,47,283,233,35,196,234,48,187,237,41,191,299,29,222,301,35,244
16063632606,41,1,40,40,0,38,27,0,27,27,0,27,27,0,23,39,0,32,39,0,31
16029293202,548,90,446,543,92,420,347,83,270,346,98,256,359,79,265,510,58,385,510,80,378
16029293201,641,67,562,638,71,536,404,54,352,407,75,348,407,66,348,554,30,399,568,66,481
16029293203,346,52,281,336,55,264,223,38,178,224,50,168,228,38,174,302,36,205,295,36,229
16029293205,423,23,386,236,10,214,302,28,254,302,28,253,312,26,254,394,0,324,391,10,349
16071713206,76,2,69,74,2,67,54,2,53,54,0,53,54,0,53,61,0,42,62,0,53
16063632603,404,101,292,403,96,284,285,68,218,290,77,209,294,74,207,337,74,235,339,63,247
