GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
1705700LS02,452,441,6,2,0,2,0,355,347,3,2,0,2,0,441,421,10,8,0,1,0,326,309,4,7,2,1,0,436,420,8,7,0,0,0,325,307,4,6,1,1,0,435,407,15,3,2,6,0,324,297,12,3,1,7,0,386,362,3,4,11,2,1,315,295,2,3,10,2,1,315,295,2,2,1,1,0,1,13
17169000802,944,890,23,28,3,0,2,731,688,15,26,3,0,1,846,774,0,66,9,0,0,643,614,0,19,9,0,0,833,740,7,91,2,0,0,604,582,3,16,0,0,0,643,614,3,25,1,2,0,523,505,2,19,1,4,0,817,723,29,42,15,11,1,658,594,22,25,10,10,1,658,594,22,18,3,3,0,4,14
17169000803,590,563,10,13,7,0,0,464,445,5,10,4,0,0,582,551,0,25,5,0,0,434,421,0,5,5,0,0,487,446,4,30,3,0,0,343,333,0,5,2,0,0,451,429,3,12,1,4,0,356,354,0,1,2,3,0,577,524,12,20,10,8,1,454,417,7,11,10,6,1,454,417,7,9,5,1,0,0,15
1710300AL01,565,531,25,5,4,0,0,433,412,14,3,4,0,0,457,441,6,6,2,0,0,360,350,6,2,2,0,0,464,444,11,7,4,1,0,371,357,7,2,4,0,0,555,510,13,5,23,0,0,461,432,12,0,29,0,0,510,460,27,7,5,0,0,393,361,18,4,5,0,0,393,361,18,4,0,0,0,1,9
1705700DE01,261,261,0,0,0,0,0,218,218,0,0,0,0,0,261,261,0,0,0,0,0,210,210,0,0,0,0,0,268,268,0,0,0,0,0,213,213,0,0,0,0,0,192,192,0,0,0,0,0,167,172,0,0,0,0,0,232,228,0,1,2,1,0,188,186,0,1,1,0,0,188,186,0,1,0,0,0,0,1
1705700AS01,782,771,7,2,2,0,0,622,616,4,0,2,0,0,670,661,1,8,0,0,0,490,480,1,8,0,0,0,691,680,0,9,0,0,0,502,487,0,8,0,0,0,860,849,1,0,1,0,0,610,611,0,0,4,0,0,740,711,12,5,6,0,0,575,553,9,1,6,0,0,575,553,9,1,0,1,0,1,10
1705700AS02,682,667,3,7,4,0,0,509,501,2,2,4,0,0,571,561,1,10,0,0,0,419,413,3,11,0,0,0,595,589,0,11,0,0,0,431,423,0,11,0,0,0,572,566,0,0,0,0,0,413,422,0,0,0,0,0,508,497,9,0,3,0,0,393,389,3,0,1,0,0,393,389,3,0,0,0,0,0,1
17003000104,592,293,3,288,8,7,0,463,257,3,196,4,4,0,557,132,6,410,11,0,3,380,119,4,254,1,0,0,474,126,9,328,8,0,5,343,113,8,218,4,0,0,707,173,14,510,0,7,6,537,157,23,363,0,0,0,540,148,8,374,9,1,2,437,138,4,288,4,1,0,437,138,4,282,0,3,0,2,8
1705700PT02,965,941,15,2,5,2,0,748,731,11,2,3,1,0,839,825,6,5,0,0,0,650,647,4,0,0,1,0,756,735,17,2,0,1,0,621,604,15,0,0,1,0,683,655,22,3,0,1,0,571,552,16,4,0,0,0,862,821,7,6,22,3,0,693,659,4,4,19,3,0,693,659,4,2,0,1,0,0,27
1705700PT01,1172,1137,20,8,4,9,1,932,909,11,5,4,8,1,1114,1037,7,71,0,0,0,886,848,4,39,0,0,0,1130,1079,20,46,16,16,0,936,908,6,21,0,0,0,1255,1140,27,79,52,22,0,1005,934,5,64,10,0,0,1105,1063,6,9,20,5,1,909,878,0,7,17,5,1,909,878,0,4,1,1,0,1,24
