GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
20171000090,1143,882,248,3,5,7,1,888,729,152,1,5,3,0,1051,715,282,0,10,44,0,697,566,98,0,8,18,0,1209,692,483,0,9,22,3,662,528,100,0,10,21,4,1334,789,515,1,5,25,2,639,545,66,4,4,19,4,1288,935,297,7,45,21,5,984,753,194,2,35,13,2,984,753,194,1,8,1,1,0,26
20171000060,938,702,212,10,10,7,1,683,551,116,5,6,6,1,658,574,54,0,29,3,0,518,466,24,0,29,2,0,799,689,85,0,24,3,0,596,544,26,0,26,3,0,745,465,252,0,27,0,0,571,412,122,0,27,0,0,899,529,309,17,53,6,8,645,416,188,13,34,6,4,645,416,188,4,1,3,0,1,32
20171000020,97,97,0,0,0,0,0,73,73,0,0,0,0,0,93,85,2,0,0,3,0,68,68,0,0,0,0,0,86,79,2,0,0,3,0,59,59,0,0,0,0,0,86,78,7,0,0,2,0,62,58,0,0,0,0,0,88,75,7,3,1,1,0,62,54,3,3,0,1,0,62,54,3,3,0,0,0,0,2
20207000090,596,564,12,2,22,2,0,484,468,5,1,11,2,0,566,511,6,14,34,4,0,441,418,2,2,18,4,0,581,505,4,23,52,6,0,456,423,4,2,25,5,0,620,501,3,59,57,0,0,557,449,3,70,63,0,0,573,524,19,8,21,8,3,453,420,13,4,17,6,3,453,420,13,3,0,4,0,0,13
20207000050,104,104,0,0,0,0,0,84,84,0,0,0,0,0,102,95,0,0,1,0,0,78,75,0,0,2,0,0,94,84,0,0,0,0,0,75,72,0,0,0,0,0,84,84,0,0,0,0,0,59,65,0,0,0,0,0,74,68,3,0,2,1,0,58,57,0,0,0,1,0,58,57,0,0,0,0,0,0,1
20207000010,527,507,5,9,6,3,0,431,420,2,3,4,3,0,503,475,7,14,19,5,0,398,379,4,0,16,5,0,492,464,1,13,21,3,0,395,372,2,0,15,3,0,592,560,3,14,19,0,0,448,434,0,0,2,0,0,587,553,9,0,18,5,0,452,431,5,0,10,3,0,452,431,5,0,0,4,0,0,12
2020700008A,815,771,11,10,21,4,0,630,606,4,3,15,3,0,771,705,10,19,46,5,0,613,573,2,2,25,5,0,791,702,5,32,70,8,0,629,578,5,2,32,7,0,750,689,3,21,32,0,0,599,558,1,24,14,0,0,772,708,17,10,27,7,1,598,558,8,9,16,5,1,598,558,8,3,0,1,0,1,27
20207000070,567,533,19,2,14,0,0,476,456,9,1,11,0,0,551,516,5,11,15,4,0,430,406,4,0,15,4,0,537,522,2,5,14,0,0,409,398,3,0,12,0,0,355,346,0,4,6,0,0,315,307,0,0,5,0,0,456,418,6,3,26,3,2,384,356,4,1,21,2,2,384,356,4,1,0,3,0,2,18
20059000060,459,443,6,3,7,0,0,345,333,4,3,5,0,0,427,427,0,0,0,0,0,330,330,0,0,0,0,0,433,432,0,0,0,0,0,340,340,0,0,0,0,0,417,417,0,0,0,0,0,319,310,0,0,2,0,0,403,356,11,7,18,2,0,326,293,7,6,16,1,0,326,293,7,1,0,2,0,1,22
20059000090,532,510,8,5,11,0,0,419,407,6,0,7,0,0,533,481,25,7,21,0,0,376,358,11,0,7,0,0,591,552,17,0,22,1,0,424,405,7,0,9,1,0,563,526,25,0,10,1,0,428,402,0,0,7,1,0,550,495,19,6,17,5,0,437,406,11,1,11,2,0,437,406,11,1,2,2,0,0,15
