GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2014_gov,D_2014_gov,R_2014_gov,Tot_2014_sen,D_2014_sen,R_2014_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
25003001385,981,669,218,455,364,86,466,386,78,686,541,125,685,553,132,690,402,287,905,702,196,919,678,216
25003002050,1456,1162,224,1039,760,277,1026,807,220,1353,1105,230,1340,1125,210,1351,760,589,1524,1267,248,1542,1294,225
25003001675,1915,1242,530,1093,719,355,1122,810,305,1596,1147,409,1565,1170,391,1592,797,795,2093,1516,569,2162,1542,578
25003000614,885,510,327,554,378,173,552,381,167,701,445,240,686,461,225,696,250,446,977,594,371,990,583,390
25003001500,1787,1248,414,1029,722,304,1029,788,243,1486,1063,382,1451,1106,344,1480,619,861,1847,1423,415,1915,1448,420
25003001502,1985,1342,528,1256,792,464,1257,881,380,1739,1165,526,1687,1194,489,1737,663,1074,2067,1528,532,2129,1534,557
25003001507,986,658,226,410,292,109,441,335,108,708,530,155,696,524,169,694,389,304,1013,760,240,1053,750,274
25003001508,1558,1013,419,787,560,224,822,641,187,1282,928,316,1253,940,312,1272,562,709,1616,1195,403,1666,1214,403
25003000999,3034,1969,852,1686,1116,539,1707,1260,443,2535,1753,705,2473,1814,650,2507,1005,1498,3384,2377,977,3489,2415,985
25013001781,671,539,91,361,241,116,386,305,81,416,338,64,412,339,72,416,206,210,660,487,167,699,511,178
25013001784,1095,678,341,638,366,263,675,468,210,837,570,240,833,620,212,832,340,487,1041,691,341,1069,711,338
25013001976,1600,776,674,952,398,546,1023,592,435,1220,647,515,1202,771,430,1205,295,905,1682,984,672,1732,966,718
25013001992,994,512,351,434,211,213,472,304,178,696,400,258,682,448,233,691,236,453,1065,608,429,1092,587,448
25013000607,1028,602,355,476,238,221,544,361,188,700,413,251,692,467,224,698,235,461,1046,667,355,1077,649,402
25003000122,1029,571,368,556,341,188,573,394,170,797,509,261,788,525,258,784,356,425,1157,740,397,1195,757,413
25003000849,1030,824,149,735,540,181,739,600,136,864,696,155,853,712,139,861,513,347,1097,897,197,1114,905,188
25003000017,809,475,268,414,285,125,410,311,97,648,426,203,634,435,198,638,241,396,934,613,313,951,601,324
25003001004,3057,2234,572,1949,1343,588,1954,1499,459,2676,2069,538,2626,2095,516,2668,1219,1447,3286,2621,650,3368,2701,602
25003000915,1112,606,403,618,366,235,656,437,220,897,567,296,883,588,295,888,331,557,1168,771,387,1210,771,402
25003002070,519,313,159,307,198,102,316,218,99,446,284,141,440,307,133,439,193,246,554,382,161,579,370,201
25003000974,1731,998,597,878,557,313,905,592,317,1404,879,477,1380,910,467,1378,558,815,1827,1209,607,1891,1237,604
25003000777,397,191,170,228,142,85,228,137,92,318,157,146,316,168,148,309,116,193,405,217,187,418,209,203
25011000851,1190,741,341,742,433,301,775,537,235,1042,711,299,1030,774,256,1041,385,656,1226,857,359,1254,896,327
25011000825,948,579,259,576,359,214,628,475,156,783,545,219,783,566,215,787,325,460,967,662,281,987,679,279
25011001265,59,25,26,32,10,18,32,14,14,46,22,19,47,27,20,47,15,32,59,23,35,60,28,31
25003000028,299,226,52,205,147,53,199,154,46,258,217,37,257,216,41,256,158,98,330,265,56,325,271,50
25025001207,1558,1483,42,833,786,41,730,708,25,883,844,26,851,818,33,874,567,306,1349,1258,84,1413,1293,96
25025001907,1333,1174,81,959,791,164,947,852,92,1231,1113,86,1216,1152,63,1219,857,359,1481,1369,110,1499,1375,94
25025001208,485,457,16,235,219,15,214,208,2,378,363,8,354,343,11,366,236,126,525,505,20,538,503,32
25025001403,783,761,9,402,383,17,383,370,14,504,497,4,485,470,12,499,309,190,754,719,34,767,714,44
25025001209,671,628,20,368,338,27,359,345,16,490,465,14,475,455,18,484,313,169,681,639,41,707,662,38
25025000301,1745,1165,434,1497,665,823,1449,952,496,1894,1241,577,1878,1438,437,1902,557,1340,2361,1684,663,2424,1784,587
25025001606,1223,995,167,711,533,173,663,560,102,939,744,174,919,769,150,931,504,427,1316,1038,274,1347,1021,297
25025000604,1360,880,358,697,281,414,662,430,230,1117,702,367,1111,850,258,1117,345,766,1483,1027,444,1515,1078,399
25025001102,1066,1000,25,561,508,53,525,502,23,762,726,19,742,714,26,748,505,243,1063,1009,52,1088,1021,59
25025000705,1070,749,231,432,207,222,412,282,133,897,635,232,892,727,165,903,321,580,1070,796,272,1098,841,229
25025000602,980,706,203,452,225,221,425,298,131,795,533,224,774,593,179,793,288,503,1034,761,264,1068,795,239
25025000601,3556,2669,668,1380,824,549,1350,989,358,3263,2367,764,3232,2615,612,3260,1284,1964,5098,3807,1268,5193,4057,1016
25025000709,863,618,187,400,251,147,390,301,89,666,493,154,663,537,124,661,315,342,843,654,183,863,659,184
25003001383,1262,793,367,698,506,186,698,542,153,945,663,242,921,676,245,934,398,535,1302,933,366,1337,932,388
25003002051,668,580,51,418,356,57,424,374,47,525,470,47,520,475,43,520,366,154,628,566,60,637,575,49
25013000938,1807,925,748,1231,510,688,1297,760,539,1520,793,675,1521,936,585,1491,332,1159,1884,1039,833,1943,1120,783
25013001975,1357,675,584,807,303,490,885,487,400,1047,522,475,1042,622,420,1035,254,780,1500,852,628,1527,850,636
25013001076,1966,713,1116,1134,365,766,1224,608,611,1590,646,886,1565,813,750,1560,258,1300,2190,953,1210,2259,942,1276
25025000201,1686,1164,384,1256,609,637,1187,844,339,1414,927,419,1402,1139,261,1413,384,1021,1696,1230,457,1747,1314,396
25025000580,1136,838,255,699,409,281,665,499,165,939,679,233,911,727,184,912,400,512,1336,1034,295,1367,1052,292
25025002072,1586,803,665,1030,407,623,1030,673,360,1241,606,600,1228,833,395,1210,281,925,1635,988,636,1695,966,693
25025000101,1005,755,189,558,360,192,551,441,110,853,675,155,833,714,118,852,421,430,1158,933,220,1174,939,206
25025002075,1698,884,706,1145,510,637,1120,757,370,1345,729,568,1334,914,417,1329,353,971,1771,1142,624,1813,1134,645
25025001202,1189,1126,26,752,702,50,707,687,20,953,924,13,928,901,25,938,607,331,1357,1288,63,1379,1285,77
25025000803,775,724,26,366,337,26,351,337,13,541,506,23,529,502,27,532,341,185,734,685,44,752,676,64
