GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
2400107-002,1180,247,886,1146,339,776,930,123,799,917,249,666,926,322,570,1182,330,832
2400105-004,678,215,409,638,261,336,557,145,400,542,232,310,546,265,254,701,275,415
2400124-000,897,191,679,861,240,592,698,76,612,686,169,517,696,189,478,862,191,652
2400120-000,1000,163,808,958,253,669,764,65,691,757,153,604,759,185,546,1000,168,818
2400107-001,1080,289,745,1045,346,654,846,136,702,837,249,588,852,317,515,1083,292,769
2402102-016,1563,1027,432,1504,967,450,1264,698,545,1248,921,327,1263,907,289,1580,1122,414
2402102-003,2127,1374,568,2072,1343,600,1821,907,869,1806,1288,513,1834,1297,437,2349,1673,606
2402102-006,2110,1161,791,2063,1143,841,1788,704,1070,1780,1099,680,1785,1082,612,2179,1363,756
2400902-004,1953,817,1007,1877,838,964,1604,464,1116,1554,708,842,1588,738,770,2419,1247,1126
24009ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3
2400903-007,2253,776,1345,2193,775,1354,1899,334,1542,1862,719,1142,1888,758,1056,2414,983,1364
2400903-006,2089,713,1257,2051,758,1230,1796,309,1468,1755,655,1100,1788,696,1025,1919,810,1058
2402117-001,1366,338,944,1339,394,917,1140,139,984,1124,343,781,1127,368,702,1261,357,877
2402118-001,3055,1164,1675,2987,1177,1729,2518,498,1997,2488,1045,1443,2523,1091,1293,2542,1124,1313
2402118-003,1156,405,648,1143,415,691,1005,207,790,992,409,583,1001,422,525,1245,556,658
2402121-001,1387,515,763,1348,513,775,1188,238,932,1173,500,672,1199,500,642,1403,597,770
2402109-002,2679,913,1544,2601,942,1585,2611,587,2002,2562,1058,1501,2590,1097,1390,3804,1872,1827
2402113-002,131,42,86,131,52,74,94,17,77,91,34,57,93,33,53,106,34,72
2402113-001,3243,1389,1586,3172,1386,1642,2753,793,1941,2725,1334,1390,2747,1370,1267,3692,1923,1644
2402109-007,3432,1368,1787,3394,1436,1857,3001,867,2108,2964,1442,1522,3000,1469,1393,4279,2203,1953
2400303-006,4183,1873,2073,4072,1850,2090,4124,1537,2529,4077,2385,1691,4105,2355,1522,6570,3917,2479
2400303-007,1717,583,1012,1688,644,993,1393,271,1109,1377,624,753,1388,591,669,1568,683,825
2400303-003,2297,715,1488,2253,783,1390,1587,309,1260,1544,543,1001,1553,564,886,2155,727,1366
2400303-024,1923,607,1197,1884,666,1151,1480,299,1161,1457,588,868,1470,607,756,1785,667,1070
2400302-007,1922,912,881,1890,995,822,1501,508,970,1499,889,608,1506,882,535,2046,1125,865
2400307-007,1711,674,908,1659,619,989,1382,216,1161,1349,550,799,1374,569,726,2019,926,1052
2400304-015,2145,874,1106,2102,827,1213,1965,448,1488,1930,922,1007,1940,916,891,2283,1185,1012
2400303-004,2056,698,1206,2021,759,1172,1692,397,1271,1669,708,960,1677,687,858,2064,858,1145
2400307-025,1650,572,966,1630,662,925,1420,276,1119,1383,608,775,1403,622,717,1781,754,988
2400302-014,1966,1507,361,1942,1493,374,1389,826,550,1391,1098,289,1381,1072,254,1887,1461,371
2400302-012,963,339,548,959,389,507,656,158,488,630,260,370,630,242,331,1083,452,607
2400302-006,1170,454,643,1148,521,577,834,237,584,822,414,408,836,421,367,1165,563,566
2400302-019,1497,958,440,1452,942,442,1026,501,505,1033,736,297,1042,720,277,1515,981,499
2402111-001,1881,503,1263,1844,551,1235,1514,240,1262,1464,482,978,1486,514,909,1850,577,1233
2402104-001,671,174,472,656,209,425,535,75,455,528,156,371,531,163,345,668,180,471
2402125-001,2652,1153,1264,2589,1235,1193,2108,621,1442,2082,1105,977,2102,1091,888,2694,1384,1228
2402112-001,2233,956,1131,2167,971,1119,1965,532,1403,1932,918,1012,1953,953,917,2522,1222,1219
2402103-002,2242,846,1236,2204,835,1291,2005,464,1522,1969,851,1117,2013,884,1030,3016,1357,1568
2402105-001,2630,692,1751,2599,853,1643,2072,346,1694,2035,698,1336,2068,737,1253,2763,852,1829
2402107-003,1712,706,863,1674,680,927,1470,351,1103,1436,644,792,1463,672,741,2226,1181,991
2402107-004,1346,727,508,1286,678,576,1265,446,801,1250,737,513,1266,750,481,2275,1424,797
2402123-001,3291,1534,1479,3220,1576,1498,3059,1105,1923,3025,1746,1279,3035,1750,1163,3995,2365,1515
2402106-001,1386,316,990,1357,366,959,1172,143,1015,1153,289,863,1168,300,823,1318,343,945
2402116-001,2709,938,1559,2621,972,1544,2301,490,1794,2252,858,1394,2283,925,1270,2686,1054,1553
2402103-001,1356,516,726,1319,522,750,1155,296,848,1122,483,638,1141,501,587,1803,833,917
2402114-001,2839,1015,1629,2775,1089,1594,2485,501,1953,2422,971,1450,2471,1033,1347,2926,1308,1544
2400901-002,2008,990,898,1898,951,856,1563,522,1013,1540,825,715,1560,840,645,1877,990,834
2401904-001,155,46,105,144,44,100,116,20,96,109,34,75,113,43,61,133,37,92
2400903-005,2146,891,1137,2093,916,1111,1811,474,1326,1767,834,928,1799,871,862,2379,1214,1130
2400903-008,2760,1195,1393,2679,1189,1379,2203,588,1594,2168,1104,1064,2203,1162,954,2528,1371,1086
2400903-003,1893,766,996,1824,766,991,1729,391,1324,1697,768,927,1710,797,845,2464,1163,1249
2400902-006,1754,675,999,1712,683,971,1460,307,1143,1432,605,827,1459,646,764,1839,811,992
2400903-004,2199,744,1286,2137,816,1220,1713,341,1356,1670,685,984,1690,706,895,1877,803,1019
2402102-011,1565,1003,417,1511,969,424,1273,641,602,1258,917,340,1266,920,298,1979,1401,526
2402107-002,2968,1677,1024,2899,1611,1193,2589,1045,1520,2578,1596,981,2606,1641,846,4028,2615,1312
2402109-009,678,274,355,664,283,363,752,207,538,746,369,377,751,386,336,1345,762,540
2400901-005,2399,913,1286,2352,909,1291,1870,522,1310,1838,836,999,1859,821,915,2102,982,1050
2400903-001,1794,750,936,1731,794,850,1444,377,1044,1420,668,752,1441,685,665,1521,762,728
2400902-002,2020,788,1146,1907,795,1031,1661,411,1235,1595,685,910,1624,708,853,2307,1024,1239
2400902-001,2073,833,1157,1986,806,1121,1789,414,1363,1750,737,1013,1779,750,953,2560,1130,1376
2402110-001,1178,239,881,1165,290,838,952,111,827,929,239,690,931,252,655,1265,284,940
2402102-010,2797,1647,927,2754,1661,976,2219,928,1264,2201,1433,768,2233,1427,709,3403,2239,1078
2402102-005,2733,1719,757,2635,1624,858,2455,1165,1247,2437,1721,711,2454,1728,610,3285,2360,825
2402102-018,1397,776,498,1353,720,566,1246,514,716,1223,733,489,1244,773,415,1469,960,465
2402102-015,2418,1263,974,2361,1267,1000,2140,772,1342,2144,1264,879,2156,1273,791,3791,2415,1318
2403321-005,1495,1259,192,1459,1218,181,1010,679,322,994,864,130,1008,860,117,1215,1010,179
2403321-014,1239,1004,174,1214,1000,176,988,603,378,963,815,146,964,806,127,910,725,156
2403302-003,2122,1841,144,2084,1792,219,1635,1088,541,1592,1397,192,1623,1411,170,1817,1601,159
2403306-022,1620,1540,37,1597,1499,46,1730,1430,293,1735,1678,52,1750,1686,50,2594,2479,71
2403310-009,1899,1654,167,1822,1579,184,1264,880,368,1230,1088,142,1245,1095,116,1718,1462,209
2403310-007,1539,1204,246,1504,1189,263,1097,703,378,1080,928,151,1087,934,133,1403,1194,172
2403310-011,1479,1281,130,1472,1288,141,1073,768,296,1064,950,114,1067,946,88,1564,1360,159
2402102-004,3126,2109,826,3013,1998,836,2400,1344,1015,2377,1744,632,2384,1724,575,3140,2190,851
2402102-001,2271,1561,530,2187,1511,543,1742,1034,668,1740,1333,403,1747,1317,349,2205,1576,545
2402102-017,1378,1024,259,1287,921,284,1070,699,355,1073,881,190,1080,872,161,1357,1041,271
2400901-004,1817,613,1067,1758,622,1067,1560,297,1240,1530,580,949,1548,597,882,1978,777,1156
2402124-002,672,271,349,657,267,361,550,114,428,552,255,296,556,250,275,785,418,349
2402124-005,686,335,303,679,345,320,569,214,346,558,301,257,565,314,227,756,470,273
2402109-005,1163,459,628,1149,491,620,985,223,751,981,468,513,992,477,469,1243,639,574
2402108-001,1602,412,1094,1591,498,1056,1333,210,1114,1304,433,871,1326,451,828,1478,492,959
