GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
2300311300,425,415,3,0,6,2,0,335,329,2,0,4,1,0,412,398,5,1,5,1,0,322,315,2,0,4,0,0,389,375,8,1,0,1,0,317,315,2,2,0,0,0
2300343255,1948,1890,16,3,32,12,4,1543,1509,9,2,22,7,0,2102,2067,9,9,15,7,0,1636,1613,2,5,15,3,0,1975,1939,13,14,9,12,0,1554,1532,2,7,9,3,0
2300380285,1687,1638,13,2,29,11,2,1340,1302,8,2,15,6,1,1584,1554,0,0,30,0,0,1280,1260,0,0,19,0,0,1585,1558,0,0,27,0,0,1290,1270,0,0,19,0,0
2302509655,462,443,7,1,8,4,0,381,367,5,0,7,2,0,438,427,0,0,8,3,0,362,355,0,0,6,1,0,462,445,0,1,9,3,0,374,362,0,1,6,1,0
2302545110,664,651,2,1,7,3,0,544,533,2,0,6,3,0,643,614,9,0,20,2,0,534,510,6,0,18,2,0,672,645,2,0,24,2,0,541,522,2,0,21,2,0
2302551114,390,381,1,0,4,0,0,322,316,0,0,1,0,0,319,319,0,0,1,0,0,305,301,0,0,1,0,0,384,384,0,0,0,0,0,367,366,0,0,0,0,0
2302567238,48,47,0,0,0,0,0,42,41,0,0,0,0,0,42,42,0,0,0,0,0,41,41,0,0,0,0,0,48,48,0,0,0,0,0,47,47,0,0,0,0,0
2302553636,62,62,0,0,0,0,0,56,56,0,0,0,0,0,36,34,0,0,0,0,0,29,27,0,0,0,0,0,34,29,0,0,3,0,0,31,26,0,0,4,0,0
2302576190,37,36,0,0,0,0,0,32,31,0,0,0,0,0,23,20,0,0,1,0,0,20,19,0,0,1,0,0,20,19,0,0,0,0,0,17,17,0,0,0,0,0
2302501395,2511,2425,29,20,42,21,0,2050,1990,24,12,32,15,0,2596,2511,0,0,85,0,0,2045,2010,0,0,35,0,0,2633,2530,0,0,103,0,0,2070,2025,0,0,45,0,0
2302523410,939,905,10,6,16,7,0,765,746,8,3,12,5,0,865,860,1,0,4,0,0,740,740,0,0,4,0,0,738,736,1,0,1,0,0,655,655,0,0,4,0,0
2302517285,33,33,0,0,0,0,0,26,26,0,0,0,0,0,15,15,0,0,0,0,0,12,12,0,0,0,0,0,22,17,0,0,7,0,0,17,12,0,0,6,0,0
2302505000,922,889,9,6,17,6,1,753,731,7,4,11,6,1,862,837,7,10,5,3,0,670,660,4,0,4,0,0,841,810,8,11,11,3,0,665,655,4,0,10,0,0
2302559705,93,90,1,1,1,1,0,75,74,1,0,1,0,0,99,96,0,1,1,0,0,83,81,0,0,1,0,0,95,92,0,3,1,0,0,80,78,0,0,1,0,0
2302547140,218,209,1,1,2,1,0,179,172,1,1,1,1,0,192,189,0,1,1,0,0,156,154,0,1,1,0,0,193,187,0,1,3,0,0,165,158,0,1,3,1,0
2302549205,718,693,7,4,8,4,0,584,565,5,2,7,2,0,656,608,0,18,26,7,4,536,513,0,0,20,3,0,656,613,0,20,21,7,0,532,513,0,0,20,3,0
2302535345,862,832,8,6,15,6,1,705,684,7,4,8,5,1,762,741,0,10,12,0,0,624,606,0,9,14,0,0,762,736,0,10,16,2,0,650,627,0,9,17,3,0
2302507380,70,69,0,0,0,0,0,60,57,0,0,0,0,0,64,63,0,0,0,0,0,50,48,0,0,0,0,0,68,65,0,0,0,0,0,53,49,0,0,0,0,0
2302511820,338,328,3,1,5,1,0,278,267,1,0,3,0,0,307,284,0,6,10,3,1,254,242,0,0,9,1,0,311,285,0,7,8,4,0,253,242,0,0,9,1,0
2302510495,69,67,0,0,0,0,0,57,54,0,0,0,0,0,40,39,1,0,2,0,0,38,38,2,0,3,0,0,35,33,0,0,2,0,0,33,31,2,0,2,0,0
