GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
26039039006,2099,2021,24,18,26,15,1,1648,1602,15,9,20,8,0,1684,1663,8,10,3,4,0,1317,1311,1,3,2,0,0,1890,1855,10,21,3,6,0,1485,1480,2,4,1,0,0,2107,2090,3,12,0,2,0,1643,1648,0,0,0,0,0,2114,1966,45,29,41,14,1,1650,1571,18,8,24,11,1,1650,1571,18,3,7,5,0,2,44
26039039004,344,332,2,1,4,2,0,267,261,1,0,2,0,0,362,325,16,16,3,0,0,266,251,2,7,3,0,0,361,319,21,22,0,1,0,264,249,3,10,0,0,0,333,318,11,4,0,0,0,267,264,0,0,0,0,0,342,313,12,1,9,5,2,282,266,5,0,8,2,0,282,266,5,0,1,3,0,2,5
26047047017,1437,1250,39,19,128,13,2,1159,1043,20,10,81,10,2,1491,1364,33,47,55,2,19,1225,1138,22,36,53,0,0,1482,1246,126,51,62,2,19,1225,1057,84,33,56,0,0,1303,1095,128,42,32,4,13,1031,890,73,38,38,0,0,1492,1287,41,25,134,8,2,1261,1102,30,18,110,4,2,1261,1102,30,9,3,61,0,1,55
26047047013,1348,1244,13,5,83,5,0,986,925,6,2,51,2,0,1464,1272,31,18,138,22,0,1101,993,10,0,93,2,0,1491,1309,23,16,133,16,0,1118,1002,12,0,95,2,0,1419,1185,20,6,101,14,0,1099,1053,2,0,57,4,0,1295,1174,10,7,89,9,2,1049,958,4,2,65,7,2,1049,958,4,2,3,31,1,4,46
26143143004,2581,2463,35,27,35,18,4,2143,2076,24,9,21,10,4,2444,2323,83,2,2,34,0,2178,2072,82,0,2,20,0,2411,2277,86,0,2,46,0,2100,1995,91,0,2,25,0,2681,2540,32,50,0,28,0,2290,2253,32,0,0,7,0,2414,2234,50,21,64,20,1,2076,1933,35,15,58,8,0,2076,1933,35,2,7,14,0,1,84
26143143008,1370,1318,14,12,17,5,0,1165,1128,11,4,16,2,0,1127,1078,2,37,9,1,1,949,923,5,9,8,0,0,1227,1164,4,50,10,0,0,1043,1013,6,14,8,0,0,1208,1156,2,36,9,0,0,1022,1008,3,2,4,0,0,1252,1182,16,4,29,1,3,1130,1077,15,2,18,1,1,1130,1077,15,1,0,0,1,4,32
26143143005,2993,2899,36,20,24,16,2,2518,2453,22,13,22,9,2,2953,2878,21,2,41,12,12,2655,2580,21,1,39,0,0,2919,2860,41,2,14,0,0,2620,2569,35,1,14,0,0,2761,2688,54,3,16,0,0,2390,2329,47,0,13,0,0,2796,2615,49,26,65,18,10,2416,2293,25,14,47,9,5,2416,2293,25,4,4,10,2,8,70
26143143013,2546,2472,28,7,34,3,0,2085,2034,17,3,23,3,0,2756,2648,57,6,44,0,0,2142,2092,36,0,11,0,0,2721,2592,59,0,70,0,0,2126,2039,38,0,56,0,0,2643,2514,59,0,56,1,0,2078,1973,40,0,62,4,0,2463,2286,45,33,71,20,3,2052,1912,33,24,57,11,3,2052,1912,33,10,7,10,0,2,78
26143143014,1865,1808,21,10,27,7,1,1513,1479,13,3,20,5,1,1618,1516,69,10,22,0,0,1263,1217,21,0,25,0,0,1676,1595,70,0,9,0,0,1346,1311,27,0,9,0,0,1843,1788,45,0,5,0,0,1563,1534,19,0,0,0,0,1934,1832,31,7,30,16,4,1622,1535,22,5,28,12,2,1622,1535,22,2,11,3,1,2,46
26137137014,2847,2744,50,18,26,10,0,2303,2244,27,6,21,5,0,2841,2711,14,67,9,73,0,2299,2232,1,8,4,23,0,2911,2804,24,56,7,43,0,2321,2261,9,8,4,22,0,2791,2670,17,80,4,38,0,2209,2156,13,4,3,17,0,2857,2652,33,35,89,18,5,2374,2236,22,14,55,14,2,2374,2236,22,7,5,8,0,14,82
26137137004,1290,1266,6,6,14,3,0,1021,1005,4,4,10,3,0,1297,1247,15,1,4,30,0,1073,1024,15,4,5,30,0,1268,1210,20,8,3,28,0,1049,1008,17,4,5,30,0,1251,1199,22,10,2,23,0,1055,1004,19,0,2,8,0,1300,1228,16,8,33,4,0,1034,983,7,4,24,2,0,1034,983,7,2,0,2,0,0,40
26137137012,2619,2501,25,15,63,13,3,1942,1883,16,5,29,5,2,2774,2678,4,44,16,11,32,2210,2159,3,22,11,3,0,2830,2723,17,35,13,30,25,2208,2148,12,10,11,18,0,2831,2735,23,15,21,28,21,2177,2119,23,3,17,5,0,2725,2515,40,19,108,25,0,2121,1979,27,11,67,15,0,2121,1979,27,1,13,8,0,7,86
26039039007,1388,1335,19,16,20,2,2,1136,1109,5,3,16,2,1,1305,1262,19,12,8,4,0,1093,1070,6,6,7,2,0,1271,1216,22,16,10,5,0,1041,1016,9,8,6,2,0,1397,1267,33,30,24,9,0,1148,1112,6,0,22,4,0,1268,1176,22,26,34,10,2,1067,1010,16,11,19,5,2,1067,1010,16,9,2,8,1,4,17
26039039005,2008,1937,26,7,21,17,0,1623,1576,17,2,18,10,0,2271,2101,50,40,32,51,0,1781,1679,34,13,21,45,0,2150,2013,47,29,12,58,0,1729,1646,23,13,8,47,0,2031,1891,45,22,16,44,0,1663,1615,7,7,3,40,0,1918,1801,26,6,46,17,1,1566,1466,19,6,39,17,1,1566,1466,19,2,10,11,0,14,44
