GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
26039039006,1027,332,632,1152,404,729,1131,404,706,938,368,534,903,294,554,942,372,525
26047047017,648,320,281,785,443,325,783,431,337,655,377,256,642,345,257,655,387,233
26047047013,666,187,437,661,212,437,654,217,428,626,205,402,614,192,386,628,227,382
26143143004,1309,411,843,1573,525,1037,1563,545,995,1230,447,750,1187,366,753,1229,446,745
26143143008,853,282,535,975,358,604,962,368,584,789,322,452,778,267,483,787,321,447
26143143005,1912,673,1155,2111,793,1291,2096,776,1306,1737,702,1015,1688,542,1077,1731,668,1029
26143143013,1254,388,787,1298,418,868,1283,428,840,1113,431,641,1074,348,662,1110,425,646
26137137014,1680,508,1085,1936,686,1223,1919,667,1235,1587,594,971,1560,507,991,1584,584,963
26137137012,1337,341,923,1588,464,1103,1574,461,1090,1204,389,784,1177,323,798,1210,403,769
26039039007,640,188,421,717,243,469,712,243,461,566,211,336,544,173,335,568,215,334
26039039005,1127,366,692,1203,443,749,1198,421,770,1018,373,621,992,311,608,1024,398,584
26039039003,670,223,391,768,295,456,753,286,452,593,223,340,581,190,336,592,226,322
26053053002,623,210,387,674,251,413,666,250,406,540,250,281,528,220,281,537,255,269
26137137001,1453,419,959,1664,524,1116,1657,494,1138,1300,456,818,1274,391,834,1292,466,785
26137137008,504,159,292,673,266,392,664,269,381,442,190,226,437,171,221,446,210,206
26137137003,801,216,542,980,282,683,973,300,663,731,240,468,713,195,490,735,237,476
26137137004,666,174,463,827,235,580,816,233,570,619,201,404,598,174,395,618,211,381
26001001001,720,199,500,819,248,564,815,267,539,682,233,439,665,207,440,676,242,420
26001ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26137137005,844,216,580,977,279,668,970,286,658,744,256,463,737,225,455,747,267,435
26005005023,1367,523,759,1581,733,838,1575,669,893,1282,523,742,1258,492,734,1285,544,717
26005ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26005005010,1221,330,810,1438,423,995,1429,415,995,1060,355,692,1037,297,673,1069,371,658
26005005008,1108,261,782,1351,330,996,1341,315,1011,983,279,690,960,226,691,980,282,674
26005005017,1849,348,1401,2278,544,1705,2280,521,1730,1667,430,1209,1636,348,1213,1667,448,1165
26047047022,416,151,242,444,187,247,440,174,259,379,154,222,369,133,220,384,164,212
26047ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26047047004,339,123,196,407,167,230,403,166,228,334,158,173,330,136,180,336,152,172
26047047008,526,184,302,635,260,360,628,250,365,507,211,285,494,187,285,508,213,279
26047047001,1756,727,900,2012,966,1018,1998,918,1052,1651,766,839,1611,676,855,1646,768,828
26031031003,1823,597,1132,2091,731,1326,2060,718,1317,1659,645,982,1597,521,986,1654,644,957
26031ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26031031012,1295,419,813,1503,525,957,1491,534,941,1192,476,699,1156,382,710,1189,457,682
26001001008,607,160,417,715,199,508,709,213,486,537,158,364,531,157,357,543,179,351
26005005016,1181,445,648,1371,538,799,1359,521,799,1040,455,557,998,400,526,1043,492,507
26005005007,756,310,409,927,412,502,919,378,514,660,277,361,637,244,350,656,286,344
26005005029,1659,424,1141,1941,565,1341,1935,519,1392,1467,441,1010,1444,395,1000,1469,451,983
26005005045,1854,650,1045,2145,837,1265,2128,790,1288,1544,654,849,1524,585,834,1559,687,815
26011011015,879,315,518,946,351,577,933,396,508,769,348,403,746,286,407,770,353,393
26011ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26017017041,1297,419,818,1401,445,940,1377,502,851,1051,450,579,1019,383,570,1060,455,561
26039039002,651,197,427,772,234,531,756,236,509,618,212,385,598,182,375,617,217,367
26073073019,1404,890,415,1139,817,294,1126,782,319,1028,689,321,1011,672,290,1042,719,286
26081081204,1257,358,825,1479,469,994,1463,462,973,1076,381,671,1051,320,677,1080,388,648
26081081051,1232,385,724,1553,558,956,1539,533,966,1063,401,626,1041,349,606,1069,417,599
26081081192,1613,538,966,2011,808,1165,1997,758,1203,1415,579,803,1369,503,808,1415,608,767
26081081052,1495,495,922,1842,738,1073,1818,686,1116,1414,555,846,1387,482,855,1420,545,840
26081081208,1366,414,863,1562,513,1026,1539,498,1007,1108,405,676,1077,320,688,1121,409,661
26081081206,1792,613,1013,2214,895,1265,2194,832,1306,1620,672,883,1568,570,844,1620,690,831
26081081199,1738,620,1020,2075,903,1140,2055,854,1169,1593,685,868,1567,599,892,1595,714,832
26081081205,1832,455,1247,2227,666,1501,2193,644,1505,1612,507,1054,1577,440,1034,1613,532,1013
26081081045,1788,633,1032,2065,910,1120,2062,755,1289,1700,636,1053,1667,569,1039,1695,664,1012
26081081238,846,339,444,949,467,459,940,437,480,753,330,393,736,328,360,760,373,355
26081081119,1486,1130,229,1711,1458,194,1706,1399,267,1406,1169,208,1395,1133,204,1420,1184,182
26081000002,804,237,524,1051,259,779,1043,268,752,705,245,448,708,211,453,716,254,441
26081081209,1198,355,774,1530,455,1051,1507,448,1035,1060,363,664,1022,308,669,1067,374,655
26081081023,1323,522,685,1556,743,772,1546,716,789,1081,508,528,1059,488,495,1087,540,488
26081081012,1200,408,708,1419,542,857,1401,516,867,1073,432,615,1043,381,596,1075,441,587
26081081123,1072,555,451,1189,713,455,1192,642,540,1014,520,484,989,492,471,1012,545,447
26081081187,1078,287,721,1356,420,904,1335,418,895,945,296,632,926,275,614,950,331,592
26081081186,1296,337,866,1446,417,999,1433,418,982,1098,390,679,1073,337,659,1101,395,656
26081081081,818,531,211,1152,819,297,1137,783,314,709,499,180,697,492,157,719,532,150
26081081020,1885,414,1354,2142,543,1559,2123,509,1593,1653,428,1194,1627,352,1218,1663,430,1194
26107107003,711,317,335,808,395,384,796,382,393,663,327,315,657,306,298,671,340,292
26107107005,646,259,324,829,350,444,817,349,446,524,247,250,513,223,238,524,252,236
