GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
27033000050,285,275,8,0,2,2,0,217,216,2,0,0,0,0,274,250,11,1,0,7,2,204,197,1,0,0,0,0,283,256,17,4,0,5,2,215,204,3,2,0,2,0,318,278,18,2,0,8,11,228,233,0,0,0,0,0,314,309,2,0,3,0,0,235,232,0,0,3,0,0,235,232,0,0,0,0,0,0,3
27033000145,1125,973,112,10,8,24,8,854,746,75,8,5,16,8,1053,927,85,17,3,15,7,780,745,17,9,1,5,0,1084,915,147,10,0,14,6,764,748,4,7,0,3,0,1095,931,138,4,2,13,8,729,692,5,7,6,0,0,1209,846,239,51,34,33,12,876,663,146,28,21,16,8,876,663,146,20,12,3,4,2,26
27033000065,233,228,3,0,0,1,0,182,178,3,0,0,0,0,255,236,6,4,0,8,0,176,170,0,0,0,6,0,243,216,9,5,0,10,0,168,155,0,0,0,10,0,290,241,13,4,0,36,0,233,201,0,0,0,0,0,237,221,5,2,5,5,2,189,181,4,1,3,1,2,189,181,4,0,0,0,1,0,3
27033000140,1154,983,98,26,5,38,2,878,793,50,12,3,18,2,1038,940,62,24,5,10,1,771,741,16,8,4,6,0,1064,902,137,6,2,11,0,733,721,6,0,0,7,0,1027,878,131,2,9,18,0,733,707,2,0,6,0,0,1190,873,190,47,34,29,23,906,699,125,27,26,16,15,906,699,125,27,15,1,15,5,19
27173000140,432,426,1,0,5,1,0,334,331,0,0,2,1,0,403,398,0,0,3,2,0,309,302,0,0,4,3,0,437,423,1,8,2,2,0,333,329,0,0,2,3,0,422,403,1,12,1,3,0,321,315,0,4,1,0,0,408,384,6,9,7,1,0,320,303,5,2,6,1,0,320,303,5,1,1,1,0,0,9
27173000080,193,183,0,1,3,6,1,140,135,0,1,2,2,1,172,115,0,0,53,0,0,124,91,0,0,27,0,0,168,110,7,0,56,0,0,123,87,0,0,34,0,0,184,125,10,3,48,4,0,123,114,2,0,2,3,0,196,182,2,3,8,4,0,141,134,1,2,2,4,0,141,134,1,0,1,1,0,0,4
27173000095,264,263,1,1,0,0,0,195,195,0,0,0,0,0,233,219,13,0,3,0,0,165,164,0,0,2,0,0,219,205,12,0,2,0,0,158,157,0,0,2,0,0,230,219,10,0,0,0,0,163,165,0,0,0,0,0,238,229,4,1,3,1,1,178,173,2,0,1,1,0,178,173,2,0,0,0,0,0,3
27173000045,192,187,3,0,2,0,0,156,153,2,0,1,0,0,172,165,0,1,3,0,0,137,133,1,0,2,0,0,164,146,0,3,3,0,0,129,123,0,1,2,0,0,166,158,1,4,6,0,0,139,136,0,0,4,0,0,178,174,1,1,1,2,0,144,141,1,1,1,1,0,144,141,1,0,0,1,0,0,1
27173000120,219,217,1,0,0,0,0,167,165,1,0,0,0,0,198,185,0,5,0,0,0,143,130,0,7,0,0,0,179,170,0,3,0,0,0,139,128,0,4,0,0,0,186,182,0,2,1,0,1,143,149,0,0,0,0,0,220,214,2,3,0,2,0,157,155,0,1,0,2,0,157,155,0,0,1,0,0,0,1
27173000020,863,808,43,3,9,1,0,669,641,21,2,5,1,0,938,903,2,0,23,11,0,687,663,0,0,15,4,0,916,873,14,0,16,15,0,649,621,10,0,10,10,0,980,856,52,0,45,28,0,709,638,17,0,40,20,0,852,702,95,12,45,6,0,622,545,49,4,25,2,0,622,545,49,1,0,13,0,0,14
27173000085,201,200,1,0,0,0,0,151,151,0,0,0,0,0,189,188,0,0,1,1,0,144,143,0,0,1,1,0,201,199,0,3,0,1,0,156,154,0,0,0,1,0,185,179,0,6,0,1,0,140,133,0,0,0,4,0,181,166,8,3,5,1,2,140,130,4,2,4,1,0,140,130,4,0,1,1,0,0,4
27073000165,159,157,0,1,1,0,0,117,116,0,0,1,0,0,134,129,7,0,0,0,0,110,109,0,0,0,0,0,145,137,9,0,0,0,0,113,112,0,0,0,0,0,146,140,7,0,0,0,0,107,105,0,0,0,0,0,140,133,2,0,2,1,0,107,105,1,0,0,1,0,107,105,1,0,1,0,0,0,0
