GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
27033000050,285,275,8,0,2,2,0,217,216,2,0,0,0,0,274,250,11,1,0,7,2,204,197,1,0,0,0,0,283,256,17,4,0,5,2,215,204,3,2,0,2,0
27033000145,1125,973,112,10,8,24,8,854,746,75,8,5,16,8,1053,927,85,17,3,15,7,780,745,17,9,1,5,0,1084,915,147,10,0,14,6,764,748,4,7,0,3,0
27033000065,233,228,3,0,0,1,0,182,178,3,0,0,0,0,255,236,6,4,0,8,0,176,170,0,0,0,6,0,243,216,9,5,0,10,0,168,155,0,0,0,10,0
27033000140,1154,983,98,26,5,38,2,878,793,50,12,3,18,2,1038,940,62,24,5,10,1,771,741,16,8,4,6,0,1064,902,137,6,2,11,0,733,721,6,0,0,7,0
27173000140,432,426,1,0,5,1,0,334,331,0,0,2,1,0,403,398,0,0,3,2,0,309,302,0,0,4,3,0,437,423,1,8,2,2,0,333,329,0,0,2,3,0
27173000080,193,183,0,1,3,6,1,140,135,0,1,2,2,1,172,115,0,0,53,0,0,124,91,0,0,27,0,0,168,110,7,0,56,0,0,123,87,0,0,34,0,0
27173000095,264,263,1,1,0,0,0,195,195,0,0,0,0,0,233,219,13,0,3,0,0,165,164,0,0,2,0,0,219,205,12,0,2,0,0,158,157,0,0,2,0,0
27173000045,192,187,3,0,2,0,0,156,153,2,0,1,0,0,172,165,0,1,3,0,0,137,133,1,0,2,0,0,164,146,0,3,3,0,0,129,123,0,1,2,0,0
27173000120,219,217,1,0,0,0,0,167,165,1,0,0,0,0,198,185,0,5,0,0,0,143,130,0,7,0,0,0,179,170,0,3,0,0,0,139,128,0,4,0,0,0
27173000020,863,808,43,3,9,1,0,669,641,21,2,5,1,0,938,903,2,0,23,11,0,687,663,0,0,15,4,0,916,873,14,0,16,15,0,649,621,10,0,10,10,0
