GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
28037000102,827,306,0,520,4,0,0,577,237,0,339,2,0,0,765,303,0,460,0,0,0,632,242,0,385,0,0,0,639,236,0,402,0,0,0,510,197,0,313,0,0,0
28037000103,482,154,1,328,0,0,0,329,106,1,223,0,0,0,435,169,0,269,0,0,0,317,130,0,185,0,0,0,450,233,0,221,0,0,0,351,191,0,157,0,0,0
28027000004,1495,49,8,1440,3,3,0,1017,39,8,973,3,2,0,1268,77,3,1190,1,0,0,896,56,1,841,0,0,0,1203,74,3,1122,1,0,0,876,54,1,822,1,0,0
28027000001,713,377,17,306,1,13,0,597,330,11,246,0,10,0,704,190,24,510,0,0,0,560,191,25,343,0,0,0,746,206,20,537,10,0,0,573,181,20,366,10,0,0
28013000004,1374,651,25,686,9,2,1,1025,501,15,501,6,2,1,1247,591,27,630,0,4,0,1012,496,17,504,0,1,0,1127,539,5,586,0,4,0,914,436,2,466,0,1,0
28013000001,847,782,13,52,1,1,0,671,627,8,36,1,1,0,616,558,32,28,0,0,0,484,439,21,24,0,0,0,725,665,32,28,0,0,0,566,525,23,24,0,0,0
28095000506,1405,39,1,1355,11,2,0,974,20,1,946,7,2,0,1469,244,1,1223,0,0,0,1038,213,1,829,0,0,0,1360,220,1,1139,0,0,0,984,191,1,792,0,0,0
28119000103,399,89,2,309,2,0,0,286,72,2,213,0,0,0,316,114,3,200,0,0,0,268,112,1,156,0,0,0,321,109,2,203,0,3,0,266,104,1,157,0,1,0
28119000202,1318,337,8,964,16,4,0,990,289,8,690,9,3,0,1182,259,17,904,0,2,0,897,197,4,692,0,0,0,1178,241,16,923,0,4,0,946,186,3,752,0,0,0
28119000401,692,135,2,551,7,2,0,546,118,1,425,5,2,0,597,64,1,539,0,0,0,463,54,0,409,0,0,0,618,62,1,559,0,1,0,493,54,0,438,0,1,0
28119000101,1084,167,3,910,7,1,0,739,131,1,602,5,1,0,1062,109,30,925,0,0,0,728,99,4,617,0,0,0,1030,111,11,912,0,1,0,705,104,7,592,0,1,0
28095000103,235,232,0,2,0,1,0,186,182,0,1,0,1,0,205,201,2,2,0,0,0,159,157,3,0,0,0,0,214,211,3,3,0,0,0,157,155,3,0,0,0,0
28095000104,411,371,0,38,4,0,0,318,288,0,27,3,0,0,528,493,0,34,0,0,0,335,324,0,11,0,0,0,501,468,1,33,0,0,0,340,332,0,9,0,0,0
28095000102,2242,2069,27,132,12,6,0,1693,1572,15,98,8,3,0,1791,1768,16,26,1,0,0,1452,1429,16,8,2,0,0,1692,1660,16,30,5,0,0,1322,1292,16,11,5,0,0
28095000105,2833,2666,19,123,16,8,2,2184,2061,11,93,11,7,2,3019,2872,21,120,0,2,4,2250,2193,8,43,2,0,0,2917,2736,36,142,3,1,0,2189,2130,10,47,3,0,0
28095000302,615,603,3,3,7,1,2,485,474,3,2,7,1,2,635,601,0,30,0,3,0,495,467,0,19,0,3,0,640,607,0,28,0,5,0,503,473,0,18,0,4,0
28095000401,2521,410,22,2095,12,1,1,1800,351,14,1438,8,1,1,2449,361,17,2048,27,0,0,1643,304,4,1333,6,0,0,2197,409,23,1781,0,0,0,1653,351,15,1286,0,0,0
28095000305,1476,1253,6,205,12,1,0,1141,977,4,148,12,1,0,1445,1304,17,112,1,0,0,1130,1014,8,101,1,0,0,1408,1297,0,106,2,0,0,1140,1044,0,93,2,0,0
28095000304,2695,2171,27,482,13,6,3,2043,1655,12,365,9,4,1,2784,2364,0,420,6,0,0,2174,1823,0,339,3,0,0,2488,2137,0,345,7,0,0,2023,1745,0,268,8,0,0
28095000306,1301,707,17,569,5,6,1,1032,623,13,389,2,5,1,1128,540,25,543,26,0,0,870,492,1,370,4,0,0,1167,554,23,591,0,0,0,918,498,1,422,0,0,0
28155000101,282,158,0,124,0,0,0,211,116,0,95,0,0,0,236,201,0,34,2,1,0,195,163,0,31,2,1,0,232,189,0,38,1,1,0,192,155,0,36,1,1,0
28135000402,337,145,0,190,5,0,0,273,125,0,146,4,0,0,332,152,0,182,0,0,0,241,132,0,111,0,0,0,315,87,0,227,0,0,0,215,73,0,143,0,0,0
28135000503,3677,721,801,2024,47,105,17,3286,708,799,1647,45,104,16,4500,532,1950,1825,0,189,13,3591,455,1455,1558,0,105,15,3537,431,1319,1622,2,167,11,2876,382,1030,1369,0,85,10
28027000014,4329,130,34,4169,17,5,1,2894,94,24,2780,13,3,0,4300,255,1,4041,3,1,0,2930,180,1,2746,2,1,0,3787,198,6,3531,3,46,0,2761,166,1,2583,3,9,0
28027000011,4016,741,42,3216,8,29,0,2772,644,27,2091,6,19,0,3566,719,0,2822,0,25,0,2473,550,0,1912,0,14,0,3398,519,17,2847,0,16,0,2430,398,14,2006,0,10,0
28027000005,1857,1023,26,767,0,41,4,1381,824,14,517,0,26,2,1730,846,11,845,29,14,0,1302,728,10,541,16,6,0,1722,816,12,868,39,7,0,1261,656,10,563,28,5,0
28049000203,1018,3,11,1004,4,2,3,787,3,7,777,3,2,2,703,6,0,673,0,23,0,593,6,0,587,0,0,0,728,9,0,701,0,19,0,619,7,0,611,0,0,0
28049000202,824,5,4,816,2,4,0,611,4,4,604,2,3,0,847,6,0,842,0,0,0,666,3,0,662,0,0,0,816,4,0,811,0,0,0,647,0,0,647,0,0,0
28049000317,2025,205,39,1775,3,6,0,1405,195,19,1186,3,4,0,1939,205,118,1599,3,22,0,1230,148,4,1072,0,7,0,1682,158,128,1375,10,22,0,1118,142,11,959,0,9,0
28049000306,1595,80,2,1508,4,3,0,1021,75,2,939,4,3,0,886,36,0,849,0,1,0,616,36,0,582,0,1,0,1097,50,0,1039,0,1,0,778,57,0,720,0,1,0
28049000511,927,15,16,902,7,0,0,697,14,10,679,4,0,0,1017,0,0,1009,12,0,0,706,0,0,701,14,0,0,943,2,0,937,6,0,0,647,3,0,640,7,0,0
28043000401,3058,657,33,2353,26,14,2,2271,526,28,1715,22,5,2,3084,687,7,2379,12,0,0,2297,553,5,1728,12,0,0,3159,649,0,2476,14,21,0,2342,515,0,1799,13,22,0
28043000501,2981,1941,29,997,14,8,1,2287,1542,20,712,9,7,1,3130,2308,11,805,14,3,0,2529,1776,6,734,12,0,0,2902,2045,5,839,16,4,0,2349,1597,1,740,14,0,0
28043000301,3462,1086,26,2346,21,4,1,2572,853,13,1691,19,3,1,3525,879,34,2606,44,8,0,2562,717,15,1813,33,0,0,3319,914,28,2363,49,8,0,2439,735,13,1682,39,0,0
28043000502,1405,1051,9,345,4,0,2,1039,783,5,250,3,0,1,1274,1117,0,159,1,0,0,955,811,0,143,2,0,0,1452,1270,0,180,2,0,0,944,784,0,159,2,0,0
28043000402,1377,1187,19,156,7,9,0,1065,919,15,123,5,6,0,1083,958,45,28,75,27,0,837,764,19,0,54,0,0,1167,1031,45,28,88,28,0,875,806,16,0,58,0,0
28043000102,2640,1650,25,942,6,22,0,1980,1292,21,654,6,15,0,2761,1741,35,963,21,0,0,2164,1364,0,778,21,0,0,2652,1609,39,999,14,0,0,2124,1332,0,780,15,0,0
28043000203,1549,1150,24,349,11,17,2,1160,884,11,250,8,13,0,1619,1155,0,462,0,0,0,1146,873,0,274,0,0,0,1679,1100,0,577,0,0,0,1246,866,0,381,0,0,0
28043000202,987,688,10,281,5,1,0,765,536,8,215,1,0,0,879,602,0,274,6,0,0,656,466,0,188,6,0,0,945,598,0,334,6,0,0,719,486,0,229,6,0,0
28043000103,1120,917,9,194,1,1,1,796,689,5,103,1,1,1,1152,845,0,308,0,0,0,869,673,0,193,0,0,0,882,685,0,199,0,0,0,698,579,0,117,0,0,0
28043000104,631,419,2,209,2,0,0,485,321,2,161,2,0,0,701,345,0,348,5,0,0,584,290,0,290,7,0,0,698,339,0,352,7,0,0,544,262,0,275,8,0,0
28061000201,1208,267,3,933,3,0,0,894,217,3,673,2,0,0,1163,469,0,700,0,0,0,926,382,0,545,0,0,0,961,364,0,595,0,0,0,810,311,0,497,0,0,0
28061000102,987,486,8,489,1,2,0,752,374,6,370,1,0,0,1295,435,9,853,0,0,0,962,383,9,564,1,0,0,1389,563,12,812,6,0,0,957,429,12,509,7,0,0
28061000502,873,334,6,537,2,0,0,660,266,4,393,2,0,0,786,206,20,563,0,0,0,586,159,21,408,0,0,0,916,218,25,665,11,0,0,683,163,24,483,11,0,0
28049000516,1061,69,4,984,9,2,0,806,64,4,734,9,2,0,783,32,0,750,0,0,0,669,29,0,640,0,0,0,713,20,1,687,0,1,0,625,21,0,606,0,0,0
28049000208,1628,18,2,1607,2,4,3,1163,18,2,1143,1,2,1,1667,0,0,1667,0,0,0,1405,0,0,1405,0,0,0,1197,0,0,1197,0,0,0,1042,0,0,1042,0,0,0
28049000105,1644,731,12,891,5,10,2,1253,607,6,629,5,8,1,1649,780,56,810,14,0,0,1157,563,55,530,10,0,0,1609,873,45,690,11,0,0,1150,635,46,466,7,0,0
28049000514,2897,592,95,2210,20,19,4,1891,501,62,1322,18,13,3,2818,401,141,2276,0,0,0,1684,341,0,1342,0,0,0,2582,387,62,2043,90,0,0,1579,333,0,1223,24,0,0
28049000307,4140,335,15,3779,22,18,0,2774,321,8,2432,15,15,0,5070,359,0,4707,0,5,0,3435,356,0,3073,0,3,0,5058,215,0,4800,29,5,0,3343,253,0,3055,0,3,0
