GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
38079000904,3287,476,31,14,2793,2,4,2151,424,14,5,1716,1,1,3291,563,32,0,2703,11,0,2157,510,15,0,1626,4,0,3327,572,19,0,2746,6,0,2194,529,20,0,1637,4,0,3238,592,32,0,2639,9,0,2205,550,0,0,1635,2,0,2885,345,26,11,2516,5,4,1838,308,14,6,1513,2,3,1838,308,14,1,0,1451,2,1,61
38079000905,1295,917,13,4,370,0,1,988,730,7,1,254,0,1,1607,705,19,2,869,0,0,1021,505,10,4,510,0,0,1483,680,17,8,776,0,0,959,503,4,4,455,0,0,1391,631,100,4,694,0,0,972,605,39,0,308,0,0,1097,729,12,8,343,5,5,849,608,7,0,222,2,3,849,608,7,0,2,169,3,4,56
38079000902,1391,334,9,2,1048,5,0,953,287,3,2,660,4,0,1404,381,9,2,1021,0,0,1046,343,0,4,703,0,0,1394,361,12,2,1031,0,0,1022,319,0,4,703,0,0,1479,415,70,10,1011,0,0,1105,361,5,10,733,0,0,1297,314,11,8,968,1,3,903,280,5,3,616,0,1,903,280,5,2,0,583,1,0,32
38101003805,1272,1194,12,13,45,13,1,899,859,5,9,20,7,1,1755,1606,34,100,5,18,0,1307,1197,30,77,1,15,0,1892,1721,43,91,17,27,0,1404,1272,34,70,2,27,0,1356,1160,120,48,11,15,0,1011,958,23,9,3,8,0,1566,1460,24,19,35,18,3,1126,1067,12,15,14,10,2,1126,1067,12,10,8,9,1,3,16
38101003806,7146,6641,99,140,174,97,6,5408,5104,62,81,101,63,4,9112,7638,745,482,146,210,91,6713,5948,402,251,67,48,2,8195,6952,487,484,119,182,29,6118,5518,242,219,77,53,2,10149,8162,488,1039,147,328,10,7702,6349,455,682,88,96,0,9882,7928,552,671,404,323,36,7448,6127,366,431,269,235,29,7448,6127,366,356,158,147,10,29,255
38101003804,597,584,0,5,5,2,0,440,435,0,2,2,1,0,618,564,17,33,3,1,0,479,452,13,12,3,0,0,645,583,17,24,16,0,0,478,462,9,2,8,0,0,716,652,30,4,16,4,1,502,494,6,1,4,0,0,861,783,27,20,17,8,2,619,566,14,18,9,6,0,619,566,14,15,5,3,0,3,13
38101000404,376,361,4,4,7,0,0,312,302,3,1,6,0,0,364,345,1,1,10,1,0,266,252,0,0,3,1,0,397,378,1,0,10,2,0,297,287,0,0,6,1,0,536,497,5,0,22,5,0,400,353,5,0,16,4,0,491,424,9,2,40,7,4,408,356,5,2,30,5,2,408,356,5,1,3,12,0,3,28
38101000501,14232,12816,350,415,519,201,26,11532,10611,232,244,315,145,21,16554,14204,496,1047,527,251,123,12583,11048,328,746,330,81,25,15547,13224,473,1029,469,305,57,12016,10597,305,609,304,144,22,14897,12599,602,705,576,429,57,11261,10082,265,195,359,298,56,14638,11888,726,826,794,423,28,11661,9740,496,565,538,304,20,11661,9740,496,447,223,299,9,29,418
38101000401,1576,1503,40,2,19,9,3,1229,1190,15,2,16,5,1,1309,1170,75,9,45,0,0,1050,972,39,5,38,0,0,1328,1274,21,7,23,0,0,1033,1005,16,5,13,0,0,1395,1331,25,21,13,1,0,1176,1146,13,5,13,0,0,1460,1350,42,10,29,24,10,1118,1042,23,5,23,16,9,1118,1042,23,1,11,7,3,7,24
38101000304,10269,8922,325,316,677,104,18,7940,7041,216,205,423,74,10,11137,9265,724,378,458,326,10,8348,7357,341,265,305,46,10,11145,8837,948,538,483,331,15,8426,7027,544,426,331,66,8,10798,8422,1150,357,438,397,49,7833,6715,497,228,305,117,68,11433,8593,1015,755,861,251,48,8524,6633,697,459,557,176,23,8524,6633,697,344,121,285,9,18,417
38101004003,10092,8695,362,455,484,206,30,8024,7010,264,335,307,168,21,10657,8543,637,759,382,353,42,7996,6786,423,356,256,122,20,11656,9018,903,937,509,493,43,8499,7015,663,408,262,128,20,11764,9512,623,972,603,310,57,9179,7613,511,478,317,75,20,12438,9244,1004,1147,528,505,96,9710,7352,735,822,382,384,70,9710,7352,735,651,258,185,41,34,454
38079000901,1605,926,27,3,655,10,0,1173,759,12,1,396,7,0,1574,730,1,26,819,0,0,1083,629,0,8,449,0,0,1579,737,1,6,832,5,0,1051,622,0,4,420,0,0,1637,676,86,0,943,3,0,916,541,24,0,362,0,0,1484,710,31,8,728,21,2,1041,588,26,2,414,17,2,1041,588,26,0,17,343,2,3,62
38079000903,6359,149,53,26,6188,6,0,4012,132,25,15,3863,4,0,6727,318,32,87,6318,12,0,4343,277,19,59,3991,10,0,6728,283,31,107,6334,10,0,4349,231,19,73,4057,10,0,6692,294,40,83,6325,1,0,4294,103,4,48,4160,0,0,5424,200,57,31,5180,13,6,3530,190,27,19,3307,7,3,3530,190,27,10,1,3219,0,0,83
38101004002,106,95,6,0,2,2,1,77,71,2,0,2,1,1,278,227,2,16,30,0,0,210,186,2,10,10,0,0,289,228,4,15,40,3,1,213,180,2,9,18,0,0,138,123,1,3,10,1,1,106,120,0,1,0,1,0,147,131,8,3,3,1,1,103,94,2,3,3,1,0,103,94,2,2,1,0,0,0,4
38091002302,410,405,2,2,1,0,0,320,315,2,1,0,0,0,403,394,1,1,0,0,0,319,313,1,1,0,0,0,370,355,2,1,0,0,0,282,276,1,1,0,0,0,384,378,5,0,2,0,0,287,275,4,10,0,0,0,383,362,9,5,3,3,2,287,275,6,5,0,2,1,287,275,6,0,0,0,0,0,6
38091002303,310,303,5,0,2,0,0,244,242,2,0,0,0,0,304,295,9,2,0,0,0,233,228,5,2,0,0,0,281,278,3,3,0,0,0,223,219,0,5,0,0,0,250,237,11,1,0,0,0,196,194,3,0,0,0,0,249,243,5,0,1,1,1,196,194,1,0,0,1,1,196,194,1,0,0,0,0,0,1
38091002305,335,327,1,0,5,2,0,263,254,1,0,1,1,0,324,320,2,0,0,0,0,261,258,0,0,0,0,0,292,287,2,0,0,0,0,238,235,0,0,0,0,0,297,292,4,0,1,0,0,221,210,3,0,0,0,0,297,280,8,4,2,0,5,221,210,3,4,1,0,1,221,210,3,0,0,0,0,0,8
38039002305,451,439,2,5,1,1,0,350,344,1,2,1,1,0,424,403,1,5,6,2,0,346,327,0,5,3,2,0,451,425,4,0,7,4,0,356,345,0,0,5,3,0,399,382,4,0,4,2,0,309,292,0,0,4,0,0,395,379,1,2,6,4,2,301,289,1,1,4,3,0,301,289,1,1,3,0,0,2,5
38063002301,3126,3018,33,20,54,8,1,2566,2501,17,13,33,7,1,2920,2817,75,5,20,4,0,2340,2285,24,4,24,4,0,2894,2758,101,6,26,4,0,2305,2235,44,4,26,4,0,2864,2635,108,4,89,26,0,2249,2133,13,0,74,4,0,3015,2844,69,24,60,19,5,2473,2351,54,14,43,12,3,2473,2351,54,6,8,13,1,2,38
38025000403,425,387,8,1,34,3,3,334,316,4,1,15,2,0,584,507,23,2,46,2,0,433,392,18,1,26,2,0,572,499,25,8,44,2,0,423,374,19,0,27,0,0,705,584,38,11,48,3,16,505,445,25,3,19,3,0,582,495,13,13,50,16,2,433,380,10,6,25,14,1,433,380,10,1,4,10,0,1,27
38075000603,1038,1007,10,4,16,3,0,813,794,7,3,8,2,0,972,887,55,3,8,14,0,803,755,22,4,5,5,0,934,867,56,4,1,4,0,750,718,23,4,1,5,0,960,877,80,5,0,2,0,733,696,31,4,1,0,0,958,905,19,11,16,6,4,731,694,16,3,12,1,4,731,694,16,0,0,3,0,1,17
38023000202,455,448,2,2,3,0,0,376,374,1,1,0,0,0,582,526,18,7,11,24,0,453,432,10,3,2,3,0,532,494,7,3,14,6,0,433,402,2,3,5,2,0,509,467,16,6,11,4,0,390,368,18,6,5,0,0,494,458,17,4,4,3,3,378,357,10,4,4,2,0,378,357,10,3,1,3,0,0,4
38099001901,8119,6971,896,37,207,48,8,6234,5599,485,16,121,37,4,7902,6415,1132,67,248,70,0,5741,5025,520,18,164,15,0,7854,6292,1179,52,303,43,4,5785,4988,559,16,187,39,0,7682,6121,1147,45,316,80,3,5668,4883,502,18,205,30,0,7628,5920,1231,126,304,64,4,5816,4747,765,74,184,44,2,5816,4747,765,49,33,78,0,17,127
38101000303,1283,1220,16,11,22,7,8,926,896,10,6,13,5,2,1345,1154,85,3,109,13,0,998,870,65,0,50,14,0,1366,1212,52,10,94,0,0,978,893,36,0,50,0,0,1338,1189,46,19,80,7,0,1000,917,28,0,49,4,0,1705,1514,75,28,55,10,4,1193,1088,39,12,37,6,1,1193,1088,39,6,4,7,1,1,47
38101004001,4053,3078,333,419,102,154,55,2560,2025,179,220,51,79,25,4041,2870,530,378,372,75,19,2643,1867,355,197,174,31,0,4267,3093,571,346,357,62,12,2700,2003,334,200,150,21,0,4565,3033,736,653,224,87,30,3044,2147,452,354,78,37,0,4057,2786,523,401,157,214,43,2780,1920,356,274,85,140,30,2780,1920,356,172,73,31,21,13,194
38099001001,3000,2863,73,12,40,17,1,2418,2327,37,4,32,8,0,2900,2721,95,21,51,11,0,2339,2240,39,12,38,4,0,2897,2772,61,5,55,12,0,2275,2202,18,8,39,4,0,2960,2825,89,8,53,17,0,2309,2203,65,8,19,10,0,2935,2756,85,13,53,15,3,2343,2232,43,10,38,12,3,2343,2232,43,2,3,16,0,5,42
38025000402,316,291,3,1,17,4,0,255,236,3,1,12,3,0,482,411,25,0,39,1,0,342,305,16,0,20,1,0,453,383,30,4,38,0,0,320,284,17,0,21,0,0,522,428,34,8,35,2,15,347,312,27,0,6,0,0,385,338,17,7,16,4,2,274,247,10,4,7,4,2,274,247,10,1,3,2,0,1,10
38025003601,506,497,3,1,7,0,1,396,388,2,0,5,0,1,568,534,0,0,19,15,6,469,439,0,0,18,8,6,599,582,0,0,0,18,6,473,461,0,0,0,6,6,439,409,23,0,3,4,4,360,347,7,0,0,1,0,457,427,11,9,8,2,3,369,351,7,8,2,1,2,369,351,7,2,1,0,0,1,7
38025003602,370,365,1,0,2,2,0,278,275,1,0,1,1,0,420,391,0,0,14,10,2,350,327,0,0,14,6,3,446,422,0,0,0,14,2,351,345,0,0,0,3,3,429,406,22,0,2,2,2,334,328,1,0,0,0,0,450,440,2,8,1,0,0,338,330,1,6,1,0,0,338,330,1,5,0,0,0,0,2
38105000210,386,361,18,4,3,0,0,289,278,5,3,3,0,0,670,567,30,20,11,59,0,411,357,12,7,7,30,0,678,601,11,32,13,32,0,384,343,1,18,12,12,0,270,244,2,5,0,0,2,144,132,0,3,4,1,0,469,424,8,8,22,6,0,324,301,6,5,12,2,0,324,301,6,3,1,2,0,0,11
38105000104,4775,4390,102,47,218,37,3,3719,3469,69,33,147,20,2,7200,5290,973,323,604,24,17,5262,4259,484,194,306,12,15,7230,5518,890,288,502,56,41,5067,4158,431,165,292,8,16,7284,5554,824,231,670,46,61,5299,4231,467,172,437,0,13,6857,5179,674,460,353,167,19,5243,4069,457,315,246,132,11,5243,4069,457,293,92,111,7,21,193
38105000101,4124,3750,69,21,259,15,0,3169,2933,44,7,153,5,0,5010,4278,167,74,387,81,0,3761,3293,42,6,340,83,0,5058,4281,170,115,414,52,52,3704,3212,50,10,363,51,14,5325,4575,93,76,442,32,35,3813,3362,1,22,365,29,9,4563,3513,317,181,360,165,28,3517,2772,216,136,257,112,22,3517,2772,216,111,97,120,13,11,177
38075000602,246,241,5,0,0,0,0,205,200,5,0,0,0,0,238,221,4,0,0,0,0,180,175,2,0,0,0,0,216,206,6,0,0,0,0,160,149,2,0,0,0,0,241,217,15,0,1,1,0,174,168,2,0,2,0,0,203,193,3,1,6,3,0,174,168,1,1,3,1,0,174,168,1,0,0,1,0,0,4
38105000208,1642,1585,14,10,24,13,3,1352,1312,10,3,21,10,1,1520,1449,52,7,11,0,0,1101,1030,51,4,7,0,0,1483,1444,10,10,14,0,0,1147,1109,11,11,7,0,0,1404,1355,12,16,30,0,0,1084,1063,9,9,10,0,0,2708,2215,313,64,52,32,5,2043,1728,203,35,35,23,4,2043,1728,203,25,17,17,0,8,45
38105000206,536,496,8,6,24,6,0,407,389,3,1,14,1,0,612,555,14,13,26,1,0,446,395,14,13,20,0,0,628,576,11,4,26,7,0,460,421,11,5,19,5,0,583,528,0,19,41,4,0,398,349,0,0,35,4,0,787,637,38,20,83,10,0,566,474,23,5,53,4,0,566,474,23,2,1,25,0,2,39
38105000102,4614,4219,105,26,261,32,13,3507,3270,64,13,161,17,4,7692,6552,133,342,541,17,0,5235,4777,107,117,257,0,0,7000,6135,264,297,284,0,0,4850,4493,112,88,165,0,0,6691,5632,526,382,141,0,0,4316,3966,144,95,46,0,0,6680,5021,601,479,450,139,57,4697,3702,342,280,269,86,26,4697,3702,342,252,62,91,20,8,220
38105000203,943,871,9,4,57,6,0,706,651,6,4,43,3,0,2143,1700,130,109,108,21,14,1424,1224,67,47,63,4,0,2207,1641,184,163,136,32,4,1483,1241,99,55,74,6,0,6297,4230,857,605,397,152,12,3892,3116,407,210,134,26,0,7367,5133,888,697,394,223,30,5383,3863,582,469,262,173,21,5383,3863,582,433,145,105,18,26,211
38105000211,835,751,26,5,51,8,1,618,568,15,1,33,5,1,2172,1580,283,218,1,49,37,1439,1192,131,101,1,9,0,2767,1716,435,346,138,86,12,1686,1301,205,115,37,20,0,2268,1165,472,406,3,173,17,1449,1033,282,163,0,9,0,3150,2061,486,379,162,41,19,2181,1493,318,242,86,31,11,2181,1493,318,219,18,43,10,6,74
38075000601,438,435,1,0,2,0,0,335,334,1,0,0,0,0,410,396,20,0,2,5,1,324,310,10,0,3,3,0,379,350,23,0,3,3,2,284,271,10,0,3,3,0,465,415,38,0,3,8,1,315,302,7,0,2,0,0,385,375,5,2,3,1,1,307,300,3,1,2,1,1,307,300,3,0,0,1,0,0,3
38023000204,260,247,7,0,4,4,0,224,214,4,0,4,4,0,353,310,21,10,13,22,0,274,245,16,9,9,9,0,311,293,9,4,12,9,0,241,228,7,3,9,9,0,301,284,9,2,8,7,0,236,223,5,0,11,4,0,314,299,6,3,8,2,1,235,222,4,2,7,1,0,235,222,4,0,0,2,0,0,7
38023000201,1070,1033,20,6,9,4,0,884,867,7,5,2,4,0,1040,993,0,0,15,31,0,898,898,0,0,0,0,0,1142,977,77,67,8,19,0,901,840,24,48,0,0,0,1175,1042,80,49,12,0,0,904,820,34,42,0,0,0,1065,948,29,34,37,21,5,824,754,17,17,25,12,2,824,754,17,8,9,6,0,1,29
38023000203,286,278,1,1,6,0,0,233,230,1,0,2,0,0,394,344,18,9,13,20,0,300,270,14,3,3,3,0,350,318,7,0,14,7,0,270,255,2,0,6,3,0,304,283,6,0,9,5,0,254,252,1,0,0,0,0,322,319,1,1,0,0,0,254,252,1,1,0,0,0,254,252,1,0,0,0,0,0,1
38075000605,619,589,8,10,2,11,1,478,462,5,3,2,7,1,726,638,68,13,8,12,2,502,462,34,0,4,4,0,772,662,87,13,5,10,2,525,489,38,0,0,4,0,611,581,0,15,5,20,7,469,436,0,0,3,4,0,626,569,8,16,22,7,3,477,434,8,7,20,4,2,477,434,8,2,0,8,0,0,25
38061000405,802,473,20,1,317,3,0,644,421,13,1,216,1,0,867,441,72,9,378,0,0,641,362,47,2,227,0,0,845,420,65,11,393,0,0,652,363,48,4,237,0,0,1784,627,192,27,1048,4,8,1343,621,119,17,592,3,6,1982,713,181,78,1058,18,1,1432,617,127,48,661,10,0,1432,617,127,36,7,573,0,2,70
