GEOID20,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_gov,D_2020_gov,R_2020_gov
38079000904,784,505,247,789,483,208,773,390,337,1112,843,268,1155,993,161,782,546,220,767,465,277
38079000902,441,233,197,442,212,181,440,155,259,532,327,205,541,400,139,448,259,179,447,212,224
38101003805,800,79,694,813,146,613,804,67,716,757,175,581,769,231,534,892,180,688,886,132,695
38101000404,252,44,200,259,50,193,252,25,222,217,51,166,215,79,136,254,54,192,248,49,167
38101000501,6456,1175,4993,6567,1632,4245,6543,851,5416,5682,1664,4007,5790,2328,3422,6550,1946,4371,6495,1481,4637
38101000401,768,93,660,777,110,611,779,63,680,711,137,573,713,196,513,796,129,653,790,93,635
38101000304,4055,733,3019,4124,966,2580,4091,600,3232,3408,1147,2247,3488,1458,1990,4066,1146,2745,4024,889,2780
38101000302,1075,134,892,1099,176,819,1090,95,937,957,222,732,968,317,644,1091,228,833,1087,172,825
38101003804,468,55,402,474,71,361,472,39,420,407,81,326,409,108,300,487,95,383,484,70,363
38101003806,3842,609,3049,3903,843,2658,3877,465,3233,3472,916,2551,3529,1284,2228,4255,1143,2991,4220,878,3072
38079000901,610,304,291,602,189,366,609,110,476,637,259,377,651,352,296,646,257,377,640,226,385
38101004003,3872,768,2873,3967,1027,2403,3929,641,3042,3518,1108,2395,3568,1482,2057,4474,1422,2848,4423,1072,3040
38101004002,23,4,16,25,4,16,23,3,18,15,4,11,15,5,10,21,5,15,21,4,15
38079000903,1354,1118,188,1367,1051,143,1338,929,312,2051,1786,260,2119,1986,131,1402,1222,162,1386,1101,256
38079000905,565,223,317,555,164,319,566,117,417,563,231,332,579,311,266,526,198,319,526,147,354
38091002302,238,58,175,233,81,123,238,54,174,200,72,128,203,124,77,243,84,146,241,82,152
38091002303,211,35,172,203,75,113,213,31,176,194,79,115,195,116,79,217,91,122,217,66,143
38063002301,1744,500,1185,1717,536,1025,1750,323,1343,1623,576,1045,1647,866,770,1777,586,1141,1777,504,1192
38025000403,309,31,272,315,33,268,313,24,280,272,32,239,274,57,216,329,33,295,326,28,256
38075000603,570,76,486,575,101,441,578,48,511,532,84,448,526,157,366,537,101,424,535,71,431
38023000202,299,67,223,300,70,198,301,35,252,287,71,216,292,135,156,285,71,205,283,58,208
38099001901,3196,517,2460,3169,777,2098,3207,498,2585,3038,801,2231,3099,1259,1822,3223,877,2259,3190,630,2398
38101000303,844,67,743,856,97,686,845,42,760,747,152,594,769,202,561,826,113,680,818,88,669
38025000402,208,14,187,214,20,182,212,12,192,202,32,170,202,41,160,208,26,179,205,25,163
38025003601,315,30,278,314,29,267,312,23,277,296,34,262,300,58,241,326,24,301,318,20,239
38025003602,235,17,212,232,23,197,237,15,213,211,25,185,210,51,155,253,32,215,247,21,182
38105000210,215,43,169,221,36,174,218,26,184,195,47,148,192,64,127,191,36,152,187,34,123
38105000104,2350,291,1958,2385,388,1813,2360,249,2006,2178,487,1681,2226,683,1524,2510,495,1937,2464,363,1867
38075000602,119,21,91,120,19,90,123,13,104,113,24,88,114,44,70,150,24,123,148,25,115
38105000208,1070,103,931,1085,112,925,1069,79,940,903,117,785,915,156,759,1187,122,1050,1155,93,811
38105000206,345,36,293,352,30,298,348,23,311,296,45,251,305,52,253,361,33,320,353,33,270
38105000101,1658,208,1337,1693,261,1263,1678,171,1389,1399,317,1080,1409,440,961,1723,300,1368,1682,214,1279
38105000203,1400,118,1210,1464,137,1204,1414,124,1204,1283,221,1060,1310,275,1032,1951,241,1652,1866,193,1438
38075000601,213,23,185,217,30,167,215,18,188,218,32,184,215,60,153,242,29,202,247,27,205
38023000204,157,28,121,158,17,121,163,12,143,180,35,144,177,56,120,159,23,136,159,18,123
38023000201,592,105,468,596,121,425,599,73,502,574,107,467,573,220,349,585,139,425,584,101,454
