GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
3117900009P,1416,1200,133,48,12,15,11,1166,1025,76,34,8,15,10,1151,993,91,54,13,12,0,1006,882,64,43,5,11,0,1228,1037,95,53,47,11,0,967,861,46,40,11,8,0,1251,1059,99,41,50,18,0,915,949,30,10,56,4,0,1480,1077,278,61,61,25,9,1164,900,168,50,32,23,3,1164,900,168,33,13,2,0,5,43
3117900013P,1407,1303,55,32,13,12,0,1116,1040,35,25,8,9,0,1033,1001,16,19,0,0,0,761,734,12,15,0,0,0,1038,846,176,17,1,0,0,714,661,48,9,0,0,0,907,696,191,22,1,0,0,651,590,42,21,0,0,0,1454,1257,120,42,26,3,2,1089,961,76,25,16,2,1,1089,961,76,19,2,1,0,2,28
3117900011P,1411,1313,40,37,13,15,2,1251,1172,33,32,9,10,2,1333,1116,113,82,23,20,0,1240,1074,70,66,12,19,0,1435,1245,73,81,42,18,0,1253,1109,51,60,20,16,0,1745,1577,51,71,41,32,0,1421,1152,63,67,0,25,0,1480,989,172,184,10,93,36,1326,861,151,182,7,93,35,1326,861,151,170,58,6,0,27,53
3114700005P,403,388,8,0,6,1,0,327,317,5,0,4,1,0,367,352,10,1,2,0,0,313,305,10,2,2,0,0,378,370,5,2,2,0,0,319,308,4,2,3,0,0,390,379,7,1,5,0,0,333,322,4,0,5,0,0,349,322,3,4,10,1,0,280,264,2,4,6,1,0,280,264,2,0,0,2,0,0,12
3114700004P,221,213,4,3,3,1,0,179,173,4,1,1,1,0,223,215,4,0,4,0,0,181,174,4,0,3,0,0,245,233,2,0,5,0,0,196,188,2,0,3,0,0,242,231,2,0,9,0,0,229,218,3,0,8,0,0,231,216,10,1,5,0,0,193,184,4,0,5,0,0,193,184,4,0,0,0,0,0,5
3117900012P,1420,1317,42,38,13,14,2,1253,1173,32,32,11,10,0,1868,1559,218,77,16,14,0,1432,1232,114,66,8,14,0,1612,1396,123,69,29,13,0,1321,1173,73,52,14,11,0,1545,1316,132,63,25,21,0,1307,1110,90,63,0,16,0,1559,1119,197,122,20,63,22,1337,966,146,115,15,63,19,1337,966,146,109,44,2,0,26,44
3110100010P,1030,913,88,9,20,8,0,762,690,51,3,9,6,0,1082,914,134,10,27,9,7,812,721,59,3,12,8,6,1137,939,134,16,58,18,5,831,736,44,4,34,3,2,1127,952,118,24,56,16,1,829,741,44,4,22,2,0,1164,948,146,22,28,19,8,877,739,97,10,20,12,2,877,739,97,5,10,0,1,0,25
3110100008P,1249,1161,75,2,8,4,0,955,907,43,1,5,3,0,1061,970,54,7,14,16,1,904,827,39,8,15,15,1,1008,887,92,12,3,14,1,884,789,66,12,2,15,1,1049,902,115,30,4,0,0,870,766,70,0,2,0,0,1256,1095,122,10,16,12,2,970,879,68,1,13,7,0,970,879,68,1,7,3,0,1,11
3110100006P,318,304,10,2,0,2,0,253,244,5,2,0,2,0,301,285,7,7,0,6,0,240,234,1,0,0,1,0,322,304,7,4,0,3,0,245,240,4,0,0,0,0,297,280,9,3,0,0,0,230,224,1,0,2,0,0,284,266,10,1,7,1,2,227,212,8,1,7,1,0,227,212,8,0,1,0,0,0,6
3110100003P,924,879,31,2,1,11,0,696,672,15,1,1,7,0,960,857,41,30,1,27,0,728,693,17,0,0,14,0,970,838,65,48,0,16,0,686,656,23,0,0,4,0,933,829,58,36,0,15,0,634,592,21,0,0,0,0,857,758,55,4,12,4,3,670,608,35,1,7,1,1,670,608,35,0,0,0,0,1,26
3118500001P,1171,1119,31,3,12,4,0,932,903,17,1,7,2,0,1168,1123,18,5,3,14,0,881,856,8,0,5,7,0,1192,1157,16,4,2,17,0,906,883,5,0,1,11,0,1116,984,95,74,0,7,0,833,794,40,35,1,0,0,1096,1029,31,10,22,6,3,845,797,22,4,16,5,3,845,797,22,1,0,0,0,1,24
3118500002P,613,604,3,4,3,0,0,471,466,1,2,3,0,0,604,572,6,0,5,12,0,476,447,1,0,6,11,0,650,617,5,0,2,13,0,510,485,1,0,2,12,0,558,535,8,0,1,7,0,447,453,0,0,3,4,0,591,568,8,5,4,2,1,475,458,3,5,3,2,1,475,458,3,1,0,0,0,0,13
3118500001W,1026,957,46,10,4,16,5,764,735,22,4,4,10,3,1112,1034,38,14,31,15,0,908,860,17,6,12,3,0,1061,987,40,13,24,13,0,843,802,21,3,9,3,0,1068,1005,43,15,20,8,0,783,782,12,1,8,1,0,1152,1100,19,8,25,3,4,854,817,14,2,20,3,4,854,817,14,2,1,0,0,2,18
3118500003W,1453,1340,71,18,5,17,3,1093,1041,25,5,2,11,2,1525,1376,88,37,20,8,0,1125,1064,31,12,5,2,0,1398,1250,89,42,19,7,0,1024,960,27,16,5,1,0,1377,1243,76,26,15,4,0,1033,977,28,5,6,2,0,1417,1199,105,37,48,18,4,1109,981,59,20,31,12,2,1109,981,59,14,9,2,2,2,40
3118500004P,967,942,15,8,1,1,0,759,749,8,2,1,0,0,949,911,17,4,8,20,0,724,699,8,0,9,16,0,979,941,15,6,6,17,0,758,735,6,1,5,16,0,995,942,35,16,4,14,0,752,727,5,4,1,16,0,1026,957,34,12,9,9,2,777,726,26,8,6,9,1,777,726,26,0,8,0,0,0,17
3118500012P,1403,1292,73,16,10,12,4,1080,1015,41,6,3,8,2,1433,1237,107,72,19,3,0,1060,955,44,56,8,3,0,1429,1214,117,75,30,0,0,1026,901,56,56,25,0,0,1196,1026,103,48,35,0,0,877,803,28,15,28,0,0,1348,1138,107,35,32,20,2,995,869,64,14,21,14,2,995,869,64,12,10,6,0,6,28
3100500001P,460,435,19,0,5,2,1,335,324,7,0,3,1,0,418,397,3,0,16,0,0,305,300,4,0,8,0,0,427,409,2,2,14,0,0,305,300,4,4,12,0,0,439,418,7,2,13,3,0,321,311,5,3,13,0,0,434,400,12,5,22,5,5,316,297,5,3,11,2,3,316,297,5,3,0,0,0,0,11
3110100004P,811,756,47,1,7,0,0,661,626,31,0,4,0,0,785,706,69,1,5,0,1,653,619,45,3,0,0,0,761,716,51,3,3,1,0,645,628,27,0,0,0,0,800,742,47,0,4,2,0,671,636,38,0,0,0,0,780,690,62,6,16,7,4,661,598,43,1,13,5,4,661,598,43,0,4,3,2,0,11
3108500001P,299,294,3,0,1,2,1,243,241,1,0,0,0,1,292,270,20,0,0,0,0,222,214,8,0,0,0,0,277,252,24,0,0,0,0,213,202,8,0,0,0,0,238,226,16,0,0,0,0,187,195,1,0,0,0,0,232,218,7,4,6,5,4,185,176,4,2,3,3,3,185,176,4,0,0,0,0,0,5
3108500003P,339,319,17,0,0,2,0,254,241,11,0,0,2,0,330,305,26,0,0,0,0,248,238,8,0,0,0,0,310,283,25,0,0,0,0,235,227,10,0,0,0,0,335,311,25,0,1,0,0,240,225,9,0,3,0,0,323,278,28,3,9,9,2,239,204,22,1,6,5,2,239,204,22,0,2,2,0,0,9
