GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
3117900009P,397,108,263,346,106,226,343,112,231,281,0,281,455,108,311,491,171,298
3114700005P,195,34,147,153,42,107,155,38,117,124,0,124,184,23,143,208,43,159
3114700004P,111,22,80,91,29,58,92,31,61,69,0,69,124,24,91,141,38,102
3117900012P,423,137,240,393,135,244,391,165,226,313,0,313,426,116,282,471,196,263
3110100010P,391,84,282,291,76,201,290,84,206,241,0,241,405,58,317,434,94,330
3110100006P,137,15,118,118,14,100,116,16,100,101,0,101,158,16,135,160,20,140
3110100003P,488,42,416,412,43,361,414,54,360,364,0,364,446,34,394,464,57,402
3118500001P,564,88,457,453,92,348,450,108,342,373,0,373,885,98,742,924,165,754
3118500001W,468,82,353,414,100,300,413,121,292,343,0,343,580,71,481,609,143,445
3100500001P,272,17,244,232,24,202,227,31,196,199,0,199,270,21,228,284,21,260
3110100004P,376,41,317,291,34,250,292,46,246,255,0,255,427,54,349,443,64,376
3108500001P,170,5,163,122,8,111,124,13,111,111,0,111,167,8,152,174,14,158
3112700008P,150,26,118,133,21,105,140,31,109,114,0,114,144,20,121,146,31,113
3112700009P,371,117,236,325,99,209,324,115,209,264,0,264,472,68,372,495,129,357
3102900002P,322,25,291,274,28,242,274,25,249,240,0,240,346,20,309,356,29,324
3112700004P,512,102,371,432,95,319,438,105,333,366,0,366,515,61,408,545,134,397
3110100001P,210,46,163,184,50,133,182,54,128,145,0,145,288,52,224,298,61,236
3102900003P,403,36,354,286,36,238,282,47,235,255,0,255,362,31,309,388,31,349
3109700005P,298,82,195,265,77,176,266,103,163,190,0,190,325,61,244,338,103,226
3102300001W,317,61,247,270,75,180,269,70,199,216,0,216,373,53,300,385,80,293
3102300005P,349,67,267,288,73,202,296,76,220,222,0,222,364,48,303,370,70,296
3102300002P,579,85,460,484,109,353,488,95,393,404,0,404,662,103,531,680,123,543
3110100005P,252,35,210,220,32,182,217,44,173,188,0,188,282,28,237,296,39,254
3110100007P,198,28,164,172,25,142,174,37,137,147,0,147,221,21,184,238,33,202
3118500007P,449,63,359,340,75,253,343,77,266,305,0,305,313,41,256,320,49,260
3118500004W,403,90,281,298,85,206,298,89,209,242,0,242,465,81,355,484,154,317
3118500006P,274,49,209,227,44,178,227,50,177,187,0,187,640,90,525,678,128,541
