GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
33003FREE01,1489,1467,8,5,5,4,0,1256,1239,5,3,5,4,0,1353,1337,0,0,12,4,0,1155,1145,0,0,10,0,0,1349,1332,0,0,12,5,0,1165,1150,0,0,10,0,0,1304,1250,0,0,41,13,0,1092,1053,0,0,40,1,0,1689,1607,12,1,31,21,1,1503,1444,6,1,21,14,1,1503,1444,6,0,5,0,0,4,44
33003WAKE01,5078,4910,45,30,40,57,1,4055,3955,28,12,29,31,1,5110,5039,58,0,2,11,0,4290,4265,22,0,2,0,0,5158,5110,48,0,1,0,0,4419,4394,20,0,2,0,0,5049,5015,31,0,1,0,0,4316,4299,14,0,0,0,0,5201,4881,65,35,105,50,7,4298,4073,47,13,81,36,4,4298,4073,47,12,20,7,1,15,123
33017MIDD01,1783,1727,15,10,20,15,0,1361,1321,12,7,15,9,0,1768,1702,14,36,16,0,0,1380,1350,4,4,15,0,0,1783,1682,27,30,21,23,0,1420,1340,25,20,20,10,0,1454,1318,38,39,16,43,1,1170,1076,39,20,9,26,0,1823,1714,15,19,32,10,0,1451,1373,13,8,24,7,0,1451,1373,13,6,7,3,0,1,48
33003EFFI01,1465,1416,19,8,19,5,0,1175,1142,9,5,14,4,0,1537,1484,0,0,53,0,0,1185,1155,0,0,30,0,0,1630,1510,24,0,67,29,0,1265,1185,20,0,30,30,0,1647,1518,51,14,49,15,0,1285,1178,45,15,23,15,0,1691,1578,28,12,44,16,0,1389,1295,23,12,32,15,0,1389,1295,23,4,11,9,0,7,40
33003BART01,2788,2702,25,14,35,14,1,2303,2247,16,8,27,7,1,2876,2807,17,17,27,4,0,2630,2561,19,16,31,3,0,2830,2804,17,3,0,4,0,2563,2540,19,6,0,3,0,2886,2816,37,15,17,12,0,2699,2625,39,4,3,10,0,3200,3041,38,30,55,25,3,2807,2691,33,21,30,20,1,2807,2691,33,8,14,4,0,8,49
33003CONW01,10131,9743,106,73,93,120,10,8135,7869,70,37,74,86,7,10155,9703,204,27,136,110,0,7961,7598,189,29,108,45,0,10186,9785,240,1,142,36,0,7983,7646,184,4,123,20,0,10225,9684,246,1,243,67,0,8489,7957,232,4,220,54,0,9822,9099,176,61,194,185,10,8231,7669,138,54,146,127,7,8231,7669,138,22,107,29,1,26,239
33003TAMW01,2858,2773,21,19,38,13,1,2328,2265,12,11,35,11,1,2963,2850,61,14,14,19,0,2401,2376,11,7,5,2,0,2941,2826,37,3,35,39,0,2333,2290,0,0,26,15,0,3019,2857,25,2,62,71,0,2358,2266,0,0,60,15,0,2812,2635,35,14,58,30,2,2369,2232,23,6,53,20,1,2369,2232,23,3,14,6,0,17,74
33003MOUL01,4055,3945,42,15,23,34,1,3301,3224,32,8,17,21,1,4077,3858,68,0,25,106,13,3330,3190,10,0,25,90,15,4099,3898,53,1,29,98,12,3460,3345,10,0,30,70,10,4131,4041,26,1,0,46,0,3507,3460,4,0,0,32,0,4918,4575,105,29,83,72,9,4279,4024,64,19,73,52,4,4279,4024,64,10,35,8,0,28,110
33003SAND01,1326,1293,6,8,11,11,1,1110,1083,5,5,11,7,1,1321,1251,11,42,3,14,0,1160,1095,4,39,4,15,0,1440,1361,11,50,0,18,0,1260,1190,4,44,0,20,0,1535,1515,3,7,0,10,0,1364,1345,4,4,0,9,0,1466,1395,18,8,23,7,0,1262,1201,13,5,21,7,0,1262,1201,13,0,4,4,0,1,39
33001ALTO01,5256,5126,59,14,26,29,3,4145,4061,36,11,18,19,1,5298,5195,46,39,0,20,0,4100,4055,20,20,0,0,0,5303,5170,85,20,17,30,0,4135,4065,65,0,4,0,0,5331,5193,64,16,86,0,0,4335,4209,38,0,75,0,0,5894,5538,67,34,141,53,3,4942,4684,43,24,99,46,3,4942,4684,43,14,40,11,0,28,122
