GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2018_gov,D_2018_gov,R_2018_gov
33003FREE01,958,425,476,925,411,493,945,438,484,1079,583,475,1090,538,538,1080,333,732,801,347,443
33003WAKE01,2789,873,1741,2711,889,1657,2745,973,1622,3235,1420,1729,3270,1240,1986,3292,724,2539,2055,638,1387
33003EFFI01,859,317,481,833,352,438,850,352,430,924,438,467,926,391,526,925,271,640,626,246,371
33003BART01,1951,1094,730,1912,1018,835,1934,1082,809,2147,1415,713,2170,1374,773,2142,896,1232,1704,910,775
33003TAMW01,1630,739,761,1573,723,757,1606,805,707,1766,962,752,1768,899,838,1763,644,1094,1322,619,676
33003MOUL01,3240,1148,1888,3175,1130,1950,3211,1181,1948,3634,1700,1899,3646,1605,1997,3609,855,2739,2645,860,1764
33001ALTO01,3543,1152,2201,3478,1163,2166,3514,1192,2204,3886,1597,2217,3903,1438,2420,3892,757,3093,2693,745,1932
33001BELM01,3705,1272,2192,3635,1411,2045,3690,1503,2008,4011,1875,2022,4052,1609,2365,4014,813,3133,2710,858,1818
33001NEWH01,1381,544,737,1352,589,704,1362,561,741,1524,763,721,1534,697,810,1526,440,1065,1130,453,653
33001LACO01,1436,561,784,1411,556,805,1434,598,794,1749,861,863,1772,773,976,1754,421,1317,1268,436,818
33001LACO03,1475,697,688,1453,687,711,1487,721,714,1403,830,550,1463,824,617,1461,472,970,1044,457,575
33001GILM01,2283,788,1333,2212,867,1241,2261,898,1241,2474,1151,1262,2478,1020,1423,2462,622,1808,1738,593,1116
33015FREM01,2754,965,1591,2703,990,1580,2739,1060,1533,2805,1275,1456,2839,1151,1635,2827,635,2154,2047,661,1350
33015WNDM01,8890,3507,4825,8730,2998,5447,8864,3382,5226,9787,4738,4876,9900,4567,5196,9746,2403,7241,6673,2384,4218
33015DERR02,4170,1678,2277,4072,1606,2236,4164,1775,2149,4356,2189,2060,4410,2021,2320,4374,1223,3087,2814,1133,1633
33015DERR01,4230,1709,2309,4134,1631,2267,4229,1804,2177,4407,2212,2088,4475,2054,2354,4434,1244,3127,2852,1149,1653
33015DERR03,4277,1724,2335,4177,1648,2289,4281,1824,2205,4473,2246,2121,4517,2074,2379,4484,1256,3164,2895,1168,1678
33015DERR04,4236,1714,2316,4146,1634,2273,4246,1808,2190,4438,2231,2105,4492,2066,2359,4445,1244,3141,2870,1155,1668
