GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
35009000036,461,296,148,11,7,0,0,330,230,93,3,5,0,0,390,254,122,0,15,1,0,291,199,71,0,15,1,0,425,254,146,0,20,0,0,302,206,80,0,17,0,0,369,215,139,0,11,0,0,265,210,66,0,21,0,0,400,217,160,8,19,4,0,300,184,99,3,15,1,0,300,184,99,1,0,4,0,1,11
35009000028,912,206,667,22,20,5,0,631,166,441,11,13,4,0,1091,201,743,47,114,6,2,513,128,296,45,35,4,4,985,223,626,53,98,8,1,498,163,235,55,40,10,4,784,209,539,29,13,6,0,396,162,207,29,0,4,0,789,178,584,22,24,5,0,573,149,399,19,16,3,0,573,149,399,11,0,0,0,2,12
35009000035,849,700,130,1,13,4,3,668,562,91,0,10,2,3,845,592,213,18,5,6,23,635,517,89,10,1,3,23,854,616,185,22,10,6,31,667,528,101,11,4,3,31,820,670,118,27,10,11,0,655,610,49,12,5,2,0,1068,789,195,44,22,23,2,808,631,130,18,15,9,1,808,631,130,14,4,5,0,2,22
35045000030,1471,807,262,22,405,10,0,1002,656,166,8,182,4,0,1511,991,282,27,199,51,15,1157,840,170,26,107,13,0,1584,969,295,18,284,59,16,1150,819,170,17,122,19,0,1307,881,159,0,284,35,0,939,724,77,0,105,24,0,1395,868,247,23,227,43,4,1020,683,150,12,146,32,4,1020,683,150,5,15,120,0,5,42
35045000109,1418,634,289,30,496,12,3,1011,526,178,18,293,9,1,1264,338,304,57,569,5,12,778,302,99,32,336,1,0,1253,351,215,30,677,6,0,838,324,86,22,401,1,0,1379,303,304,73,767,1,0,862,212,135,102,443,1,0,1402,306,321,51,728,14,2,1029,254,251,48,465,11,2,1029,254,251,37,7,440,1,10,29
35006000022,563,5,17,1,548,4,1,411,5,12,1,398,2,1,539,2,16,5,530,0,0,447,2,16,0,434,0,0,513,2,11,0,511,0,0,436,2,10,0,425,0,0,747,2,9,1,745,0,0,569,3,6,0,581,0,0,532,3,11,0,511,0,1,422,3,9,0,404,0,1,422,3,9,0,0,400,0,9,1
35006000021,811,6,37,2,790,0,0,575,6,24,1,558,0,0,702,14,23,5,675,0,0,569,12,22,0,534,0,0,697,22,15,1,667,0,0,557,22,13,0,520,0,0,815,25,11,1,783,0,0,576,0,8,0,511,0,0,804,0,18,2,712,1,0,581,0,12,2,514,0,0,581,0,12,0,0,499,0,59,11
35006000020,1262,12,72,1,1236,5,2,899,12,31,1,876,4,2,1344,1,39,7,1324,6,0,1009,1,31,6,965,6,0,1345,10,23,15,1327,6,0,1009,9,16,10,973,6,0,1267,13,33,19,1252,1,0,934,5,28,25,899,1,0,1285,5,62,5,1229,5,7,944,5,34,4,892,3,7,944,5,34,0,2,863,5,25,10
35006000004,864,530,184,10,159,3,2,664,424,136,4,110,1,2,607,387,142,36,52,18,18,486,313,99,36,27,0,0,462,214,150,60,37,27,22,436,220,118,63,10,5,0,403,257,115,22,33,4,0,386,268,86,0,7,0,0,662,374,158,6,134,5,1,539,320,115,2,108,5,1,539,320,115,0,1,76,0,0,27
35006000006,258,138,65,1,53,0,2,211,123,50,0,37,0,2,173,110,41,5,11,3,3,136,84,25,5,3,0,0,131,66,42,17,6,4,3,123,64,36,15,3,0,0,198,130,58,10,14,0,0,183,130,39,31,1,0,0,316,166,82,10,71,2,0,247,145,55,8,45,1,0,247,145,55,1,0,33,0,0,13
