GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen
32001000016,413,137,236,416,128,243,490,199,270,360,136,190,360,117,210,362,108,230,363,119,220
32001000009,403,77,297,403,86,281,485,119,348,376,89,249,374,56,274,374,66,278,376,66,284
32001000014,541,91,401,544,88,415,621,100,500,487,82,356,486,64,386,488,69,382,488,77,392
32019000005,89,16,66,90,16,68,45,15,28,36,10,24,35,9,22,36,10,22,36,5,22
32001000010,793,136,607,794,138,595,931,174,738,748,146,534,749,114,581,752,121,587,753,131,588
32001000017,908,171,647,911,148,688,1112,231,858,799,182,538,795,132,583,798,143,577,799,148,580
32019000006,1081,246,743,1092,259,773,1310,318,966,1056,278,714,1053,203,785,1053,205,758,1054,226,766
32019000001,541,141,338,548,131,375,669,170,482,499,132,328,497,109,350,500,105,340,501,112,351
32019000008,309,52,243,312,56,248,346,68,269,283,51,217,282,36,235,284,38,235,285,41,237
32019000014,773,210,505,779,199,532,1675,472,1171,1193,362,738,1192,272,826,1198,304,825,1200,328,825
32019000013,1916,514,1233,1933,505,1281,1527,406,1088,978,286,617,974,234,669,984,258,663,982,255,680
32510000109,1172,470,622,1183,483,607,1564,702,824,1266,563,647,1262,460,715,1264,521,678,1268,519,697
32510000307,1557,699,685,1574,716,689,1885,933,874,1301,650,536,1303,575,600,1303,618,592,1304,606,607
32001000019,516,99,381,516,93,391,641,117,504,473,103,336,473,78,353,474,82,360,475,85,361
32001015-09,2,0,2,2,0,2,3,0,3,2,0,2,2,0,2,2,0,2,2,0,2
32001000006,458,114,314,461,101,317,511,129,363,381,102,260,380,85,276,382,83,275,381,90,275
32019000023,643,163,409,652,160,451,816,230,554,550,172,339,553,130,381,556,134,379,558,146,377
32019000015,758,258,432,759,243,448,898,318,556,572,224,300,568,199,327,574,204,328,574,213,338
32019000040,678,202,403,687,199,440,789,233,523,526,153,329,520,122,353,529,132,353,527,145,344
32019000038,830,224,533,834,221,553,1034,274,714,685,191,447,686,162,469,684,179,467,686,174,472
32019000039,977,254,657,986,246,677,1148,320,803,798,221,536,797,175,573,803,200,567,801,199,562
32019000037,486,134,310,489,136,312,897,260,610,482,139,317,482,120,320,484,128,331,485,141,322
32510000409,1058,475,504,1063,465,480,1232,607,585,997,504,426,997,439,477,1000,486,468,1001,473,488
32001000002,613,157,391,620,186,370,793,267,497,523,187,298,522,158,326,526,156,330,524,178,315
32015000009,78,15,55,79,15,59,90,24,61,71,20,46,69,16,46,71,18,48,71,23,47
32015000002,472,101,309,478,107,328,550,145,390,395,103,242,394,94,249,397,85,266,397,92,268
32015000005,541,88,381,542,86,413,710,120,569,514,97,364,513,80,383,512,69,385,515,75,388
32015000006,86,4,77,86,6,70,75,8,63,59,5,49,59,4,53,58,4,52,57,4,52
32015000004,583,79,451,593,68,490,638,70,556,507,70,382,506,62,403,508,51,413,506,57,424
32011000003,128,12,103,129,7,114,159,16,138,115,14,86,115,10,97,117,11,94,117,14,98
32005000017,1202,298,847,1212,290,848,1404,377,999,1115,279,780,1118,229,828,1121,242,832,1119,253,821
32005000014,719,156,528,723,150,526,897,219,656,681,169,474,682,139,505,691,159,509,690,167,509
32005000002,1148,300,784,1160,297,774,1392,406,951,1041,279,702,1042,237,755,1048,250,746,1052,273,737
32005000012,117,65,30,117,70,26,142,97,40,81,61,15,82,59,15,82,60,16,82,59,16
32019000022,282,61,191,284,59,206,346,82,258,263,79,163,262,65,181,265,64,185,265,69,188
32015000003,137,25,92,137,25,107,169,36,133,142,33,86,141,23,102,143,28,102,144,29,106
32015000001,381,81,261,382,79,270,415,77,326,311,74,199,312,51,227,311,43,241,312,54,234
32031008238,973,292,656,975,328,583,1141,408,711,949,310,593,952,290,630,956,329,606,957,322,618
32031004045,530,253,205,537,272,195,614,345,243,463,270,151,462,236,171,465,266,166,466,274,162
32031004016,985,492,385,996,504,364,1339,746,544,809,458,283,809,422,323,814,441,312,815,465,303
32031004038,464,231,189,470,241,190,569,312,236,396,218,158,394,194,172,396,213,166,398,215,166
