GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
39061031AKJ,1147,401,13,701,8,33,0,1023,393,10,591,6,28,0,1337,457,24,828,2,45,0,1188,423,7,729,2,29,0,1241,427,7,741,2,65,2,1104,409,8,650,2,33,0,1172,329,7,789,4,43,1,1001,326,5,641,2,14,0,1234,432,44,706,11,35,4,1098,419,36,597,8,22,4,1098,419,36,571,14,2,1,2,53
39061031ABK,1717,1563,28,89,11,29,0,1329,1242,19,41,9,21,0,1619,1514,20,63,0,21,0,1241,1190,12,24,0,13,0,1616,1533,12,57,0,13,0,1243,1213,6,21,0,6,0,1456,1372,19,51,2,9,0,1168,1137,10,14,2,4,0,1505,1295,46,90,28,46,2,1207,1052,31,62,22,35,2,1207,1052,31,52,23,0,0,3,46
39061031BAE,910,859,15,22,3,14,0,658,626,7,13,1,12,0,1078,899,132,39,21,2,0,691,633,26,11,6,1,0,1256,1045,133,51,17,21,0,777,705,28,23,6,5,0,1140,1016,78,16,5,25,0,705,640,26,12,0,7,0,1040,896,29,52,22,40,1,760,663,18,43,18,19,1,760,663,18,37,11,1,0,2,28
39061031AEK,1199,1103,39,22,18,26,0,898,832,27,17,15,18,0,1185,1038,48,30,0,32,29,867,801,20,9,1,2,26,1162,1022,44,32,0,51,9,823,773,21,9,1,11,9,1107,998,18,39,3,39,7,832,774,14,9,3,31,5,1241,1079,40,57,29,48,0,929,818,26,33,21,39,0,929,818,26,19,25,0,0,2,39
39061031BKQ,1650,1068,26,523,6,22,3,1238,852,18,347,3,16,2,1573,775,0,637,1,160,0,1239,684,0,444,3,110,0,1624,650,0,781,1,193,0,1266,570,0,556,3,140,0,1365,620,0,611,1,134,0,1072,530,0,455,3,100,0,1722,768,48,759,18,122,0,1291,633,36,524,12,75,0,1291,633,36,487,73,2,0,10,50
39061031BLU,1570,804,27,715,17,30,1,1167,662,16,470,10,20,1,1649,1156,21,464,0,0,0,1369,1000,14,354,0,0,0,1623,1168,25,422,0,0,0,1318,957,17,341,0,0,0,1762,1149,19,578,0,0,0,1462,764,0,637,0,1,0,1617,778,73,697,26,52,1,1277,648,56,530,16,38,1,1277,648,56,502,33,4,0,3,31
39061031BMA,1570,1252,22,264,5,20,1,1209,1010,12,166,4,18,1,1187,1106,0,82,0,0,0,963,881,0,84,0,0,0,1240,1089,0,141,0,11,0,1006,857,0,142,0,10,0,1233,979,0,244,0,10,0,1060,899,0,190,0,9,0,1501,1051,35,286,38,98,0,1195,896,21,180,29,61,0,1195,896,21,168,56,6,0,11,37
39061031AYG,1693,1164,21,466,16,40,0,1178,836,9,307,11,24,0,1768,1114,51,540,12,26,1,1239,832,15,370,1,16,0,1648,1097,15,469,8,58,1,1235,819,10,354,1,43,0,1721,1077,5,561,4,72,1,1261,779,4,448,4,80,0,1738,1187,53,401,19,65,2,1217,840,20,303,9,41,1,1217,840,20,285,35,0,0,6,31
39061031AOO,1837,1696,31,99,7,9,0,1388,1303,20,60,5,6,0,1635,1202,30,361,31,28,0,1284,1001,13,244,14,13,0,1799,1367,26,357,32,34,0,1376,1103,13,242,14,13,0,1782,1340,47,361,18,38,0,1307,999,19,273,4,13,0,2028,1462,91,420,42,21,3,1464,1115,42,273,24,11,3,1464,1115,42,239,4,1,0,3,60
39061031BQN,1675,1148,29,422,7,68,0,1514,1104,28,307,7,68,0,1597,1102,109,334,15,72,9,1443,1026,94,263,10,35,0,1683,1110,91,449,13,49,3,1565,1090,75,331,15,40,0,1860,1224,48,517,16,56,3,1696,1216,19,412,15,25,0,1815,1231,78,392,28,90,7,1636,1157,61,312,23,81,5,1636,1157,61,277,64,1,1,6,69
