GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
40079000102,470,75,385,461,104,338,338,101,228,336,83,247,338,78,260,496,84,391,499,82,412
40113000113,54,17,37,53,17,33,41,23,18,41,19,22,40,16,24,53,14,35,55,14,40
40113000102,165,31,126,165,34,125,141,45,92,142,36,103,142,39,103,195,22,165,196,24,167
40113000101,192,28,153,188,30,144,137,27,100,136,22,107,136,20,116,189,19,164,194,20,174
40079000301,347,92,241,342,110,212,265,141,116,263,113,139,257,107,150,331,106,213,335,95,234
40079000107,910,149,726,893,168,654,693,179,498,689,156,514,691,152,539,1018,155,822,1031,147,865
40079000109,791,139,623,781,185,524,559,176,366,555,137,405,555,143,412,831,121,676,838,124,700
40079000111,704,97,584,694,136,502,492,143,338,488,111,361,483,109,374,788,114,638,794,113,673
40079000110,635,114,499,618,178,383,399,149,238,395,109,277,396,125,271,622,112,486,629,98,521
40079000204,789,179,567,779,202,527,584,226,340,576,189,374,572,189,383,865,189,640,871,182,667
40079000211,633,95,515,615,139,435,475,167,295,468,122,335,469,138,331,653,117,514,658,100,553
40079000310,651,113,513,637,162,436,509,209,282,502,153,341,502,158,344,706,133,542,713,129,564
40113000107,1085,304,705,1083,277,716,873,393,440,869,321,518,870,313,557,1080,357,673,1077,323,719
40113000108,645,196,406,635,199,371,535,250,259,529,210,300,532,209,323,664,208,420,665,193,457
40113000103,276,44,220,273,40,209,208,52,143,207,44,152,206,48,158,271,47,211,272,45,219
40113000112,472,88,367,465,86,350,381,104,264,375,84,283,375,85,290,561,96,442,565,86,474
40113000306,487,90,383,484,89,368,408,110,288,405,94,301,405,108,297,531,99,412,533,79,448
40037000143,906,258,579,895,242,580,668,274,369,659,241,391,655,241,414,926,308,555,926,304,593
40037000421,1007,237,724,1006,200,752,815,266,527,809,222,574,801,218,583,1054,294,722,1055,303,732
40037000408,385,48,315,384,40,317,324,82,231,317,59,244,319,59,260,452,75,359,454,58,384
40037000411,551,119,407,544,120,381,412,132,263,410,100,291,410,117,293,523,103,396,532,93,429
40037000410,235,17,204,234,24,198,186,28,149,185,23,151,185,31,154,253,30,218,254,23,229
40037000211,414,126,275,413,116,262,314,132,172,315,118,187,316,115,201,427,126,281,429,130,292
40113000204,746,176,529,745,172,540,575,213,345,574,170,389,571,191,380,828,214,573,833,194,626
40113000205,212,66,140,213,65,137,185,63,116,185,59,123,185,59,126,266,86,158,267,85,174
40049000007,462,96,354,465,79,366,392,152,224,388,109,266,386,109,277,480,128,342,479,112,353
