GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
42035000100,1008,986,3,5,5,9,0,790,777,1,1,5,6,0,1075,1014,41,0,1,19,0,878,846,20,0,0,11,0,1035,976,37,0,1,21,0,837,806,25,0,0,11,0,1003,938,42,0,2,21,0,831,791,30,0,0,10,0,1005,955,6,5,16,15,3,827,787,5,5,12,13,3,1008,958,6,5,16,15,3,827,787,5,1,9,0,0,1,24
42099000250,2502,2439,13,9,15,22,7,1783,1750,12,2,9,9,5,2494,2410,22,7,47,8,0,1735,1695,4,4,20,10,0,2514,2423,29,8,46,8,0,1730,1695,10,10,4,10,0,2516,2457,9,6,45,0,0,1735,1712,8,4,7,0,0,2597,2496,35,15,32,14,5,1924,1867,17,12,16,13,2,2603,2502,35,15,32,14,5,1924,1867,17,2,3,2,0,7,26
42099000260,999,962,15,10,11,2,0,674,657,2,4,9,2,0,1163,1134,12,1,14,1,0,854,838,2,0,16,2,0,1096,1053,21,2,15,5,0,818,791,10,0,12,2,0,1105,1077,12,2,2,11,0,743,736,4,0,1,0,0,1017,991,12,5,8,1,0,694,677,4,4,7,0,0,1017,991,12,5,8,1,0,694,677,4,2,0,0,0,6,5
42099000040,5269,5108,73,40,28,26,1,4069,3980,38,14,18,21,0,5265,5083,65,117,0,0,0,4265,4145,40,85,0,0,0,5290,5139,0,129,22,0,0,4275,4165,0,85,20,0,0,5323,5147,0,144,32,1,0,4467,4394,0,40,32,4,0,5238,4922,72,55,113,40,10,4204,3977,52,30,82,32,7,5248,4931,72,64,113,42,10,4204,3977,52,15,11,7,2,15,125
42099000150,2534,2392,62,40,24,21,3,2028,1938,32,28,18,12,3,2543,2343,95,51,15,23,0,1965,1845,59,34,18,19,0,2543,2319,122,46,4,31,9,1985,1860,70,24,4,25,0,2550,2391,89,26,2,24,13,1962,1879,46,21,2,18,0,2652,2370,95,85,69,27,7,2112,1916,63,56,51,22,6,2656,2373,95,86,69,27,7,2112,1916,63,39,6,10,0,0,78
42099000020,1247,1176,16,30,2,23,0,893,870,6,7,2,7,0,1487,1362,64,48,68,55,49,1095,1075,0,0,4,4,0,1443,1303,58,62,78,69,62,1045,1015,0,4,4,4,0,1268,1087,83,100,92,63,54,968,880,29,19,13,8,0,1219,1146,21,16,21,9,1,968,924,9,10,13,8,1,1221,1148,21,16,21,9,1,968,924,9,7,7,2,0,2,17
42003005041,743,202,10,530,7,4,5,517,174,4,337,6,2,3,642,209,31,401,7,0,0,475,187,17,266,3,0,0,629,235,25,369,7,0,0,495,202,13,280,3,0,0,568,148,14,410,6,0,0,479,144,13,322,0,0,0,631,149,14,467,21,1,0,464,122,11,331,10,1,0,643,151,14,477,21,1,0,464,122,11,303,0,0,0,2,26
42003000430,371,360,3,1,3,3,0,263,257,1,1,1,2,0,343,328,5,4,0,10,0,260,255,4,0,0,4,0,393,375,5,6,0,11,0,275,270,4,4,0,4,0,321,310,0,5,0,10,0,228,225,0,4,0,4,0,400,379,1,7,3,4,0,295,279,0,5,1,2,0,400,379,1,7,3,4,0,295,279,0,2,0,0,0,1,13
42003000411,1228,1134,7,65,2,20,0,912,852,6,41,1,12,0,1306,1207,11,47,2,31,0,986,931,10,32,4,8,0,1323,1231,7,42,3,34,0,1002,962,4,24,4,10,0,1301,1218,6,39,0,31,0,987,954,4,24,0,10,0,1297,1132,33,92,8,23,2,970,869,22,55,8,9,1,1298,1133,33,92,8,23,2,970,869,22,42,7,4,1,1,24
42003002571,843,807,14,10,9,7,0,672,651,11,3,2,6,0,888,820,0,67,0,1,0,677,677,0,0,0,0,0,878,796,0,81,0,1,0,680,679,0,0,0,0,0,822,726,0,94,0,2,0,612,604,0,0,0,8,0,902,820,18,17,22,22,1,708,655,15,7,12,16,1,902,820,18,17,22,22,1,708,655,15,3,8,0,0,0,27
