GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag
44009442005,1908,947,856,2122,1203,892,2046,1309,734,1659,871,785,1647,796,664,1598,977,499,1467,1200,0
44009443209,856,470,302,988,618,351,951,651,300,725,450,274,714,407,234,682,413,203,646,513,0
44009443603,1902,978,772,2090,1276,779,1987,1347,639,1597,1033,562,1599,970,465,1551,979,457,1429,1117,0
44009443607,1331,581,658,1563,787,744,1495,854,640,1096,601,493,1090,562,410,1063,582,394,982,730,0
44009442305,1117,540,473,1287,749,505,1260,808,451,995,529,465,993,470,415,957,526,335,897,755,0
44009442902,2014,830,1029,2357,1090,1208,2279,1196,1076,1585,773,807,1580,654,709,1565,749,666,1445,1008,0
44009442303,1917,921,838,2086,1187,848,2025,1274,748,1591,901,689,1579,779,622,1540,898,516,1447,1165,0
44009442901,2120,887,1031,2463,1265,1137,2388,1370,1017,1718,886,831,1707,719,779,1677,793,709,1525,1120,0
44009441103,1463,571,770,1668,800,832,1614,869,745,1222,558,662,1214,491,601,1181,540,514,1045,767,0
44009441102,1082,422,583,1221,557,632,1181,602,578,899,424,474,897,322,456,865,379,396,794,541,0
44009442003,1949,1056,749,2228,1348,848,2176,1439,735,1752,1016,732,1748,869,714,1694,1030,525,1571,1279,0
44009443604,1864,847,888,2097,1189,863,2011,1202,808,1527,839,686,1520,851,549,1473,819,546,1291,983,0
44009440503,1105,558,462,1297,725,548,1238,743,494,923,542,380,917,507,327,900,514,318,821,637,0
44009443210,1315,747,466,1531,1005,500,1483,1037,441,1141,745,394,1133,662,346,1104,716,298,1037,857,0
44009440504,848,432,370,1090,622,447,1050,659,391,823,478,343,819,471,285,796,477,258,714,557,0
44009443202,1606,947,525,1764,1189,529,1719,1230,485,1350,868,478,1333,758,432,1298,832,330,1196,1015,0
44009442001,215,117,88,238,139,96,234,158,76,195,116,79,195,107,71,185,127,41,171,148,0
44009443606,1593,717,746,1840,984,806,1745,1081,660,1243,746,496,1248,689,433,1205,692,404,1110,814,0
44009442306,1082,540,447,1249,740,469,1222,780,441,932,533,397,926,451,353,905,526,299,849,703,0
44009442002,2049,1059,804,2192,1325,822,2125,1458,664,1748,1047,696,1719,868,634,1685,1036,470,1583,1299,0
44003440905,1946,976,853,2125,1251,818,2074,1307,765,1661,877,781,1663,831,705,1619,900,582,1490,1194,0
44003443514,1973,919,903,2260,1238,967,2175,1358,815,1649,927,718,1645,697,746,1607,929,547,1526,1190,0
44003443809,1320,636,622,1566,841,695,1499,920,578,1084,592,491,1084,481,506,1061,613,363,994,773,0
44003443520,1442,680,660,1727,913,776,1667,1048,616,1163,685,476,1157,528,504,1143,660,373,1083,809,0
44003443519,1967,864,941,2206,1135,1013,2126,1275,846,1591,876,713,1585,678,723,1545,868,543,1437,1066,0
44009442304,1910,957,796,2079,1135,894,2017,1242,771,1601,904,696,1592,766,664,1559,889,532,1445,1148,0
44003443701,1081,383,600,1241,523,695,1202,590,611,861,376,485,861,266,493,844,359,417,772,540,0
44003443530,1766,877,785,2038,1230,778,1982,1330,648,1543,859,678,1536,720,636,1487,878,490,1385,1101,0
44003443532,742,357,334,873,495,363,841,538,302,562,334,227,565,268,242,550,328,183,509,398,0
44003443503,929,487,379,1080,616,436,1040,687,352,764,448,313,765,371,298,753,474,217,699,559,0
44003443511,1647,829,725,1855,1062,762,1778,1157,617,1367,789,577,1358,638,551,1321,761,434,1246,952,0
44003443501,1947,1059,741,2134,1338,742,2087,1431,656,1783,1044,737,1772,875,720,1723,1046,518,1651,1317,0
44003440616,1322,525,711,1469,634,796,1406,749,657,1072,522,547,1075,435,535,1039,532,409,976,716,0
44003440904,1823,917,746,2109,1260,804,2067,1333,733,1604,916,685,1593,799,652,1551,934,506,1428,1165,0
44007442826,1252,1111,96,1128,936,176,1005,878,118,808,753,51,816,702,58,792,711,36,776,705,0
44007443001,1964,648,1192,2238,884,1307,2149,1046,1097,1757,699,1058,1764,546,1030,1700,727,828,1530,1121,0
44007440811,1483,767,619,1668,907,728,1558,1001,554,1172,708,460,1181,594,430,1166,778,283,1076,864,0
44007443002,2020,662,1199,2296,935,1316,2223,1115,1104,1713,693,1019,1739,523,1060,1651,657,837,1483,1026,0
44007442824,1587,1313,208,1534,1176,340,1439,1192,243,1265,1105,158,1278,960,215,1223,1042,114,1183,1041,0
44007440305,1031,355,591,1298,524,730,1264,596,665,863,369,492,861,252,504,845,380,391,774,508,0
44007442501,1447,564,768,1685,763,880,1627,863,763,1166,549,617,1162,458,587,1140,596,459,1039,745,0
44007440702,1093,678,351,1307,824,462,1228,903,322,814,567,246,825,441,315,793,546,199,754,615,0
44007442812,1018,777,188,1121,867,232,1054,870,181,754,636,116,756,574,116,743,600,93,716,616,0
44007440303,1592,574,899,1948,807,1100,1870,885,983,1365,600,763,1361,442,762,1335,623,592,1231,805,0
44007442618,1529,896,540,1829,1121,669,1694,1200,491,1261,825,433,1257,675,388,1239,844,291,1182,944,0
44007442805,1907,1606,201,1994,1776,180,1931,1733,192,1697,1476,216,1697,1442,185,1625,1340,143,1590,1477,0
44007440721,1466,873,495,1603,1000,556,1531,1066,462,1211,803,408,1223,583,548,1183,751,337,1095,906,0
44007440707,1675,663,918,1897,838,1022,1843,1028,812,1521,699,817,1525,409,1023,1465,739,603,1346,1051,0
44007441202,1180,438,653,1329,575,729,1272,610,660,994,435,557,996,353,532,983,349,371,861,580,0
44007440401,821,675,105,805,606,176,708,585,122,453,383,66,449,331,74,440,374,48,432,389,0
44007441009,1734,1037,586,1891,1190,663,1788,1297,485,1376,965,407,1380,801,404,1334,916,307,1258,1023,0
44007442854,1720,1251,368,1978,1494,438,1866,1542,317,1425,1149,275,1430,993,302,1400,1092,184,1377,1211,0
44003443801,1137,531,532,1433,736,674,1384,849,532,896,490,404,894,389,391,880,485,312,829,609,0
44003443803,547,251,248,588,293,286,570,348,221,406,234,172,405,165,169,397,217,133,373,263,0
44003443804,2177,968,1078,2492,1295,1146,2415,1470,944,1754,945,806,1760,726,827,1708,982,604,1613,1238,0
44007440704,318,193,108,341,216,120,330,236,92,249,170,79,248,130,104,245,162,62,233,200,0
44007440708,1785,764,907,2043,1041,975,1971,1203,768,1552,819,729,1563,519,944,1504,825,533,1388,1108,0
44007440405,301,248,41,289,209,79,248,205,43,173,154,19,179,149,16,174,150,17,171,156,0
44007442605,545,462,70,524,408,109,457,381,73,362,313,46,370,296,42,351,291,36,345,302,0
44007442819,1509,985,440,1569,1128,414,1478,1158,317,1135,849,281,1136,736,306,1114,860,194,1079,925,0
44007442834,286,246,27,269,214,49,252,219,33,181,164,17,191,156,20,178,154,12,167,152,0
44007441302,1928,736,1048,2158,923,1187,2088,1020,1066,1540,703,832,1538,520,823,1525,550,556,1362,914,0
44007440711,1389,593,718,1644,825,793,1592,943,646,1180,580,597,1177,365,729,1145,593,447,1073,791,0
44007440713,1528,702,748,1686,884,771,1641,1000,637,1314,654,659,1315,447,803,1281,717,486,1194,927,0
44007443903,498,306,164,539,311,211,468,330,138,373,256,117,375,230,106,357,234,87,332,253,0
44007440804,367,151,185,561,291,262,531,305,226,341,181,159,343,161,148,338,191,121,299,217,0
44007442622,303,171,107,308,177,126,292,192,98,210,140,69,213,110,78,208,135,57,200,161,0
44007443905,1016,517,431,1155,624,506,1046,665,377,745,440,302,741,380,271,724,451,207,686,503,0
44007442613,1180,848,260,1264,910,321,1136,887,242,791,625,162,791,562,152,777,598,121,744,621,0
44007442404,605,291,273,711,410,287,676,460,215,513,295,218,513,226,224,505,289,157,483,374,0
44007442603,1278,873,357,1674,1172,467,1531,1185,340,1063,799,262,1072,704,237,1040,793,187,1003,842,0
44007442828,885,744,90,895,717,155,813,706,104,595,540,52,607,522,50,589,508,37,575,523,0
44007442813,727,613,78,745,614,119,703,624,78,497,449,48,509,414,51,484,421,37,477,427,0
44007443902,683,408,233,716,411,291,626,453,173,536,395,140,535,347,135,521,394,97,502,408,0
44007442848,121,95,18,148,108,40,134,112,22,72,62,10,74,59,8,66,55,6,64,55,0
44007440709,2243,942,1145,2446,1204,1201,2368,1424,943,1964,980,980,1975,602,1252,1897,1027,727,1761,1383,0
44007442880,760,650,59,824,748,66,789,722,66,594,545,48,600,496,49,586,495,41,572,518,0
44007442815,1092,824,220,1195,977,198,1137,957,177,957,740,215,953,739,173,926,687,157,875,792,0
44007440706,1892,643,1169,1995,822,1142,1931,1010,920,1622,640,977,1649,394,1184,1570,717,752,1419,1072,0
44007440404,673,564,81,688,524,148,590,508,79,408,360,46,415,328,51,401,349,33,394,352,0
