GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
45079000401,430,7,11,410,4,0,0,340,7,6,325,4,0,0,635,13,0,617,6,0,0,415,13,0,398,7,0,0,810,21,0,788,0,0,0,505,20,0,482,0,0,0,1121,24,0,1096,0,0,0,743,22,0,721,0,0,0,944,38,5,899,5,0,1,584,31,2,547,5,0,0,584,31,2,534,0,3,0,1,13
45079000132,1345,27,12,1297,20,7,2,967,19,5,935,12,5,0,1429,43,2,1339,36,34,0,955,40,1,902,17,1,0,1418,46,2,1357,29,1,0,979,45,1,920,15,1,0,1370,195,5,1151,37,5,0,1075,47,2,973,28,3,0,1205,36,17,1147,16,14,3,985,34,15,935,11,9,1,985,34,15,911,9,1,0,0,15
45079000458,3391,256,96,3050,19,4,0,2680,251,64,2370,16,2,0,4323,517,105,3662,81,22,11,3510,515,105,2839,52,20,10,4141,604,96,3382,73,32,10,3510,600,90,2750,34,30,10,3881,540,88,3215,16,21,11,3372,538,79,2710,15,20,10,3678,561,242,2890,39,10,8,3167,539,179,2449,29,3,5,3167,539,179,2398,0,8,2,1,40
45079000446,2775,542,162,2015,21,86,6,2129,495,108,1475,16,67,5,3158,418,168,2522,29,93,0,2220,409,75,1690,12,45,0,3161,321,160,2598,44,160,0,2088,312,70,1651,15,55,0,3257,276,82,2816,35,141,0,2176,269,38,1802,18,66,0,2846,300,254,2291,28,54,4,2241,270,229,1747,27,53,4,2241,270,229,1638,40,2,0,8,54
45079000426,4445,1106,434,2885,44,39,10,3322,953,276,2075,34,28,5,4547,964,300,3371,12,91,0,3211,874,67,2240,12,29,0,4884,1005,690,3321,3,58,0,3075,869,143,2041,3,14,0,5048,1360,582,3219,13,70,0,3631,1148,113,2341,9,0,0,4466,897,499,3084,78,68,13,3567,777,357,2426,64,55,8,3567,777,357,2284,28,13,0,6,102
45079000129,2217,274,88,1850,31,16,3,1652,248,58,1343,16,9,1,2227,228,106,1891,0,33,0,1700,177,69,1457,0,0,0,2010,278,100,1630,0,28,0,1463,217,64,1186,0,0,0,1935,247,17,1661,11,0,0,1451,218,0,1213,12,0,0,2030,231,51,1727,20,18,8,1631,224,36,1356,14,15,8,1631,224,36,1312,12,0,3,0,44
45071000005,897,162,62,659,9,9,0,719,139,38,531,6,9,0,964,126,55,784,0,53,0,619,127,2,477,0,0,0,1076,184,57,835,0,67,0,882,182,0,682,0,0,0,966,177,12,777,0,0,0,839,120,0,720,8,0,0,857,139,100,609,25,4,0,652,112,51,482,19,4,0,652,112,51,453,0,4,0,0,32
45071000020,978,631,105,239,12,1,0,716,497,55,160,6,1,0,1196,532,392,215,54,0,0,676,481,0,170,29,0,0,1290,560,448,270,9,0,0,642,474,0,156,9,0,0,1006,472,219,299,14,0,0,588,420,0,126,21,0,0,934,512,163,233,37,9,0,729,433,100,171,33,5,0,729,433,100,167,3,8,0,1,17
45071000001,754,365,75,314,1,2,0,569,307,47,215,1,1,0,586,218,29,336,0,9,0,446,195,15,229,0,5,0,580,192,19,366,0,5,0,451,176,8,264,0,6,0,566,212,111,239,2,2,0,344,190,4,235,0,8,0,724,299,97,316,34,9,3,532,249,60,216,21,3,2,532,249,60,206,1,0,0,1,15
45071000034,171,146,0,23,1,1,0,141,120,0,19,1,1,0,149,115,28,4,0,0,0,112,104,3,3,0,0,0,123,112,0,5,0,7,0,105,97,0,3,0,4,0,138,123,0,8,0,5,0,119,117,0,4,0,0,0,157,126,3,23,3,2,0,126,109,2,12,2,0,0,126,109,2,12,0,0,0,1,2
